D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOPENSION_0;D_TERRITORIO_0;D_MCVL_PENSIONISTA_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;55189;2352;55179;Población;42225.0;A
2006;3689;55189;2402;55179;Población;94225.0;A
2006;3689;55189;2482;55179;Población;68650.0;A
2006;3689;55189;2713;55179;Población;78400.0;A
2006;3689;55189;2797;55179;Población;43300.0;A
2006;3689;55189;2911;55179;Población;68525.0;A
2006;3689;55189;3023;55179;Población;107525.0;A
2006;3689;55189;3142;55179;Población;148200.0;A
2006;3689;55189;3143;55179;Población;651050.0;A
2006;3689;55185;2352;55179;Población;6525.0;A
2006;3689;55185;2402;55179;Población;22575.0;A
2006;3689;55185;2482;55179;Población;10025.0;A
2006;3689;55185;2713;55179;Población;17200.0;A
2006;3689;55185;2797;55179;Población;9775.0;A
2006;3689;55185;2911;55179;Población;12850.0;A
2006;3689;55185;3023;55179;Población;24375.0;A
2006;3689;55185;3142;55179;Población;37400.0;A
2006;3689;55185;3143;55179;Población;140725.0;A
2006;3689;55186;2352;55179;Población;32825.0;A
2006;3689;55186;2402;55179;Población;66000.0;A
2006;3689;55186;2482;55179;Población;54525.0;A
2006;3689;55186;2713;55179;Población;56375.0;A
2006;3689;55186;2797;55179;Población;30900.0;A
2006;3689;55186;2911;55179;Población;52525.0;A
2006;3689;55186;3023;55179;Población;75950.0;A
2006;3689;55186;3142;55179;Población;100550.0;A
2006;3689;55186;3143;55179;Población;469650.0;A
2006;3689;55187;2352;55179;Población;675.0;A
2006;3689;55187;2402;55179;Población;550.0;A
2006;3689;55187;2482;55179;Población;1000.0;A
2006;3689;55187;2713;55179;Población;1175.0;A
2006;3689;55187;2797;55179;Población;600.0;A
2006;3689;55187;2911;55179;Población;775.0;A
2006;3689;55187;3023;55179;Población;1925.0;A
2006;3689;55187;3142;55179;Población;2600.0;A
2006;3689;55187;3143;55179;Población;9300.0;A
2006;3689;55188;2352;55179;Población;2200.0;A
2006;3689;55188;2402;55179;Población;5100.0;A
2006;3689;55188;2482;55179;Población;3100.0;A
2006;3689;55188;2713;55179;Población;3650.0;A
2006;3689;55188;2797;55179;Población;2025.0;A
2006;3689;55188;2911;55179;Población;2375.0;A
2006;3689;55188;3023;55179;Población;5275.0;A
2006;3689;55188;3142;55179;Población;7650.0;A
2006;3689;55188;3143;55179;Población;31375.0;A
2006;3689;55192;2352;55179;Población;1175.0;A
2006;3689;55192;2402;55179;Población;1450.0;A
2006;3689;55192;2482;55179;Población;2600.0;A
2006;3689;55192;2713;55179;Población;2775.0;A
2006;3689;55192;2797;55179;Población;875.0;A
2006;3689;55192;2911;55179;Población;1175.0;A
2006;3689;55192;3023;55179;Población;2375.0;A
2006;3689;55192;3142;55179;Población;3325.0;A
2006;3689;55192;3143;55179;Población;15750.0;A
2006;3689;55190;2352;55179;Población;1100.0;A
2006;3689;55190;2402;55179;Población;1000.0;A
2006;3689;55190;2482;55179;Población;2375.0;A
2006;3689;55190;2713;55179;Población;2525.0;A
2006;3689;55190;2797;55179;Población;750.0;A
2006;3689;55190;2911;55179;Población;1025.0;A
2006;3689;55190;3023;55179;Población;2175.0;A
2006;3689;55190;3142;55179;Población;2750.0;A
2006;3689;55190;3143;55179;Población;13700.0;A
2006;3689;55191;2352;55179;Población;*;A
2006;3689;55191;2402;55179;Población;*;A
2006;3689;55191;2482;55179;Población;*;A
2006;3689;55191;2713;55179;Población;*;A
2006;3689;55191;2797;55179;Población;*;A
2006;3689;55191;2911;55179;Población;*;A
2006;3689;55191;3023;55179;Población;*;A
2006;3689;55191;3142;55179;Población;575.0;A
2006;3689;55191;3143;55179;Población;2050.0;A
2006;3689;55193;2352;55179;Población;43400.0;A
2006;3689;55193;2402;55179;Población;95675.0;A
2006;3689;55193;2482;55179;Población;71250.0;A
2006;3689;55193;2713;55179;Población;81175.0;A
2006;3689;55193;2797;55179;Población;44175.0;A
2006;3689;55193;2911;55179;Población;69700.0;A
2006;3689;55193;3023;55179;Población;109900.0;A
2006;3689;55193;3142;55179;Población;151525.0;A
2006;3689;55193;3143;55179;Población;666800.0;A
2006;3690;55189;2352;55179;Población;31350.0;A
2006;3690;55189;2402;55179;Población;65900.0;A
2006;3690;55189;2482;55179;Población;59375.0;A
2006;3690;55189;2713;55179;Población;63100.0;A
2006;3690;55189;2797;55179;Población;33875.0;A
2006;3690;55189;2911;55179;Población;47525.0;A
2006;3690;55189;3023;55179;Población;85125.0;A
2006;3690;55189;3142;55179;Población;128200.0;A
2006;3690;55189;3143;55179;Población;514450.0;A
2006;3690;55185;2352;55179;Población;1900.0;A
2006;3690;55185;2402;55179;Población;6225.0;A
2006;3690;55185;2482;55179;Población;4450.0;A
2006;3690;55185;2713;55179;Población;8550.0;A
2006;3690;55185;2797;55179;Población;3650.0;A
2006;3690;55185;2911;55179;Población;4050.0;A
2006;3690;55185;3023;55179;Población;11700.0;A
2006;3690;55185;3142;55179;Población;20700.0;A
2006;3690;55185;3143;55179;Población;61225.0;A
2006;3690;55186;2352;55179;Población;10875.0;A
2006;3690;55186;2402;55179;Población;12875.0;A
2006;3690;55186;2482;55179;Población;23600.0;A
2006;3690;55186;2713;55179;Población;22900.0;A
2006;3690;55186;2797;55179;Población;7925.0;A
2006;3690;55186;2911;55179;Población;12400.0;A
2006;3690;55186;3023;55179;Población;25475.0;A
2006;3690;55186;3142;55179;Población;38650.0;A
2006;3690;55186;3143;55179;Población;154700.0;A
2006;3690;55187;2352;55179;Población;16325.0;A
2006;3690;55187;2402;55179;Población;41050.0;A
2006;3690;55187;2482;55179;Población;27350.0;A
2006;3690;55187;2713;55179;Población;28175.0;A
2006;3690;55187;2797;55179;Población;19825.0;A
2006;3690;55187;2911;55179;Población;27925.0;A
2006;3690;55187;3023;55179;Población;42975.0;A
2006;3690;55187;3142;55179;Población;59900.0;A
2006;3690;55187;3143;55179;Población;263525.0;A
2006;3690;55188;2352;55179;Población;2250.0;A
2006;3690;55188;2402;55179;Población;5750.0;A
2006;3690;55188;2482;55179;Población;3975.0;A
2006;3690;55188;2713;55179;Población;3475.0;A
2006;3690;55188;2797;55179;Población;2475.0;A
2006;3690;55188;2911;55179;Población;3150.0;A
2006;3690;55188;3023;55179;Población;4975.0;A
2006;3690;55188;3142;55179;Población;8950.0;A
2006;3690;55188;3143;55179;Población;35000.0;A
2006;3690;55192;2352;55179;Población;7675.0;A
2006;3690;55192;2402;55179;Población;7250.0;A
2006;3690;55192;2482;55179;Población;13000.0;A
2006;3690;55192;2713;55179;Población;12075.0;A
2006;3690;55192;2797;55179;Población;3875.0;A
2006;3690;55192;2911;55179;Población;6400.0;A
2006;3690;55192;3023;55179;Población;10900.0;A
2006;3690;55192;3142;55179;Población;19400.0;A
2006;3690;55192;3143;55179;Población;80575.0;A
2006;3690;55190;2352;55179;Población;7475.0;A
2006;3690;55190;2402;55179;Población;6600.0;A
2006;3690;55190;2482;55179;Población;12425.0;A
2006;3690;55190;2713;55179;Población;11000.0;A
2006;3690;55190;2797;55179;Población;3400.0;A
2006;3690;55190;2911;55179;Población;6025.0;A
2006;3690;55190;3023;55179;Población;9900.0;A
2006;3690;55190;3142;55179;Población;16375.0;A
2006;3690;55190;3143;55179;Población;73200.0;A
2006;3690;55191;2352;55179;Población;*;A
2006;3690;55191;2402;55179;Población;650.0;A
2006;3690;55191;2482;55179;Población;575.0;A
2006;3690;55191;2713;55179;Población;1075.0;A
2006;3690;55191;2797;55179;Población;*;A
2006;3690;55191;2911;55179;Población;*;A
2006;3690;55191;3023;55179;Población;1000.0;A
2006;3690;55191;3142;55179;Población;3025.0;A
2006;3690;55191;3143;55179;Población;7375.0;A
2006;3690;55193;2352;55179;Población;39025.0;A
2006;3690;55193;2402;55179;Población;73150.0;A
2006;3690;55193;2482;55179;Población;72375.0;A
2006;3690;55193;2713;55179;Población;75175.0;A
2006;3690;55193;2797;55179;Población;37750.0;A
2006;3690;55193;2911;55179;Población;53925.0;A
2006;3690;55193;3023;55179;Población;96025.0;A
2006;3690;55193;3142;55179;Población;147600.0;A
2006;3690;55193;3143;55179;Población;595025.0;A
2006;3691;55189;2352;55179;Población;73575.0;A
2006;3691;55189;2402;55179;Población;160125.0;A
2006;3691;55189;2482;55179;Población;128025.0;A
2006;3691;55189;2713;55179;Población;141500.0;A
2006;3691;55189;2797;55179;Población;77175.0;A
2006;3691;55189;2911;55179;Población;116050.0;A
2006;3691;55189;3023;55179;Población;192650.0;A
2006;3691;55189;3142;55179;Población;276400.0;A
2006;3691;55189;3143;55179;Población;1165500.0;A
2006;3691;55185;2352;55179;Población;8425.0;A
2006;3691;55185;2402;55179;Población;28800.0;A
2006;3691;55185;2482;55179;Población;14475.0;A
2006;3691;55185;2713;55179;Población;25750.0;A
2006;3691;55185;2797;55179;Población;13425.0;A
2006;3691;55185;2911;55179;Población;16900.0;A
2006;3691;55185;3023;55179;Población;36075.0;A
2006;3691;55185;3142;55179;Población;58100.0;A
2006;3691;55185;3143;55179;Población;201950.0;A
2006;3691;55186;2352;55179;Población;43700.0;A
2006;3691;55186;2402;55179;Población;78875.0;A
2006;3691;55186;2482;55179;Población;78125.0;A
2006;3691;55186;2713;55179;Población;79275.0;A
2006;3691;55186;2797;55179;Población;38825.0;A
2006;3691;55186;2911;55179;Población;64925.0;A
2006;3691;55186;3023;55179;Población;101425.0;A
2006;3691;55186;3142;55179;Población;139200.0;A
2006;3691;55186;3143;55179;Población;624350.0;A
2006;3691;55187;2352;55179;Población;17000.0;A
2006;3691;55187;2402;55179;Población;41600.0;A
2006;3691;55187;2482;55179;Población;28350.0;A
2006;3691;55187;2713;55179;Población;29350.0;A
2006;3691;55187;2797;55179;Población;20425.0;A
2006;3691;55187;2911;55179;Población;28700.0;A
2006;3691;55187;3023;55179;Población;44900.0;A
2006;3691;55187;3142;55179;Población;62500.0;A
2006;3691;55187;3143;55179;Población;272825.0;A
2006;3691;55188;2352;55179;Población;4450.0;A
2006;3691;55188;2402;55179;Población;10850.0;A
2006;3691;55188;2482;55179;Población;7075.0;A
2006;3691;55188;2713;55179;Población;7125.0;A
2006;3691;55188;2797;55179;Población;4500.0;A
2006;3691;55188;2911;55179;Población;5525.0;A
2006;3691;55188;3023;55179;Población;10250.0;A
2006;3691;55188;3142;55179;Población;16600.0;A
2006;3691;55188;3143;55179;Población;66375.0;A
2006;3691;55192;2352;55179;Población;8850.0;A
2006;3691;55192;2402;55179;Población;8700.0;A
