D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOCOTIZACION_0;D_TERRITORIO_0;D_MCVL_COTIZANTE_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;53594;2352;53591;Población;135475.0;A
2006;3689;53594;2402;53591;Población;232475.0;A
2006;3689;53594;2482;53591;Población;149500.0;A
2006;3689;53594;2713;53591;Población;177200.0;A
2006;3689;53594;2797;53591;Población;95725.0;A
2006;3689;53594;2911;53591;Población;117825.0;A
2006;3689;53594;3023;53591;Población;324025.0;A
2006;3689;53594;3142;53591;Población;379300.0;A
2006;3689;53594;3143;53591;Población;1611525.0;A
2006;3689;53595;2352;53591;Población;3025.0;A
2006;3689;53595;2402;53591;Población;9150.0;A
2006;3689;53595;2482;53591;Población;4300.0;A
2006;3689;53595;2713;53591;Población;4825.0;A
2006;3689;53595;2797;53591;Población;2875.0;A
2006;3689;53595;2911;53591;Población;2100.0;A
2006;3689;53595;3023;53591;Población;8225.0;A
2006;3689;53595;3142;53591;Población;12750.0;A
2006;3689;53595;3143;53591;Población;47250.0;A
2006;3689;53596;2352;53591;Población;925.0;A
2006;3689;53596;2402;53591;Población;1500.0;A
2006;3689;53596;2482;53591;Población;2000.0;A
2006;3689;53596;2713;53591;Población;2475.0;A
2006;3689;53596;2797;53591;Población;1025.0;A
2006;3689;53596;2911;53591;Población;1525.0;A
2006;3689;53596;3023;53591;Población;2625.0;A
2006;3689;53596;3142;53591;Población;2775.0;A
2006;3689;53596;3143;53591;Población;14850.0;A
2006;3689;53597;2352;53591;Población;47025.0;A
2006;3689;53597;2402;53591;Población;71475.0;A
2006;3689;53597;2482;53591;Población;55300.0;A
2006;3689;53597;2713;53591;Población;48650.0;A
2006;3689;53597;2797;53591;Población;41800.0;A
2006;3689;53597;2911;53591;Población;51675.0;A
2006;3689;53597;3023;53591;Población;66975.0;A
2006;3689;53597;3142;53591;Población;109125.0;A
2006;3689;53597;3143;53591;Población;492025.0;A
2006;3689;53593;2352;53591;Población;186450.0;A
2006;3689;53593;2402;53591;Población;314600.0;A
2006;3689;53593;2482;53591;Población;211100.0;A
2006;3689;53593;2713;53591;Población;233150.0;A
2006;3689;53593;2797;53591;Población;141425.0;A
2006;3689;53593;2911;53591;Población;173125.0;A
2006;3689;53593;3023;53591;Población;401850.0;A
2006;3689;53593;3142;53591;Población;503950.0;A
2006;3689;53593;3143;53591;Población;2165650.0;A
2006;3690;53594;2352;53591;Población;83975.0;A
2006;3690;53594;2402;53591;Población;147275.0;A
2006;3690;53594;2482;53591;Población;89450.0;A
2006;3690;53594;2713;53591;Población;112825.0;A
2006;3690;53594;2797;53591;Población;77900.0;A
2006;3690;53594;2911;53591;Población;72875.0;A
2006;3690;53594;3023;53591;Población;227700.0;A
2006;3690;53594;3142;53591;Población;242600.0;A
2006;3690;53594;3143;53591;Población;1054600.0;A
2006;3690;53595;2352;53591;Población;3800.0;A
2006;3690;53595;2402;53591;Población;9275.0;A
2006;3690;53595;2482;53591;Población;4750.0;A
2006;3690;53595;2713;53591;Población;5150.0;A
2006;3690;53595;2797;53591;Población;2125.0;A
2006;3690;53595;2911;53591;Población;3325.0;A
2006;3690;53595;3023;53591;Población;9700.0;A
2006;3690;53595;3142;53591;Población;11900.0;A
2006;3690;53595;3143;53591;Población;50025.0;A
2006;3690;53596;2352;53591;Población;2025.0;A
2006;3690;53596;2402;53591;Población;1025.0;A
2006;3690;53596;2482;53591;Población;2225.0;A
2006;3690;53596;2713;53591;Población;4125.0;A
2006;3690;53596;2797;53591;Población;1175.0;A
2006;3690;53596;2911;53591;Población;2125.0;A
2006;3690;53596;3023;53591;Población;3075.0;A
2006;3690;53596;3142;53591;Población;4600.0;A
2006;3690;53596;3143;53591;Población;20375.0;A
2006;3690;53597;2352;53591;Población;39325.0;A
2006;3690;53597;2402;53591;Población;48975.0;A
2006;3690;53597;2482;53591;Población;59175.0;A
2006;3690;53597;2713;53591;Población;56975.0;A
2006;3690;53597;2797;53591;Población;44225.0;A
