D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_LUG_NAC_PADRON_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;2402;54888;3691;Población municipal;1245960.0;A
2021;4306;2402;54888;3689;Población municipal;614084.0;A
2021;4306;2402;54888;3690;Población municipal;631876.0;A
2021;4306;2402;53700;3691;Población municipal;1173162.0;A
2021;4306;2402;53700;3689;Población municipal;579041.0;A
2021;4306;2402;53700;3690;Población municipal;594121.0;A
2021;4306;2402;54560;3691;Población municipal;1098701.0;A
2021;4306;2402;54560;3689;Población municipal;542497.0;A
2021;4306;2402;54560;3690;Población municipal;556204.0;A
2021;4306;2402;53809;3691;Población municipal;1619.0;A
2021;4306;2402;53809;3689;Población municipal;801.0;A
2021;4306;2402;53809;3690;Población municipal;818.0;A
2021;4306;2402;53855;3691;Población municipal;1030334.0;A
2021;4306;2402;53855;3689;Población municipal;510281.0;A
2021;4306;2402;53855;3690;Población municipal;520053.0;A
2021;4306;2402;53933;3691;Población municipal;7281.0;A
2021;4306;2402;53933;3689;Población municipal;3370.0;A
2021;4306;2402;53933;3690;Población municipal;3911.0;A
2021;4306;2402;54155;3691;Población municipal;5237.0;A
2021;4306;2402;54155;3689;Población municipal;2546.0;A
2021;4306;2402;54155;3690;Población municipal;2691.0;A
2021;4306;2402;54236;3691;Población municipal;4145.0;A
2021;4306;2402;54236;3689;Población municipal;1910.0;A
2021;4306;2402;54236;3690;Población municipal;2235.0;A
2021;4306;2402;54344;3691;Población municipal;4785.0;A
2021;4306;2402;54344;3689;Población municipal;2261.0;A
2021;4306;2402;54344;3690;Población municipal;2524.0;A
2021;4306;2402;54452;3691;Población municipal;16762.0;A
2021;4306;2402;54452;3689;Población municipal;7970.0;A
2021;4306;2402;54452;3690;Población municipal;8792.0;A
2021;4306;2402;54559;3691;Población municipal;28538.0;A
2021;4306;2402;54559;3689;Población municipal;13358.0;A
2021;4306;2402;54559;3690;Población municipal;15180.0;A
2021;4306;2402;54565;3691;Población municipal;74461.0;A
2021;4306;2402;54565;3689;Población municipal;36544.0;A
2021;4306;2402;54565;3690;Población municipal;37917.0;A
2021;4306;2402;54887;3691;Población municipal;72798.0;A
2021;4306;2402;54887;3689;Población municipal;35043.0;A
2021;4306;2402;54887;3690;Población municipal;37755.0;A
2021;4306;2353;54888;3691;Población municipal;5245.0;A
2021;4306;2353;54888;3689;Población municipal;2697.0;A
2021;4306;2353;54888;3690;Población municipal;2548.0;A
2021;4306;2353;53700;3691;Población municipal;5120.0;A
2021;4306;2353;53700;3689;Población municipal;2639.0;A
2021;4306;2353;53700;3690;Población municipal;2481.0;A
2021;4306;2353;54560;3691;Población municipal;5001.0;A
2021;4306;2353;54560;3689;Población municipal;2582.0;A
2021;4306;2353;54560;3690;Población municipal;2419.0;A
2021;4306;2353;53809;3691;Población municipal;1.0;A
2021;4306;2353;53809;3690;Población municipal;1.0;A
2021;4306;2353;53855;3691;Población municipal;4882.0;A
2021;4306;2353;53855;3689;Población municipal;2519.0;A
2021;4306;2353;53855;3690;Población municipal;2363.0;A
2021;4306;2353;53933;3691;Población municipal;14.0;A
2021;4306;2353;53933;3689;Población municipal;9.0;A
2021;4306;2353;53933;3690;Población municipal;5.0;A
2021;4306;2353;54155;3691;Población municipal;6.0;A
2021;4306;2353;54155;3689;Población municipal;4.0;A
2021;4306;2353;54155;3690;Población municipal;2.0;A
2021;4306;2353;54236;3691;Población municipal;7.0;A
2021;4306;2353;54236;3689;Población municipal;3.0;A
2021;4306;2353;54236;3690;Población municipal;4.0;A
2021;4306;2353;54344;3691;Población municipal;15.0;A
2021;4306;2353;54344;3689;Población municipal;9.0;A
2021;4306;2353;54344;3690;Población municipal;6.0;A
2021;4306;2353;54452;3691;Población municipal;46.0;A
2021;4306;2353;54452;3689;Población municipal;25.0;A
2021;4306;2353;54452;3690;Población municipal;21.0;A
2021;4306;2353;54559;3691;Población municipal;30.0;A
2021;4306;2353;54559;3689;Población municipal;13.0;A
2021;4306;2353;54559;3690;Población municipal;17.0;A
2021;4306;2353;54565;3691;Población municipal;119.0;A
2021;4306;2353;54565;3689;Población municipal;57.0;A
2021;4306;2353;54565;3690;Población municipal;62.0;A
2021;4306;2353;54887;3691;Población municipal;125.0;A
2021;4306;2353;54887;3689;Población municipal;58.0;A
2021;4306;2353;54887;3690;Población municipal;67.0;A
2021;4306;2354;54888;3691;Población municipal;5031.0;A
2021;4306;2354;54888;3689;Población municipal;2526.0;A
2021;4306;2354;54888;3690;Población municipal;2505.0;A
2021;4306;2354;53700;3691;Población municipal;4883.0;A
2021;4306;2354;53700;3689;Población municipal;2463.0;A
2021;4306;2354;53700;3690;Población municipal;2420.0;A
2021;4306;2354;54560;3691;Población municipal;4815.0;A
2021;4306;2354;54560;3689;Población municipal;2431.0;A
2021;4306;2354;54560;3690;Población municipal;2384.0;A
