D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2006;4306;2797;3689;53588;Población municipal;246056.0;A
2006;4306;2797;3689;53583;Población municipal;136759.0;A
2006;4306;2797;3689;53584;Población municipal;62182.0;A
2006;4306;2797;3689;53585;Población municipal;17037.0;A
2006;4306;2797;3689;53586;Población municipal;13181.0;A
2006;4306;2797;3689;53587;Población municipal;16897.0;A
2006;4306;2797;3690;53588;Población municipal;246118.0;A
2006;4306;2797;3690;53583;Población municipal;137739.0;A
2006;4306;2797;3690;53584;Población municipal;64859.0;A
2006;4306;2797;3690;53585;Población municipal;17415.0;A
2006;4306;2797;3690;53586;Población municipal;13826.0;A
2006;4306;2797;3690;53587;Población municipal;12279.0;A
2006;4306;2911;3691;53588;Población municipal;662751.0;A
2006;4306;2911;3691;53583;Población municipal;459417.0;A
2006;4306;2911;3691;53584;Población municipal;125565.0;A
2006;4306;2911;3691;53585;Población municipal;27730.0;A
2006;4306;2911;3691;53586;Población municipal;34210.0;A
2006;4306;2911;3691;53587;Población municipal;15829.0;A
2006;4306;2911;3689;53588;Población municipal;329496.0;A
2006;4306;2911;3689;53583;Población municipal;231322.0;A
2006;4306;2911;3689;53584;Población municipal;59554.0;A
2006;4306;2911;3689;53585;Población municipal;13036.0;A
2006;4306;2911;3689;53586;Población municipal;16338.0;A
2006;4306;2911;3689;53587;Población municipal;9246.0;A
2006;4306;2911;3690;53588;Población municipal;333255.0;A
2006;4306;2911;3690;53583;Población municipal;228095.0;A
2006;4306;2911;3690;53584;Población municipal;66011.0;A
2006;4306;2911;3690;53585;Población municipal;14694.0;A
2006;4306;2911;3690;53586;Población municipal;17872.0;A
2006;4306;2911;3690;53587;Población municipal;6583.0;A
2006;4306;3023;3691;53588;Población municipal;1491287.0;A
2006;4306;3023;3691;53583;Población municipal;705892.0;A
2006;4306;3023;3691;53584;Población municipal;300826.0;A
2006;4306;3023;3691;53585;Población municipal;128165.0;A
2006;4306;3023;3691;53586;Población municipal;116451.0;A
2006;4306;3023;3691;53587;Población municipal;239953.0;A
2006;4306;3023;3689;53588;Población municipal;737508.0;A
2006;4306;3023;3689;53583;Población municipal;352546.0;A
2006;4306;3023;3689;53584;Población municipal;146714.0;A
2006;4306;3023;3689;53585;Población municipal;61196.0;A
2006;4306;3023;3689;53586;Población municipal;55753.0;A
2006;4306;3023;3689;53587;Población municipal;121299.0;A
2006;4306;3023;3690;53588;Población municipal;753779.0;A
2006;4306;3023;3690;53583;Población municipal;353346.0;A
2006;4306;3023;3690;53584;Población municipal;154112.0;A
2006;4306;3023;3690;53585;Población municipal;66969.0;A
2006;4306;3023;3690;53586;Población municipal;60698.0;A
2006;4306;3023;3690;53587;Población municipal;118654.0;A
2006;4306;3142;3691;53588;Población municipal;1835077.0;A
2006;4306;3142;3691;53583;Población municipal;992244.0;A
2006;4306;3142;3691;53584;Población municipal;511336.0;A
2006;4306;3142;3691;53585;Población municipal;144626.0;A
2006;4306;3142;3691;53586;Población municipal;122675.0;A
2006;4306;3142;3691;53587;Población municipal;64196.0;A
2006;4306;3142;3689;53588;Población municipal;900967.0;A
2006;4306;3142;3689;53583;Población municipal;493499.0;A
2006;4306;3142;3689;53584;Población municipal;253386.0;A
2006;4306;3142;3689;53585;Población municipal;65726.0;A
2006;4306;3142;3689;53586;Población municipal;57291.0;A
2006;4306;3142;3689;53587;Población municipal;31065.0;A
2006;4306;3142;3690;53588;Población municipal;934110.0;A
2006;4306;3142;3690;53583;Población municipal;498745.0;A
2006;4306;3142;3690;53584;Población municipal;257950.0;A
2006;4306;3142;3690;53585;Población municipal;78900.0;A
2006;4306;3142;3690;53586;Población municipal;65384.0;A
2006;4306;3142;3690;53587;Población municipal;33131.0;A
2006;4172;3143;3691;53588;Población municipal;1295316.0;A
2006;4172;3143;3691;53583;Población municipal;939571.0;A
2006;4172;3143;3691;53584;Población municipal;228027.0;A
2006;4172;3143;3691;53585;Población municipal;30966.0;A
2006;4172;3143;3691;53586;Población municipal;37414.0;A
2006;4172;3143;3691;53587;Población municipal;59338.0;A
2006;4172;3143;3689;53588;Población municipal;666688.0;A
2006;4172;3143;3689;53583;Población municipal;483745.0;A
2006;4172;3143;3689;53584;Población municipal;117606.0;A
2006;4172;3143;3689;53585;Población municipal;15815.0;A
2006;4172;3143;3689;53586;Población municipal;19110.0;A
2006;4172;3143;3689;53587;Población municipal;30412.0;A
2006;4172;3143;3690;53588;Población municipal;628628.0;A
2006;4172;3143;3690;53583;Población municipal;455826.0;A
2006;4172;3143;3690;53584;Población municipal;110421.0;A
2006;4172;3143;3690;53585;Población municipal;15151.0;A
2006;4172;3143;3690;53586;Población municipal;18304.0;A
2006;4172;3143;3690;53587;Población municipal;28926.0;A
2006;4172;2352;3691;53588;Población municipal;105292.0;A
2006;4172;2352;3691;53583;Población municipal;65553.0;A
2006;4172;2352;3691;53584;Población municipal;20943.0;A
2006;4172;2352;3691;53585;Población municipal;3150.0;A
2006;4172;2352;3691;53586;Población municipal;3173.0;A
2006;4172;2352;3691;53587;Población municipal;12473.0;A
2006;4172;2352;3689;53588;Población municipal;54173.0;A
2006;4172;2352;3689;53583;Población municipal;33686.0;A
2006;4172;2352;3689;53584;Población municipal;10713.0;A
2006;4172;2352;3689;53585;Población municipal;1639.0;A
2006;4172;2352;3689;53586;Población municipal;1635.0;A
2006;4172;2352;3689;53587;Población municipal;6500.0;A
2006;4172;2352;3690;53588;Población municipal;51119.0;A
2006;4172;2352;3690;53583;Población municipal;31867.0;A
2006;4172;2352;3690;53584;Población municipal;10230.0;A
2006;4172;2352;3690;53585;Población municipal;1511.0;A
2006;4172;2352;3690;53586;Población municipal;1538.0;A
2006;4172;2352;3690;53587;Población municipal;5973.0;A
2006;4172;2402;3691;53588;Población municipal;199178.0;A
2006;4172;2402;3691;53583;Población municipal;153879.0;A
2006;4172;2402;3691;53584;Población municipal;28751.0;A
2006;4172;2402;3691;53585;Población municipal;4736.0;A
2006;4172;2402;3691;53586;Población municipal;6383.0;A
2006;4172;2402;3691;53587;Población municipal;5429.0;A
2006;4172;2402;3689;53588;Población municipal;102935.0;A
2006;4172;2402;3689;53583;Población municipal;79546.0;A
2006;4172;2402;3689;53584;Población municipal;15005.0;A
2006;4172;2402;3689;53585;Población municipal;2425.0;A
2006;4172;2402;3689;53586;Población municipal;3253.0;A
2006;4172;2402;3689;53587;Población municipal;2706.0;A
2006;4172;2402;3690;53588;Población municipal;96243.0;A
2006;4172;2402;3690;53583;Población municipal;74333.0;A
2006;4172;2402;3690;53584;Población municipal;13746.0;A
2006;4172;2402;3690;53585;Población municipal;2311.0;A
2006;4172;2402;3690;53586;Población municipal;3130.0;A
2006;4172;2402;3690;53587;Población municipal;2723.0;A
2006;4172;2482;3691;53588;Población municipal;125870.0;A
2006;4172;2482;3691;53583;Población municipal;108460.0;A
2006;4172;2482;3691;53584;Población municipal;9805.0;A
2006;4172;2482;3691;53585;Población municipal;2186.0;A
2006;4172;2482;3691;53586;Población municipal;3302.0;A
2006;4172;2482;3691;53587;Población municipal;2117.0;A
2006;4172;2482;3689;53588;Población municipal;64901.0;A
2006;4172;2482;3689;53583;Población municipal;56029.0;A
2006;4172;2482;3689;53584;Población municipal;5016.0;A
2006;4172;2482;3689;53585;Población municipal;1159.0;A
2006;4172;2482;3689;53586;Población municipal;1661.0;A
2006;4172;2482;3689;53587;Población municipal;1036.0;A
2006;4172;2482;3690;53588;Población municipal;60969.0;A
2006;4172;2482;3690;53583;Población municipal;52431.0;A
2006;4172;2482;3690;53584;Población municipal;4789.0;A
2006;4172;2482;3690;53585;Población municipal;1027.0;A
2006;4172;2482;3690;53586;Población municipal;1641.0;A
2006;4172;2482;3690;53587;Población municipal;1081.0;A
2006;4172;2713;3691;53588;Población municipal;134965.0;A
2006;4172;2713;3691;53583;Población municipal;90072.0;A
2006;4172;2713;3691;53584;Población municipal;30878.0;A
2006;4172;2713;3691;53585;Población municipal;3118.0;A
2006;4172;2713;3691;53586;Población municipal;4959.0;A
2006;4172;2713;3691;53587;Población municipal;5938.0;A
2006;4172;2713;3689;53588;Población municipal;69807.0;A
2006;4172;2713;3689;53583;Población municipal;46491.0;A
2006;4172;2713;3689;53584;Población municipal;16115.0;A
2006;4172;2713;3689;53585;Población municipal;1521.0;A
2006;4172;2713;3689;53586;Población municipal;2578.0;A
2006;4172;2713;3689;53587;Población municipal;3102.0;A
2006;4172;2713;3690;53588;Población municipal;65158.0;A
2006;4172;2713;3690;53583;Población municipal;43581.0;A
2006;4172;2713;3690;53584;Población municipal;14763.0;A
2006;4172;2713;3690;53585;Población municipal;1597.0;A
