D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;3143;3691;53588;Población municipal;8472407.0;A
2021;4306;3143;3691;53583;Población municipal;4505119.0;A
2021;4306;3143;3691;53584;Población municipal;1969353.0;A
2021;4306;3143;3691;53585;Población municipal;564146.0;A
2021;4306;3143;3691;53586;Población municipal;538886.0;A
2021;4306;3143;3691;53587;Población municipal;894903.0;A
2021;4306;3143;3689;53588;Población municipal;4173339.0;A
2021;4306;3143;3689;53583;Población municipal;2249390.0;A
2021;4306;3143;3689;53584;Población municipal;963516.0;A
2021;4306;3143;3689;53585;Población municipal;264823.0;A
2021;4306;3143;3689;53586;Población municipal;257223.0;A
2021;4306;3143;3689;53587;Población municipal;438387.0;A
2021;4306;3143;3690;53588;Población municipal;4299068.0;A
2021;4306;3143;3690;53583;Población municipal;2255729.0;A
2021;4306;3143;3690;53584;Población municipal;1005837.0;A
2021;4306;3143;3690;53585;Población municipal;299323.0;A
2021;4306;3143;3690;53586;Población municipal;281663.0;A
2021;4306;3143;3690;53587;Población municipal;456516.0;A
2021;4306;2352;3691;53588;Población municipal;731792.0;A
2021;4306;2352;3691;53583;Población municipal;294518.0;A
2021;4306;2352;3691;53584;Población municipal;170365.0;A
2021;4306;2352;3691;53585;Población municipal;55285.0;A
2021;4306;2352;3691;53586;Población municipal;48868.0;A
2021;4306;2352;3691;53587;Población municipal;162756.0;A
2021;4306;2352;3689;53588;Población municipal;373136.0;A
2021;4306;2352;3689;53583;Población municipal;148093.0;A
2021;4306;2352;3689;53584;Población municipal;84118.0;A
2021;4306;2352;3689;53585;Población municipal;26757.0;A
2021;4306;2352;3689;53586;Población municipal;23919.0;A
2021;4306;2352;3689;53587;Población municipal;90249.0;A
2021;4306;2352;3690;53588;Población municipal;358656.0;A
2021;4306;2352;3690;53583;Población municipal;146425.0;A
2021;4306;2352;3690;53584;Población municipal;86247.0;A
2021;4306;2352;3690;53585;Población municipal;28528.0;A
2021;4306;2352;3690;53586;Población municipal;24949.0;A
2021;4306;2352;3690;53587;Población municipal;72507.0;A
2021;4306;2402;3691;53588;Población municipal;1245960.0;A
2021;4306;2402;3691;53583;Población municipal;770125.0;A
2021;4306;2402;3691;53584;Población municipal;260209.0;A
2021;4306;2402;3691;53585;Población municipal;68367.0;A
2021;4306;2402;3691;53586;Población municipal;74461.0;A
2021;4306;2402;3691;53587;Población municipal;72798.0;A
2021;4306;2402;3689;53588;Población municipal;614084.0;A
2021;4306;2402;3689;53583;Población municipal;382781.0;A
2021;4306;2402;3689;53584;Población municipal;127500.0;A
2021;4306;2402;3689;53585;Población municipal;32216.0;A
2021;4306;2402;3689;53586;Población municipal;36544.0;A
2021;4306;2402;3689;53587;Población municipal;35043.0;A
2021;4306;2402;3690;53588;Población municipal;631876.0;A
2021;4306;2402;3690;53583;Población municipal;387344.0;A
2021;4306;2402;3690;53584;Población municipal;132709.0;A
2021;4306;2402;3690;53585;Población municipal;36151.0;A
2021;4306;2402;3690;53586;Población municipal;37917.0;A
2021;4306;2402;3690;53587;Población municipal;37755.0;A
2021;4306;2482;3691;53588;Población municipal;776789.0;A
2021;4306;2482;3691;53583;Población municipal;540260.0;A
