D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;2387;3689;Población municipal;32.0;A
2021;54887;2387;3690;Población municipal;51.0;A
2021;54887;2388;3691;Población municipal;2007.0;A
2021;54887;2388;3689;Población municipal;1002.0;A
2021;54887;2388;3690;Población municipal;1005.0;A
2021;54887;2389;3691;Población municipal;12.0;A
2021;54887;2389;3689;Población municipal;2.0;A
2021;54887;2389;3690;Población municipal;10.0;A
2021;54887;2390;3691;Población municipal;235.0;A
2021;54887;2390;3689;Población municipal;105.0;A
2021;54887;2390;3690;Población municipal;130.0;A
2021;54887;2391;3691;Población municipal;465.0;A
2021;54887;2391;3689;Población municipal;207.0;A
2021;54887;2391;3690;Población municipal;258.0;A
2021;54887;2392;3691;Población municipal;595.0;A
2021;54887;2392;3689;Población municipal;261.0;A
2021;54887;2392;3690;Población municipal;334.0;A
2021;54887;2393;3691;Población municipal;5.0;A
2021;54887;2393;3689;Población municipal;2.0;A
2021;54887;2393;3690;Población municipal;3.0;A
2021;54887;2394;3691;Población municipal;297.0;A
2021;54887;2394;3689;Población municipal;133.0;A
2021;54887;2394;3690;Población municipal;164.0;A
2021;54887;2395;3691;Población municipal;65.0;A
2021;54887;2395;3689;Población municipal;30.0;A
2021;54887;2395;3690;Población municipal;35.0;A
2021;54887;2482;3691;Población municipal;31633.0;A
2021;54887;2482;3689;Población municipal;14213.0;A
2021;54887;2482;3690;Población municipal;17420.0;A
2021;54887;2403;3691;Población municipal;107.0;A
2021;54887;2403;3689;Población municipal;53.0;A
2021;54887;2403;3690;Población municipal;54.0;A
2021;54887;2404;3691;Población municipal;348.0;A
2021;54887;2404;3689;Población municipal;169.0;A
2021;54887;2404;3690;Población municipal;179.0;A
2021;54887;2405;3691;Población municipal;50.0;A
2021;54887;2405;3689;Población municipal;26.0;A
2021;54887;2405;3690;Población municipal;24.0;A
2021;54887;2406;3691;Población municipal;127.0;A
2021;54887;2406;3689;Población municipal;75.0;A
2021;54887;2406;3690;Población municipal;52.0;A
2021;54887;2407;3691;Población municipal;219.0;A
2021;54887;2407;3689;Población municipal;95.0;A
2021;54887;2407;3690;Población municipal;124.0;A
2021;54887;2408;3691;Población municipal;30.0;A
2021;54887;2408;3689;Población municipal;11.0;A
