D_TEMPORAL_0;D_NACIONALIDAD_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2011;4780;2352;3689;4209;Población municipal;8082.0;A
2011;4780;2352;3689;4216;Población municipal;5412.0;A
2011;4780;2352;3689;4222;Población municipal;3869.0;A
2011;4780;2352;3689;4228;Población municipal;2867.0;A
2011;4780;2352;3689;4234;Población municipal;2779.0;A
2011;4780;2352;3689;4241;Población municipal;2463.0;A
2011;4780;2352;3689;4247;Población municipal;1697.0;A
2011;4780;2352;3689;4253;Población municipal;769.0;A
2011;4780;2352;3689;4259;Población municipal;341.0;A
2011;4780;2352;3689;4265;Población municipal;142.0;A
2011;4780;2352;3689;4271;Población municipal;37.0;A
2011;4780;2352;3689;4277;Población municipal;7.0;A
2011;4780;2352;3690;4306;Población municipal;66257.0;A
2011;4780;2352;3690;4159;Población municipal;4593.0;A
2011;4780;2352;3690;4165;Población municipal;3398.0;A
2011;4780;2352;3690;4171;Población municipal;3500.0;A
2011;4780;2352;3690;4178;Población municipal;3649.0;A
2011;4780;2352;3690;4184;Población municipal;5398.0;A
2011;4780;2352;3690;4190;Población municipal;7821.0;A
2011;4780;2352;3690;4197;Población municipal;8678.0;A
2011;4780;2352;3690;4203;Población municipal;6879.0;A
2011;4780;2352;3690;4209;Población municipal;5316.0;A
2011;4780;2352;3690;4216;Población municipal;3800.0;A
2011;4780;2352;3690;4222;Población municipal;3081.0;A
2011;4780;2352;3690;4228;Población municipal;2653.0;A
2011;4780;2352;3690;4234;Población municipal;2916.0;A
2011;4780;2352;3690;4241;Población municipal;2221.0;A
2011;4780;2352;3690;4247;Población municipal;1274.0;A
2011;4780;2352;3690;4253;Población municipal;603.0;A
2011;4780;2352;3690;4259;Población municipal;296.0;A
2011;4780;2352;3690;4265;Población municipal;127.0;A
2011;4780;2352;3690;4271;Población municipal;39.0;A
2011;4780;2352;3690;4277;Población municipal;14.0;A
2011;4780;2352;3690;4304;Población municipal;1.0;A
2011;4780;2402;3691;4306;Población municipal;50374.0;A
2011;4780;2402;3691;4159;Población municipal;2075.0;A
2011;4780;2402;3691;4165;Población municipal;2347.0;A
2011;4780;2402;3691;4171;Población municipal;2659.0;A
2011;4780;2402;3691;4178;Población municipal;2626.0;A
2011;4780;2402;3691;4184;Población municipal;3395.0;A
2011;4780;2402;3691;4190;Población municipal;5459.0;A
2011;4780;2402;3691;4197;Población municipal;6349.0;A
2011;4780;2402;3691;4203;Población municipal;5904.0;A
2011;4780;2402;3691;4209;Población municipal;5151.0;A
2011;4780;2402;3691;4216;Población municipal;3937.0;A
2011;4780;2402;3691;4222;Población municipal;3007.0;A
