D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;3143;3691;Población municipal;894903.0;A
2021;54887;3143;3689;Población municipal;438387.0;A
2021;54887;3143;3690;Población municipal;456516.0;A
2021;54887;2352;3691;Población municipal;162756.0;A
2021;54887;2352;3689;Población municipal;90249.0;A
2021;54887;2352;3690;Población municipal;72507.0;A
2021;54887;2241;3691;Población municipal;126.0;A
2021;54887;2241;3689;Población municipal;62.0;A
2021;54887;2241;3690;Población municipal;64.0;A
2021;54887;2242;3691;Población municipal;113.0;A
2021;54887;2242;3689;Población municipal;64.0;A
2021;54887;2242;3690;Población municipal;49.0;A
2021;54887;2243;3691;Población municipal;3666.0;A
2021;54887;2243;3689;Población municipal;2164.0;A
2021;54887;2243;3690;Población municipal;1502.0;A
2021;54887;2244;3691;Población municipal;268.0;A
2021;54887;2244;3689;Población municipal;132.0;A
2021;54887;2244;3690;Población municipal;136.0;A
2021;54887;2245;3691;Población municipal;28.0;A
2021;54887;2245;3689;Población municipal;11.0;A
2021;54887;2245;3690;Población municipal;17.0;A
2021;54887;2246;3691;Población municipal;3757.0;A
2021;54887;2246;3689;Población municipal;2021.0;A
2021;54887;2246;3690;Población municipal;1736.0;A
2021;54887;2247;3691;Población municipal;33.0;A
2021;54887;2247;3689;Población municipal;10.0;A
2021;54887;2247;3690;Población municipal;23.0;A
2021;54887;2248;3691;Población municipal;60.0;A
2021;54887;2248;3689;Población municipal;33.0;A
2021;54887;2248;3690;Población municipal;27.0;A
2021;54887;2249;3691;Población municipal;12.0;A
2021;54887;2249;3689;Población municipal;6.0;A
2021;54887;2249;3690;Población municipal;6.0;A
2021;54887;2250;3691;Población municipal;35.0;A
2021;54887;2250;3689;Población municipal;19.0;A
2021;54887;2250;3690;Población municipal;16.0;A
2021;54887;2251;3691;Población municipal;390.0;A
2021;54887;2251;3689;Población municipal;212.0;A
2021;54887;2251;3690;Población municipal;178.0;A
2021;54887;2252;3691;Población municipal;3.0;A
2021;54887;2252;3689;Población municipal;2.0;A
2021;54887;2252;3690;Población municipal;1.0;A
2021;54887;2253;3691;Población municipal;27899.0;A
2021;54887;2253;3689;Población municipal;14811.0;A
2021;54887;2253;3690;Población municipal;13088.0;A
2021;54887;2254;3691;Población municipal;24.0;A
2021;54887;2254;3689;Población municipal;12.0;A
2021;54887;2254;3690;Población municipal;12.0;A
2021;54887;2255;3691;Población municipal;10.0;A
2021;54887;2255;3689;Población municipal;5.0;A
2021;54887;2255;3690;Población municipal;5.0;A
2021;54887;2256;3691;Población municipal;833.0;A
2021;54887;2256;3689;Población municipal;489.0;A
2021;54887;2256;3690;Población municipal;344.0;A
2021;54887;2257;3691;Población municipal;3241.0;A
2021;54887;2257;3689;Población municipal;1618.0;A
2021;54887;2257;3690;Población municipal;1623.0;A
