D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_LUG_NAC_PADRON_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;3143;54888;3691;Población municipal;8472407.0;A
2021;4306;3143;54888;3689;Población municipal;4173339.0;A
2021;4306;3143;54888;3690;Población municipal;4299068.0;A
2021;4306;3143;53700;3691;Población municipal;7577504.0;A
2021;4306;3143;53700;3689;Población municipal;3734952.0;A
2021;4306;3143;53700;3690;Población municipal;3842552.0;A
2021;4306;3143;54560;3691;Población municipal;7038618.0;A
2021;4306;3143;54560;3689;Población municipal;3477729.0;A
2021;4306;3143;54560;3690;Población municipal;3560889.0;A
2021;4306;3143;53809;3691;Población municipal;487860.0;A
2021;4306;3143;53809;3689;Población municipal;242918.0;A
2021;4306;3143;53809;3690;Población municipal;244942.0;A
2021;4306;3143;53855;3691;Población municipal;1123392.0;A
2021;4306;3143;53855;3689;Población municipal;554609.0;A
2021;4306;3143;53855;3690;Población municipal;568783.0;A
2021;4306;3143;53933;3691;Población municipal;746724.0;A
2021;4306;3143;53933;3689;Población municipal;367088.0;A
2021;4306;3143;53933;3690;Población municipal;379636.0;A
2021;4306;3143;54155;3691;Población municipal;802536.0;A
2021;4306;3143;54155;3689;Población municipal;395676.0;A
2021;4306;3143;54155;3690;Población municipal;406860.0;A
2021;4306;3143;54236;3691;Población municipal;449044.0;A
2021;4306;3143;54236;3689;Población municipal;220966.0;A
2021;4306;3143;54236;3690;Población municipal;228078.0;A
2021;4306;3143;54344;3691;Población municipal;619582.0;A
2021;4306;3143;54344;3689;Población municipal;305030.0;A
2021;4306;3143;54344;3690;Población municipal;314552.0;A
2021;4306;3143;54452;3691;Población municipal;1130664.0;A
2021;4306;3143;54452;3689;Población municipal;560860.0;A
2021;4306;3143;54452;3690;Población municipal;569804.0;A
2021;4306;3143;54559;3691;Población municipal;1678816.0;A
2021;4306;3143;54559;3689;Población municipal;830582.0;A
2021;4306;3143;54559;3690;Población municipal;848234.0;A
2021;4306;3143;54565;3691;Población municipal;538886.0;A
2021;4306;3143;54565;3689;Población municipal;257223.0;A
2021;4306;3143;54565;3690;Población municipal;281663.0;A
2021;4306;3143;54887;3691;Población municipal;894903.0;A
2021;4306;3143;54887;3689;Población municipal;438387.0;A
2021;4306;3143;54887;3690;Población municipal;456516.0;A
2021;4306;2352;54888;3691;Población municipal;731792.0;A
2021;4306;2352;54888;3689;Población municipal;373136.0;A
2021;4306;2352;54888;3690;Población municipal;358656.0;A
2021;4306;2352;53700;3691;Población municipal;569036.0;A
2021;4306;2352;53700;3689;Población municipal;282887.0;A
2021;4306;2352;53700;3690;Población municipal;286149.0;A
2021;4306;2352;54560;3691;Población municipal;520168.0;A
2021;4306;2352;54560;3689;Población municipal;258968.0;A
2021;4306;2352;54560;3690;Población municipal;261200.0;A
2021;4306;2352;53809;3691;Población municipal;464883.0;A
2021;4306;2352;53809;3689;Población municipal;232211.0;A
2021;4306;2352;53809;3690;Población municipal;232672.0;A
2021;4306;2352;53855;3691;Población municipal;2371.0;A
2021;4306;2352;53855;3689;Población municipal;1183.0;A
2021;4306;2352;53855;3690;Población municipal;1188.0;A
2021;4306;2352;53933;3691;Población municipal;3261.0;A
2021;4306;2352;53933;3689;Población municipal;1628.0;A
2021;4306;2352;53933;3690;Población municipal;1633.0;A
2021;4306;2352;54155;3691;Población municipal;34670.0;A
2021;4306;2352;54155;3689;Población municipal;16578.0;A
2021;4306;2352;54155;3690;Población municipal;18092.0;A
2021;4306;2352;54236;3691;Población municipal;673.0;A
2021;4306;2352;54236;3689;Población municipal;319.0;A
2021;4306;2352;54236;3690;Población municipal;354.0;A
2021;4306;2352;54344;3691;Población municipal;7453.0;A
2021;4306;2352;54344;3689;Población municipal;3559.0;A
2021;4306;2352;54344;3690;Población municipal;3894.0;A
2021;4306;2352;54452;3691;Población municipal;3660.0;A
2021;4306;2352;54452;3689;Población municipal;1851.0;A
2021;4306;2352;54452;3690;Población municipal;1809.0;A
2021;4306;2352;54559;3691;Población municipal;3197.0;A
2021;4306;2352;54559;3689;Población municipal;1639.0;A
2021;4306;2352;54559;3690;Población municipal;1558.0;A
2021;4306;2352;54565;3691;Población municipal;48868.0;A
2021;4306;2352;54565;3689;Población municipal;23919.0;A
2021;4306;2352;54565;3690;Población municipal;24949.0;A
2021;4306;2352;54887;3691;Población municipal;162756.0;A
2021;4306;2352;54887;3689;Población municipal;90249.0;A
2021;4306;2352;54887;3690;Población municipal;72507.0;A
2021;4306;2241;54888;3691;Población municipal;1258.0;A
2021;4306;2241;54888;3689;Población municipal;646.0;A
2021;4306;2241;54888;3690;Población municipal;612.0;A
2021;4306;2241;53700;3691;Población municipal;1132.0;A
2021;4306;2241;53700;3689;Población municipal;584.0;A
2021;4306;2241;53700;3690;Población municipal;548.0;A
2021;4306;2241;54560;3691;Población municipal;1051.0;A
2021;4306;2241;54560;3689;Población municipal;550.0;A
2021;4306;2241;54560;3690;Población municipal;501.0;A
2021;4306;2241;53809;3691;Población municipal;1004.0;A
2021;4306;2241;53809;3689;Población municipal;529.0;A
2021;4306;2241;53809;3690;Población municipal;475.0;A
2021;4306;2241;53855;3691;Población municipal;1.0;A
2021;4306;2241;53855;3690;Población municipal;1.0;A
2021;4306;2241;53933;3691;Población municipal;5.0;A
2021;4306;2241;53933;3689;Población municipal;3.0;A
2021;4306;2241;53933;3690;Población municipal;2.0;A
2021;4306;2241;54155;3691;Población municipal;26.0;A
2021;4306;2241;54155;3689;Población municipal;8.0;A
2021;4306;2241;54155;3690;Población municipal;18.0;A
2021;4306;2241;54236;3691;Población municipal;1.0;A
2021;4306;2241;54236;3689;Población municipal;1.0;A
2021;4306;2241;54344;3691;Población municipal;8.0;A
2021;4306;2241;54344;3689;Población municipal;5.0;A
2021;4306;2241;54344;3690;Población municipal;3.0;A
2021;4306;2241;54452;3691;Población municipal;6.0;A
2021;4306;2241;54452;3689;Población municipal;4.0;A
2021;4306;2241;54452;3690;Población municipal;2.0;A
2021;4306;2241;54565;3691;Población municipal;81.0;A
2021;4306;2241;54565;3689;Población municipal;34.0;A
2021;4306;2241;54565;3690;Población municipal;47.0;A
2021;4306;2241;54887;3691;Población municipal;126.0;A
2021;4306;2241;54887;3689;Población municipal;62.0;A
2021;4306;2241;54887;3690;Población municipal;64.0;A
2021;4306;2242;54888;3691;Población municipal;1208.0;A
2021;4306;2242;54888;3689;Población municipal;639.0;A
2021;4306;2242;54888;3690;Población municipal;569.0;A
2021;4306;2242;53700;3691;Población municipal;1095.0;A
2021;4306;2242;53700;3689;Población municipal;575.0;A
2021;4306;2242;53700;3690;Población municipal;520.0;A
2021;4306;2242;54560;3691;Población municipal;1036.0;A
2021;4306;2242;54560;3689;Población municipal;543.0;A
2021;4306;2242;54560;3690;Población municipal;493.0;A
2021;4306;2242;53809;3691;Población municipal;995.0;A
2021;4306;2242;53809;3689;Población municipal;524.0;A
2021;4306;2242;53809;3690;Población municipal;471.0;A
2021;4306;2242;53855;3691;Población municipal;1.0;A
2021;4306;2242;53855;3690;Población municipal;1.0;A
2021;4306;2242;53933;3691;Población municipal;1.0;A
2021;4306;2242;53933;3690;Población municipal;1.0;A
2021;4306;2242;54155;3691;Población municipal;32.0;A
2021;4306;2242;54155;3689;Población municipal;14.0;A
2021;4306;2242;54155;3690;Población municipal;18.0;A
2021;4306;2242;54344;3691;Población municipal;2.0;A
2021;4306;2242;54344;3689;Población municipal;2.0;A
2021;4306;2242;54452;3691;Población municipal;2.0;A
2021;4306;2242;54452;3689;Población municipal;2.0;A
2021;4306;2242;54559;3691;Población municipal;3.0;A
2021;4306;2242;54559;3689;Población municipal;1.0;A
2021;4306;2242;54559;3690;Población municipal;2.0;A
2021;4306;2242;54565;3691;Población municipal;59.0;A
2021;4306;2242;54565;3689;Población municipal;32.0;A
2021;4306;2242;54565;3690;Población municipal;27.0;A
2021;4306;2242;54887;3691;Población municipal;113.0;A
2021;4306;2242;54887;3689;Población municipal;64.0;A
2021;4306;2242;54887;3690;Población municipal;49.0;A
2021;4306;2243;54888;3691;Población municipal;25501.0;A
2021;4306;2243;54888;3689;Población municipal;13058.0;A
2021;4306;2243;54888;3690;Población municipal;12443.0;A
2021;4306;2243;53700;3691;Población municipal;21835.0;A
2021;4306;2243;53700;3689;Población municipal;10894.0;A
2021;4306;2243;53700;3690;Población municipal;10941.0;A
2021;4306;2243;54560;3691;Población municipal;20921.0;A
2021;4306;2243;54560;3689;Población municipal;10459.0;A
2021;4306;2243;54560;3690;Población municipal;10462.0;A
2021;4306;2243;53809;3691;Población municipal;19047.0;A
2021;4306;2243;53809;3689;Población municipal;9542.0;A
2021;4306;2243;53809;3690;Población municipal;9505.0;A
2021;4306;2243;53855;3691;Población municipal;59.0;A
2021;4306;2243;53855;3689;Población municipal;30.0;A
2021;4306;2243;53855;3690;Población municipal;29.0;A
2021;4306;2243;53933;3691;Población municipal;62.0;A
2021;4306;2243;53933;3689;Población municipal;29.0;A
2021;4306;2243;53933;3690;Población municipal;33.0;A
2021;4306;2243;54155;3691;Población municipal;1474.0;A
2021;4306;2243;54155;3689;Población municipal;727.0;A
2021;4306;2243;54155;3690;Población municipal;747.0;A
2021;4306;2243;54236;3691;Población municipal;23.0;A
2021;4306;2243;54236;3689;Población municipal;10.0;A
2021;4306;2243;54236;3690;Población municipal;13.0;A
2021;4306;2243;54344;3691;Población municipal;109.0;A
2021;4306;2243;54344;3689;Población municipal;40.0;A
2021;4306;2243;54344;3690;Población municipal;69.0;A
2021;4306;2243;54452;3691;Población municipal;90.0;A
2021;4306;2243;54452;3689;Población municipal;49.0;A
2021;4306;2243;54452;3690;Población municipal;41.0;A
2021;4306;2243;54559;3691;Población municipal;57.0;A
2021;4306;2243;54559;3689;Población municipal;32.0;A
2021;4306;2243;54559;3690;Población municipal;25.0;A
2021;4306;2243;54565;3691;Población municipal;914.0;A
2021;4306;2243;54565;3689;Población municipal;435.0;A
2021;4306;2243;54565;3690;Población municipal;479.0;A
2021;4306;2243;54887;3691;Población municipal;3666.0;A
2021;4306;2243;54887;3689;Población municipal;2164.0;A
2021;4306;2243;54887;3690;Población municipal;1502.0;A
2021;4306;2244;54888;3691;Población municipal;726.0;A
2021;4306;2244;54888;3689;Población municipal;379.0;A
2021;4306;2244;54888;3690;Población municipal;347.0;A
2021;4306;2244;53700;3691;Población municipal;458.0;A
2021;4306;2244;53700;3689;Población municipal;247.0;A
2021;4306;2244;53700;3690;Población municipal;211.0;A
2021;4306;2244;54560;3691;Población municipal;411.0;A
2021;4306;2244;54560;3689;Población municipal;221.0;A
2021;4306;2244;54560;3690;Población municipal;190.0;A
2021;4306;2244;53809;3691;Población municipal;400.0;A
2021;4306;2244;53809;3689;Población municipal;215.0;A
2021;4306;2244;53809;3690;Población municipal;185.0;A
2021;4306;2244;53855;3691;Población municipal;1.0;A
2021;4306;2244;53855;3690;Población municipal;1.0;A
2021;4306;2244;53933;3691;Población municipal;1.0;A
