D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_LUG_NAC_PADRON_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;2911;54888;3691;Población municipal;627190.0;A
2021;4306;2911;54888;3689;Población municipal;310323.0;A
2021;4306;2911;54888;3690;Población municipal;316867.0;A
2021;4306;2911;53700;3691;Población municipal;603986.0;A
2021;4306;2911;53700;3689;Población municipal;298559.0;A
2021;4306;2911;53700;3690;Población municipal;305427.0;A
2021;4306;2911;54560;3691;Población municipal;569950.0;A
2021;4306;2911;54560;3689;Población municipal;282479.0;A
2021;4306;2911;54560;3690;Población municipal;287471.0;A
2021;4306;2911;53809;3691;Población municipal;1436.0;A
2021;4306;2911;53809;3689;Población municipal;689.0;A
2021;4306;2911;53809;3690;Población municipal;747.0;A
2021;4306;2911;53855;3691;Población municipal;1531.0;A
2021;4306;2911;53855;3689;Población municipal;764.0;A
2021;4306;2911;53855;3690;Población municipal;767.0;A
2021;4306;2911;53933;3691;Población municipal;7780.0;A
2021;4306;2911;53933;3689;Población municipal;3556.0;A
2021;4306;2911;53933;3690;Población municipal;4224.0;A
2021;4306;2911;54155;3691;Población municipal;10322.0;A
2021;4306;2911;54155;3689;Población municipal;4922.0;A
2021;4306;2911;54155;3690;Población municipal;5400.0;A
2021;4306;2911;54236;3691;Población municipal;520.0;A
2021;4306;2911;54236;3689;Población municipal;253.0;A
2021;4306;2911;54236;3690;Población municipal;267.0;A
2021;4306;2911;54344;3691;Población municipal;543699.0;A
2021;4306;2911;54344;3689;Población municipal;270069.0;A
2021;4306;2911;54344;3690;Población municipal;273630.0;A
2021;4306;2911;54452;3691;Población municipal;1928.0;A
2021;4306;2911;54452;3689;Población municipal;930.0;A
2021;4306;2911;54452;3690;Población municipal;998.0;A
2021;4306;2911;54559;3691;Población municipal;2734.0;A
2021;4306;2911;54559;3689;Población municipal;1296.0;A
2021;4306;2911;54559;3690;Población municipal;1438.0;A
2021;4306;2911;54565;3691;Población municipal;34036.0;A
2021;4306;2911;54565;3689;Población municipal;16080.0;A
2021;4306;2911;54565;3690;Población municipal;17956.0;A
2021;4306;2911;54887;3691;Población municipal;23204.0;A
2021;4306;2911;54887;3689;Población municipal;11764.0;A
2021;4306;2911;54887;3690;Población municipal;11440.0;A
2021;4306;2798;54888;3691;Población municipal;992.0;A
2021;4306;2798;54888;3689;Población municipal;519.0;A
2021;4306;2798;54888;3690;Población municipal;473.0;A
2021;4306;2798;53700;3691;Población municipal;964.0;A
2021;4306;2798;53700;3689;Población municipal;501.0;A
2021;4306;2798;53700;3690;Población municipal;463.0;A
2021;4306;2798;54560;3691;Población municipal;919.0;A
2021;4306;2798;54560;3689;Población municipal;480.0;A
2021;4306;2798;54560;3690;Población municipal;439.0;A
2021;4306;2798;53933;3691;Población municipal;1.0;A
2021;4306;2798;53933;3690;Población municipal;1.0;A
2021;4306;2798;54155;3691;Población municipal;8.0;A
2021;4306;2798;54155;3689;Población municipal;2.0;A
2021;4306;2798;54155;3690;Población municipal;6.0;A
