D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2001;4306;3143;3691;53588;Población municipal;7403967.9724804;A
2001;4306;3143;3691;53583;Población municipal;4380206.0763633;A
2001;4306;3143;3691;53584;Población municipal;1769434.585862;A
2001;4306;3143;3691;53585;Población municipal;535427.2526284;A
2001;4306;3143;3691;53586;Población municipal;462489.2390998;A
2001;4306;3143;3691;53587;Población municipal;252417.8185269;A
2001;4306;3143;3691;53589;Población municipal;3993.0;A
2001;4306;3143;3689;53588;Población municipal;3647193.9860618;A
2001;4306;3143;3689;53583;Población municipal;2188673.8455279;A
2001;4306;3143;3689;53584;Población municipal;856448.7520939;A
2001;4306;3143;3689;53585;Población municipal;249490.2324061;A
2001;4306;3143;3689;53586;Población municipal;219886.5485439;A
2001;4306;3143;3689;53587;Población municipal;130686.60749;A
2001;4306;3143;3689;53589;Población municipal;2008.0;A
2001;4306;3143;3690;53588;Población municipal;3756773.9864186;A
2001;4306;3143;3690;53583;Población municipal;2191532.2308354;A
2001;4306;3143;3690;53584;Población municipal;912985.8337681;A
2001;4306;3143;3690;53585;Población municipal;285937.0202223;A
2001;4306;3143;3690;53586;Población municipal;242602.6905559;A
2001;4306;3143;3690;53587;Población municipal;121731.2110369;A
2001;4306;3143;3690;53589;Población municipal;1985.0;A
2001;4306;2352;3691;53588;Población municipal;533167.9965793;A
2001;4306;2352;3691;53583;Población municipal;252308.0701367;A
2001;4306;2352;3691;53584;Población municipal;155176.6834642;A
2001;4306;2352;3691;53585;Población municipal;50585.6736916;A
2001;4306;2352;3691;53586;Población municipal;38035.9362889;A
2001;4306;2352;3691;53587;Población municipal;37061.6329979;A
2001;4306;2352;3689;53588;Población municipal;269544.9982954;A
2001;4306;2352;3689;53583;Población municipal;126544.5706593;A
2001;4306;2352;3689;53584;Población municipal;76013.6827819;A
2001;4306;2352;3689;53585;Población municipal;24748.3849143;A
2001;4306;2352;3689;53586;Población municipal;18508.3571581;A
2001;4306;2352;3689;53587;Población municipal;23730.0027818;A
2001;4306;2352;3690;53588;Población municipal;263622.9982839;A
2001;4306;2352;3690;53583;Población municipal;125763.4994774;A
2001;4306;2352;3690;53584;Población municipal;79163.0006823;A
2001;4306;2352;3690;53585;Población municipal;25837.2887773;A
2001;4306;2352;3690;53586;Población municipal;19527.5791308;A
2001;4306;2352;3690;53587;Población municipal;13331.6302161;A
2001;4306;2402;3691;53588;Población municipal;1131345.9962465;A
2001;4306;2402;3691;53583;Población municipal;721338.9548538;A
2001;4306;2402;3691;53584;Población municipal;255107.937562;A
2001;4306;2402;3691;53585;Población municipal;68119.0560652;A
2001;4306;2402;3691;53586;Población municipal;62432.0372945;A
2001;4306;2402;3691;53587;Población municipal;24348.010471;A
2001;4306;2402;3689;53588;Población municipal;561329.9982323;A
2001;4306;2402;3689;53583;Población municipal;361719.7535541;A
2001;4306;2402;3689;53584;Población municipal;124135.251011;A
2001;4306;2402;3689;53585;Población municipal;31999.5793115;A
2001;4306;2402;3689;53586;Población municipal;31094.2635456;A
