D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_LUG_NAC_PADRON_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;2485;54560;3689;Población municipal;8170.0;A
2021;4306;2485;54560;3690;Población municipal;8277.0;A
2021;4306;2485;53809;3691;Población municipal;167.0;A
2021;4306;2485;53809;3689;Población municipal;77.0;A
2021;4306;2485;53809;3690;Población municipal;90.0;A
2021;4306;2485;53855;3691;Población municipal;117.0;A
2021;4306;2485;53855;3689;Población municipal;51.0;A
2021;4306;2485;53855;3690;Población municipal;66.0;A
2021;4306;2485;53933;3691;Población municipal;206.0;A
2021;4306;2485;53933;3689;Población municipal;99.0;A
2021;4306;2485;53933;3690;Población municipal;107.0;A
2021;4306;2485;54155;3691;Población municipal;14946.0;A
2021;4306;2485;54155;3689;Población municipal;7460.0;A
2021;4306;2485;54155;3690;Población municipal;7486.0;A
2021;4306;2485;54236;3691;Población municipal;28.0;A
2021;4306;2485;54236;3689;Población municipal;17.0;A
2021;4306;2485;54236;3690;Población municipal;11.0;A
2021;4306;2485;54344;3691;Población municipal;601.0;A
2021;4306;2485;54344;3689;Población municipal;277.0;A
2021;4306;2485;54344;3690;Población municipal;324.0;A
2021;4306;2485;54452;3691;Población municipal;224.0;A
2021;4306;2485;54452;3689;Población municipal;108.0;A
2021;4306;2485;54452;3690;Población municipal;116.0;A
2021;4306;2485;54559;3691;Población municipal;158.0;A
2021;4306;2485;54559;3689;Población municipal;81.0;A
2021;4306;2485;54559;3690;Población municipal;77.0;A
2021;4306;2485;54565;3691;Población municipal;1350.0;A
2021;4306;2485;54565;3689;Población municipal;656.0;A
2021;4306;2485;54565;3690;Población municipal;694.0;A
2021;4306;2485;54887;3691;Población municipal;1331.0;A
2021;4306;2485;54887;3689;Población municipal;602.0;A
2021;4306;2485;54887;3690;Población municipal;729.0;A
2021;4306;2486;54888;3691;Población municipal;722.0;A
2021;4306;2486;54888;3689;Población municipal;398.0;A
2021;4306;2486;54888;3690;Población municipal;324.0;A
2021;4306;2486;53700;3691;Población municipal;655.0;A
2021;4306;2486;53700;3689;Población municipal;367.0;A
2021;4306;2486;53700;3690;Población municipal;288.0;A
2021;4306;2486;54560;3691;Población municipal;633.0;A
2021;4306;2486;54560;3689;Población municipal;351.0;A
2021;4306;2486;54560;3690;Población municipal;282.0;A
2021;4306;2486;53809;3691;Población municipal;30.0;A
2021;4306;2486;53809;3689;Población municipal;17.0;A
2021;4306;2486;53809;3690;Población municipal;13.0;A
2021;4306;2486;53933;3691;Población municipal;2.0;A
2021;4306;2486;53933;3689;Población municipal;2.0;A
2021;4306;2486;54155;3691;Población municipal;590.0;A
2021;4306;2486;54155;3689;Población municipal;327.0;A
2021;4306;2486;54155;3690;Población municipal;263.0;A
2021;4306;2486;54344;3691;Población municipal;1.0;A
2021;4306;2486;54344;3689;Población municipal;1.0;A
2021;4306;2486;54452;3691;Población municipal;5.0;A
2021;4306;2486;54452;3689;Población municipal;4.0;A
2021;4306;2486;54452;3690;Población municipal;1.0;A
2021;4306;2486;54559;3691;Población municipal;5.0;A
2021;4306;2486;54559;3690;Población municipal;5.0;A
2021;4306;2486;54565;3691;Población municipal;22.0;A
2021;4306;2486;54565;3689;Población municipal;16.0;A
2021;4306;2486;54565;3690;Población municipal;6.0;A
2021;4306;2486;54887;3691;Población municipal;67.0;A
2021;4306;2486;54887;3689;Población municipal;31.0;A
2021;4306;2486;54887;3690;Población municipal;36.0;A
2021;4306;2487;54888;3691;Población municipal;403.0;A
2021;4306;2487;54888;3689;Población municipal;208.0;A
2021;4306;2487;54888;3690;Población municipal;195.0;A
2021;4306;2487;53700;3691;Población municipal;387.0;A
2021;4306;2487;53700;3689;Población municipal;203.0;A
2021;4306;2487;53700;3690;Población municipal;184.0;A
2021;4306;2487;54560;3691;Población municipal;347.0;A
2021;4306;2487;54560;3689;Población municipal;178.0;A
2021;4306;2487;54560;3690;Población municipal;169.0;A
2021;4306;2487;53809;3691;Población municipal;10.0;A
2021;4306;2487;53809;3689;Población municipal;6.0;A
2021;4306;2487;53809;3690;Población municipal;4.0;A
2021;4306;2487;54155;3691;Población municipal;332.0;A
2021;4306;2487;54155;3689;Población municipal;170.0;A
2021;4306;2487;54155;3690;Población municipal;162.0;A
2021;4306;2487;54452;3691;Población municipal;4.0;A
2021;4306;2487;54452;3689;Población municipal;2.0;A
2021;4306;2487;54452;3690;Población municipal;2.0;A
2021;4306;2487;54559;3691;Población municipal;1.0;A
2021;4306;2487;54559;3690;Población municipal;1.0;A
2021;4306;2487;54565;3691;Población municipal;40.0;A
2021;4306;2487;54565;3689;Población municipal;25.0;A
2021;4306;2487;54565;3690;Población municipal;15.0;A
2021;4306;2487;54887;3691;Población municipal;16.0;A
2021;4306;2487;54887;3689;Población municipal;5.0;A
2021;4306;2487;54887;3690;Población municipal;11.0;A
2021;4306;2488;54888;3691;Población municipal;7473.0;A
2021;4306;2488;54888;3689;Población municipal;4135.0;A
2021;4306;2488;54888;3690;Población municipal;3338.0;A
2021;4306;2488;53700;3691;Población municipal;5221.0;A
2021;4306;2488;53700;3689;Población municipal;2629.0;A
2021;4306;2488;53700;3690;Población municipal;2592.0;A
2021;4306;2488;54560;3691;Población municipal;4994.0;A
2021;4306;2488;54560;3689;Población municipal;2518.0;A
2021;4306;2488;54560;3690;Población municipal;2476.0;A
2021;4306;2488;53809;3691;Población municipal;211.0;A
2021;4306;2488;53809;3689;Población municipal;105.0;A
2021;4306;2488;53809;3690;Población municipal;106.0;A
2021;4306;2488;53855;3691;Población municipal;5.0;A
2021;4306;2488;53855;3690;Población municipal;5.0;A
2021;4306;2488;53933;3691;Población municipal;8.0;A
2021;4306;2488;53933;3689;Población municipal;6.0;A
2021;4306;2488;53933;3690;Población municipal;2.0;A
2021;4306;2488;54155;3691;Población municipal;4712.0;A
2021;4306;2488;54155;3689;Población municipal;2375.0;A
2021;4306;2488;54155;3690;Población municipal;2337.0;A
2021;4306;2488;54236;3691;Población municipal;2.0;A
2021;4306;2488;54236;3689;Población municipal;1.0;A
2021;4306;2488;54236;3690;Población municipal;1.0;A
2021;4306;2488;54344;3691;Población municipal;16.0;A
2021;4306;2488;54344;3689;Población municipal;8.0;A
2021;4306;2488;54344;3690;Población municipal;8.0;A
2021;4306;2488;54452;3691;Población municipal;26.0;A
2021;4306;2488;54452;3689;Población municipal;12.0;A
2021;4306;2488;54452;3690;Población municipal;14.0;A
2021;4306;2488;54559;3691;Población municipal;14.0;A
2021;4306;2488;54559;3689;Población municipal;11.0;A
2021;4306;2488;54559;3690;Población municipal;3.0;A
2021;4306;2488;54565;3691;Población municipal;227.0;A
2021;4306;2488;54565;3689;Población municipal;111.0;A
2021;4306;2488;54565;3690;Población municipal;116.0;A
2021;4306;2488;54887;3691;Población municipal;2252.0;A
2021;4306;2488;54887;3689;Población municipal;1506.0;A
2021;4306;2488;54887;3690;Población municipal;746.0;A
2021;4306;2489;54888;3691;Población municipal;786.0;A
2021;4306;2489;54888;3689;Población municipal;386.0;A
2021;4306;2489;54888;3690;Población municipal;400.0;A
2021;4306;2489;53700;3691;Población municipal;753.0;A
2021;4306;2489;53700;3689;Población municipal;374.0;A
2021;4306;2489;53700;3690;Población municipal;379.0;A
2021;4306;2489;54560;3691;Población municipal;718.0;A
2021;4306;2489;54560;3689;Población municipal;355.0;A
2021;4306;2489;54560;3690;Población municipal;363.0;A
2021;4306;2489;53809;3691;Población municipal;1.0;A
2021;4306;2489;53809;3690;Población municipal;1.0;A
2021;4306;2489;53855;3691;Población municipal;3.0;A
2021;4306;2489;53855;3689;Población municipal;1.0;A
2021;4306;2489;53855;3690;Población municipal;2.0;A
2021;4306;2489;53933;3691;Población municipal;2.0;A
2021;4306;2489;53933;3690;Población municipal;2.0;A
2021;4306;2489;54155;3691;Población municipal;707.0;A
2021;4306;2489;54155;3689;Población municipal;353.0;A
2021;4306;2489;54155;3690;Población municipal;354.0;A
2021;4306;2489;54344;3691;Población municipal;2.0;A
2021;4306;2489;54344;3689;Población municipal;1.0;A
2021;4306;2489;54344;3690;Población municipal;1.0;A
2021;4306;2489;54452;3691;Población municipal;2.0;A
2021;4306;2489;54452;3690;Población municipal;2.0;A
2021;4306;2489;54559;3691;Población municipal;1.0;A
2021;4306;2489;54559;3690;Población municipal;1.0;A
2021;4306;2489;54565;3691;Población municipal;35.0;A
2021;4306;2489;54565;3689;Población municipal;19.0;A
2021;4306;2489;54565;3690;Población municipal;16.0;A
2021;4306;2489;54887;3691;Población municipal;33.0;A
2021;4306;2489;54887;3689;Población municipal;12.0;A
2021;4306;2489;54887;3690;Población municipal;21.0;A
2021;4306;2493;54888;3691;Población municipal;623.0;A
2021;4306;2493;54888;3689;Población municipal;322.0;A
2021;4306;2493;54888;3690;Población municipal;301.0;A
2021;4306;2493;53700;3691;Población municipal;590.0;A
2021;4306;2493;53700;3689;Población municipal;307.0;A
2021;4306;2493;53700;3690;Población municipal;283.0;A
2021;4306;2493;54560;3691;Población municipal;543.0;A
2021;4306;2493;54560;3689;Población municipal;286.0;A
2021;4306;2493;54560;3690;Población municipal;257.0;A
2021;4306;2493;53809;3691;Población municipal;19.0;A
2021;4306;2493;53809;3689;Población municipal;10.0;A
2021;4306;2493;53809;3690;Población municipal;9.0;A
2021;4306;2493;54155;3691;Población municipal;519.0;A
2021;4306;2493;54155;3689;Población municipal;275.0;A
2021;4306;2493;54155;3690;Población municipal;244.0;A
2021;4306;2493;54344;3691;Población municipal;1.0;A
2021;4306;2493;54344;3690;Población municipal;1.0;A
2021;4306;2493;54452;3691;Población municipal;4.0;A
2021;4306;2493;54452;3689;Población municipal;1.0;A
2021;4306;2493;54452;3690;Población municipal;3.0;A
2021;4306;2493;54565;3691;Población municipal;47.0;A
2021;4306;2493;54565;3689;Población municipal;21.0;A
2021;4306;2493;54565;3690;Población municipal;26.0;A
2021;4306;2493;54887;3691;Población municipal;33.0;A
2021;4306;2493;54887;3689;Población municipal;15.0;A
2021;4306;2493;54887;3690;Población municipal;18.0;A
2021;4306;2494;54888;3691;Población municipal;5497.0;A
2021;4306;2494;54888;3689;Población municipal;2808.0;A
2021;4306;2494;54888;3690;Población municipal;2689.0;A
2021;4306;2494;53700;3691;Población municipal;5198.0;A
2021;4306;2494;53700;3689;Población municipal;2671.0;A
2021;4306;2494;53700;3690;Población municipal;2527.0;A
2021;4306;2494;54560;3691;Población municipal;4931.0;A
2021;4306;2494;54560;3689;Población municipal;2534.0;A
2021;4306;2494;54560;3690;Población municipal;2397.0;A
2021;4306;2494;53809;3691;Población municipal;29.0;A
2021;4306;2494;53809;3689;Población municipal;14.0;A
2021;4306;2494;53809;3690;Población municipal;15.0;A
2021;4306;2494;53855;3691;Población municipal;21.0;A
2021;4306;2494;53855;3689;Población municipal;13.0;A
2021;4306;2494;53855;3690;Población municipal;8.0;A
2021;4306;2494;53933;3691;Población municipal;28.0;A
2021;4306;2494;53933;3689;Población municipal;10.0;A
2021;4306;2494;53933;3690;Población municipal;18.0;A
2021;4306;2494;54155;3691;Población municipal;4700.0;A
2021;4306;2494;54155;3689;Población municipal;2416.0;A
2021;4306;2494;54155;3690;Población municipal;2284.0;A
2021;4306;2494;54236;3691;Población municipal;9.0;A
2021;4306;2494;54236;3689;Población municipal;4.0;A
2021;4306;2494;54236;3690;Población municipal;5.0;A
2021;4306;2494;54344;3691;Población municipal;94.0;A
2021;4306;2494;54344;3689;Población municipal;48.0;A
2021;4306;2494;54344;3690;Población municipal;46.0;A
2021;4306;2494;54452;3691;Población municipal;27.0;A
2021;4306;2494;54452;3689;Población municipal;15.0;A
2021;4306;2494;54452;3690;Población municipal;12.0;A
2021;4306;2494;54559;3691;Población municipal;23.0;A
2021;4306;2494;54559;3689;Población municipal;14.0;A
2021;4306;2494;54559;3690;Población municipal;9.0;A
2021;4306;2494;54565;3691;Población municipal;267.0;A
2021;4306;2494;54565;3689;Población municipal;137.0;A
2021;4306;2494;54565;3690;Población municipal;130.0;A
2021;4306;2494;54887;3691;Población municipal;299.0;A
2021;4306;2494;54887;3689;Población municipal;137.0;A
2021;4306;2494;54887;3690;Población municipal;162.0;A
2021;4306;2495;54888;3691;Población municipal;2440.0;A
2021;4306;2495;54888;3689;Población municipal;1258.0;A
2021;4306;2495;54888;3690;Población municipal;1182.0;A
2021;4306;2495;53700;3691;Población municipal;2310.0;A
2021;4306;2495;53700;3689;Población municipal;1191.0;A
2021;4306;2495;53700;3690;Población municipal;1119.0;A
2021;4306;2495;54560;3691;Población municipal;2250.0;A
2021;4306;2495;54560;3689;Población municipal;1156.0;A
2021;4306;2495;54560;3690;Población municipal;1094.0;A
2021;4306;2495;53933;3691;Población municipal;150.0;A
2021;4306;2495;53933;3689;Población municipal;68.0;A
2021;4306;2495;53933;3690;Población municipal;82.0;A
2021;4306;2495;54155;3691;Población municipal;2073.0;A
2021;4306;2495;54155;3689;Población municipal;1079.0;A
2021;4306;2495;54155;3690;Población municipal;994.0;A
2021;4306;2495;54344;3691;Población municipal;3.0;A
2021;4306;2495;54344;3689;Población municipal;1.0;A
2021;4306;2495;54344;3690;Población municipal;2.0;A
2021;4306;2495;54452;3691;Población municipal;20.0;A
2021;4306;2495;54452;3689;Población municipal;6.0;A
2021;4306;2495;54452;3690;Población municipal;14.0;A
2021;4306;2495;54559;3691;Población municipal;4.0;A
2021;4306;2495;54559;3689;Población municipal;2.0;A
2021;4306;2495;54559;3690;Población municipal;2.0;A
2021;4306;2495;54565;3691;Población municipal;60.0;A
2021;4306;2495;54565;3689;Población municipal;35.0;A
2021;4306;2495;54565;3690;Población municipal;25.0;A
2021;4306;2495;54887;3691;Población municipal;130.0;A
2021;4306;2495;54887;3689;Población municipal;67.0;A
2021;4306;2495;54887;3690;Población municipal;63.0;A
2021;4306;2496;54888;3691;Población municipal;5667.0;A
2021;4306;2496;54888;3689;Población municipal;2994.0;A
2021;4306;2496;54888;3690;Población municipal;2673.0;A
2021;4306;2496;53700;3691;Población municipal;4722.0;A
2021;4306;2496;53700;3689;Población municipal;2399.0;A
2021;4306;2496;53700;3690;Población municipal;2323.0;A
2021;4306;2496;54560;3691;Población municipal;4557.0;A
2021;4306;2496;54560;3689;Población municipal;2317.0;A
2021;4306;2496;54560;3690;Población municipal;2240.0;A
2021;4306;2496;53809;3691;Población municipal;18.0;A
2021;4306;2496;53809;3689;Población municipal;10.0;A
2021;4306;2496;53809;3690;Población municipal;8.0;A
2021;4306;2496;53855;3691;Población municipal;4.0;A
2021;4306;2496;53855;3689;Población municipal;2.0;A
2021;4306;2496;53855;3690;Población municipal;2.0;A
2021;4306;2496;53933;3691;Población municipal;9.0;A
2021;4306;2496;53933;3689;Población municipal;3.0;A
2021;4306;2496;53933;3690;Población municipal;6.0;A
2021;4306;2496;54155;3691;Población municipal;4272.0;A
2021;4306;2496;54155;3689;Población municipal;2180.0;A
2021;4306;2496;54155;3690;Población municipal;2092.0;A
2021;4306;2496;54236;3691;Población municipal;4.0;A
2021;4306;2496;54236;3689;Población municipal;2.0;A
2021;4306;2496;54236;3690;Población municipal;2.0;A
2021;4306;2496;54344;3691;Población municipal;20.0;A
2021;4306;2496;54344;3689;Población municipal;10.0;A
2021;4306;2496;54344;3690;Población municipal;10.0;A
2021;4306;2496;54452;3691;Población municipal;223.0;A
2021;4306;2496;54452;3689;Población municipal;105.0;A
2021;4306;2496;54452;3690;Población municipal;118.0;A
2021;4306;2496;54559;3691;Población municipal;7.0;A
2021;4306;2496;54559;3689;Población municipal;5.0;A
2021;4306;2496;54559;3690;Población municipal;2.0;A
2021;4306;2496;54565;3691;Población municipal;165.0;A
2021;4306;2496;54565;3689;Población municipal;82.0;A
2021;4306;2496;54565;3690;Población municipal;83.0;A
2021;4306;2496;54887;3691;Población municipal;945.0;A
2021;4306;2496;54887;3689;Población municipal;595.0;A
2021;4306;2496;54887;3690;Población municipal;350.0;A
2021;4306;2497;54888;3691;Población municipal;9674.0;A
2021;4306;2497;54888;3689;Población municipal;4900.0;A
2021;4306;2497;54888;3690;Población municipal;4774.0;A
2021;4306;2497;53700;3691;Población municipal;8931.0;A
2021;4306;2497;53700;3689;Población municipal;4557.0;A
2021;4306;2497;53700;3690;Población municipal;4374.0;A
2021;4306;2497;54560;3691;Población municipal;8206.0;A
2021;4306;2497;54560;3689;Población municipal;4181.0;A
2021;4306;2497;54560;3690;Población municipal;4025.0;A
2021;4306;2497;53809;3691;Población municipal;90.0;A
2021;4306;2497;53809;3689;Población municipal;42.0;A
2021;4306;2497;53809;3690;Población municipal;48.0;A
2021;4306;2497;53855;3691;Población municipal;60.0;A
2021;4306;2497;53855;3689;Población municipal;28.0;A
2021;4306;2497;53855;3690;Población municipal;32.0;A
2021;4306;2497;53933;3691;Población municipal;54.0;A
2021;4306;2497;53933;3689;Población municipal;30.0;A
2021;4306;2497;53933;3690;Población municipal;24.0;A
2021;4306;2497;54155;3691;Población municipal;7631.0;A
2021;4306;2497;54155;3689;Población municipal;3905.0;A
2021;4306;2497;54155;3690;Población municipal;3726.0;A
2021;4306;2497;54236;3691;Población municipal;16.0;A
2021;4306;2497;54236;3689;Población municipal;8.0;A
2021;4306;2497;54236;3690;Población municipal;8.0;A
2021;4306;2497;54344;3691;Población municipal;186.0;A
2021;4306;2497;54344;3689;Población municipal;84.0;A
2021;4306;2497;54344;3690;Población municipal;102.0;A
2021;4306;2497;54452;3691;Población municipal;104.0;A
2021;4306;2497;54452;3689;Población municipal;52.0;A
2021;4306;2497;54452;3690;Población municipal;52.0;A
2021;4306;2497;54559;3691;Población municipal;65.0;A
2021;4306;2497;54559;3689;Población municipal;32.0;A
2021;4306;2497;54559;3690;Población municipal;33.0;A
2021;4306;2497;54565;3691;Población municipal;725.0;A
2021;4306;2497;54565;3689;Población municipal;376.0;A
2021;4306;2497;54565;3690;Población municipal;349.0;A
2021;4306;2497;54887;3691;Población municipal;743.0;A
2021;4306;2497;54887;3689;Población municipal;343.0;A
2021;4306;2497;54887;3690;Población municipal;400.0;A
2021;4306;2498;54888;3691;Población municipal;468.0;A
2021;4306;2498;54888;3689;Población municipal;233.0;A
2021;4306;2498;54888;3690;Población municipal;235.0;A
2021;4306;2498;53700;3691;Población municipal;463.0;A
2021;4306;2498;53700;3689;Población municipal;231.0;A
2021;4306;2498;53700;3690;Población municipal;232.0;A
2021;4306;2498;54560;3691;Población municipal;449.0;A
2021;4306;2498;54560;3689;Población municipal;221.0;A
2021;4306;2498;54560;3690;Población municipal;228.0;A
2021;4306;2498;53809;3691;Población municipal;4.0;A
2021;4306;2498;53809;3689;Población municipal;1.0;A
2021;4306;2498;53809;3690;Población municipal;3.0;A
2021;4306;2498;53933;3691;Población municipal;1.0;A
2021;4306;2498;53933;3690;Población municipal;1.0;A
2021;4306;2498;54155;3691;Población municipal;411.0;A
2021;4306;2498;54155;3689;Población municipal;210.0;A
2021;4306;2498;54155;3690;Población municipal;201.0;A
2021;4306;2498;54344;3691;Población municipal;32.0;A
2021;4306;2498;54344;3689;Población municipal;9.0;A
2021;4306;2498;54344;3690;Población municipal;23.0;A
2021;4306;2498;54452;3691;Población municipal;1.0;A
2021;4306;2498;54452;3689;Población municipal;1.0;A
2021;4306;2498;54565;3691;Población municipal;14.0;A
2021;4306;2498;54565;3689;Población municipal;10.0;A
2021;4306;2498;54565;3690;Población municipal;4.0;A
2021;4306;2498;54887;3691;Población municipal;5.0;A
2021;4306;2498;54887;3689;Población municipal;2.0;A
2021;4306;2498;54887;3690;Población municipal;3.0;A
2021;4306;2499;54888;3691;Población municipal;330.0;A
2021;4306;2499;54888;3689;Población municipal;161.0;A
2021;4306;2499;54888;3690;Población municipal;169.0;A
2021;4306;2499;53700;3691;Población municipal;299.0;A
2021;4306;2499;53700;3689;Población municipal;146.0;A
2021;4306;2499;53700;3690;Población municipal;153.0;A
2021;4306;2499;54560;3691;Población municipal;282.0;A
2021;4306;2499;54560;3689;Población municipal;135.0;A
2021;4306;2499;54560;3690;Población municipal;147.0;A
2021;4306;2499;53809;3691;Población municipal;9.0;A
2021;4306;2499;53809;3689;Población municipal;6.0;A
2021;4306;2499;53809;3690;Población municipal;3.0;A
2021;4306;2499;53933;3691;Población municipal;1.0;A
2021;4306;2499;53933;3690;Población municipal;1.0;A
2021;4306;2499;54155;3691;Población municipal;269.0;A
2021;4306;2499;54155;3689;Población municipal;128.0;A
2021;4306;2499;54155;3690;Población municipal;141.0;A
2021;4306;2499;54344;3691;Población municipal;1.0;A
2021;4306;2499;54344;3689;Población municipal;1.0;A
2021;4306;2499;54452;3691;Población municipal;2.0;A
2021;4306;2499;54452;3690;Población municipal;2.0;A
2021;4306;2499;54565;3691;Población municipal;17.0;A
2021;4306;2499;54565;3689;Población municipal;11.0;A
2021;4306;2499;54565;3690;Población municipal;6.0;A
2021;4306;2499;54887;3691;Población municipal;31.0;A
2021;4306;2499;54887;3689;Población municipal;15.0;A
2021;4306;2499;54887;3690;Población municipal;16.0;A
2021;4306;2500;54888;3691;Población municipal;25890.0;A
2021;4306;2500;54888;3689;Población municipal;12769.0;A
2021;4306;2500;54888;3690;Población municipal;13121.0;A
2021;4306;2500;53700;3691;Población municipal;21188.0;A
2021;4306;2500;53700;3689;Población municipal;10444.0;A
2021;4306;2500;53700;3690;Población municipal;10744.0;A
2021;4306;2500;54560;3691;Población municipal;19358.0;A
2021;4306;2500;54560;3689;Población municipal;9607.0;A
2021;4306;2500;54560;3690;Población municipal;9751.0;A
2021;4306;2500;53809;3691;Población municipal;126.0;A
2021;4306;2500;53809;3689;Población municipal;69.0;A
2021;4306;2500;53809;3690;Población municipal;57.0;A
2021;4306;2500;53855;3691;Población municipal;131.0;A
2021;4306;2500;53855;3689;Población municipal;65.0;A
2021;4306;2500;53855;3690;Población municipal;66.0;A
2021;4306;2500;53933;3691;Población municipal;146.0;A
2021;4306;2500;53933;3689;Población municipal;79.0;A
2021;4306;2500;53933;3690;Población municipal;67.0;A
2021;4306;2500;54155;3691;Población municipal;18027.0;A
2021;4306;2500;54155;3689;Población municipal;8945.0;A
2021;4306;2500;54155;3690;Población municipal;9082.0;A
2021;4306;2500;54236;3691;Población municipal;20.0;A
