D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;2713;3691;Población municipal;90841.0;A
2021;54887;2713;3689;Población municipal;45391.0;A
2021;54887;2713;3690;Población municipal;45450.0;A
2021;54887;2483;3691;Población municipal;22.0;A
2021;54887;2483;3689;Población municipal;13.0;A
2021;54887;2483;3690;Población municipal;9.0;A
2021;54887;2484;3691;Población municipal;16.0;A
2021;54887;2484;3689;Población municipal;9.0;A
2021;54887;2484;3690;Población municipal;7.0;A
2021;54887;2485;3691;Población municipal;1331.0;A
2021;54887;2485;3689;Población municipal;602.0;A
2021;54887;2485;3690;Población municipal;729.0;A
2021;54887;2486;3691;Población municipal;67.0;A
2021;54887;2486;3689;Población municipal;31.0;A
2021;54887;2486;3690;Población municipal;36.0;A
2021;54887;2487;3691;Población municipal;16.0;A
2021;54887;2487;3689;Población municipal;5.0;A
2021;54887;2487;3690;Población municipal;11.0;A
2021;54887;2488;3691;Población municipal;2252.0;A
2021;54887;2488;3689;Población municipal;1506.0;A
2021;54887;2488;3690;Población municipal;746.0;A
2021;54887;2489;3691;Población municipal;33.0;A
2021;54887;2489;3689;Población municipal;12.0;A
2021;54887;2489;3690;Población municipal;21.0;A
2021;54887;2493;3691;Población municipal;33.0;A
2021;54887;2493;3689;Población municipal;15.0;A
2021;54887;2493;3690;Población municipal;18.0;A
2021;54887;2494;3691;Población municipal;299.0;A
2021;54887;2494;3689;Población municipal;137.0;A
2021;54887;2494;3690;Población municipal;162.0;A
2021;54887;2495;3691;Población municipal;130.0;A
2021;54887;2495;3689;Población municipal;67.0;A
2021;54887;2495;3690;Población municipal;63.0;A
2021;54887;2496;3691;Población municipal;945.0;A
2021;54887;2496;3689;Población municipal;595.0;A
2021;54887;2496;3690;Población municipal;350.0;A
2021;54887;2497;3691;Población municipal;743.0;A
2021;54887;2497;3689;Población municipal;343.0;A
2021;54887;2497;3690;Población municipal;400.0;A
2021;54887;2498;3691;Población municipal;5.0;A
2021;54887;2498;3689;Población municipal;2.0;A
2021;54887;2498;3690;Población municipal;3.0;A
2021;54887;2499;3691;Población municipal;31.0;A
2021;54887;2499;3689;Población municipal;15.0;A
2021;54887;2499;3690;Población municipal;16.0;A
2021;54887;2500;3691;Población municipal;4702.0;A
2021;54887;2500;3689;Población municipal;2325.0;A
2021;54887;2500;3690;Población municipal;2377.0;A
2021;54887;2699;3691;Población municipal;192.0;A
2021;54887;2699;3689;Población municipal;114.0;A
2021;54887;2699;3690;Población municipal;78.0;A
2021;54887;2501;3691;Población municipal;25.0;A
2021;54887;2501;3689;Población municipal;10.0;A
2021;54887;2501;3690;Población municipal;15.0;A
2021;54887;2503;3691;Población municipal;99.0;A
2021;54887;2503;3689;Población municipal;59.0;A
2021;54887;2503;3690;Población municipal;40.0;A
2021;54887;2504;3691;Población municipal;3060.0;A
2021;54887;2504;3689;Población municipal;1459.0;A
2021;54887;2504;3690;Población municipal;1601.0;A
2021;54887;2505;3691;Población municipal;1482.0;A
2021;54887;2505;3689;Población municipal;783.0;A
2021;54887;2505;3690;Población municipal;699.0;A
2021;54887;2506;3691;Población municipal;1882.0;A
2021;54887;2506;3689;Población municipal;977.0;A
2021;54887;2506;3690;Población municipal;905.0;A
2021;54887;2507;3691;Población municipal;31.0;A
2021;54887;2507;3689;Población municipal;12.0;A
2021;54887;2507;3690;Población municipal;19.0;A
2021;54887;2508;3691;Población municipal;5.0;A
2021;54887;2508;3689;Población municipal;3.0;A
2021;54887;2508;3690;Población municipal;2.0;A
2021;54887;2511;3691;Población municipal;81.0;A
2021;54887;2511;3689;Población municipal;27.0;A
2021;54887;2511;3690;Población municipal;54.0;A
2021;54887;2512;3691;Población municipal;60.0;A
2021;54887;2512;3689;Población municipal;34.0;A
2021;54887;2512;3690;Población municipal;26.0;A
2021;54887;2513;3691;Población municipal;162.0;A
2021;54887;2513;3689;Población municipal;70.0;A
2021;54887;2513;3690;Población municipal;92.0;A
2021;54887;2514;3691;Población municipal;91.0;A
2021;54887;2514;3689;Población municipal;49.0;A
2021;54887;2514;3690;Población municipal;42.0;A
2021;54887;2516;3691;Población municipal;43.0;A
2021;54887;2516;3689;Población municipal;23.0;A
2021;54887;2516;3690;Población municipal;20.0;A
2021;54887;2517;3691;Población municipal;38.0;A
2021;54887;2517;3689;Población municipal;22.0;A
2021;54887;2517;3690;Población municipal;16.0;A
2021;54887;2518;3691;Población municipal;38.0;A
2021;54887;2518;3689;Población municipal;20.0;A
2021;54887;2518;3690;Población municipal;18.0;A
2021;54887;2519;3691;Población municipal;159.0;A
2021;54887;2519;3689;Población municipal;95.0;A
2021;54887;2519;3690;Población municipal;64.0;A
2021;54887;2520;3691;Población municipal;365.0;A
2021;54887;2520;3689;Población municipal;167.0;A
2021;54887;2520;3690;Población municipal;198.0;A
2021;54887;2602;3691;Población municipal;42.0;A
2021;54887;2602;3689;Población municipal;18.0;A
2021;54887;2602;3690;Población municipal;24.0;A
2021;54887;2521;3691;Población municipal;33.0;A
2021;54887;2521;3689;Población municipal;19.0;A
2021;54887;2521;3690;Población municipal;14.0;A
2021;54887;2522;3691;Población municipal;55.0;A
2021;54887;2522;3689;Población municipal;28.0;A
2021;54887;2522;3690;Población municipal;27.0;A
2021;54887;2523;3691;Población municipal;288.0;A
2021;54887;2523;3689;Población municipal;142.0;A
2021;54887;2523;3690;Población municipal;146.0;A
2021;54887;2524;3691;Población municipal;109.0;A
2021;54887;2524;3689;Población municipal;60.0;A
2021;54887;2524;3690;Población municipal;49.0;A
2021;54887;2526;3691;Población municipal;62.0;A
2021;54887;2526;3689;Población municipal;30.0;A
2021;54887;2526;3690;Población municipal;32.0;A
2021;54887;2527;3691;Población municipal;58.0;A
2021;54887;2527;3689;Población municipal;30.0;A
2021;54887;2527;3690;Población municipal;28.0;A
2021;54887;2528;3691;Población municipal;79.0;A
2021;54887;2528;3689;Población municipal;49.0;A
2021;54887;2528;3690;Población municipal;30.0;A
2021;54887;2529;3691;Población municipal;122.0;A
2021;54887;2529;3689;Población municipal;56.0;A
2021;54887;2529;3690;Población municipal;66.0;A
2021;54887;2530;3691;Población municipal;118.0;A
2021;54887;2530;3689;Población municipal;47.0;A
2021;54887;2530;3690;Población municipal;71.0;A
2021;54887;2531;3691;Población municipal;832.0;A
2021;54887;2531;3689;Población municipal;362.0;A
2021;54887;2531;3690;Población municipal;470.0;A
2021;54887;2544;3691;Población municipal;293.0;A
2021;54887;2544;3689;Población municipal;136.0;A
2021;54887;2544;3690;Población municipal;157.0;A
2021;54887;2546;3691;Población municipal;111.0;A
2021;54887;2546;3689;Población municipal;61.0;A
2021;54887;2546;3690;Población municipal;50.0;A
2021;54887;2548;3691;Población municipal;1548.0;A
2021;54887;2548;3689;Población municipal;697.0;A
2021;54887;2548;3690;Población municipal;851.0;A
2021;54887;2532;3691;Población municipal;289.0;A
2021;54887;2532;3689;Población municipal;154.0;A
2021;54887;2532;3690;Población municipal;135.0;A
2021;54887;2533;3691;Población municipal;30.0;A
2021;54887;2533;3689;Población municipal;17.0;A
2021;54887;2533;3690;Población municipal;13.0;A
2021;54887;2534;3691;Población municipal;46.0;A
2021;54887;2534;3689;Población municipal;20.0;A
2021;54887;2534;3690;Población municipal;26.0;A
2021;54887;2535;3691;Población municipal;36.0;A
2021;54887;2535;3689;Población municipal;21.0;A
2021;54887;2535;3690;Población municipal;15.0;A
2021;54887;2537;3691;Población municipal;166.0;A
2021;54887;2537;3689;Población municipal;71.0;A
2021;54887;2537;3690;Población municipal;95.0;A
2021;54887;2538;3691;Población municipal;66.0;A
2021;54887;2538;3689;Población municipal;27.0;A
2021;54887;2538;3690;Población municipal;39.0;A
2021;54887;2707;3691;Población municipal;242.0;A
2021;54887;2707;3689;Población municipal;131.0;A
2021;54887;2707;3690;Población municipal;111.0;A
2021;54887;2541;3691;Población municipal;246.0;A
2021;54887;2541;3689;Población municipal;120.0;A
2021;54887;2541;3690;Población municipal;126.0;A
2021;54887;2542;3691;Población municipal;632.0;A
2021;54887;2542;3689;Población municipal;324.0;A
2021;54887;2542;3690;Población municipal;308.0;A
2021;54887;2549;3691;Población municipal;46.0;A
2021;54887;2549;3689;Población municipal;30.0;A
2021;54887;2549;3690;Población municipal;16.0;A
2021;54887;2550;3691;Población municipal;7.0;A
2021;54887;2550;3689;Población municipal;3.0;A
2021;54887;2550;3690;Población municipal;4.0;A
2021;54887;2551;3691;Población municipal;38.0;A
2021;54887;2551;3689;Población municipal;16.0;A
2021;54887;2551;3690;Población municipal;22.0;A
2021;54887;2553;3691;Población municipal;85.0;A
2021;54887;2553;3689;Población municipal;42.0;A
2021;54887;2553;3690;Población municipal;43.0;A
2021;54887;2554;3691;Población municipal;41.0;A
2021;54887;2554;3689;Población municipal;24.0;A
2021;54887;2554;3690;Población municipal;17.0;A
2021;54887;2555;3691;Población municipal;175.0;A
2021;54887;2555;3689;Población municipal;80.0;A
2021;54887;2555;3690;Población municipal;95.0;A
2021;54887;2556;3691;Población municipal;89.0;A
2021;54887;2556;3689;Población municipal;43.0;A
2021;54887;2556;3690;Población municipal;46.0;A
2021;54887;9565;3691;Población municipal;41.0;A
2021;54887;9565;3689;Población municipal;21.0;A
2021;54887;9565;3690;Población municipal;20.0;A
2021;54887;2557;3691;Población municipal;26.0;A
2021;54887;2557;3689;Población municipal;13.0;A
2021;54887;2557;3690;Población municipal;13.0;A
2021;54887;2558;3691;Población municipal;670.0;A
2021;54887;2558;3689;Población municipal;338.0;A
2021;54887;2558;3690;Población municipal;332.0;A
2021;54887;2559;3691;Población municipal;39.0;A
2021;54887;2559;3689;Población municipal;18.0;A
2021;54887;2559;3690;Población municipal;21.0;A
2021;54887;2561;3691;Población municipal;3.0;A
2021;54887;2561;3689;Población municipal;3.0;A
2021;54887;2563;3691;Población municipal;27.0;A
2021;54887;2563;3689;Población municipal;14.0;A
2021;54887;2563;3690;Población municipal;13.0;A
2021;54887;2564;3691;Población municipal;57.0;A
2021;54887;2564;3689;Población municipal;33.0;A
2021;54887;2564;3690;Población municipal;24.0;A
2021;54887;2565;3691;Población municipal;135.0;A
2021;54887;2565;3689;Población municipal;89.0;A
2021;54887;2565;3690;Población municipal;46.0;A
2021;54887;2566;3691;Población municipal;343.0;A
2021;54887;2566;3689;Población municipal;174.0;A
2021;54887;2566;3690;Población municipal;169.0;A
2021;54887;2700;3691;Población municipal;1842.0;A
2021;54887;2700;3689;Población municipal;890.0;A
2021;54887;2700;3690;Población municipal;952.0;A
2021;54887;2569;3691;Población municipal;201.0;A
2021;54887;2569;3689;Población municipal;99.0;A
2021;54887;2569;3690;Población municipal;102.0;A
2021;54887;2570;3691;Población municipal;15.0;A
2021;54887;2570;3689;Población municipal;7.0;A
2021;54887;2570;3690;Población municipal;8.0;A
2021;54887;2571;3691;Población municipal;428.0;A
2021;54887;2571;3689;Población municipal;217.0;A
2021;54887;2571;3690;Población municipal;211.0;A
2021;54887;2572;3691;Población municipal;34.0;A
2021;54887;2572;3689;Población municipal;21.0;A
2021;54887;2572;3690;Población municipal;13.0;A
2021;54887;2573;3691;Población municipal;21.0;A
2021;54887;2573;3689;Población municipal;8.0;A
2021;54887;2573;3690;Población municipal;13.0;A
2021;54887;2574;3691;Población municipal;26545.0;A
2021;54887;2574;3689;Población municipal;12635.0;A
2021;54887;2574;3690;Población municipal;13910.0;A
2021;54887;2575;3691;Población municipal;63.0;A
2021;54887;2575;3689;Población municipal;29.0;A
2021;54887;2575;3690;Población municipal;34.0;A
2021;54887;2576;3691;Población municipal;1297.0;A
2021;54887;2576;3689;Población municipal;715.0;A
2021;54887;2576;3690;Población municipal;582.0;A
2021;54887;2701;3691;Población municipal;112.0;A
2021;54887;2701;3689;Población municipal;70.0;A
2021;54887;2701;3690;Población municipal;42.0;A
2021;54887;2580;3691;Población municipal;1744.0;A
2021;54887;2580;3689;Población municipal;1025.0;A
2021;54887;2580;3690;Población municipal;719.0;A
2021;54887;2581;3691;Población municipal;199.0;A
2021;54887;2581;3689;Población municipal;86.0;A
2021;54887;2581;3690;Población municipal;113.0;A
2021;54887;2582;3691;Población municipal;84.0;A
2021;54887;2582;3689;Población municipal;36.0;A
2021;54887;2582;3690;Población municipal;48.0;A
2021;54887;2583;3691;Población municipal;15.0;A
2021;54887;2583;3689;Población municipal;4.0;A
2021;54887;2583;3690;Población municipal;11.0;A
2021;54887;2584;3691;Población municipal;163.0;A
2021;54887;2584;3689;Población municipal;84.0;A
2021;54887;2584;3690;Población municipal;79.0;A
2021;54887;2585;3691;Población municipal;263.0;A
2021;54887;2585;3689;Población municipal;130.0;A
2021;54887;2585;3690;Población municipal;133.0;A
2021;54887;2586;3691;Población municipal;78.0;A
2021;54887;2586;3689;Población municipal;29.0;A
2021;54887;2586;3690;Población municipal;49.0;A
2021;54887;2587;3691;Población municipal;1160.0;A
2021;54887;2587;3689;Población municipal;607.0;A
2021;54887;2587;3690;Población municipal;553.0;A
2021;54887;2588;3691;Población municipal;865.0;A
2021;54887;2588;3689;Población municipal;418.0;A
2021;54887;2588;3690;Población municipal;447.0;A
2021;54887;2589;3691;Población municipal;367.0;A
2021;54887;2589;3689;Población municipal;186.0;A
2021;54887;2589;3690;Población municipal;181.0;A
2021;54887;2590;3691;Población municipal;149.0;A
2021;54887;2590;3689;Población municipal;69.0;A
2021;54887;2590;3690;Población municipal;80.0;A
2021;54887;2592;3691;Población municipal;243.0;A
2021;54887;2592;3689;Población municipal;140.0;A
2021;54887;2592;3690;Población municipal;103.0;A
2021;54887;2593;3691;Población municipal;151.0;A
2021;54887;2593;3689;Población municipal;92.0;A
2021;54887;2593;3690;Población municipal;59.0;A
2021;54887;2594;3691;Población municipal;23.0;A
2021;54887;2594;3689;Población municipal;10.0;A
2021;54887;2594;3690;Población municipal;13.0;A
2021;54887;2595;3691;Población municipal;28.0;A
2021;54887;2595;3689;Población municipal;10.0;A
2021;54887;2595;3690;Población municipal;18.0;A
2021;54887;2596;3691;Población municipal;323.0;A
2021;54887;2596;3689;Población municipal;186.0;A
2021;54887;2596;3690;Población municipal;137.0;A
2021;54887;2598;3691;Población municipal;204.0;A
2021;54887;2598;3689;Población municipal;115.0;A
2021;54887;2598;3690;Población municipal;89.0;A
2021;54887;2599;3691;Población municipal;17.0;A
2021;54887;2599;3689;Población municipal;10.0;A
2021;54887;2599;3690;Población municipal;7.0;A
2021;54887;2603;3691;Población municipal;249.0;A
2021;54887;2603;3689;Población municipal;129.0;A
