D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3676;7350;ESTABLECIMIENTO;45.0;A
2020;3676;7358;ESTABLECIMIENTO;693.0;A
2020;3676;7361;ESTABLECIMIENTO;894.0;A
2020;3676;7365;ESTABLECIMIENTO;55.0;A
2020;3676;7367;ESTABLECIMIENTO;;A
2020;3676;7397;ESTABLECIMIENTO;142.0;A
2020;3676;7371;ESTABLECIMIENTO;18.0;A
2020;3676;7374;ESTABLECIMIENTO;13.0;A
2020;3676;7380;ESTABLECIMIENTO;26.0;A
2020;3676;7388;ESTABLECIMIENTO;44.0;A
2020;3676;7394;ESTABLECIMIENTO;41.0;A
2020;3676;7396;ESTABLECIMIENTO;;A
2020;3676;7433;ESTABLECIMIENTO;6672.0;A
2020;3676;7401;ESTABLECIMIENTO;4713.0;A
2020;3676;7405;ESTABLECIMIENTO;83.0;A
2020;3676;7408;ESTABLECIMIENTO;;A
2020;3676;7411;ESTABLECIMIENTO;5.0;A
2020;3676;7414;ESTABLECIMIENTO;231.0;A
2020;3676;7418;ESTABLECIMIENTO;1079.0;A
2020;3676;7423;ESTABLECIMIENTO;240.0;A
2020;3676;7430;ESTABLECIMIENTO;321.0;A
2020;3676;7432;ESTABLECIMIENTO;;A
2020;3676;7462;ESTABLECIMIENTO;468.0;A
2020;3676;7437;ESTABLECIMIENTO;92.0;A
2020;3676;7440;ESTABLECIMIENTO;179.0;A
2020;3676;7443;ESTABLECIMIENTO;28.0;A
2020;3676;7446;ESTABLECIMIENTO;14.0;A
2020;3676;7450;ESTABLECIMIENTO;114.0;A
2020;3676;7453;ESTABLECIMIENTO;20.0;A
2020;3676;7456;ESTABLECIMIENTO;21.0;A
2020;3676;7459;ESTABLECIMIENTO;;A
2020;3676;7461;ESTABLECIMIENTO;;A
2020;3676;7487;ESTABLECIMIENTO;226.0;A
2020;3676;7466;ESTABLECIMIENTO;69.0;A
2020;3676;7469;ESTABLECIMIENTO;5.0;A
2020;3676;7474;ESTABLECIMIENTO;10.0;A
2020;3676;7477;ESTABLECIMIENTO;62.0;A
2020;3676;7481;ESTABLECIMIENTO;45.0;A
2020;3676;7484;ESTABLECIMIENTO;35.0;A
