D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93016;2007;40123;3143;Tasa interanual. Precio corriente;4.793857658;A
93013;2021;69512;3143;Tasa interanual. Precio corriente;8.483362795;A
93013;2020;40125;3143;Tasa interanual. Precio corriente;-7.767243248;A
93013;2019;40124;3143;Tasa interanual. Precio corriente;2.119104813;A
93013;2018;40123;3143;Tasa interanual. Precio corriente;4.360877827;A
93013;2017;40123;3143;Tasa interanual. Precio corriente;4.864785867;A
93013;2016;40123;3143;Tasa interanual. Precio corriente;2.092009063;A
93013;2015;40123;3143;Tasa interanual. Precio corriente;3.347706572;A
93013;2014;40123;3143;Tasa interanual. Precio corriente;1.362418168;A
93013;2013;40123;3143;Tasa interanual. Precio corriente;-2.938423165;A
93013;2012;40123;3143;Tasa interanual. Precio corriente;-4.816042689;A
93013;2011;40123;3143;Tasa interanual. Precio corriente;-2.264987007;A
93013;2010;40123;3143;Tasa interanual. Precio corriente;0.318832285;A
93013;2009;40123;3143;Tasa interanual. Precio corriente;-6.17038163;A
93013;2008;40123;3143;Tasa interanual. Precio corriente;2.358279252;A
93013;2007;40123;3143;Tasa interanual. Precio corriente;7.269404485;A
93015;2021;69512;3143;Tasa interanual. Precio corriente;19.579114151;A
93015;2020;40125;3143;Tasa interanual. Precio corriente;-23.899603547;A
93015;2019;40124;3143;Tasa interanual. Precio corriente;1.473038868;A
93015;2018;40123;3143;Tasa interanual. Precio corriente;3.986098788;A
93015;2017;40123;3143;Tasa interanual. Precio corriente;9.792086887;A
93015;2016;40123;3143;Tasa interanual. Precio corriente;5.861725224;A
93015;2015;40123;3143;Tasa interanual. Precio corriente;0.426693505;A
93015;2014;40123;3143;Tasa interanual. Precio corriente;1.890116886;A
93015;2013;40123;3143;Tasa interanual. Precio corriente;0.650623971;A
93015;2012;40123;3143;Tasa interanual. Precio corriente;3.845890019;A
93015;2011;40123;3143;Tasa interanual. Precio corriente;11.258242667;A
93015;2010;40123;3143;Tasa interanual. Precio corriente;10.516523878;A
93015;2009;40123;3143;Tasa interanual. Precio corriente;-10.796670185;A
93015;2008;40123;3143;Tasa interanual. Precio corriente;4.487296269;A
93015;2007;40123;3143;Tasa interanual. Precio corriente;5.931964949;A
93019;2021;69512;3143;Tasa interanual. Precio corriente;17.444313686;A
93019;2020;40125;3143;Tasa interanual. Precio corriente;-18.372748825;A
93019;2019;40124;3143;Tasa interanual. Precio corriente;0.001982695;A
93019;2018;40123;3143;Tasa interanual. Precio corriente;6.025847361;A
93019;2017;40123;3143;Tasa interanual. Precio corriente;8.217054458;A
93019;2016;40123;3143;Tasa interanual. Precio corriente;4.005042447;A
93019;2015;40123;3143;Tasa interanual. Precio corriente;-2.246189662;A
93019;2014;40123;3143;Tasa interanual. Precio corriente;2.34190711;A
93019;2013;40123;3143;Tasa interanual. Precio corriente;-3.441580301;A
93019;2012;40123;3143;Tasa interanual. Precio corriente;-1.819240386;A
93019;2011;40123;3143;Tasa interanual. Precio corriente;5.161511785;A
93019;2010;40123;3143;Tasa interanual. Precio corriente;7.668453987;A
93019;2009;40123;3143;Tasa interanual. Precio corriente;-12.398154347;A
93019;2008;40123;3143;Tasa interanual. Precio corriente;4.060854703;A
93019;2007;40123;3143;Tasa interanual. Precio corriente;6.528854615;A
93023;2021;69512;3143;Tasa interanual. Precio corriente;8.638074151;A
93023;2020;40125;3143;Tasa interanual. Precio corriente;-9.633555973;A
93023;2019;40124;3143;Tasa interanual. Precio corriente;2.87269482;A
93023;2018;40123;3143;Tasa interanual. Precio corriente;3.406389888;A
93023;2017;40123;3143;Tasa interanual. Precio corriente;5.349411789;A
93023;2016;40123;3143;Tasa interanual. Precio corriente;2.729621672;A
93023;2015;40123;3143;Tasa interanual. Precio corriente;4.870954437;A
93023;2014;40123;3143;Tasa interanual. Precio corriente;1.106609808;A
93023;2013;40123;3143;Tasa interanual. Precio corriente;-1.223154762;A
93023;2012;40123;3143;Tasa interanual. Precio corriente;-2.981976206;A
93023;2011;40123;3143;Tasa interanual. Precio corriente;-1.105792032;A
93023;2010;40123;3143;Tasa interanual. Precio corriente;0.298281107;A
93023;2009;40123;3143;Tasa interanual. Precio corriente;-4.780774899;A
93023;2008;40123;3143;Tasa interanual. Precio corriente;2.261130646;A
93023;2007;40123;3143;Tasa interanual. Precio corriente;7.176416553;A
93077;2021;69512;3143;Tasa interanual. Precio corriente;7.70568507;A
93077;2020;40125;3143;Tasa interanual. Precio corriente;-8.873196839;A
93077;2019;40124;3143;Tasa interanual. Precio corriente;3.033479215;A
