D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93039;2021;69512;3143;Valor;279335.0;A
93039;2020;40125;3143;Valor;271736.0;A
93039;2019;40124;3143;Valor;266840.0;A
93039;2018;40123;3143;Valor;261894.0;A
93039;2017;40123;3143;Valor;276605.0;A
93039;2016;40123;3143;Valor;262061.0;A
93039;2015;40123;3143;Valor;235114.0;A
93039;2014;40123;3143;Valor;237022.0;A
93039;2013;40123;3143;Valor;208881.0;A
93039;2012;40123;3143;Valor;216147.0;A
93039;2011;40123;3143;Valor;230248.0;A
93039;2010;40123;3143;Valor;238899.0;A
93039;2009;40123;3143;Valor;226376.0;A
93039;2008;40123;3143;Valor;230278.0;A
93039;2007;40123;3143;Valor;244881.0;A
93040;2021;69512;3143;Valor;238453.0;A
93040;2020;40125;3143;Valor;238093.0;A
93040;2019;40124;3143;Valor;247331.0;A
93040;2018;40123;3143;Valor;241780.0;A
93040;2017;40123;3143;Valor;231386.0;A
93040;2016;40123;3143;Valor;219803.0;A
93040;2015;40123;3143;Valor;202391.0;A
93040;2014;40123;3143;Valor;197663.0;A
93040;2013;40123;3143;Valor;197295.0;A
93040;2012;40123;3143;Valor;211605.0;A
93040;2011;40123;3143;Valor;229080.0;A
93040;2010;40123;3143;Valor;237669.0;A
93040;2009;40123;3143;Valor;249528.0;A
93040;2008;40123;3143;Valor;281056.0;A
93040;2007;40123;3143;Valor;283997.0;A
93041;2021;69512;3143;Valor;192483.0;A
93041;2020;40125;3143;Valor;194841.0;A
93041;2019;40124;3143;Valor;205541.0;A
93041;2018;40123;3143;Valor;200912.0;A
93041;2017;40123;3143;Valor;191639.0;A
93041;2016;40123;3143;Valor;181911.0;A
93041;2015;40123;3143;Valor;167368.0;A
93041;2014;40123;3143;Valor;163600.0;A
93041;2013;40123;3143;Valor;163617.0;A
93041;2012;40123;3143;Valor;173469.0;A
93041;2011;40123;3143;Valor;190907.0;A
93041;2010;40123;3143;Valor;201441.0;A
93041;2009;40123;3143;Valor;213572.0;A
93041;2008;40123;3143;Valor;243681.0;A
93041;2007;40123;3143;Valor;246929.0;A
93042;2021;69512;3143;Valor;210056.0;A
93042;2020;40125;3143;Valor;187834.0;A
93042;2019;40124;3143;Valor;208565.0;A
93042;2018;40123;3143;Valor;194144.0;A
93042;2017;40123;3143;Valor;169799.0;A
93042;2016;40123;3143;Valor;166886.0;A
93042;2015;40123;3143;Valor;154800.0;A
93042;2014;40123;3143;Valor;137406.0;A
93042;2013;40123;3143;Valor;135779.0;A
93042;2012;40123;3143;Valor;158802.0;A
93042;2011;40123;3143;Valor;208963.0;A
93042;2010;40123;3143;Valor;244876.0;A
93042;2009;40123;3143;Valor;283678.0;A
93042;2008;40123;3143;Valor;421314.0;A
93042;2007;40123;3143;Valor;495099.0;A
93044;2021;69512;3143;Valor;2453530.0;A
93044;2020;40125;3143;Valor;2257081.0;A
93044;2019;40124;3143;Valor;2544300.0;A
93044;2018;40123;3143;Valor;2471663.0;A
93044;2017;40123;3143;Valor;2427662.0;A
93044;2016;40123;3143;Valor;2345812.0;A
93044;2015;40123;3143;Valor;2338388.0;A
93044;2014;40123;3143;Valor;2231622.0;A
93044;2013;40123;3143;Valor;2190765.0;A
93044;2012;40123;3143;Valor;2223083.0;A
93044;2011;40123;3143;Valor;2285206.0;A
93044;2010;40123;3143;Valor;2317513.0;A
93044;2009;40123;3143;Valor;2348958.0;A
93044;2008;40123;3143;Valor;2388879.0;A
93044;2007;40123;3143;Valor;2356051.0;A
93043;2021;69512;3143;Valor;901562.0;A
93043;2020;40125;3143;Valor;803707.0;A
93043;2019;40124;3143;Valor;968287.0;A
93043;2018;40123;3143;Valor;928139.0;A
93043;2017;40123;3143;Valor;926583.0;A
93043;2016;40123;3143;Valor;894622.0;A
93043;2015;40123;3143;Valor;889124.0;A
93043;2014;40123;3143;Valor;834094.0;A
93043;2013;40123;3143;Valor;824823.0;A
93043;2012;40123;3143;Valor;841342.0;A
93043;2011;40123;3143;Valor;867819.0;A
93043;2010;40123;3143;Valor;862791.0;A
93043;2009;40123;3143;Valor;900490.0;A
93043;2008;40123;3143;Valor;942963.0;A
93043;2007;40123;3143;Valor;909337.0;A
93045;2021;69512;3143;Valor;55895.0;A
93045;2020;40125;3143;Valor;50379.0;A
93045;2019;40124;3143;Valor;51100.0;A
93045;2018;40123;3143;Valor;47242.0;A
93045;2017;40123;3143;Valor;43569.0;A
93045;2016;40123;3143;Valor;39084.0;A
93045;2015;40123;3143;Valor;36414.0;A
93045;2014;40123;3143;Valor;34670.0;A
93045;2013;40123;3143;Valor;33501.0;A
93045;2012;40123;3143;Valor;36558.0;A
93045;2011;40123;3143;Valor;37276.0;A
93045;2010;40123;3143;Valor;38648.0;A
93045;2009;40123;3143;Valor;41857.0;A
93045;2008;40123;3143;Valor;40018.0;A
93045;2007;40123;3143;Valor;39434.0;A
93046;2021;69512;3143;Valor;45890.0;A
93046;2020;40125;3143;Valor;44908.0;A
93046;2019;40124;3143;Valor;45335.0;A
93046;2018;40123;3143;Valor;45381.0;A
93046;2017;40123;3143;Valor;45797.0;A
93046;2016;40123;3143;Valor;45873.0;A
93046;2015;40123;3143;Valor;46188.0;A
93046;2014;40123;3143;Valor;45587.0;A
93046;2013;40123;3143;Valor;45654.0;A
93046;2012;40123;3143;Valor;49292.0;A
93046;2011;40123;3143;Valor;50414.0;A
