D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93017;2021;69512;3143;Valor;151870089;A
93017;2020;40125;3143;Valor;139626500;A
93017;2019;40124;3143;Valor;150528649;A
93017;2018;40123;3143;Valor;148995915;A
93017;2017;40123;3143;Valor;144677147;A
93017;2016;40123;3143;Valor;138595693;A
93017;2015;40123;3143;Valor;135100320;A
93017;2014;40123;3143;Valor;132127404;A
93017;2013;40123;3143;Valor;130454758;A
93017;2012;40123;3143;Valor;133145214;A
93017;2011;40123;3143;Valor;137197993;A
93017;2010;40123;3143;Valor;137769943;A
93017;2009;40123;3143;Valor;135205336;A
93017;2008;40123;3143;Valor;137963669;A
93017;2007;40123;3143;Valor;131381579;A
93018;2021;69512;3143;Valor;103472994;A
93018;2020;40125;3143;Valor;95118037;A
93018;2019;40124;3143;Valor;108754713;A
93018;2018;40123;3143;Valor;109026466;A
93018;2017;40123;3143;Valor;106064374;A
93018;2016;40123;3143;Valor;100831644;A
93018;2015;40123;3143;Valor;98038552;A
93018;2014;40123;3143;Valor;96348164;A
93018;2013;40123;3143;Valor;94621797;A
93018;2012;40123;3143;Valor;96810567;A
93018;2011;40123;3143;Valor;98568223;A
93018;2010;40123;3143;Valor;98916104;A
93018;2009;40123;3143;Valor;96585284;A
93018;2008;40123;3143;Valor;101252219;A
93018;2007;40123;3143;Valor;98092028;A
93011;2021;69512;3143;Valor;48397095;A
93011;2020;40125;3143;Valor;44508463;A
93011;2019;40124;3143;Valor;41773936;A
93011;2018;40123;3143;Valor;39969449;A
93011;2017;40123;3143;Valor;38612773;A
93011;2016;40123;3143;Valor;37764049;A
93011;2015;40123;3143;Valor;37061768;A
93011;2014;40123;3143;Valor;35779240;A
93011;2013;40123;3143;Valor;35832961;A
93011;2012;40123;3143;Valor;36334647;A
93011;2011;40123;3143;Valor;38629770;A
93011;2010;40123;3143;Valor;38853839;A
93011;2009;40123;3143;Valor;38620052;A
93011;2008;40123;3143;Valor;36711450;A
93011;2007;40123;3143;Valor;33289551;A
93020;2021;69512;3143;Valor;;A
93020;2020;40125;3143;Valor;;A
93020;2019;40124;3143;Valor;25164530;A
93020;2018;40123;3143;Valor;23858867;A
93020;2017;40123;3143;Valor;23046498;A
93020;2016;40123;3143;Valor;22455754;A
93020;2015;40123;3143;Valor;21691990;A
93020;2014;40123;3143;Valor;20974999;A
93020;2013;40123;3143;Valor;21037643;A
93020;2012;40123;3143;Valor;21313337;A
93020;2011;40123;3143;Valor;23092776;A
93020;2010;40123;3143;Valor;23637000;A
93020;2009;40123;3143;Valor;23735185;A
93020;2008;40123;3143;Valor;22621946;A
93020;2007;40123;3143;Valor;19829144;A
93012;2021;69512;3143;Valor;;A
93012;2020;40125;3143;Valor;;A
93012;2019;40124;3143;Valor;16609406;A
93012;2018;40123;3143;Valor;16110582;A
93012;2017;40123;3143;Valor;15566275;A
93012;2016;40123;3143;Valor;15308295;A
93012;2015;40123;3143;Valor;15369778;A
93012;2014;40123;3143;Valor;14804241;A
93012;2013;40123;3143;Valor;14795318;A
93012;2012;40123;3143;Valor;15021310;A
93012;2011;40123;3143;Valor;15536994;A
93012;2010;40123;3143;Valor;15216839;A
93012;2009;40123;3143;Valor;14884867;A
93012;2008;40123;3143;Valor;14089504;A
93012;2007;40123;3143;Valor;13460407;A
93016;2021;69512;3143;Valor;29457385;A
93016;2020;40125;3143;Valor;27521226;A
93016;2019;40124;3143;Valor;30695172;A
93016;2018;40123;3143;Valor;28467275;A
93016;2017;40123;3143;Valor;25370474;A
93016;2016;40123;3143;Valor;23563243;A
93016;2015;40123;3143;Valor;23735751;A
93016;2014;40123;3143;Valor;21563545;A
93016;2013;40123;3143;Valor;21170422;A
93016;2012;40123;3143;Valor;23070237;A
93016;2011;40123;3143;Valor;26921524;A
93016;2010;40123;3143;Valor;30153007;A
93016;2009;40123;3143;Valor;32183923;A
