D_TERRITORIO_0;D_TEMPORAL_0;D_CNAE_O9_CRA_NEW_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
3143;2019;273197;40124;Consumos intermedios a precios de adquisición;1910805.0;A
3143;2019;273142;40124;Consumos intermedios a precios de adquisición;2095905.0;A
3143;2019;273198;40124;Consumos intermedios a precios de adquisición;614862.0;A
3143;2019;273199;40124;Consumos intermedios a precios de adquisición;413685.0;A
3143;2019;273200;40124;Consumos intermedios a precios de adquisición;1067358.0;A
3143;2019;273143;40124;Consumos intermedios a precios de adquisición;6885093.0;A
3143;2019;273201;40124;Consumos intermedios a precios de adquisición;5448815.0;A
3143;2019;273202;40124;Consumos intermedios a precios de adquisición;1436278.0;A
3143;2019;273144;40124;Consumos intermedios a precios de adquisición;1580615.0;A
3143;2019;273203;40124;Consumos intermedios a precios de adquisición;904404.0;A
3143;2019;273204;40124;Consumos intermedios a precios de adquisición;676211.0;A
3143;2019;273249;40124;Consumos intermedios a precios de adquisición;14529813;A
3143;2019;273145;40124;Consumos intermedios a precios de adquisición;14529813;A
3143;2019;273205;40124;Consumos intermedios a precios de adquisición;14529813;A
3143;2019;273251;40124;Consumos intermedios a precios de adquisición;71977165;A
3143;2019;273250;40124;Consumos intermedios a precios de adquisición;34895944;A
3143;2019;273146;40124;Consumos intermedios a precios de adquisición;13662225;A
3143;2019;273206;40124;Consumos intermedios a precios de adquisición;2100847.0;A
3143;2019;273207;40124;Consumos intermedios a precios de adquisición;6565123.0;A
3143;2019;273208;40124;Consumos intermedios a precios de adquisición;4996255.0;A
3143;2019;273147;40124;Consumos intermedios a precios de adquisición;10806626;A
3143;2019;273209;40124;Consumos intermedios a precios de adquisición;6641164.0;A
3143;2019;273210;40124;Consumos intermedios a precios de adquisición;288517.0;A
3143;2019;273211;40124;Consumos intermedios a precios de adquisición;3564180.0;A
3143;2019;273212;40124;Consumos intermedios a precios de adquisición;312765.0;A
3143;2019;273148;40124;Consumos intermedios a precios de adquisición;10427093;A
3143;2019;273213;40124;Consumos intermedios a precios de adquisición;2370942.0;A
3143;2019;273214;40124;Consumos intermedios a precios de adquisición;8056151.0;A
3143;2019;273253;40124;Consumos intermedios a precios de adquisición;3379041.0;A
3143;2019;273149;40124;Consumos intermedios a precios de adquisición;629308.0;A
3143;2019;273215;40124;Consumos intermedios a precios de adquisición;257196.0;A
3143;2019;273216;40124;Consumos intermedios a precios de adquisición;372112.0;A
3143;2019;273150;40124;Consumos intermedios a precios de adquisición;1813705.0;A
3143;2019;273217;40124;Consumos intermedios a precios de adquisición;1813705.0;A
3143;2019;273151;40124;Consumos intermedios a precios de adquisición;936028.0;A
3143;2019;273218;40124;Consumos intermedios a precios de adquisición;936028.0;A
3143;2019;273254;40124;Consumos intermedios a precios de adquisición;3811235.0;A
3143;2019;273152;40124;Consumos intermedios a precios de adquisición;3811235.0;A
3143;2019;273219;40124;Consumos intermedios a precios de adquisición;1716793.0;A
3143;2019;273220;40124;Consumos intermedios a precios de adquisición;1246799.0;A
3143;2019;273221;40124;Consumos intermedios a precios de adquisición;847643.0;A
3143;2019;273255;40124;Consumos intermedios a precios de adquisición;3802154.0;A
3143;2019;273153;40124;Consumos intermedios a precios de adquisición;3802154.0;A
3143;2019;273222;40124;Consumos intermedios a precios de adquisición;3802154.0;A
3143;2019;273256;40124;Consumos intermedios a precios de adquisición;8875285.0;A
3143;2019;273154;40124;Consumos intermedios a precios de adquisición;3902009.0;A
3143;2019;273223;40124;Consumos intermedios a precios de adquisición;1888979.0;A
3143;2019;273224;40124;Consumos intermedios a precios de adquisición;2013030.0;A
3143;2019;273155;40124;Consumos intermedios a precios de adquisición;286556.0;A
3143;2019;273225;40124;Consumos intermedios a precios de adquisición;286556.0;A
3143;2019;273156;40124;Consumos intermedios a precios de adquisición;851752.0;A
3143;2019;273226;40124;Consumos intermedios a precios de adquisición;374201.0;A
3143;2019;273227;40124;Consumos intermedios a precios de adquisición;352824.0;A
3143;2019;273228;40124;Consumos intermedios a precios de adquisición;124727.0;A
3143;2019;273157;40124;Consumos intermedios a precios de adquisición;3834968.0;A
3143;2019;273229;40124;Consumos intermedios a precios de adquisición;731194.0;A
3143;2019;273230;40124;Consumos intermedios a precios de adquisición;72624.0;A
3143;2019;273231;40124;Consumos intermedios a precios de adquisición;988851.0;A
3143;2019;273232;40124;Consumos intermedios a precios de adquisición;195845.0;A
3143;2019;273233;40124;Consumos intermedios a precios de adquisición;898218.0;A
3143;2019;273234;40124;Consumos intermedios a precios de adquisición;948236.0;A
3143;2019;273257;40124;Consumos intermedios a precios de adquisición;13008513;A
3143;2019;273158;40124;Consumos intermedios a precios de adquisición;3846404.0;A
3143;2019;273235;40124;Consumos intermedios a precios de adquisición;3846404.0;A
3143;2019;273159;40124;Consumos intermedios a precios de adquisición;1829353.0;A
3143;2019;273236;40124;Consumos intermedios a precios de adquisición;1249307.0;A
3143;2019;273237;40124;Consumos intermedios a precios de adquisición;580046.0;A
3143;2019;273160;40124;Consumos intermedios a precios de adquisición;5801494.0;A
3143;2019;273238;40124;Consumos intermedios a precios de adquisición;2915950.0;A
3143;2019;273239;40124;Consumos intermedios a precios de adquisición;2885544.0;A
3143;2019;273161;40124;Consumos intermedios a precios de adquisición;1531262.0;A
3143;2019;273240;40124;Consumos intermedios a precios de adquisición;326630.0;A
3143;2019;273241;40124;Consumos intermedios a precios de adquisición;1204632.0;A
3143;2019;273259;40124;Consumos intermedios a precios de adquisición;4204993.0;A
3143;2019;273162;40124;Consumos intermedios a precios de adquisición;2355037.0;A
3143;2019;273242;40124;Consumos intermedios a precios de adquisición;1275225.0;A
3143;2019;273243;40124;Consumos intermedios a precios de adquisición;1079812.0;A
3143;2019;273163;40124;Consumos intermedios a precios de adquisición;1849956.0;A
3143;2019;273244;40124;Consumos intermedios a precios de adquisición;838564.0;A
3143;2019;273245;40124;Consumos intermedios a precios de adquisición;253443.0;A
3143;2019;273246;40124;Consumos intermedios a precios de adquisición;757949.0;A
3143;2019;273164;40124;Consumos intermedios a precios de adquisición;0.0;A
3143;2019;273247;40124;Consumos intermedios a precios de adquisición;0.0;A
3143;2019;273260;40124;Consumos intermedios a precios de adquisición;153092898;A
3143;2019;273261;40124;Consumos intermedios a precios de adquisición;;A
3143;2019;273252;40124;Consumos intermedios a precios de adquisición;;A
3143;2019;273258;40124;Consumos intermedios a precios de adquisición;;A
3143;2018;273165;40123;Consumos intermedios a precios de adquisición;4592862.0;A
3143;2018;273129;40123;Consumos intermedios a precios de adquisición;4592862.0;A
3143;2018;273167;40123;Consumos intermedios a precios de adquisición;4203006.0;A
3143;2018;273168;40123;Consumos intermedios a precios de adquisición;216133.0;A
3143;2018;273169;40123;Consumos intermedios a precios de adquisición;173723.0;A
3143;2018;273166;40123;Consumos intermedios a precios de adquisición;61377042;A
3143;2018;273248;40123;Consumos intermedios a precios de adquisición;52329547;A
3143;2018;273130;40123;Consumos intermedios a precios de adquisición;706337.0;A
3143;2018;273170;40123;Consumos intermedios a precios de adquisición;706337.0;A
3143;2018;273131;40123;Consumos intermedios a precios de adquisición;14484850;A
3143;2018;273171;40123;Consumos intermedios a precios de adquisición;1928475.0;A
3143;2018;273172;40123;Consumos intermedios a precios de adquisición;362875.0;A
3143;2018;273173;40123;Consumos intermedios a precios de adquisición;1252655.0;A
3143;2018;273174;40123;Consumos intermedios a precios de adquisición;5928529.0;A
3143;2018;273175;40123;Consumos intermedios a precios de adquisición;513169.0;A
3143;2018;273176;40123;Consumos intermedios a precios de adquisición;1218668.0;A
3143;2018;273177;40123;Consumos intermedios a precios de adquisición;1418042.0;A
3143;2018;273178;40123;Consumos intermedios a precios de adquisición;1862437.0;A
3143;2018;273132;40123;Consumos intermedios a precios de adquisición;539053.0;A
3143;2018;273179;40123;Consumos intermedios a precios de adquisición;539053.0;A
3143;2018;273133;40123;Consumos intermedios a precios de adquisición;1382150.0;A
3143;2018;273180;40123;Consumos intermedios a precios de adquisición;537610.0;A
3143;2018;273181;40123;Consumos intermedios a precios de adquisición;570443.0;A
3143;2018;273182;40123;Consumos intermedios a precios de adquisición;274097.0;A
3143;2018;273134;40123;Consumos intermedios a precios de adquisición;20053310;A
3143;2018;273183;40123;Consumos intermedios a precios de adquisición;19278142;A
3143;2018;273184;40123;Consumos intermedios a precios de adquisición;775168.0;A
3143;2018;273135;40123;Consumos intermedios a precios de adquisición;183110.0;A
3143;2018;273185;40123;Consumos intermedios a precios de adquisición;183110.0;A
3143;2018;273136;40123;Consumos intermedios a precios de adquisición;2338335.0;A
3143;2018;273186;40123;Consumos intermedios a precios de adquisición;992465.0;A
3143;2018;273189;40123;Consumos intermedios a precios de adquisición;575114.0;A
3143;2018;273188;40123;Consumos intermedios a precios de adquisición;87122.0;A
3143;2018;273187;40123;Consumos intermedios a precios de adquisición;683634.0;A
3143;2018;273137;40123;Consumos intermedios a precios de adquisición;6802145.0;A
3143;2018;273190;40123;Consumos intermedios a precios de adquisición;5167857.0;A
3143;2018;273191;40123;Consumos intermedios a precios de adquisición;1634288.0;A
3143;2018;273138;40123;Consumos intermedios a precios de adquisición;295289.0;A
