D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2015;2352;M;Y35-39;DEATHS;32.0;A
2015;2352;M;Y40-44;DEATHS;42.0;A
2015;2352;M;Y45-49;DEATHS;63.0;A
2015;2352;M;Y50-54;DEATHS;104.0;A
2015;2352;M;Y55-59;DEATHS;165.0;A
2015;2352;M;Y60-64;DEATHS;183.0;A
2015;2352;M;Y65-69;DEATHS;242.0;A
2015;2352;M;Y70-74;DEATHS;298.0;A
2015;2352;M;Y75-79;DEATHS;361.0;A
2015;2352;M;Y80-84;DEATHS;510.0;A
2015;2352;M;Y85-89;DEATHS;446.0;A
2015;2352;M;Y90-94;DEATHS;220.0;A
2015;2352;M;Y95-99;DEATHS;55.0;A
2015;2352;M;Y_GE100;DEATHS;9.0;A
2015;2352;F;TOTAL;DEATHS;2506.0;A
2015;2352;F;Y_LT1;DEATHS;12.0;A
2015;2352;F;Y1-4;DEATHS;3.0;A
2015;2352;F;Y5-9;DEATHS;2.0;A
2015;2352;F;Y10-14;DEATHS;1.0;A
2015;2352;F;Y15-19;DEATHS;1.0;A
2015;2352;F;Y20-24;DEATHS;3.0;A
2015;2352;F;Y25-29;DEATHS;3.0;A
2015;2352;F;Y30-34;DEATHS;8.0;A
2015;2352;F;Y35-39;DEATHS;23.0;A
2015;2352;F;Y40-44;DEATHS;17.0;A
2015;2352;F;Y45-49;DEATHS;39.0;A
2015;2352;F;Y50-54;DEATHS;39.0;A
2015;2352;F;Y55-59;DEATHS;62.0;A
2015;2352;F;Y60-64;DEATHS;72.0;A
2015;2352;F;Y65-69;DEATHS;98.0;A
2015;2352;F;Y70-74;DEATHS;157.0;A
2015;2352;F;Y75-79;DEATHS;259.0;A
2015;2352;F;Y80-84;DEATHS;476.0;A
2015;2352;F;Y85-89;DEATHS;597.0;A
2015;2352;F;Y90-94;DEATHS;466.0;A
2015;2352;F;Y95-99;DEATHS;141.0;A
2015;2352;F;Y_GE100;DEATHS;27.0;A
2015;2241;_T;TOTAL;DEATHS;16.0;A
2015;2241;_T;Y75-79;DEATHS;3.0;A
2015;2241;_T;Y80-84;DEATHS;5.0;A
2015;2241;_T;Y85-89;DEATHS;3.0;A
