OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55537;55550;2009;VIAJEROS;34374.43;A
A;55537;55550;2008;VIAJEROS;35752.3;A
A;55537;55551;2020;VIAJEROS;25464.62562365;A
A;55537;55551;2019;VIAJEROS;57521.904912827;A
A;55537;55551;2018;VIAJEROS;61548.63630651;A
A;55537;55551;2017;VIAJEROS;59624.21761686;A
A;55537;55551;2016;VIAJEROS;63094.04123936;A
A;55537;55551;2015;VIAJEROS;57795.69534184;A
A;55537;55551;2014;VIAJEROS;59571.99488994;A
A;55537;55551;2013;VIAJEROS;42620.46;A
A;55537;55551;2012;VIAJEROS;44845.46;A
A;55537;55551;2011;VIAJEROS;54458.61;A
A;55537;55551;2010;VIAJEROS;55129.38;A
A;55537;55551;2009;VIAJEROS;50652.85;A
A;55537;55551;2008;VIAJEROS;61204.51;A
A;55537;55552;2020;VIAJEROS;44022.663719059;A
A;55537;55552;2019;VIAJEROS;106058.90532778;A
A;55537;55552;2018;VIAJEROS;108573.29133426;A
A;55537;55552;2017;VIAJEROS;94703.4340322;A
A;55537;55552;2016;VIAJEROS;96202.01705396;A
A;55537;55552;2015;VIAJEROS;96827.8891804;A
A;55537;55552;2014;VIAJEROS;84505.0287454;A
A;55537;55552;2013;VIAJEROS;78359.29;A
A;55537;55552;2012;VIAJEROS;69702.41;A
A;55537;55552;2011;VIAJEROS;79197.23;A
A;55537;55552;2010;VIAJEROS;80412.42;A
A;55537;55552;2009;VIAJEROS;88973.35;A
A;55537;55552;2008;VIAJEROS;89601.26;A
A;55537;55553;2020;VIAJEROS;3511.386846605;A
A;55537;55553;2019;VIAJEROS;12283.256166259;A
A;55537;55553;2018;VIAJEROS;10944.06663356;A
A;55537;55553;2017;VIAJEROS;10204.362057231;A
A;55537;55553;2016;VIAJEROS;9585.73540783;A
A;55537;55553;2015;VIAJEROS;7519.520241179;A
A;55537;55553;2014;VIAJEROS;7914.90190538;A
A;55537;55553;2013;VIAJEROS;6583.37;A
A;55537;55553;2012;VIAJEROS;6423.62;A
A;55537;55553;2011;VIAJEROS;6762.71;A
A;55537;55553;2010;VIAJEROS;7115.73;A
A;55537;55553;2009;VIAJEROS;9626.33;A
A;55537;55553;2008;VIAJEROS;8395.74;A
A;55537;55554;2020;VIAJEROS;6976.663847808;A
A;55537;55554;2019;VIAJEROS;15335.111876214;A
A;55537;55554;2018;VIAJEROS;18241.368895516;A
A;55537;55554;2017;VIAJEROS;15274.891444212;A
A;55537;55554;2016;VIAJEROS;14177.873025549;A
A;55537;55554;2015;VIAJEROS;9876.419615303;A
A;55537;55554;2014;VIAJEROS;7606.534774709;A
A;55537;55554;2013;VIAJEROS;7737.03;A
A;55537;55554;2012;VIAJEROS;6480.54;A
A;55537;55554;2011;VIAJEROS;11831.09;A
A;55537;55554;2010;VIAJEROS;13673.21;A
A;55537;55554;2009;VIAJEROS;11296.09;A
A;55537;55554;2008;VIAJEROS;8387.89;A
A;55537;55555;2020;VIAJEROS;63150.937574357;A
A;55537;55555;2019;VIAJEROS;166788.908580999;A
A;55537;55555;2018;VIAJEROS;157301.1751501;A
A;55537;55555;2017;VIAJEROS;144326.1226534;A
A;55537;55555;2016;VIAJEROS;161755.5456085;A
A;55537;55555;2015;VIAJEROS;152585.4692916;A
A;55537;55555;2014;VIAJEROS;132525.2067947;A
A;55537;55555;2013;VIAJEROS;130194.96;A
A;55537;55555;2012;VIAJEROS;104922.27;A
A;55537;55555;2011;VIAJEROS;113697.66;A
A;55537;55555;2010;VIAJEROS;133010.49;A
A;55537;55555;2009;VIAJEROS;120192.98;A
A;55537;55555;2008;VIAJEROS;139893.96;A
A;55537;55556;2020;VIAJEROS;42236.103131421;A
A;55537;55556;2019;VIAJEROS;102203.325295753;A
A;55537;55556;2018;VIAJEROS;107294.28075896;A
A;55537;55556;2017;VIAJEROS;105367.61075517;A
A;55537;55556;2016;VIAJEROS;113836.4600145;A
A;55537;55556;2015;VIAJEROS;105509.6578561;A
A;55537;55556;2014;VIAJEROS;98757.30700279;A
A;55537;55556;2013;VIAJEROS;87794.04;A
A;55537;55556;2012;VIAJEROS;86912.47;A
A;55537;55556;2011;VIAJEROS;100428.66;A
A;55537;55556;2010;VIAJEROS;107321.13;A
A;55537;55556;2009;VIAJEROS;101384.59;A
A;55537;55556;2008;VIAJEROS;93967.52;A
A;55537;55557;2020;VIAJEROS;1719.468409359;A
A;55537;55557;2019;VIAJEROS;3836.147578487;A
A;55537;55557;2018;VIAJEROS;5159.665436203;A
A;55537;55557;2017;VIAJEROS;4089.185447052;A
A;55537;55557;2016;VIAJEROS;5280.437510367;A
A;55537;55557;2015;VIAJEROS;5713.270576023;A
A;55537;55557;2014;VIAJEROS;4189.675267267;A
A;55537;55557;2013;VIAJEROS;3774.38;A
A;55537;55557;2012;VIAJEROS;3476.76;A
A;55537;55557;2011;VIAJEROS;4794.19;A
A;55537;55557;2010;VIAJEROS;3438.74;A
A;55537;55557;2009;VIAJEROS;5084.36;A
A;55537;55557;2008;VIAJEROS;4826.23;A
A;55537;55558;2020;VIAJEROS;5938.073750388;A
A;55537;55558;2019;VIAJEROS;14330.710284681;A
A;55537;55558;2018;VIAJEROS;15280.413686904;A
A;55537;55558;2017;VIAJEROS;12872.77793566;A
A;55537;55558;2016;VIAJEROS;22687.673568967;A
A;55537;55558;2015;VIAJEROS;16073.47545254;A
A;55537;55558;2014;VIAJEROS;13485.644346757;A
A;55537;55558;2013;VIAJEROS;11024.6;A
A;55537;55558;2012;VIAJEROS;9532.14;A
A;55537;55558;2011;VIAJEROS;13453.37;A
A;55537;55558;2010;VIAJEROS;12416.45;A
A;55537;55558;2009;VIAJEROS;11531.88;A
A;55537;55558;2008;VIAJEROS;10743.45;A
A;55537;55559;2020;VIAJEROS;981.390925722;A
A;55537;55559;2019;VIAJEROS;2663.637298253;A
A;55537;55559;2018;VIAJEROS;1921.421882782;A
A;55537;55559;2017;VIAJEROS;2418.338022148;A
A;55537;55559;2016;VIAJEROS;2679.358437272;A
A;55537;55559;2015;VIAJEROS;2161.958141099;A
A;55537;55559;2014;VIAJEROS;2132.646409294;A
A;55537;55559;2013;VIAJEROS;1567.35;A
A;55537;55559;2012;VIAJEROS;1457.77;A
A;55537;55559;2011;VIAJEROS;2631.03;A
A;55537;55559;2010;VIAJEROS;1409.98;A
A;55537;55559;2009;VIAJEROS;1394.34;A
A;55537;55559;2008;VIAJEROS;1467.79;A
A;55537;55544;2020;VIAJEROS;4742.82255569;A
A;55537;55544;2019;VIAJEROS;10248.548011263;A
A;55537;55544;2018;VIAJEROS;10371.300429684;A
A;55537;55544;2017;VIAJEROS;6233.052504953;A
A;55537;55544;2016;VIAJEROS;10340.690097207;A
A;55537;55544;2015;VIAJEROS;7744.471368535;A
A;55537;55544;2014;VIAJEROS;6187.10377907;A
A;55537;55544;2013;VIAJEROS;8075.81;A
A;55537;55544;2012;VIAJEROS;6280.14;A
A;55537;55544;2011;VIAJEROS;8208.95;A
A;55537;55544;2010;VIAJEROS;9615.41;A
A;55537;55544;2009;VIAJEROS;6743.56;A
A;55537;55544;2008;VIAJEROS;11863.03;A
A;55537;55561;2020;VIAJEROS;1583.851581325;A
A;55537;55561;2019;VIAJEROS;2349.957488649;A
A;55537;55561;2018;VIAJEROS;2485.530179044;A
A;55537;55561;2017;VIAJEROS;2277.205454884;A
A;55537;55561;2016;VIAJEROS;3190.696276137;A
A;55537;55561;2015;VIAJEROS;1326.514704493;A
A;55537;55561;2014;VIAJEROS;2040.095400952;A
A;55537;55561;2013;VIAJEROS;2328.61;A
A;55537;55561;2012;VIAJEROS;1048.81;A
A;55537;55561;2011;VIAJEROS;1143.65;A
A;55537;55561;2010;VIAJEROS;3695.05;A
A;55537;55561;2009;VIAJEROS;4037.84;A
A;55537;55561;2008;VIAJEROS;4088.32;A
A;55537;55562;2020;VIAJEROS;1232.026354438;A
A;55537;55562;2019;VIAJEROS;3680.104986929;A
A;55537;55562;2018;VIAJEROS;2940.216873687;A
A;55537;55562;2017;VIAJEROS;2545.80294427;A
A;55537;55562;2016;VIAJEROS;2593.301930975;A
A;55537;55562;2015;VIAJEROS;3730.508279412;A
A;55537;55562;2014;VIAJEROS;2716.60048774;A
A;55537;55562;2013;VIAJEROS;3030.51;A
A;55537;55562;2012;VIAJEROS;7646.94;A
A;55537;55562;2011;VIAJEROS;2799.27;A
A;55538;55564;2020;VIAJEROS;817677.168739736;A
A;55538;55564;2019;VIAJEROS;1427767.932237583;A
A;55538;55564;2018;VIAJEROS;1301142.477498853;A
A;55538;55564;2017;VIAJEROS;1235847.131227327;A
A;55538;55564;2016;VIAJEROS;1230713.981828442;A
A;55538;55564;2015;VIAJEROS;1228059.992224888;A
A;55538;55564;2014;VIAJEROS;1133510.079260452;A
A;55538;55564;2013;VIAJEROS;1127897.22;A
A;55538;55564;2012;VIAJEROS;980436.09;A
A;55538;55564;2011;VIAJEROS;1158652.11;A
A;55538;55564;2010;VIAJEROS;1236433.94;A
A;55538;55564;2009;VIAJEROS;1367761.95;A
A;55538;55564;2008;VIAJEROS;1436416.12;A
A;55538;55543;2020;VIAJEROS;524614.764249621;A
A;55538;55543;2019;VIAJEROS;834942.31071328;A
A;55538;55543;2018;VIAJEROS;754184.9560627;A
A;55538;55543;2017;VIAJEROS;721703.4864995;A
A;55538;55543;2016;VIAJEROS;712755.4915459;A
A;55538;55543;2015;VIAJEROS;718323.8767795;A
A;55538;55543;2014;VIAJEROS;682759.8035088;A
A;55538;55543;2013;VIAJEROS;644026.02;A
A;55538;55543;2012;VIAJEROS;548780.27;A
A;55538;55543;2011;VIAJEROS;654302.38;A
A;55538;55543;2010;VIAJEROS;686489.2;A
A;55538;55543;2009;VIAJEROS;758745.9;A
A;55538;55543;2008;VIAJEROS;776285.15;A
A;55538;55563;2020;VIAJEROS;293062.404490115;A
A;55538;55563;2019;VIAJEROS;592825.621524303;A
A;55538;55563;2018;VIAJEROS;546957.521436153;A
A;55538;55563;2017;VIAJEROS;514143.644727827;A
A;55538;55563;2016;VIAJEROS;517958.490282542;A
A;55538;55563;2015;VIAJEROS;509736.115445388;A
A;55538;55563;2014;VIAJEROS;450750.275751652;A
A;55538;55563;2013;VIAJEROS;483871.2;A
