OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70671;2017;EMPLEO_MEDIO;431.424510365;A
A;70671;2016;EMPLEO_MEDIO;414.588035497;A
A;70671;2015;EMPLEO_MEDIO;398.71519157;A
A;70671;2014;EMPLEO_MEDIO;407.020477258;A
A;70671;2013;EMPLEO_MEDIO;373.9775;A
A;70671;2012;EMPLEO_MEDIO;328.172500001;A
A;70671;2011;EMPLEO_MEDIO;319.531666666;A
A;70671;2010;EMPLEO_MEDIO;330.901666667;A
A;70671;2008;EMPLEO_MEDIO;392.8175;A
A;70672;2020;EMPLEO_MEDIO;862.894729812;A
A;70672;2019;EMPLEO_MEDIO;1580.780515287;A
A;70672;2018;EMPLEO_MEDIO;1660.491511376;A
A;70672;2017;EMPLEO_MEDIO;1620.829675374;A
A;70672;2016;EMPLEO_MEDIO;1530.946538748;A
A;70672;2015;EMPLEO_MEDIO;1406.497876764;A
A;70672;2014;EMPLEO_MEDIO;1252.240584722;A
A;70672;2013;EMPLEO_MEDIO;1212.494166666;A
A;70672;2011;EMPLEO_MEDIO;1449.950833334;A
A;70672;2010;EMPLEO_MEDIO;1482.337500001;A
A;70672;2009;EMPLEO_MEDIO;1628.969166666;A
A;70672;2008;EMPLEO_MEDIO;1849.611666667;A
A;70673;2020;EMPLEO_MEDIO;110.489306351;A
A;70673;2019;EMPLEO_MEDIO;175.562889313;A
A;70673;2018;EMPLEO_MEDIO;147.954197865;A
A;70673;2017;EMPLEO_MEDIO;75.243681413;A
A;70673;2013;EMPLEO_MEDIO;73.992500001;A
A;55110;2020;EMPLEO_MEDIO;245.12792315;A
A;55110;2019;EMPLEO_MEDIO;468.963345674;A
A;55110;2018;EMPLEO_MEDIO;450.658666648;A
A;55110;2017;EMPLEO_MEDIO;460.649159069;A
A;55110;2016;EMPLEO_MEDIO;439.808042391;A
A;55110;2015;EMPLEO_MEDIO;401.55189492;A
A;55110;2014;EMPLEO_MEDIO;353.309354836;A
A;55110;2013;EMPLEO_MEDIO;364.305833334;A
A;70674;2020;EMPLEO_MEDIO;288.658928547;A
A;70674;2019;EMPLEO_MEDIO;470.859285408;A
A;70674;2018;EMPLEO_MEDIO;432.760709802;A
A;70674;2017;EMPLEO_MEDIO;423.8579603;A
A;70674;2016;EMPLEO_MEDIO;419.165746362;A
A;70674;2015;EMPLEO_MEDIO;413.011062755;A
A;70674;2014;EMPLEO_MEDIO;448.029721272;A
A;70674;2013;EMPLEO_MEDIO;448.816666666;A
A;70674;2012;EMPLEO_MEDIO;475.4125;A
A;70674;2011;EMPLEO_MEDIO;510.958333333;A
A;70674;2010;EMPLEO_MEDIO;491.1075;A
A;70674;2009;EMPLEO_MEDIO;528.186666666;A
A;70674;2008;EMPLEO_MEDIO;623.319166666;A
A;70675;2020;EMPLEO_MEDIO;161.937397841;A
A;70675;2019;EMPLEO_MEDIO;275.923697035;A
A;70675;2018;EMPLEO_MEDIO;256.38131152;A
A;70675;2017;EMPLEO_MEDIO;252.303315826;A
A;70675;2016;EMPLEO_MEDIO;237.961043521;A
A;70675;2015;EMPLEO_MEDIO;260.914045067;A
A;70675;2014;EMPLEO_MEDIO;290.926649816;A
A;70675;2013;EMPLEO_MEDIO;293.620833333;A
A;70675;2012;EMPLEO_MEDIO;276.316666667;A
A;70675;2011;EMPLEO_MEDIO;316.324166666;A
A;70675;2010;EMPLEO_MEDIO;336.128333333;A
A;70675;2009;EMPLEO_MEDIO;384.331666666;A
A;70675;2008;EMPLEO_MEDIO;408.627499999;A
A;278910;2020;EMPLEO_MEDIO;254.957775955;A
A;278910;2019;EMPLEO_MEDIO;423.851938337;A
A;278911;2020;EMPLEO_MEDIO;67.123682843;A
A;278911;2019;EMPLEO_MEDIO;121.049487644;A
A;278911;2018;EMPLEO_MEDIO;117.154139844;A
A;55111;2020;EMPLEO_MEDIO;212.165356557;A
A;55111;2019;EMPLEO_MEDIO;373.514895172;A
A;55111;2018;EMPLEO_MEDIO;351.734056232;A
A;55111;2017;EMPLEO_MEDIO;321.50917943;A
A;55111;2016;EMPLEO_MEDIO;276.134000433;A
A;55111;2015;EMPLEO_MEDIO;276.313931695;A
A;55111;2014;EMPLEO_MEDIO;214.602104257;A
A;55111;2013;EMPLEO_MEDIO;227.996666667;A
A;55111;2011;EMPLEO_MEDIO;218.720833333;A
A;55111;2010;EMPLEO_MEDIO;245.255833333;A
A;55111;2009;EMPLEO_MEDIO;229.355000001;A
A;55112;2019;EMPLEO_MEDIO;73.601451487;A
A;838202;2020;EMPLEO_MEDIO;70.617182651;A
A;55113;2020;EMPLEO_MEDIO;485.954063286;A
A;55113;2019;EMPLEO_MEDIO;930.97036646;A
A;55113;2018;EMPLEO_MEDIO;879.362054831;A
A;55113;2017;EMPLEO_MEDIO;911.59371283;A
A;55113;2016;EMPLEO_MEDIO;913.873892279;A
A;55113;2015;EMPLEO_MEDIO;904.692900819;A
A;55113;2014;EMPLEO_MEDIO;860.293050329;A
A;55113;2013;EMPLEO_MEDIO;804.008333333;A
A;55113;2012;EMPLEO_MEDIO;879.235833332;A
A;55113;2011;EMPLEO_MEDIO;874.175;A
A;55113;2010;EMPLEO_MEDIO;796.733333333;A
A;55113;2009;EMPLEO_MEDIO;738.4125;A
A;55113;2008;EMPLEO_MEDIO;769.849166667;A
A;55114;2020;EMPLEO_MEDIO;216.805503818;A
A;55114;2019;EMPLEO_MEDIO;595.777355476;A
A;55114;2018;EMPLEO_MEDIO;618.086231397;A
A;55114;2017;EMPLEO_MEDIO;530.952974897;A
A;55114;2016;EMPLEO_MEDIO;476.766546289;A
A;55114;2015;EMPLEO_MEDIO;456.226304688;A
A;55114;2014;EMPLEO_MEDIO;390.622061603;A
A;55114;2013;EMPLEO_MEDIO;392.310833333;A
A;55114;2011;EMPLEO_MEDIO;406.641666666;A
A;55114;2010;EMPLEO_MEDIO;428.418333334;A
A;55114;2009;EMPLEO_MEDIO;430.560833334;A
A;55114;2008;EMPLEO_MEDIO;429.0275;A
A;55115;2020;EMPLEO_MEDIO;779.807124881;A
A;55115;2019;EMPLEO_MEDIO;1753.383666243;A
A;55115;2018;EMPLEO_MEDIO;1765.403206968;A
A;55115;2017;EMPLEO_MEDIO;1673.791813403;A
A;55115;2016;EMPLEO_MEDIO;1675.022311562;A
A;55115;2015;EMPLEO_MEDIO;1619.040859741;A
A;55115;2014;EMPLEO_MEDIO;1557.583344993;A
A;55115;2013;EMPLEO_MEDIO;1535.795833332;A
A;55115;2012;EMPLEO_MEDIO;1576.460833334;A
A;55115;2011;EMPLEO_MEDIO;1765.474166666;A
A;55115;2010;EMPLEO_MEDIO;1878.78;A
A;55115;2009;EMPLEO_MEDIO;1850.883333334;A
A;55115;2008;EMPLEO_MEDIO;1816.998333333;A
A;70676;2020;EMPLEO_MEDIO;158.184322879;A
A;70676;2019;EMPLEO_MEDIO;230.718671245;A
A;70676;2018;EMPLEO_MEDIO;225.296329253;A
A;70676;2017;EMPLEO_MEDIO;267.782342867;A
A;70676;2014;EMPLEO_MEDIO;198.98639692;A
A;70676;2013;EMPLEO_MEDIO;189.763333334;A
A;70676;2012;EMPLEO_MEDIO;191.782499999;A
A;70676;2011;EMPLEO_MEDIO;234.897500001;A
A;70676;2010;EMPLEO_MEDIO;247.8025;A
A;70677;2020;EMPLEO_MEDIO;131.821484462;A
A;70677;2019;EMPLEO_MEDIO;301.16427121;A
A;70677;2018;EMPLEO_MEDIO;286.726410864;A
A;70677;2017;EMPLEO_MEDIO;308.597994364;A
A;70677;2016;EMPLEO_MEDIO;295.460997436;A
A;70677;2015;EMPLEO_MEDIO;252.743940572;A
A;70677;2013;EMPLEO_MEDIO;232.894166667;A
A;70678;2019;EMPLEO_MEDIO;437.902838275;A
A;282055;2020;EMPLEO_MEDIO;175.2184772;A
A;282055;2019;EMPLEO_MEDIO;399.981509215;A
A;70679;2020;EMPLEO_MEDIO;65.42297433;A
A;70679;2019;EMPLEO_MEDIO;107.349093147;A
A;70679;2012;EMPLEO_MEDIO;107.975833334;A
A;70679;2009;EMPLEO_MEDIO;160.032500001;A
A;70679;2008;EMPLEO_MEDIO;169.085;A
A;55117;2019;EMPLEO_MEDIO;508.840688998;A
A;70680;2020;EMPLEO_MEDIO;54.899680646;A
A;302612;2019;EMPLEO_MEDIO;142.140376174;A
A;269776;2019;EMPLEO_MEDIO;540.441646889;A
A;278109;2020;EMPLEO_MEDIO;44.811781863;A
A;278109;2019;EMPLEO_MEDIO;79.49947534;A
A;70681;2020;EMPLEO_MEDIO;76.896632753;A
A;70681;2019;EMPLEO_MEDIO;108.7349638;A
