OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55537;55698;2020;VIAJEROS;525968.718530557;A
A;55537;55698;2019;VIAJEROS;1429062.806509167;A
A;55537;55698;2018;VIAJEROS;1428704.592945276;A
A;55537;55698;2017;VIAJEROS;1327779.312842189;A
A;55537;55698;2016;VIAJEROS;1313137.782483114;A
A;55537;55698;2015;VIAJEROS;1196704.747536046;A
A;55537;55698;2014;VIAJEROS;1101917.347542964;A
A;55537;55698;2013;VIAJEROS;1017507.35;A
A;55537;55698;2012;VIAJEROS;898785.1;A
A;55537;55698;2011;VIAJEROS;1064711.16;A
A;55537;55698;2010;VIAJEROS;1109936.21;A
A;55537;55698;2009;VIAJEROS;1101175.31;A
A;55537;55698;2008;VIAJEROS;1212033.89;A
A;55537;55565;2020;VIAJEROS;455423.140004105;A
A;55537;55565;2019;VIAJEROS;1102699.219173495;A
A;55537;55565;2018;VIAJEROS;1087938.709870993;A
A;55537;55565;2017;VIAJEROS;992221.634711428;A
A;55537;55565;2016;VIAJEROS;1013304.377556431;A
A;55537;55565;2015;VIAJEROS;971121.984928282;A
A;55537;55565;2014;VIAJEROS;884616.062410806;A
A;55537;55565;2013;VIAJEROS;813483.42;A
A;55537;55565;2012;VIAJEROS;751346.59;A
A;55537;55565;2011;VIAJEROS;911922.92;A
A;55537;55565;2010;VIAJEROS;967536.68;A
A;55537;55565;2009;VIAJEROS;938767.87;A
A;55537;55565;2008;VIAJEROS;1005775.31;A
A;55537;55697;2020;VIAJEROS;70545.578526452;A
A;55537;55697;2019;VIAJEROS;326363.587335672;A
A;55537;55697;2018;VIAJEROS;340765.883074283;A
A;55537;55697;2017;VIAJEROS;335557.678130761;A
A;55537;55697;2016;VIAJEROS;299833.404926683;A
A;55537;55697;2015;VIAJEROS;225582.762607764;A
A;55537;55697;2014;VIAJEROS;217301.285132158;A
A;55537;55697;2013;VIAJEROS;204023.93;A
A;55537;55697;2012;VIAJEROS;147438.51;A
A;55537;55697;2011;VIAJEROS;152788.24;A
A;55537;55697;2010;VIAJEROS;142399.53;A
A;55537;55697;2009;VIAJEROS;162407.44;A
A;55537;55697;2008;VIAJEROS;206258.58;A
A;55537;55577;2020;VIAJEROS;5503.083763014;A
A;55537;55577;2019;VIAJEROS;19635.448774074;A
A;55537;55577;2018;VIAJEROS;24753.29643864;A
A;55537;55577;2017;VIAJEROS;26750.37725427;A
A;55537;55577;2016;VIAJEROS;25014.10447269;A
A;55537;55577;2015;VIAJEROS;21779.72576364;A
A;55537;55577;2014;VIAJEROS;19771.00448422;A
A;55537;55577;2013;VIAJEROS;18556.87;A
A;55537;55577;2012;VIAJEROS;16476.02;A
A;55537;55577;2011;VIAJEROS;20908.29;A
A;55537;55577;2010;VIAJEROS;22845.83;A
A;55537;55577;2009;VIAJEROS;29883.82;A
A;55537;55577;2008;VIAJEROS;36882.4;A
A;55537;516705;2020;VIAJEROS;458.26901084;A
A;55537;516705;2019;VIAJEROS;1571.149357956;A
A;55537;516705;2018;VIAJEROS;2149.294218204;A
A;55537;516705;2017;VIAJEROS;1636.143723081;A
A;55537;516705;2016;VIAJEROS;1453.707173474;A
A;55537;516705;2015;VIAJEROS;1154.156474431;A
A;55537;516705;2014;VIAJEROS;1073.863532954;A
A;55537;516705;2013;VIAJEROS;1054.19;A
A;55537;516705;2012;VIAJEROS;1016.67;A
A;55537;516705;2011;VIAJEROS;1206.03;A
A;55537;516705;2010;VIAJEROS;1773.23;A
A;55537;516705;2009;VIAJEROS;1232.1;A
A;55537;516705;2008;VIAJEROS;6157.84;A
A;55537;516706;2020;VIAJEROS;3196.48788545;A
A;55537;516706;2019;VIAJEROS;19840.88570601;A
A;55537;516706;2018;VIAJEROS;22366.50420706;A
A;55537;516706;2017;VIAJEROS;24026.076119469;A
A;55537;516706;2016;VIAJEROS;27884.371874056;A
A;55537;516706;2015;VIAJEROS;23442.669630494;A
A;55537;516706;2014;VIAJEROS;20826.692868922;A
A;55537;516706;2013;VIAJEROS;20810.22;A
A;55537;516706;2012;VIAJEROS;16787.47;A
A;55537;516706;2011;VIAJEROS;15922.98;A
A;55537;516706;2010;VIAJEROS;13099.53;A
A;55537;516706;2009;VIAJEROS;15709.1;A
A;55537;516706;2008;VIAJEROS;19294.86;A
A;55537;516707;2020;VIAJEROS;449.990076819;A
A;55537;516707;2019;VIAJEROS;5971.464118238;A
A;55537;516707;2018;VIAJEROS;8884.770333658;A
A;55537;516707;2017;VIAJEROS;9871.455826699;A
A;55537;516707;2016;VIAJEROS;5173.80224036;A
A;55537;516707;2015;VIAJEROS;3879.489277287;A
A;55537;516707;2014;VIAJEROS;6564.28910427;A
A;55537;516707;2013;VIAJEROS;5578.14;A
A;55537;516707;2012;VIAJEROS;921.69;A
A;55537;516707;2011;VIAJEROS;1026.8;A
A;55537;516707;2010;VIAJEROS;1311.97;A
A;55537;516707;2009;VIAJEROS;900.84;A
A;55537;516707;2008;VIAJEROS;1288.64;A
A;55537;516708;2020;VIAJEROS;381.39816192;A
A;55537;516708;2019;VIAJEROS;2047.219424056;A
A;55537;516708;2018;VIAJEROS;3083.703502557;A
A;55537;516708;2017;VIAJEROS;1937.778112646;A
A;55537;516708;2016;VIAJEROS;1543.071616133;A
A;55537;516708;2015;VIAJEROS;1045.068679066;A
A;55537;516708;2014;VIAJEROS;2042.369068863;A
A;55537;516708;2013;VIAJEROS;3310.81;A
A;55537;516708;2012;VIAJEROS;700.95;A
A;55537;516708;2011;VIAJEROS;500.92;A
A;55537;516708;2010;VIAJEROS;775.81;A
A;55537;516708;2009;VIAJEROS;479.43;A
A;55537;516708;2008;VIAJEROS;802.38;A
A;55537;55568;2020;VIAJEROS;7958.952829221;A
A;55537;55568;2019;VIAJEROS;30359.887037412;A
A;55537;55568;2018;VIAJEROS;28015.37478755;A
A;55537;55568;2017;VIAJEROS;24905.55980696;A
A;55537;55568;2016;VIAJEROS;24548.6507779;A
A;55537;55568;2015;VIAJEROS;21474.63252897;A
A;55537;55568;2014;VIAJEROS;20114.66397626;A
A;55537;55568;2013;VIAJEROS;18237.56;A
A;55537;55568;2012;VIAJEROS;13605.92;A
A;55537;55568;2011;VIAJEROS;16014.22;A
A;55537;55568;2010;VIAJEROS;15775.74;A
A;55537;55568;2009;VIAJEROS;15468.42;A
A;55537;55568;2008;VIAJEROS;16894.47;A
A;55537;516709;2020;VIAJEROS;108.099891139;A
A;55537;516709;2019;VIAJEROS;273.419689126;A
A;55537;516709;2018;VIAJEROS;512.417705604;A
A;55537;516709;2017;VIAJEROS;313.868285544;A
A;55537;516709;2016;VIAJEROS;210.833041354;A
A;55537;516709;2015;VIAJEROS;463.053178847;A
A;55537;516709;2014;VIAJEROS;117.836521714;A
A;55537;516709;2013;VIAJEROS;459.44;A
A;55537;516709;2012;VIAJEROS;232.51;A
A;55537;516709;2011;VIAJEROS;422.64;A
A;55537;516709;2010;VIAJEROS;632.89;A
A;55537;516709;2009;VIAJEROS;275.56;A
A;55537;516709;2008;VIAJEROS;759.34;A
A;55537;516710;2020;VIAJEROS;1173.700507342;A
A;55537;516710;2019;VIAJEROS;6496.406448419;A
A;55537;516710;2018;VIAJEROS;7290.291275175;A
A;55537;516710;2017;VIAJEROS;6584.917263777;A
A;55537;516710;2016;VIAJEROS;6501.665116896;A
A;55537;516710;2015;VIAJEROS;4635.538477537;A
A;55537;516710;2014;VIAJEROS;3444.766576764;A
A;55537;516710;2013;VIAJEROS;1956.82;A
A;55537;516710;2012;VIAJEROS;1799.3;A
A;55537;516710;2011;VIAJEROS;2048.97;A
A;55537;516710;2010;VIAJEROS;2892.01;A
A;55537;516710;2009;VIAJEROS;7125.24;A
A;55537;516710;2008;VIAJEROS;9025.26;A
A;55537;516711;2020;VIAJEROS;3626.169551986;A
A;55537;516711;2019;VIAJEROS;13599.494211701;A
A;55537;516711;2018;VIAJEROS;11655.527288874;A
A;55537;516711;2017;VIAJEROS;11114.28499585;A
A;55537;516711;2016;VIAJEROS;10355.680875104;A
A;55537;516711;2015;VIAJEROS;9317.18626208;A
A;55537;516711;2014;VIAJEROS;7870.479441779;A
A;55537;516711;2013;VIAJEROS;7351.62;A
A;55537;516711;2012;VIAJEROS;7361.35;A
A;55537;516711;2011;VIAJEROS;9303.62;A
A;55537;516711;2010;VIAJEROS;9755.83;A
A;55537;516711;2009;VIAJEROS;8246.49;A
