TEMPORAL;SEXO;TERRITORIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;F;ES616;Y65-100;NUME_AUTO;1825.0;A
2019;F;ES616;TOTAL;NUME_AUTO;15925.0;A
2019;F;ES617;Y_LT15;NUME_AUTO;4225.0;A
2019;F;ES617;Y30-44;NUME_AUTO;11800.0;A
2019;F;ES617;Y45-64;NUME_AUTO;15975.0;A
2019;F;ES617;Y50-59;NUME_AUTO;11500.0;A
2019;F;ES617;Y65-100;NUME_AUTO;6375.0;A
2019;F;ES617;TOTAL;NUME_AUTO;49875.0;A
2019;F;ES618;Y_LT15;NUME_AUTO;4525.0;A
2019;F;ES618;Y30-44;NUME_AUTO;11575.0;A
2019;F;ES618;Y45-64;NUME_AUTO;13875.0;A
2019;F;ES618;Y50-59;NUME_AUTO;10275.0;A
2019;F;ES618;Y65-100;NUME_AUTO;4475.0;A
2019;F;ES618;TOTAL;NUME_AUTO;44725.0;A
2019;F;515892;Y_LT15;NUME_AUTO;19600.0;A
2019;F;515892;Y30-44;NUME_AUTO;51275.0;A
2019;F;515892;Y45-64;NUME_AUTO;68350.0;A
2019;F;515892;Y50-59;NUME_AUTO;52750.0;A
2019;F;515892;Y65-100;NUME_AUTO;25625.0;A
2019;F;515892;TOTAL;NUME_AUTO;217600.0;A
2019;_T;ES611;Y_LT15;NUME_AUTO;5400.0;A
2019;_T;ES611;Y30-44;NUME_AUTO;14750.0;A
2019;_T;ES611;Y45-64;NUME_AUTO;20725.0;A
2019;_T;ES611;Y50-59;NUME_AUTO;17500.0;A
2019;_T;ES611;Y65-100;NUME_AUTO;8050.0;A
2019;_T;ES611;TOTAL;NUME_AUTO;66425.0;A
2019;_T;ES612;Y_LT15;NUME_AUTO;5800.0;A
2019;_T;ES612;Y30-44;NUME_AUTO;15975.0;A
2019;_T;ES612;Y45-64;NUME_AUTO;22975.0;A
2019;_T;ES612;Y50-59;NUME_AUTO;17725.0;A
2019;_T;ES612;Y65-100;NUME_AUTO;7950.0;A
2019;_T;ES612;TOTAL;NUME_AUTO;70425.0;A
2019;_T;ES613;Y_LT15;NUME_AUTO;4225.0;A
2019;_T;ES613;Y30-44;NUME_AUTO;12550.0;A
2019;_T;ES613;Y45-64;NUME_AUTO;17350.0;A
2019;_T;ES613;Y50-59;NUME_AUTO;16125.0;A
2019;_T;ES613;Y65-100;NUME_AUTO;7750.0;A
2019;_T;ES613;TOTAL;NUME_AUTO;58000.0;A
2019;_T;ES614;Y_LT15;NUME_AUTO;5925.0;A
2019;_T;ES614;Y30-44;NUME_AUTO;15700.0;A
2019;_T;ES614;Y45-64;NUME_AUTO;23250.0;A
2019;_T;ES614;Y50-59;NUME_AUTO;19725.0;A
2019;_T;ES614;Y65-100;NUME_AUTO;8325.0;A
2019;_T;ES614;TOTAL;NUME_AUTO;72925.0;A
2019;_T;ES615;Y_LT15;NUME_AUTO;3025.0;A
2019;_T;ES615;Y30-44;NUME_AUTO;6350.0;A
2019;_T;ES615;Y45-64;NUME_AUTO;12025.0;A
2019;_T;ES615;Y50-59;NUME_AUTO;7625.0;A
2019;_T;ES615;Y65-100;NUME_AUTO;4075.0;A
2019;_T;ES615;TOTAL;NUME_AUTO;33100.0;A
2019;_T;ES616;Y_LT15;NUME_AUTO;4400.0;A
2019;_T;ES616;Y30-44;NUME_AUTO;9225.0;A
2019;_T;ES616;Y45-64;NUME_AUTO;13950.0;A
2019;_T;ES616;Y50-59;NUME_AUTO;13675.0;A
2019;_T;ES616;Y65-100;NUME_AUTO;5225.0;A
2019;_T;ES616;TOTAL;NUME_AUTO;46475.0;A
2019;_T;ES617;Y_LT15;NUME_AUTO;11150.0;A
2019;_T;ES617;Y30-44;NUME_AUTO;29075.0;A
2019;_T;ES617;Y45-64;NUME_AUTO;44050.0;A
2019;_T;ES617;Y50-59;NUME_AUTO;34350.0;A
2019;_T;ES617;Y65-100;NUME_AUTO;16950.0;A
2019;_T;ES617;TOTAL;NUME_AUTO;135575.0;A
2019;_T;ES618;Y_LT15;NUME_AUTO;10150.0;A
2019;_T;ES618;Y30-44;NUME_AUTO;29000.0;A
2019;_T;ES618;Y45-64;NUME_AUTO;42550.0;A
2019;_T;ES618;Y50-59;NUME_AUTO;30975.0;A
2019;_T;ES618;Y65-100;NUME_AUTO;13125.0;A
2019;_T;ES618;TOTAL;NUME_AUTO;125800.0;A
2019;_T;515892;Y_LT15;NUME_AUTO;50450.0;A
2019;_T;515892;Y30-44;NUME_AUTO;133700.0;A
2019;_T;515892;Y45-64;NUME_AUTO;198400.0;A
2019;_T;515892;Y50-59;NUME_AUTO;158725.0;A
2019;_T;515892;Y65-100;NUME_AUTO;71800.0;A
2019;_T;515892;TOTAL;NUME_AUTO;613075.0;A
2020;M;ES611;Y_LT15;NUME_AUTO;3575.0;A
