TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;F;515777;ES618;NUME_AUTO;1900.0;A
2019;F;515777;515892;NUME_AUTO;8625.0;A
2019;_T;515771;ES611;NUME_AUTO;66425.0;A
2019;_T;515771;ES612;NUME_AUTO;70425.0;A
2019;_T;515771;ES613;NUME_AUTO;58000.0;A
2019;_T;515771;ES614;NUME_AUTO;72925.0;A
2019;_T;515771;ES615;NUME_AUTO;33100.0;A
2019;_T;515771;ES616;NUME_AUTO;46475.0;A
2019;_T;515771;ES617;NUME_AUTO;135575.0;A
2019;_T;515771;ES618;NUME_AUTO;125800.0;A
2019;_T;515771;515892;NUME_AUTO;613075.0;A
2019;_T;515772;ES611;NUME_AUTO;56050.0;A
2019;_T;515772;ES612;NUME_AUTO;57050.0;A
2019;_T;515772;ES613;NUME_AUTO;46025.0;A
2019;_T;515772;ES614;NUME_AUTO;59200.0;A
2019;_T;515772;ES615;NUME_AUTO;26325.0;A
2019;_T;515772;ES616;NUME_AUTO;33750.0;A
2019;_T;515772;ES617;NUME_AUTO;110525.0;A
2019;_T;515772;ES618;NUME_AUTO;101400.0;A
2019;_T;515772;515892;NUME_AUTO;494075.0;A
2019;_T;515774;ES611;NUME_AUTO;10375.0;A
2019;_T;515774;ES612;NUME_AUTO;13375.0;A
2019;_T;515774;ES613;NUME_AUTO;11975.0;A
2019;_T;515774;ES614;NUME_AUTO;13725.0;A
2019;_T;515774;ES615;NUME_AUTO;6775.0;A
2019;_T;515774;ES616;NUME_AUTO;12725.0;A
2019;_T;515774;ES617;NUME_AUTO;25050.0;A
2019;_T;515774;ES618;NUME_AUTO;24400.0;A
2019;_T;515774;515892;NUME_AUTO;119000.0;A
2019;_T;515775;ES611;NUME_AUTO;7675.0;A
2019;_T;515775;ES612;NUME_AUTO;9075.0;A
2019;_T;515775;ES613;NUME_AUTO;8700.0;A
