TEMPORAL;SEXO;MCVL_SECTORACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;F;55158;ES616;NUME_AUTO;15925.0;A
2019;F;55158;ES617;NUME_AUTO;49875.0;A
2019;F;55158;ES618;NUME_AUTO;44725.0;A
2019;F;55158;515892;NUME_AUTO;217600.0;A
2019;_T;55152;ES611;NUME_AUTO;21325.0;A
2019;_T;55152;ES612;NUME_AUTO;3100.0;A
2019;_T;55152;ES613;NUME_AUTO;7275.0;A
2019;_T;55152;ES614;NUME_AUTO;7700.0;A
2019;_T;55152;ES615;NUME_AUTO;4100.0;A
2019;_T;55152;ES616;NUME_AUTO;6150.0;A
2019;_T;55152;ES617;NUME_AUTO;4800.0;A
2019;_T;55152;ES618;NUME_AUTO;7000.0;A
2019;_T;55152;515892;NUME_AUTO;61600.0;A
2019;_T;55153;ES611;NUME_AUTO;2300.0;A
2019;_T;55153;ES612;NUME_AUTO;3250.0;A
2019;_T;55153;ES613;NUME_AUTO;5100.0;A
2019;_T;55153;ES614;NUME_AUTO;4375.0;A
2019;_T;55153;ES615;NUME_AUTO;1750.0;A
2019;_T;55153;ES616;NUME_AUTO;4500.0;A
2019;_T;55153;ES617;NUME_AUTO;5800.0;A
2019;_T;55153;ES618;NUME_AUTO;7725.0;A
2019;_T;55153;515892;NUME_AUTO;35100.0;A
2019;_T;55154;ES611;NUME_AUTO;5025.0;A
2019;_T;55154;ES612;NUME_AUTO;6400.0;A
2019;_T;55154;ES613;NUME_AUTO;5300.0;A
2019;_T;55154;ES614;NUME_AUTO;7350.0;A
2019;_T;55154;ES615;NUME_AUTO;2700.0;A
2019;_T;55154;ES616;NUME_AUTO;4475.0;A
2019;_T;55154;ES617;NUME_AUTO;15200.0;A
2019;_T;55154;ES618;NUME_AUTO;10850.0;A
2019;_T;55154;515892;NUME_AUTO;57775.0;A
2019;_T;55155;ES611;NUME_AUTO;19300.0;A
2019;_T;55155;ES612;NUME_AUTO;30425.0;A
2019;_T;55155;ES613;NUME_AUTO;21575.0;A
2019;_T;55155;ES614;NUME_AUTO;26925.0;A
2019;_T;55155;ES615;NUME_AUTO;13950.0;A
2019;_T;55155;ES616;NUME_AUTO;17225.0;A
2019;_T;55155;ES617;NUME_AUTO;51250.0;A
2019;_T;55155;ES618;NUME_AUTO;49175.0;A
2019;_T;55155;515892;NUME_AUTO;231550.0;A
2019;_T;;ES611;NUME_AUTO;18475.0;A
2019;_T;;ES612;NUME_AUTO;27250.0;A
2019;_T;;ES613;NUME_AUTO;18750.0;A
2019;_T;;ES614;NUME_AUTO;26575.0;A
2019;_T;;ES615;NUME_AUTO;10600.0;A
2019;_T;;ES616;NUME_AUTO;14125.0;A
2019;_T;;ES617;NUME_AUTO;58525.0;A
2019;_T;;ES618;NUME_AUTO;51050.0;A
2019;_T;;515892;NUME_AUTO;227050.0;A
2019;_T;55158;ES611;NUME_AUTO;66425.0;A
2019;_T;55158;ES612;NUME_AUTO;70425.0;A
2019;_T;55158;ES613;NUME_AUTO;58000.0;A
2019;_T;55158;ES614;NUME_AUTO;72925.0;A
2019;_T;55158;ES615;NUME_AUTO;33100.0;A
2019;_T;55158;ES616;NUME_AUTO;46475.0;A
2019;_T;55158;ES617;NUME_AUTO;135575.0;A
2019;_T;55158;ES618;NUME_AUTO;125800.0;A
2019;_T;55158;515892;NUME_AUTO;613075.0;A
2020;M;55152;ES611;NUME_AUTO;14025.0;A
2020;M;55152;ES612;NUME_AUTO;2600.0;A
2020;M;55152;ES613;NUME_AUTO;5350.0;A
2020;M;55152;ES614;NUME_AUTO;5650.0;A
2020;M;55152;ES615;NUME_AUTO;3100.0;A
2020;M;55152;ES616;NUME_AUTO;4700.0;A
2020;M;55152;ES617;NUME_AUTO;3850.0;A
2020;M;55152;ES618;NUME_AUTO;4925.0;A
2020;M;55152;515892;NUME_AUTO;44325.0;A
2020;M;55153;ES611;NUME_AUTO;1525.0;A
2020;M;55153;ES612;NUME_AUTO;2425.0;A
2020;M;55153;ES613;NUME_AUTO;3850.0;A
2020;M;55153;ES614;NUME_AUTO;3275.0;A
2020;M;55153;ES615;NUME_AUTO;1450.0;A
2020;M;55153;ES616;NUME_AUTO;3225.0;A
2020;M;55153;ES617;NUME_AUTO;3925.0;A
2020;M;55153;ES618;NUME_AUTO;5275.0;A
2020;M;55153;515892;NUME_AUTO;25200.0;A
2020;M;55154;ES611;NUME_AUTO;4725.0;A
2020;M;55154;ES612;NUME_AUTO;5675.0;A
2020;M;55154;ES613;NUME_AUTO;4425.0;A
2020;M;55154;ES614;NUME_AUTO;7325.0;A
2020;M;55154;ES615;NUME_AUTO;2475.0;A
2020;M;55154;ES616;NUME_AUTO;4300.0;A
2020;M;55154;ES617;NUME_AUTO;13400.0;A
2020;M;55154;ES618;NUME_AUTO;9600.0;A
2020;M;55154;515892;NUME_AUTO;52275.0;A
2020;M;55155;ES611;NUME_AUTO;10850.0;A
2020;M;55155;ES612;NUME_AUTO;18600.0;A
2020;M;55155;ES613;NUME_AUTO;12475.0;A
2020;M;55155;ES614;NUME_AUTO;16450.0;A
2020;M;55155;ES615;NUME_AUTO;8325.0;A
2020;M;55155;ES616;NUME_AUTO;9975.0;A
2020;M;55155;ES617;NUME_AUTO;30375.0;A
2020;M;55155;ES618;NUME_AUTO;29150.0;A
2020;M;55155;515892;NUME_AUTO;137175.0;A
2020;M;;ES611;NUME_AUTO;10475.0;A
2020;M;;ES612;NUME_AUTO;16625.0;A
2020;M;;ES613;NUME_AUTO;11025.0;A
2020;M;;ES614;NUME_AUTO;14750.0;A
2020;M;;ES615;NUME_AUTO;6650.0;A
2020;M;;ES616;NUME_AUTO;7875.0;A
2020;M;;ES617;NUME_AUTO;34425.0;A
2020;M;;ES618;NUME_AUTO;31525.0;A
2020;M;;515892;NUME_AUTO;134325.0;A
2020;M;55158;ES611;NUME_AUTO;41600.0;A
2020;M;55158;ES612;NUME_AUTO;45925.0;A
2020;M;55158;ES613;NUME_AUTO;37125.0;A
2020;M;55158;ES614;NUME_AUTO;47450.0;A
2020;M;55158;ES615;NUME_AUTO;22000.0;A
2020;M;55158;ES616;NUME_AUTO;30075.0;A
2020;M;55158;ES617;NUME_AUTO;85975.0;A
2020;M;55158;ES618;NUME_AUTO;80475.0;A
2020;M;55158;515892;NUME_AUTO;393300.0;A
2020;F;55152;ES611;NUME_AUTO;7875.0;A
2020;F;55152;ES612;NUME_AUTO;650.0;A
2020;F;55152;ES613;NUME_AUTO;1975.0;A
2020;F;55152;ES614;NUME_AUTO;2325.0;A
2020;F;55152;ES615;NUME_AUTO;1100.0;A
2020;F;55152;ES616;NUME_AUTO;1500.0;A
2020;F;55152;ES617;NUME_AUTO;1200.0;A
2020;F;55152;ES618;NUME_AUTO;2400.0;A
2020;F;55152;515892;NUME_AUTO;19050.0;A
2020;F;55153;ES611;NUME_AUTO;575.0;A
2020;F;55153;ES612;NUME_AUTO;800.0;A
2020;F;55153;ES613;NUME_AUTO;1225.0;A
2020;F;55153;ES614;NUME_AUTO;1075.0;A
2020;F;55153;ES616;NUME_AUTO;975.0;A
2020;F;55153;ES617;NUME_AUTO;1575.0;A
2020;F;55153;ES618;NUME_AUTO;1975.0;A
2020;F;55153;515892;NUME_AUTO;8525.0;A
2020;F;55154;ES612;NUME_AUTO;725.0;A
2020;F;55154;ES613;NUME_AUTO;500.0;A
2020;F;55154;ES617;NUME_AUTO;1800.0;A
2020;F;55154;ES618;NUME_AUTO;1200.0;A
2020;F;55154;515892;NUME_AUTO;5825.0;A
2020;F;55155;ES611;NUME_AUTO;7950.0;A
2020;F;55155;ES612;NUME_AUTO;10975.0;A
2020;F;55155;ES613;NUME_AUTO;8025.0;A
2020;F;55155;ES614;NUME_AUTO;9850.0;A
2020;F;55155;ES615;NUME_AUTO;5225.0;A
2020;F;55155;ES616;NUME_AUTO;7025.0;A
2020;F;55155;ES617;NUME_AUTO;19675.0;A
2020;F;55155;ES618;NUME_AUTO;18500.0;A
2020;F;55155;515892;NUME_AUTO;87975.0;A
2020;F;;ES611;NUME_AUTO;8500.0;A
2020;F;;ES612;NUME_AUTO;10925.0;A
2020;F;;ES613;NUME_AUTO;7800.0;A
2020;F;;ES614;NUME_AUTO;11350.0;A
2020;F;;ES615;NUME_AUTO;4375.0;A
2020;F;;ES616;NUME_AUTO;5825.0;A
2020;F;;ES617;NUME_AUTO;24850.0;A
2020;F;;ES618;NUME_AUTO;20725.0;A
2020;F;;515892;NUME_AUTO;95075.0;A
2020;F;55158;ES611;NUME_AUTO;25375.0;A
2020;F;55158;ES612;NUME_AUTO;24075.0;A
2020;F;55158;ES613;NUME_AUTO;19525.0;A
2020;F;55158;ES614;NUME_AUTO;25000.0;A
2020;F;55158;ES615;NUME_AUTO;11275.0;A
