TEMPORAL;SEXO;NACIONALIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;M;ES;ES617;NUME_AUTO;67750.0;A
2020;M;ES;ES618;NUME_AUTO;77025.0;A
2020;M;ES;515892;NUME_AUTO;356875.0;A
2020;M;OTHER_SPAIN;ES611;NUME_AUTO;4575.0;A
2020;M;OTHER_SPAIN;ES612;NUME_AUTO;2925.0;A
2020;M;OTHER_SPAIN;ES613;NUME_AUTO;1150.0;A
2020;M;OTHER_SPAIN;ES614;NUME_AUTO;3650.0;A
2020;M;OTHER_SPAIN;ES615;NUME_AUTO;1500.0;A
2020;M;OTHER_SPAIN;ES616;NUME_AUTO;725.0;A
2020;M;OTHER_SPAIN;ES617;NUME_AUTO;18225.0;A
2020;M;OTHER_SPAIN;ES618;NUME_AUTO;3450.0;A
2020;M;OTHER_SPAIN;515892;NUME_AUTO;36425.0;A
2020;M;TOTAL;ES611;NUME_AUTO;41600.0;A
2020;M;TOTAL;ES612;NUME_AUTO;45925.0;A
2020;M;TOTAL;ES613;NUME_AUTO;37125.0;A
2020;M;TOTAL;ES614;NUME_AUTO;47450.0;A
2020;M;TOTAL;ES615;NUME_AUTO;22000.0;A
2020;M;TOTAL;ES616;NUME_AUTO;30075.0;A
2020;M;TOTAL;ES617;NUME_AUTO;85975.0;A
2020;M;TOTAL;ES618;NUME_AUTO;80475.0;A
2020;M;TOTAL;515892;NUME_AUTO;393300.0;A
2020;F;ES;ES611;NUME_AUTO;22475.0;A
2020;F;ES;ES612;NUME_AUTO;22150.0;A
2020;F;ES;ES613;NUME_AUTO;18950.0;A
2020;F;ES;ES614;NUME_AUTO;22600.0;A
2020;F;ES;ES615;NUME_AUTO;10300.0;A
2020;F;ES;ES616;NUME_AUTO;15150.0;A
2020;F;ES;ES617;NUME_AUTO;38000.0;A
2020;F;ES;ES618;NUME_AUTO;41925.0;A
2020;F;ES;515892;NUME_AUTO;192875.0;A
2020;F;OTHER_SPAIN;ES611;NUME_AUTO;2900.0;A
2020;F;OTHER_SPAIN;ES612;NUME_AUTO;1925.0;A
2020;F;OTHER_SPAIN;ES613;NUME_AUTO;575.0;A
2020;F;OTHER_SPAIN;ES614;NUME_AUTO;2400.0;A
2020;F;OTHER_SPAIN;ES615;NUME_AUTO;975.0;A
2020;F;OTHER_SPAIN;ES616;NUME_AUTO;575.0;A
2020;F;OTHER_SPAIN;ES617;NUME_AUTO;11100.0;A
2020;F;OTHER_SPAIN;ES618;NUME_AUTO;2875.0;A
2020;F;OTHER_SPAIN;515892;NUME_AUTO;23575.0;A
2020;F;TOTAL;ES611;NUME_AUTO;25375.0;A
2020;F;TOTAL;ES612;NUME_AUTO;24075.0;A
2020;F;TOTAL;ES613;NUME_AUTO;19525.0;A
2020;F;TOTAL;ES614;NUME_AUTO;25000.0;A
2020;F;TOTAL;ES615;NUME_AUTO;11275.0;A
2020;F;TOTAL;ES616;NUME_AUTO;15725.0;A
2020;F;TOTAL;ES617;NUME_AUTO;49100.0;A
2020;F;TOTAL;ES618;NUME_AUTO;44800.0;A
2020;F;TOTAL;515892;NUME_AUTO;216450.0;A
2020;_T;ES;ES611;NUME_AUTO;59500.0;A
2020;_T;ES;ES612;NUME_AUTO;65150.0;A
2020;_T;ES;ES613;NUME_AUTO;54925.0;A
2020;_T;ES;ES614;NUME_AUTO;66400.0;A
2020;_T;ES;ES615;NUME_AUTO;30800.0;A
2020;_T;ES;ES616;NUME_AUTO;44500.0;A
2020;_T;ES;ES617;NUME_AUTO;105750.0;A
2020;_T;ES;ES618;NUME_AUTO;118950.0;A
2020;_T;ES;515892;NUME_AUTO;549750.0;A
2020;_T;OTHER_SPAIN;ES611;NUME_AUTO;7475.0;A
2020;_T;OTHER_SPAIN;ES612;NUME_AUTO;4850.0;A
2020;_T;OTHER_SPAIN;ES613;NUME_AUTO;1725.0;A
2020;_T;OTHER_SPAIN;ES614;NUME_AUTO;6050.0;A
2020;_T;OTHER_SPAIN;ES615;NUME_AUTO;2475.0;A
2020;_T;OTHER_SPAIN;ES616;NUME_AUTO;1300.0;A
2020;_T;OTHER_SPAIN;ES617;NUME_AUTO;29325.0;A
2020;_T;OTHER_SPAIN;ES618;NUME_AUTO;6325.0;A
2020;_T;OTHER_SPAIN;515892;NUME_AUTO;60000.0;A
2020;_T;TOTAL;ES611;NUME_AUTO;66975.0;A
2020;_T;TOTAL;ES612;NUME_AUTO;70000.0;A
2020;_T;TOTAL;ES613;NUME_AUTO;56650.0;A
2020;_T;TOTAL;ES614;NUME_AUTO;72450.0;A
2020;_T;TOTAL;ES615;NUME_AUTO;33275.0;A
2020;_T;TOTAL;ES616;NUME_AUTO;45800.0;A
2020;_T;TOTAL;ES617;NUME_AUTO;135075.0;A
2020;_T;TOTAL;ES618;NUME_AUTO;125275.0;A
2020;_T;TOTAL;515892;NUME_AUTO;609750.0;A
