TEMPORAL;SEXO;AA_BASECOTIZAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;_T;515814;ES611;NUME_AUTO;66425.0;A
2019;_T;515814;ES612;NUME_AUTO;70425.0;A
2019;_T;515814;ES613;NUME_AUTO;58000.0;A
2019;_T;515814;ES614;NUME_AUTO;72925.0;A
2019;_T;515814;ES615;NUME_AUTO;33100.0;A
2019;_T;515814;ES616;NUME_AUTO;46475.0;A
2019;_T;515814;ES617;NUME_AUTO;135575.0;A
2019;_T;515814;ES618;NUME_AUTO;125800.0;A
2019;_T;515814;515892;NUME_AUTO;613075.0;A
2020;M;515815;ES611;NUME_AUTO;29400.0;A
2020;M;515815;ES612;NUME_AUTO;31800.0;A
2020;M;515815;ES613;NUME_AUTO;24800.0;A
2020;M;515815;ES614;NUME_AUTO;32425.0;A
2020;M;515815;ES615;NUME_AUTO;13925.0;A
2020;M;515815;ES616;NUME_AUTO;20800.0;A
2020;M;515815;ES617;NUME_AUTO;53950.0;A
2020;M;515815;ES618;NUME_AUTO;51150.0;A
2020;M;515815;515892;NUME_AUTO;259600.0;A
2020;M;515816;ES611;NUME_AUTO;9825.0;A
2020;M;515816;ES612;NUME_AUTO;10725.0;A
2020;M;515816;ES613;NUME_AUTO;9275.0;A
2020;M;515816;ES614;NUME_AUTO;11300.0;A
2020;M;515816;ES615;NUME_AUTO;6300.0;A
2020;M;515816;ES616;NUME_AUTO;7075.0;A
2020;M;515816;ES617;NUME_AUTO;25750.0;A
2020;M;515816;ES618;NUME_AUTO;22375.0;A
2020;M;515816;515892;NUME_AUTO;103750.0;A
2020;M;515817;ES611;NUME_AUTO;2375.0;A
2020;M;515817;ES612;NUME_AUTO;3400.0;A
2020;M;515817;ES613;NUME_AUTO;3050.0;A
2020;M;515817;ES614;NUME_AUTO;3725.0;A
2020;M;515817;ES615;NUME_AUTO;1775.0;A
2020;M;515817;ES616;NUME_AUTO;2200.0;A
2020;M;515817;ES617;NUME_AUTO;6275.0;A
2020;M;515817;ES618;NUME_AUTO;6950.0;A
2020;M;515817;515892;NUME_AUTO;29950.0;A
2020;M;515814;ES611;NUME_AUTO;41600.0;A
2020;M;515814;ES612;NUME_AUTO;45925.0;A
2020;M;515814;ES613;NUME_AUTO;37125.0;A
2020;M;515814;ES614;NUME_AUTO;47450.0;A
2020;M;515814;ES615;NUME_AUTO;22000.0;A
2020;M;515814;ES616;NUME_AUTO;30075.0;A
2020;M;515814;ES617;NUME_AUTO;85975.0;A
2020;M;515814;ES618;NUME_AUTO;80475.0;A
2020;M;515814;515892;NUME_AUTO;393300.0;A
2020;F;515815;ES611;NUME_AUTO;19325.0;A
2020;F;515815;ES612;NUME_AUTO;17275.0;A
2020;F;515815;ES613;NUME_AUTO;13700.0;A
2020;F;515815;ES614;NUME_AUTO;18350.0;A
2020;F;515815;ES615;NUME_AUTO;8075.0;A
2020;F;515815;ES616;NUME_AUTO;12175.0;A
2020;F;515815;ES617;NUME_AUTO;33675.0;A
2020;F;515815;ES618;NUME_AUTO;32700.0;A
2020;F;515815;515892;NUME_AUTO;156300.0;A
2020;F;515816;ES611;NUME_AUTO;5175.0;A
2020;F;515816;ES612;NUME_AUTO;5650.0;A
2020;F;515816;ES613;NUME_AUTO;5000.0;A
2020;F;515816;ES614;NUME_AUTO;5525.0;A
2020;F;515816;ES615;NUME_AUTO;2850.0;A
2020;F;515816;ES616;NUME_AUTO;3150.0;A
2020;F;515816;ES617;NUME_AUTO;13450.0;A
2020;F;515816;ES618;NUME_AUTO;10675.0;A
2020;F;515816;515892;NUME_AUTO;51950.0;A
2020;F;515817;ES611;NUME_AUTO;875.0;A
2020;F;515817;ES612;NUME_AUTO;1150.0;A
2020;F;515817;ES613;NUME_AUTO;825.0;A
2020;F;515817;ES614;NUME_AUTO;1125.0;A
2020;F;515817;ES617;NUME_AUTO;1975.0;A
2020;F;515817;ES618;NUME_AUTO;1425.0;A
2020;F;515817;515892;NUME_AUTO;8200.0;A
