TEMPORAL;SEXO;MES;TERRITORIO;AA_TIPOMOVIMIEN;INDICATOR;OBS_VALUE;FREQ
2019;M;55915;ES612;515927;NUME_MOVI;650.0;A
2019;M;55915;ES614;515927;NUME_MOVI;500.0;A
2019;M;55915;ES615;515927;NUME_MOVI;550.0;A
2019;M;55915;ES616;515927;NUME_MOVI;550.0;A
2019;M;55915;ES617;515927;NUME_MOVI;850.0;A
2019;M;55915;ES618;515927;NUME_MOVI;900.0;A
2019;M;55915;515892;515927;NUME_MOVI;4500.0;A
2019;M;55916;ES612;515927;NUME_MOVI;1050.0;A
2019;M;55916;ES613;515927;NUME_MOVI;750.0;A
2019;M;55916;ES614;515927;NUME_MOVI;700.0;A
2019;M;55916;ES615;515927;NUME_MOVI;550.0;A
2019;M;55916;ES616;515927;NUME_MOVI;625.0;A
2019;M;55916;ES617;515927;NUME_MOVI;1375.0;A
2019;M;55916;ES618;515927;NUME_MOVI;1100.0;A
2019;M;55916;515892;515927;NUME_MOVI;6625.0;A
2019;M;55917;ES612;515927;NUME_MOVI;725.0;A
2019;M;55917;ES614;515927;NUME_MOVI;600.0;A
2019;M;55917;ES617;515927;NUME_MOVI;1275.0;A
2019;M;55917;ES618;515927;NUME_MOVI;1050.0;A
2019;M;55917;515892;515927;NUME_MOVI;5100.0;A
2019;M;55918;ES611;515927;NUME_MOVI;800.0;A
2019;M;55918;ES612;515927;NUME_MOVI;575.0;A
2019;M;55918;ES614;515927;NUME_MOVI;725.0;A
2019;M;55918;ES616;515927;NUME_MOVI;575.0;A
2019;M;55918;ES617;515927;NUME_MOVI;1125.0;A
2019;M;55918;ES618;515927;NUME_MOVI;825.0;A
2019;M;55918;515892;515927;NUME_MOVI;5375.0;A
2019;M;55919;ES611;515927;NUME_MOVI;625.0;A
2019;M;55919;ES612;515927;NUME_MOVI;900.0;A
2019;M;55919;ES613;515927;NUME_MOVI;850.0;A
2019;M;55919;ES614;515927;NUME_MOVI;575.0;A
2019;M;55919;ES617;515927;NUME_MOVI;1650.0;A
2019;M;55919;ES618;515927;NUME_MOVI;1275.0;A
2019;M;55919;515892;515927;NUME_MOVI;6625.0;A
2019;M;55920;ES611;515927;NUME_MOVI;5475.0;A
2019;M;55920;ES612;515927;NUME_MOVI;7750.0;A
2019;M;55920;ES613;515927;NUME_MOVI;6575.0;A
2019;M;55920;ES614;515927;NUME_MOVI;7850.0;A
2019;M;55920;ES615;515927;NUME_MOVI;4025.0;A
2019;M;55920;ES616;515927;NUME_MOVI;5275.0;A
2019;M;55920;ES617;515927;NUME_MOVI;13875.0;A
2019;M;55920;ES618;515927;NUME_MOVI;11925.0;A
2019;M;55920;515892;515927;NUME_MOVI;62950.0;A
2019;F;55908;ES617;515927;NUME_MOVI;1000.0;A
2019;F;55908;ES618;515927;NUME_MOVI;650.0;A
2019;F;55908;515892;515927;NUME_MOVI;3000.0;A
2019;F;55909;ES612;515927;NUME_MOVI;550.0;A
2019;F;55909;ES617;515927;NUME_MOVI;625.0;A
2019;F;55909;ES618;515927;NUME_MOVI;600.0;A
2019;F;55909;515892;515927;NUME_MOVI;2850.0;A
2019;F;55910;ES614;515927;NUME_MOVI;550.0;A
2019;F;55910;ES617;515927;NUME_MOVI;750.0;A
2019;F;55910;ES618;515927;NUME_MOVI;900.0;A
2019;F;55910;515892;515927;NUME_MOVI;3700.0;A
2019;F;55911;ES617;515927;NUME_MOVI;550.0;A
2019;F;55911;ES618;515927;NUME_MOVI;675.0;A
2019;F;55911;515892;515927;NUME_MOVI;2775.0;A
2019;F;55912;ES612;515927;NUME_MOVI;500.0;A
2019;F;55912;ES617;515927;NUME_MOVI;550.0;A
2019;F;55912;ES618;515927;NUME_MOVI;850.0;A
2019;F;55912;515892;515927;NUME_MOVI;3175.0;A
2019;F;55913;ES612;515927;NUME_MOVI;600.0;A
2019;F;55913;ES614;515927;NUME_MOVI;500.0;A
2019;F;55913;ES617;515927;NUME_MOVI;1500.0;A
2019;F;55913;ES618;515927;NUME_MOVI;1475.0;A
2019;F;55913;515892;515927;NUME_MOVI;5450.0;A
2019;F;55914;ES617;515927;NUME_MOVI;925.0;A
2019;F;55914;ES618;515927;NUME_MOVI;1225.0;A
2019;F;55914;515892;515927;NUME_MOVI;3750.0;A
2019;F;55915;ES612;515927;NUME_MOVI;600.0;A
2019;F;55915;ES614;515927;NUME_MOVI;500.0;A
2019;F;55915;ES617;515927;NUME_MOVI;625.0;A
2019;F;55915;ES618;515927;NUME_MOVI;625.0;A
2019;F;55915;515892;515927;NUME_MOVI;3950.0;A
2019;F;55916;ES612;515927;NUME_MOVI;525.0;A
2019;F;55916;ES614;515927;NUME_MOVI;700.0;A
2019;F;55916;ES617;515927;NUME_MOVI;1400.0;A
2019;F;55916;ES618;515927;NUME_MOVI;750.0;A
2019;F;55916;515892;515927;NUME_MOVI;4550.0;A
2019;F;55917;ES612;515927;NUME_MOVI;675.0;A
2019;F;55917;ES617;515927;NUME_MOVI;1175.0;A
2019;F;55917;ES618;515927;NUME_MOVI;575.0;A
2019;F;55917;515892;515927;NUME_MOVI;3850.0;A
2019;F;55918;ES617;515927;NUME_MOVI;750.0;A
2019;F;55918;ES618;515927;NUME_MOVI;675.0;A
2019;F;55918;515892;515927;NUME_MOVI;2925.0;A
2019;F;55919;ES612;515927;NUME_MOVI;675.0;A
2019;F;55919;ES614;515927;NUME_MOVI;600.0;A
2019;F;55919;ES617;515927;NUME_MOVI;1275.0;A
2019;F;55919;ES618;515927;NUME_MOVI;800.0;A
2019;F;55919;515892;515927;NUME_MOVI;4650.0;A
2019;F;55920;ES611;515927;NUME_MOVI;3750.0;A
2019;F;55920;ES612;515927;NUME_MOVI;5825.0;A
2019;F;55920;ES613;515927;NUME_MOVI;3375.0;A
2019;F;55920;ES614;515927;NUME_MOVI;5400.0;A
2019;F;55920;ES615;515927;NUME_MOVI;2225.0;A
2019;F;55920;ES616;515927;NUME_MOVI;2775.0;A
2019;F;55920;ES617;515927;NUME_MOVI;11125.0;A
2019;F;55920;ES618;515927;NUME_MOVI;9800.0;A
2019;F;55920;515892;515927;NUME_MOVI;44625.0;A
2019;_T;55908;ES611;515927;NUME_MOVI;575.0;A
2019;_T;55908;ES612;515927;NUME_MOVI;825.0;A
2019;_T;55908;ES613;515927;NUME_MOVI;1050.0;A
2019;_T;55908;ES614;515927;NUME_MOVI;875.0;A
2019;_T;55908;ES617;515927;NUME_MOVI;2125.0;A
2019;_T;55908;ES618;515927;NUME_MOVI;1425.0;A
2019;_T;55908;515892;515927;NUME_MOVI;7675.0;A
2019;_T;55909;ES611;515927;NUME_MOVI;650.0;A
2019;_T;55909;ES612;515927;NUME_MOVI;1000.0;A
2019;_T;55909;ES613;515927;NUME_MOVI;550.0;A
2019;_T;55909;ES614;515927;NUME_MOVI;925.0;A
2019;_T;55909;ES617;515927;NUME_MOVI;1525.0;A
2019;_T;55909;ES618;515927;NUME_MOVI;1325.0;A
2019;_T;55909;515892;515927;NUME_MOVI;6675.0;A
2019;_T;55910;ES611;515927;NUME_MOVI;975.0;A
2019;_T;55910;ES612;515927;NUME_MOVI;950.0;A
2019;_T;55910;ES613;515927;NUME_MOVI;775.0;A
2019;_T;55910;ES614;515927;NUME_MOVI;1325.0;A
2019;_T;55910;ES615;515927;NUME_MOVI;500.0;A
2019;_T;55910;ES616;515927;NUME_MOVI;875.0;A
2019;_T;55910;ES617;515927;NUME_MOVI;1850.0;A
2019;_T;55910;ES618;515927;NUME_MOVI;1925.0;A
2019;_T;55910;515892;515927;NUME_MOVI;9225.0;A
2019;_T;55911;ES611;515927;NUME_MOVI;500.0;A
2019;_T;55911;ES612;515927;NUME_MOVI;725.0;A
2019;_T;55911;ES613;515927;NUME_MOVI;900.0;A
2019;_T;55911;ES614;515927;NUME_MOVI;1075.0;A
2019;_T;55911;ES617;515927;NUME_MOVI;1600.0;A
2019;_T;55911;ES618;515927;NUME_MOVI;1600.0;A
2019;_T;55911;515892;515927;NUME_MOVI;7200.0;A
2019;_T;55912;ES611;515927;NUME_MOVI;650.0;A
2019;_T;55912;ES612;515927;NUME_MOVI;1225.0;A
2019;_T;55912;ES613;515927;NUME_MOVI;800.0;A
2019;_T;55912;ES614;515927;NUME_MOVI;925.0;A
2019;_T;55912;ES617;515927;NUME_MOVI;1600.0;A
2019;_T;55912;ES618;515927;NUME_MOVI;1850.0;A
2019;_T;55912;515892;515927;NUME_MOVI;8025.0;A
2019;_T;55913;ES611;515927;NUME_MOVI;1000.0;A
2019;_T;55913;ES612;515927;NUME_MOVI;1200.0;A
2019;_T;55913;ES613;515927;NUME_MOVI;825.0;A
2019;_T;55913;ES614;515927;NUME_MOVI;1350.0;A
2019;_T;55913;ES615;515927;NUME_MOVI;650.0;A
2019;_T;55913;ES616;515927;NUME_MOVI;850.0;A
2019;_T;55913;ES617;515927;NUME_MOVI;2650.0;A
2019;_T;55913;ES618;515927;NUME_MOVI;2600.0;A
2019;_T;55913;515892;515927;NUME_MOVI;11150.0;A
2019;_T;55914;ES611;515927;NUME_MOVI;900.0;A
2019;_T;55914;ES612;515927;NUME_MOVI;800.0;A
2019;_T;55914;ES613;515927;NUME_MOVI;950.0;A
2019;_T;55914;ES614;515927;NUME_MOVI;1150.0;A
2019;_T;55914;ES615;515927;NUME_MOVI;525.0;A
2019;_T;55914;ES616;515927;NUME_MOVI;550.0;A
2019;_T;55914;ES617;515927;NUME_MOVI;2150.0;A
2019;_T;55914;ES618;515927;NUME_MOVI;2425.0;A
2019;_T;55914;515892;515927;NUME_MOVI;9475.0;A
2019;_T;55915;ES611;515927;NUME_MOVI;500.0;A
2019;_T;55915;ES612;515927;NUME_MOVI;1250.0;A
2019;_T;55915;ES613;515927;NUME_MOVI;850.0;A
2019;_T;55915;ES614;515927;NUME_MOVI;1000.0;A
2019;_T;55915;ES615;515927;NUME_MOVI;950.0;A
2019;_T;55915;ES616;515927;NUME_MOVI;875.0;A
2019;_T;55915;ES617;515927;NUME_MOVI;1475.0;A
2019;_T;55915;ES618;515927;NUME_MOVI;1525.0;A
2019;_T;55915;515892;515927;NUME_MOVI;8450.0;A
2019;_T;55916;ES611;515927;NUME_MOVI;750.0;A
2019;_T;55916;ES612;515927;NUME_MOVI;1575.0;A
2019;_T;55916;ES613;515927;NUME_MOVI;925.0;A
2019;_T;55916;ES614;515927;NUME_MOVI;1400.0;A
2019;_T;55916;ES615;515927;NUME_MOVI;850.0;A
2019;_T;55916;ES616;515927;NUME_MOVI;975.0;A
2019;_T;55916;ES617;515927;NUME_MOVI;2775.0;A
2019;_T;55916;ES618;515927;NUME_MOVI;1850.0;A
2019;_T;55916;515892;515927;NUME_MOVI;11175.0;A
2019;_T;55917;ES611;515927;NUME_MOVI;625.0;A
2019;_T;55917;ES612;515927;NUME_MOVI;1400.0;A
2019;_T;55917;ES613;515927;NUME_MOVI;600.0;A
2019;_T;55917;ES614;515927;NUME_MOVI;1025.0;A
2019;_T;55917;ES615;515927;NUME_MOVI;500.0;A
2019;_T;55917;ES616;515927;NUME_MOVI;675.0;A
2019;_T;55917;ES617;515927;NUME_MOVI;2450.0;A
2019;_T;55917;ES618;515927;NUME_MOVI;1625.0;A
2019;_T;55917;515892;515927;NUME_MOVI;8950.0;A
2019;_T;55918;ES611;515927;NUME_MOVI;1100.0;A
2019;_T;55918;ES612;515927;NUME_MOVI;1050.0;A
2019;_T;55918;ES613;515927;NUME_MOVI;675.0;A
2019;_T;55918;ES614;515927;NUME_MOVI;1025.0;A
2019;_T;55918;ES616;515927;NUME_MOVI;675.0;A
2019;_T;55918;ES617;515927;NUME_MOVI;1875.0;A
2019;_T;55918;ES618;515927;NUME_MOVI;1500.0;A
2019;_T;55918;515892;515927;NUME_MOVI;8300.0;A
2019;_T;55919;ES611;515927;NUME_MOVI;1000.0;A
2019;_T;55919;ES612;515927;NUME_MOVI;1575.0;A
2019;_T;55919;ES613;515927;NUME_MOVI;1050.0;A
2019;_T;55919;ES614;515927;NUME_MOVI;1175.0;A
2019;_T;55919;ES615;515927;NUME_MOVI;550.0;A
2019;_T;55919;ES616;515927;NUME_MOVI;875.0;A
2019;_T;55919;ES617;515927;NUME_MOVI;2925.0;A
2019;_T;55919;ES618;515927;NUME_MOVI;2075.0;A
2019;_T;55919;515892;515927;NUME_MOVI;11275.0;A
2019;_T;55920;ES611;515927;NUME_MOVI;9225.0;A
2019;_T;55920;ES612;515927;NUME_MOVI;13575.0;A
2019;_T;55920;ES613;515927;NUME_MOVI;9950.0;A
2019;_T;55920;ES614;515927;NUME_MOVI;13250.0;A
2019;_T;55920;ES615;515927;NUME_MOVI;6250.0;A
2019;_T;55920;ES616;515927;NUME_MOVI;8050.0;A
2019;_T;55920;ES617;515927;NUME_MOVI;25000.0;A
2019;_T;55920;ES618;515927;NUME_MOVI;21725.0;A
2019;_T;55920;515892;515927;NUME_MOVI;107575.0;A
2020;M;55908;ES612;515927;NUME_MOVI;750.0;A
2020;M;55908;ES614;515927;NUME_MOVI;725.0;A
2020;M;55908;ES617;515927;NUME_MOVI;825.0;A
2020;M;55908;ES618;515927;NUME_MOVI;950.0;A
2020;M;55908;515892;515927;NUME_MOVI;4875.0;A
2020;M;55909;ES612;515927;NUME_MOVI;550.0;A
2020;M;55909;ES617;515927;NUME_MOVI;1250.0;A
2020;M;55909;ES618;515927;NUME_MOVI;650.0;A
2020;M;55909;515892;515927;NUME_MOVI;4050.0;A
2020;M;55910;ES611;515927;NUME_MOVI;700.0;A
2020;M;55910;ES612;515927;NUME_MOVI;1400.0;A
2020;M;55910;ES613;515927;NUME_MOVI;825.0;A
2020;M;55910;ES614;515927;NUME_MOVI;1150.0;A
2020;M;55910;ES616;515927;NUME_MOVI;625.0;A
2020;M;55910;ES617;515927;NUME_MOVI;2375.0;A
2020;M;55910;ES618;515927;NUME_MOVI;1800.0;A
2020;M;55910;515892;515927;NUME_MOVI;9425.0;A
2020;M;55911;ES617;515927;NUME_MOVI;525.0;A
2020;M;55911;515892;515927;NUME_MOVI;2850.0;A
2020;M;55912;515892;515927;NUME_MOVI;2075.0;A
2020;M;55913;ES617;515927;NUME_MOVI;1000.0;A
2020;M;55913;ES618;515927;NUME_MOVI;800.0;A
2020;M;55913;515892;515927;NUME_MOVI;3850.0;A
2020;M;55914;ES612;515927;NUME_MOVI;500.0;A
2020;M;55914;ES614;515927;NUME_MOVI;625.0;A
2020;M;55914;ES617;515927;NUME_MOVI;950.0;A
2020;M;55914;ES618;515927;NUME_MOVI;750.0;A
2020;M;55914;515892;515927;NUME_MOVI;4375.0;A
2020;M;55915;ES612;515927;NUME_MOVI;550.0;A
2020;M;55915;ES617;515927;NUME_MOVI;750.0;A
2020;M;55915;ES618;515927;NUME_MOVI;900.0;A
2020;M;55915;515892;515927;NUME_MOVI;3825.0;A
2020;M;55916;ES611;515927;NUME_MOVI;600.0;A
2020;M;55916;ES612;515927;NUME_MOVI;875.0;A
2020;M;55916;ES613;515927;NUME_MOVI;550.0;A
2020;M;55916;ES614;515927;NUME_MOVI;775.0;A
2020;M;55916;ES615;515927;NUME_MOVI;500.0;A
2020;M;55916;ES616;515927;NUME_MOVI;500.0;A
2020;M;55916;ES617;515927;NUME_MOVI;1625.0;A
2020;M;55916;ES618;515927;NUME_MOVI;900.0;A
2020;M;55916;515892;515927;NUME_MOVI;6325.0;A
