TEMPORAL;SEXO;TIPOULTIEMPR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;_T;515779;515892;NUME_AUTO;413725.0;A
2019;_T;515780;ES611;NUME_AUTO;6525.0;A
2019;_T;515780;ES612;NUME_AUTO;7725.0;A
2019;_T;515780;ES613;NUME_AUTO;8650.0;A
2019;_T;515780;ES614;NUME_AUTO;9400.0;A
2019;_T;515780;ES615;NUME_AUTO;5025.0;A
2019;_T;515780;ES616;NUME_AUTO;5575.0;A
2019;_T;515780;ES617;NUME_AUTO;14425.0;A
2019;_T;515780;ES618;NUME_AUTO;12325.0;A
2019;_T;515780;515892;NUME_AUTO;70375.0;A
2019;_T;515781;ES611;NUME_AUTO;7475.0;A
2019;_T;515781;ES612;NUME_AUTO;8050.0;A
2019;_T;515781;ES613;NUME_AUTO;5875.0;A
2019;_T;515781;ES614;NUME_AUTO;7075.0;A
2019;_T;515781;ES615;NUME_AUTO;3025.0;A
2019;_T;515781;ES616;NUME_AUTO;3750.0;A
2019;_T;515781;ES617;NUME_AUTO;19075.0;A
2019;_T;515781;ES618;NUME_AUTO;19425.0;A
2019;_T;515781;515892;NUME_AUTO;74575.0;A
2019;_T;515782;ES611;NUME_AUTO;4875.0;A
2019;_T;515782;ES612;NUME_AUTO;7075.0;A
2019;_T;515782;ES613;NUME_AUTO;5625.0;A
2019;_T;515782;ES614;NUME_AUTO;6050.0;A
2019;_T;515782;ES615;NUME_AUTO;3300.0;A
2019;_T;515782;ES616;NUME_AUTO;4550.0;A
2019;_T;515782;ES617;NUME_AUTO;11850.0;A
2019;_T;515782;ES618;NUME_AUTO;10825.0;A
2019;_T;515782;515892;NUME_AUTO;54400.0;A
2019;_T;515778;ES611;NUME_AUTO;66425.0;A
2019;_T;515778;ES612;NUME_AUTO;70425.0;A
2019;_T;515778;ES613;NUME_AUTO;58000.0;A
2019;_T;515778;ES614;NUME_AUTO;72925.0;A
2019;_T;515778;ES615;NUME_AUTO;33100.0;A
2019;_T;515778;ES616;NUME_AUTO;46475.0;A
2019;_T;515778;ES617;NUME_AUTO;135575.0;A
2019;_T;515778;ES618;NUME_AUTO;125800.0;A
2019;_T;515778;515892;NUME_AUTO;613075.0;A
2020;M;515779;ES611;NUME_AUTO;29775.0;A
2020;M;515779;ES612;NUME_AUTO;31225.0;A
2020;M;515779;ES613;NUME_AUTO;24250.0;A
2020;M;515779;ES614;NUME_AUTO;32850.0;A
2020;M;515779;ES615;NUME_AUTO;14350.0;A
2020;M;515779;ES616;NUME_AUTO;21400.0;A
2020;M;515779;ES617;NUME_AUTO;57075.0;A
2020;M;515779;ES618;NUME_AUTO;51600.0;A
2020;M;515779;515892;NUME_AUTO;264025.0;A
2020;M;515780;ES611;NUME_AUTO;3600.0;A
2020;M;515780;ES612;NUME_AUTO;5175.0;A
2020;M;515780;ES613;NUME_AUTO;5700.0;A
2020;M;515780;ES614;NUME_AUTO;6900.0;A
2020;M;515780;ES615;NUME_AUTO;3025.0;A
2020;M;515780;ES616;NUME_AUTO;3450.0;A
2020;M;515780;ES617;NUME_AUTO;9025.0;A
2020;M;515780;ES618;NUME_AUTO;7975.0;A
2020;M;515780;515892;NUME_AUTO;45300.0;A
2020;M;515781;ES611;NUME_AUTO;6050.0;A
2020;M;515781;ES612;NUME_AUTO;6250.0;A
2020;M;515781;ES613;NUME_AUTO;4800.0;A
2020;M;515781;ES614;NUME_AUTO;5175.0;A
2020;M;515781;ES615;NUME_AUTO;3000.0;A
2020;M;515781;ES616;NUME_AUTO;3150.0;A
2020;M;515781;ES617;NUME_AUTO;14925.0;A
2020;M;515781;ES618;NUME_AUTO;15800.0;A
2020;M;515781;515892;NUME_AUTO;59725.0;A
2020;M;515782;ES611;NUME_AUTO;2175.0;A
2020;M;515782;ES612;NUME_AUTO;3275.0;A
2020;M;515782;ES613;NUME_AUTO;2375.0;A
2020;M;515782;ES614;NUME_AUTO;2525.0;A
2020;M;515782;ES615;NUME_AUTO;1625.0;A
2020;M;515782;ES616;NUME_AUTO;2075.0;A
2020;M;515782;ES617;NUME_AUTO;4950.0;A
2020;M;515782;ES618;NUME_AUTO;5100.0;A
2020;M;515782;515892;NUME_AUTO;24250.0;A
2020;M;515778;ES611;NUME_AUTO;41600.0;A
2020;M;515778;ES612;NUME_AUTO;45925.0;A
2020;M;515778;ES613;NUME_AUTO;37125.0;A
2020;M;515778;ES614;NUME_AUTO;47450.0;A
2020;M;515778;ES615;NUME_AUTO;22000.0;A
2020;M;515778;ES616;NUME_AUTO;30075.0;A
2020;M;515778;ES617;NUME_AUTO;85975.0;A
2020;M;515778;ES618;NUME_AUTO;80475.0;A
2020;M;515778;515892;NUME_AUTO;393300.0;A
2020;F;515779;ES611;NUME_AUTO;18200.0;A
2020;F;515779;ES612;NUME_AUTO;16075.0;A
2020;F;515779;ES613;NUME_AUTO;12150.0;A
2020;F;515779;ES614;NUME_AUTO;17150.0;A
2020;F;515779;ES615;NUME_AUTO;7200.0;A
2020;F;515779;ES616;NUME_AUTO;10800.0;A
2020;F;515779;ES617;NUME_AUTO;32925.0;A
2020;F;515779;ES618;NUME_AUTO;31050.0;A
2020;F;515779;515892;NUME_AUTO;146475.0;A
2020;F;515780;ES611;NUME_AUTO;2475.0;A
2020;F;515780;ES612;NUME_AUTO;2275.0;A
2020;F;515780;ES613;NUME_AUTO;2500.0;A
2020;F;515780;ES614;NUME_AUTO;2725.0;A
2020;F;515780;ES615;NUME_AUTO;1300.0;A
2020;F;515780;ES616;NUME_AUTO;1525.0;A
2020;F;515780;ES617;NUME_AUTO;4275.0;A
2020;F;515780;ES618;NUME_AUTO;3100.0;A
2020;F;515780;515892;NUME_AUTO;20375.0;A
2020;F;515781;ES611;NUME_AUTO;1800.0;A
2020;F;515781;ES612;NUME_AUTO;2025.0;A
2020;F;515781;ES613;NUME_AUTO;1725.0;A
2020;F;515781;ES614;NUME_AUTO;2025.0;A
2020;F;515781;ES615;NUME_AUTO;975.0;A
2020;F;515781;ES616;NUME_AUTO;1050.0;A
2020;F;515781;ES617;NUME_AUTO;5500.0;A
2020;F;515781;ES618;NUME_AUTO;4875.0;A
2020;F;515781;515892;NUME_AUTO;20200.0;A
2020;F;515782;ES611;NUME_AUTO;2900.0;A
2020;F;515782;ES612;NUME_AUTO;3700.0;A
2020;F;515782;ES613;NUME_AUTO;3150.0;A
2020;F;515782;ES614;NUME_AUTO;3100.0;A
2020;F;515782;ES615;NUME_AUTO;1800.0;A
2020;F;515782;ES616;NUME_AUTO;2350.0;A
2020;F;515782;ES617;NUME_AUTO;6400.0;A
2020;F;515782;ES618;NUME_AUTO;5775.0;A
2020;F;515782;515892;NUME_AUTO;29400.0;A
2020;F;515778;ES611;NUME_AUTO;25375.0;A
2020;F;515778;ES612;NUME_AUTO;24075.0;A
2020;F;515778;ES613;NUME_AUTO;19525.0;A
2020;F;515778;ES614;NUME_AUTO;25000.0;A
2020;F;515778;ES615;NUME_AUTO;11275.0;A
2020;F;515778;ES616;NUME_AUTO;15725.0;A
2020;F;515778;ES617;NUME_AUTO;49100.0;A
2020;F;515778;ES618;NUME_AUTO;44800.0;A
2020;F;515778;515892;NUME_AUTO;216450.0;A
2020;_T;515779;ES611;NUME_AUTO;47975.0;A
2020;_T;515779;ES612;NUME_AUTO;47300.0;A
2020;_T;515779;ES613;NUME_AUTO;36400.0;A
2020;_T;515779;ES614;NUME_AUTO;50000.0;A
2020;_T;515779;ES615;NUME_AUTO;21550.0;A
2020;_T;515779;ES616;NUME_AUTO;32200.0;A
2020;_T;515779;ES617;NUME_AUTO;90000.0;A
2020;_T;515779;ES618;NUME_AUTO;82650.0;A
2020;_T;515779;515892;NUME_AUTO;410500.0;A
2020;_T;515780;ES611;NUME_AUTO;6075.0;A
2020;_T;515780;ES612;NUME_AUTO;7450.0;A
2020;_T;515780;ES613;NUME_AUTO;8200.0;A
2020;_T;515780;ES614;NUME_AUTO;9625.0;A
2020;_T;515780;ES615;NUME_AUTO;4325.0;A
2020;_T;515780;ES616;NUME_AUTO;4975.0;A
2020;_T;515780;ES617;NUME_AUTO;13300.0;A
2020;_T;515780;ES618;NUME_AUTO;11075.0;A
2020;_T;515780;515892;NUME_AUTO;65675.0;A
2020;_T;515781;ES611;NUME_AUTO;7850.0;A
2020;_T;515781;ES612;NUME_AUTO;8275.0;A
2020;_T;515781;ES613;NUME_AUTO;6525.0;A
2020;_T;515781;ES614;NUME_AUTO;7200.0;A
2020;_T;515781;ES615;NUME_AUTO;3975.0;A
2020;_T;515781;ES616;NUME_AUTO;4200.0;A
2020;_T;515781;ES617;NUME_AUTO;20425.0;A
2020;_T;515781;ES618;NUME_AUTO;20675.0;A
2020;_T;515781;515892;NUME_AUTO;79925.0;A
2020;_T;515782;ES611;NUME_AUTO;5075.0;A
2020;_T;515782;ES612;NUME_AUTO;6975.0;A
2020;_T;515782;ES613;NUME_AUTO;5525.0;A
2020;_T;515782;ES614;NUME_AUTO;5625.0;A
2020;_T;515782;ES615;NUME_AUTO;3425.0;A
2020;_T;515782;ES616;NUME_AUTO;4425.0;A
2020;_T;515782;ES617;NUME_AUTO;11350.0;A
2020;_T;515782;ES618;NUME_AUTO;10875.0;A
2020;_T;515782;515892;NUME_AUTO;53650.0;A
2020;_T;515778;ES611;NUME_AUTO;66975.0;A
2020;_T;515778;ES612;NUME_AUTO;70000.0;A
2020;_T;515778;ES613;NUME_AUTO;56650.0;A
2020;_T;515778;ES614;NUME_AUTO;72450.0;A
2020;_T;515778;ES615;NUME_AUTO;33275.0;A
2020;_T;515778;ES616;NUME_AUTO;45800.0;A
2020;_T;515778;ES617;NUME_AUTO;135075.0;A
2020;_T;515778;ES618;NUME_AUTO;125275.0;A
2020;_T;515778;515892;NUME_AUTO;609750.0;A
