TIME_PERIOD;REF_AREA;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ;D_CLASEDEPENSION_0;D_EDAD_0
2011;2263;_T;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2011;2263;M;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2011;2263;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2264;_T;212544;NUM_PEN_PERS;230.0;A;_Z;_Z
2011;2264;M;212544;NUM_PEN_PERS;186.0;A;_Z;_Z
2011;2264;F;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2266;_T;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2266;M;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2267;_T;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2011;2267;M;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2011;2267;F;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2268;_T;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2011;2268;M;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2011;2268;F;212544;NUM_PEN_PERS;8.0;A;_Z;_Z
2011;2269;_T;212544;NUM_PEN_PERS;1010.0;A;_Z;_Z
2011;2269;M;212544;NUM_PEN_PERS;770.0;A;_Z;_Z
2011;2269;F;212544;NUM_PEN_PERS;240.0;A;_Z;_Z
2011;2270;_T;212544;NUM_PEN_PERS;262.0;A;_Z;_Z
2011;2270;M;212544;NUM_PEN_PERS;161.0;A;_Z;_Z
2011;2270;F;212544;NUM_PEN_PERS;101.0;A;_Z;_Z
2011;2271;_T;212544;NUM_PEN_PERS;388.0;A;_Z;_Z
2011;2271;M;212544;NUM_PEN_PERS;289.0;A;_Z;_Z
2011;2271;F;212544;NUM_PEN_PERS;99.0;A;_Z;_Z
2011;2272;_T;212544;NUM_PEN_PERS;498.0;A;_Z;_Z
2011;2272;M;212544;NUM_PEN_PERS;400.0;A;_Z;_Z
2011;2272;F;212544;NUM_PEN_PERS;98.0;A;_Z;_Z
2011;2273;_T;212544;NUM_PEN_PERS;29.0;A;_Z;_Z
2011;2273;M;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2273;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2011;2277;_T;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2011;2277;M;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2011;2277;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2011;2278;_T;212544;NUM_PEN_PERS;305.0;A;_Z;_Z
2011;2278;M;212544;NUM_PEN_PERS;202.0;A;_Z;_Z
2011;2278;F;212544;NUM_PEN_PERS;103.0;A;_Z;_Z
2011;2274;_T;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2011;2274;M;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2011;2274;F;212544;NUM_PEN_PERS;9.0;A;_Z;_Z
2011;2276;_T;212544;NUM_PEN_PERS;874.0;A;_Z;_Z
2011;2276;M;212544;NUM_PEN_PERS;595.0;A;_Z;_Z
2011;2276;F;212544;NUM_PEN_PERS;279.0;A;_Z;_Z
2011;2279;_T;212544;NUM_PEN_PERS;375.0;A;_Z;_Z
2011;2279;M;212544;NUM_PEN_PERS;271.0;A;_Z;_Z
2011;2279;F;212544;NUM_PEN_PERS;104.0;A;_Z;_Z
2011;2347;_T;212544;NUM_PEN_PERS;3522.0;A;_Z;_Z
2011;2347;M;212544;NUM_PEN_PERS;2480.0;A;_Z;_Z
2011;2347;F;212544;NUM_PEN_PERS;1042.0;A;_Z;_Z
2011;2282;_T;212544;NUM_PEN_PERS;43.0;A;_Z;_Z
2011;2282;M;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2011;2282;F;212544;NUM_PEN_PERS;6.0;A;_Z;_Z
2011;2284;_T;212544;NUM_PEN_PERS;84.0;A;_Z;_Z
2011;2284;M;212544;NUM_PEN_PERS;54.0;A;_Z;_Z
2011;2284;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2285;_T;212544;NUM_PEN_PERS;148.0;A;_Z;_Z
2011;2285;M;212544;NUM_PEN_PERS;121.0;A;_Z;_Z
2011;2285;F;212544;NUM_PEN_PERS;27.0;A;_Z;_Z
2011;2286;_T;212544;NUM_PEN_PERS;281.0;A;_Z;_Z
2011;2286;M;212544;NUM_PEN_PERS;207.0;A;_Z;_Z
2011;2286;F;212544;NUM_PEN_PERS;74.0;A;_Z;_Z
2011;2287;_T;212544;NUM_PEN_PERS;123.0;A;_Z;_Z
2011;2287;M;212544;NUM_PEN_PERS;102.0;A;_Z;_Z
2011;2287;F;212544;NUM_PEN_PERS;21.0;A;_Z;_Z
2011;2288;_T;212544;NUM_PEN_PERS;268.0;A;_Z;_Z
2011;2288;M;212544;NUM_PEN_PERS;189.0;A;_Z;_Z
2011;2288;F;212544;NUM_PEN_PERS;79.0;A;_Z;_Z
2011;2289;_T;212544;NUM_PEN_PERS;187.0;A;_Z;_Z
2011;2289;M;212544;NUM_PEN_PERS;134.0;A;_Z;_Z
2011;2289;F;212544;NUM_PEN_PERS;53.0;A;_Z;_Z
2011;2290;_T;212544;NUM_PEN_PERS;450.0;A;_Z;_Z
2011;2290;M;212544;NUM_PEN_PERS;372.0;A;_Z;_Z
2011;2290;F;212544;NUM_PEN_PERS;78.0;A;_Z;_Z
2011;2291;_T;212544;NUM_PEN_PERS;161.0;A;_Z;_Z
2011;2291;M;212544;NUM_PEN_PERS;107.0;A;_Z;_Z
2011;2291;F;212544;NUM_PEN_PERS;54.0;A;_Z;_Z
2011;2292;_T;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2011;2292;M;212544;NUM_PEN_PERS;54.0;A;_Z;_Z
2011;2292;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2293;_T;212544;NUM_PEN_PERS;450.0;A;_Z;_Z
2011;2293;M;212544;NUM_PEN_PERS;367.0;A;_Z;_Z
2011;2293;F;212544;NUM_PEN_PERS;83.0;A;_Z;_Z
