ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES618;2013;PERS_MEDI_EMPL;189.817598235;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_EMPL;2771.767423242;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_EMPL;3544.84592667;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_EMPL;3300.21650674;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_EMPL;2827.45618661;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_EMPL;2209.69227867;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_EMPL;2115.706520025;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_EMPL;2218.329661919;A;_Z;_Z;_Z
A;ES61;2013;PERS_MEDI_EMPL;2002.424665464;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_EMPL;156.800767554;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_EMPL;145.890666084;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_EMPL;291.358480659;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_EMPL;171.841676639;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_EMPL;166.868591612;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_EMPL;203.843976042;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_EMPL;1620.348616846;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_EMPL;181.914235294;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_EMPL;2938.86701073;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_REMU;30.755948144;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_REMU;31.41370363;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_REMU;31.974909845;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_REMU;42.319451555;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_REMU;45.227942149;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_REMU;34.19880856;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_REMU;34.351829691999995;A;_Z;_Z;_Z
A;ES611;2013;PERS_MEDI_REMU;23.477999699;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_REMU;66.74215882;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_REMU;100.45870193900001;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_REMU;89.97311628899999;A;_Z;_Z;_Z
