TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES611;281695;281485;_T;TOTAL;ASAL_PER;554050.0;A
2017;ES611;281695;281485;M;TOTAL;ASAL_PER;145100.0;A
2017;ES611;281695;281485;F;TOTAL;ASAL_PER;131925.0;A
2017;ES611;281695;281486;_T;TOTAL;ASAL_PER;554050.0;A
2017;ES611;281695;281486;M;TOTAL;ASAL_PER;145100.0;A
2017;ES611;281695;281486;F;TOTAL;ASAL_PER;131925.0;A
2017;ES611;281697;281485;_T;TOTAL;ASAL_PER;107050.0;A
2017;ES611;281697;281485;M;TOTAL;ASAL_PER;31850.0;A
2017;ES611;281697;281485;F;TOTAL;ASAL_PER;21675.0;A
2017;ES611;281697;281486;_T;TOTAL;ASAL_PER;107050.0;A
2017;ES611;281697;281486;M;TOTAL;ASAL_PER;31850.0;A
2017;ES611;281697;281486;F;TOTAL;ASAL_PER;21675.0;A
2017;ES611;281698;281485;_T;TOTAL;ASAL_PER;18850.0;A
2017;ES611;281698;281485;M;TOTAL;ASAL_PER;7375.0;A
2017;ES611;281698;281485;F;TOTAL;ASAL_PER;2050.0;A
2017;ES611;281698;281486;_T;TOTAL;ASAL_PER;18850.0;A
2017;ES611;281698;281486;M;TOTAL;ASAL_PER;7375.0;A
2017;ES611;281698;281486;F;TOTAL;ASAL_PER;2050.0;A
2017;ES611;281694;281485;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281694;281485;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281694;281485;F;TOTAL;ASAL_PER;155650.0;A
2017;ES611;281694;281486;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281694;281486;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281694;281486;F;TOTAL;ASAL_PER;155650.0;A
2017;ES612;281695;281485;_T;TOTAL;ASAL_PER;919100.0;A
2017;ES612;281695;281485;M;TOTAL;ASAL_PER;240825.0;A
2017;ES612;281695;281485;F;TOTAL;ASAL_PER;218725.0;A
2017;ES612;281695;281486;_T;TOTAL;ASAL_PER;919100.0;A
2017;ES612;281695;281486;M;TOTAL;ASAL_PER;240825.0;A
2017;ES612;281695;281486;F;TOTAL;ASAL_PER;218725.0;A
2017;ES612;281697;281485;_T;TOTAL;ASAL_PER;169100.0;A
2017;ES612;281697;281485;M;TOTAL;ASAL_PER;52875.0;A
2017;ES612;281697;281485;F;TOTAL;ASAL_PER;31675.0;A
2017;ES612;281697;281486;_T;TOTAL;ASAL_PER;169100.0;A
2017;ES612;281697;281486;M;TOTAL;ASAL_PER;52875.0;A
2017;ES612;281697;281486;F;TOTAL;ASAL_PER;31675.0;A
2017;ES612;281698;281485;_T;TOTAL;ASAL_PER;40750.0;A
2017;ES612;281698;281485;M;TOTAL;ASAL_PER;17650.0;A
2017;ES612;281698;281485;F;TOTAL;ASAL_PER;2725.0;A
2017;ES612;281698;281486;_T;TOTAL;ASAL_PER;40750.0;A
2017;ES612;281698;281486;M;TOTAL;ASAL_PER;17650.0;A
2017;ES612;281698;281486;F;TOTAL;ASAL_PER;2725.0;A
2017;ES612;281694;281485;_T;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281694;281485;M;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281694;281485;F;TOTAL;ASAL_PER;253125.0;A
2017;ES612;281694;281486;_T;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281694;281486;M;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281694;281486;F;TOTAL;ASAL_PER;253125.0;A
2017;ES613;281695;281485;_T;TOTAL;ASAL_PER;665700.0;A
2017;ES613;281695;281485;M;TOTAL;ASAL_PER;169725.0;A
2017;ES613;281695;281485;F;TOTAL;ASAL_PER;163125.0;A
2017;ES613;281695;281486;_T;TOTAL;ASAL_PER;665700.0;A
2017;ES613;281695;281486;M;TOTAL;ASAL_PER;169725.0;A
2017;ES613;281695;281486;F;TOTAL;ASAL_PER;163125.0;A
2017;ES613;281697;281485;_T;TOTAL;ASAL_PER;137500.0;A
2017;ES613;281697;281485;M;TOTAL;ASAL_PER;43875.0;A
2017;ES613;281697;281485;F;TOTAL;ASAL_PER;24875.0;A
2017;ES613;281697;281486;_T;TOTAL;ASAL_PER;137500.0;A
2017;ES613;281697;281486;M;TOTAL;ASAL_PER;43875.0;A
