TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES614;281603;281486;_T;TOTAL;ASAL_PER;454500.0;A
2017;ES614;281603;281486;M;TOTAL;ASAL_PER;123900.0;A
2017;ES614;281603;281486;F;TOTAL;ASAL_PER;103350.0;A
2017;ES614;281604;281485;_T;TOTAL;ASAL_PER;43550.0;A
2017;ES614;281604;281485;M;TOTAL;ASAL_PER;11675.0;A
2017;ES614;281604;281485;F;TOTAL;ASAL_PER;10100.0;A
2017;ES614;281604;281486;_T;TOTAL;ASAL_PER;43550.0;A
2017;ES614;281604;281486;M;TOTAL;ASAL_PER;11675.0;A
2017;ES614;281604;281486;F;TOTAL;ASAL_PER;10100.0;A
2017;ES614;281605;281485;_T;TOTAL;ASAL_PER;296600.0;A
2017;ES614;281605;281485;M;TOTAL;ASAL_PER;74200.0;A
2017;ES614;281605;281485;F;TOTAL;ASAL_PER;74100.0;A
2017;ES614;281605;281486;_T;TOTAL;ASAL_PER;296600.0;A
2017;ES614;281605;281486;M;TOTAL;ASAL_PER;74200.0;A
2017;ES614;281605;281486;F;TOTAL;ASAL_PER;74100.0;A
2017;ES614;281602;281485;_T;TOTAL;ASAL_PER;794650.0;A
2017;ES614;281602;281485;M;TOTAL;ASAL_PER;209775.0;A
2017;ES614;281602;281485;F;TOTAL;ASAL_PER;187550.0;A
2017;ES614;281602;281486;_T;TOTAL;ASAL_PER;794650.0;A
2017;ES614;281602;281486;M;TOTAL;ASAL_PER;209775.0;A
2017;ES614;281602;281486;F;TOTAL;ASAL_PER;187550.0;A
2017;ES615;281603;281485;_T;TOTAL;ASAL_PER;365050.0;A
2017;ES615;281603;281485;M;TOTAL;ASAL_PER;89725.0;A
2017;ES615;281603;281485;F;TOTAL;ASAL_PER;92800.0;A
2017;ES615;281603;281486;_T;TOTAL;ASAL_PER;365050.0;A
2017;ES615;281603;281486;M;TOTAL;ASAL_PER;89725.0;A
2017;ES615;281603;281486;F;TOTAL;ASAL_PER;92800.0;A
2017;ES615;281605;281485;_T;TOTAL;ASAL_PER;220700.0;A
2017;ES615;281605;281485;M;TOTAL;ASAL_PER;59150.0;A
2017;ES615;281605;281485;F;TOTAL;ASAL_PER;51200.0;A
2017;ES615;281605;281486;_T;TOTAL;ASAL_PER;220700.0;A
2017;ES615;281605;281486;M;TOTAL;ASAL_PER;59150.0;A
2017;ES615;281605;281486;F;TOTAL;ASAL_PER;51200.0;A
2017;ES615;281602;281485;_T;TOTAL;ASAL_PER;585750.0;A
2017;ES615;281602;281485;M;TOTAL;ASAL_PER;148875.0;A
2017;ES615;281602;281485;F;TOTAL;ASAL_PER;144000.0;A
2017;ES615;281602;281486;_T;TOTAL;ASAL_PER;585750.0;A
2017;ES615;281602;281486;M;TOTAL;ASAL_PER;148875.0;A
2017;ES615;281602;281486;F;TOTAL;ASAL_PER;144000.0;A
2017;ES616;281603;281485;_T;TOTAL;ASAL_PER;370200.0;A
2017;ES616;281603;281485;M;TOTAL;ASAL_PER;106625.0;A
2017;ES616;281603;281485;F;TOTAL;ASAL_PER;78475.0;A
2017;ES616;281603;281486;_T;TOTAL;ASAL_PER;370200.0;A
2017;ES616;281603;281486;M;TOTAL;ASAL_PER;106625.0;A
2017;ES616;281603;281486;F;TOTAL;ASAL_PER;78475.0;A
2017;ES616;281604;281485;_T;TOTAL;ASAL_PER;38650.0;A
2017;ES616;281604;281485;M;TOTAL;ASAL_PER;10800.0;A
2017;ES616;281604;281485;F;TOTAL;ASAL_PER;8525.0;A
2017;ES616;281604;281486;_T;TOTAL;ASAL_PER;38650.0;A
2017;ES616;281604;281486;M;TOTAL;ASAL_PER;10800.0;A
2017;ES616;281604;281486;F;TOTAL;ASAL_PER;8525.0;A
2017;ES616;281605;281485;_T;TOTAL;ASAL_PER;170100.0;A
2017;ES616;281605;281485;M;TOTAL;ASAL_PER;44150.0;A
2017;ES616;281605;281485;F;TOTAL;ASAL_PER;40900.0;A
2017;ES616;281605;281486;_T;TOTAL;ASAL_PER;170100.0;A
2017;ES616;281605;281486;M;TOTAL;ASAL_PER;44150.0;A
2017;ES616;281605;281486;F;TOTAL;ASAL_PER;40900.0;A
2017;ES616;281602;281485;_T;TOTAL;ASAL_PER;578950.0;A
2017;ES616;281602;281485;M;TOTAL;ASAL_PER;161575.0;A
2017;ES616;281602;281485;F;TOTAL;ASAL_PER;127900.0;A
2017;ES616;281602;281486;_T;TOTAL;ASAL_PER;578950.0;A
2017;ES616;281602;281486;M;TOTAL;ASAL_PER;161575.0;A
2017;ES616;281602;281486;F;TOTAL;ASAL_PER;127900.0;A
2017;ES617;281603;281485;_T;TOTAL;ASAL_PER;280650.0;A
2017;ES617;281603;281485;M;TOTAL;ASAL_PER;78050.0;A
2017;ES617;281603;281485;F;TOTAL;ASAL_PER;62275.0;A
2017;ES617;281603;281486;_T;TOTAL;ASAL_PER;280650.0;A
2017;ES617;281603;281486;M;TOTAL;ASAL_PER;78050.0;A
2017;ES617;281603;281486;F;TOTAL;ASAL_PER;62275.0;A
2017;ES617;281604;281485;_T;TOTAL;ASAL_PER;371000.0;A
2017;ES617;281604;281485;M;TOTAL;ASAL_PER;96375.0;A
2017;ES617;281604;281485;F;TOTAL;ASAL_PER;89125.0;A
2017;ES617;281604;281486;_T;TOTAL;ASAL_PER;371000.0;A
2017;ES617;281604;281486;M;TOTAL;ASAL_PER;96375.0;A
2017;ES617;281604;281486;F;TOTAL;ASAL_PER;89125.0;A
2017;ES617;281605;281485;_T;TOTAL;ASAL_PER;999800.0;A
2017;ES617;281605;281485;M;TOTAL;ASAL_PER;257700.0;A
2017;ES617;281605;281485;F;TOTAL;ASAL_PER;242200.0;A
