TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES611;281653;281485;_T;TOTAL;ASAL_PER;68550.0;A
2017;ES611;281653;281485;M;TOTAL;ASAL_PER;17750.0;A
2017;ES611;281653;281485;F;TOTAL;ASAL_PER;16525.0;A
2017;ES611;281653;281486;_T;TOTAL;ASAL_PER;68550.0;A
2017;ES611;281653;281486;M;TOTAL;ASAL_PER;17750.0;A
2017;ES611;281653;281486;F;TOTAL;ASAL_PER;16525.0;A
2017;ES611;281654;281485;_T;TOTAL;ASAL_PER;150400.0;A
2017;ES611;281654;281485;M;TOTAL;ASAL_PER;40475.0;A
2017;ES611;281654;281485;F;TOTAL;ASAL_PER;34725.0;A
2017;ES611;281654;281486;_T;TOTAL;ASAL_PER;150400.0;A
2017;ES611;281654;281486;M;TOTAL;ASAL_PER;40475.0;A
2017;ES611;281654;281486;F;TOTAL;ASAL_PER;34725.0;A
2017;ES611;281655;281485;_T;TOTAL;ASAL_PER;149200.0;A
2017;ES611;281655;281485;M;TOTAL;ASAL_PER;39075.0;A
2017;ES611;281655;281485;F;TOTAL;ASAL_PER;35525.0;A
2017;ES611;281655;281486;_T;TOTAL;ASAL_PER;149200.0;A
2017;ES611;281655;281486;M;TOTAL;ASAL_PER;39075.0;A
2017;ES611;281655;281486;F;TOTAL;ASAL_PER;35525.0;A
2017;ES611;281656;281485;_T;TOTAL;ASAL_PER;114500.0;A
2017;ES611;281656;281485;M;TOTAL;ASAL_PER;28300.0;A
2017;ES611;281656;281485;F;TOTAL;ASAL_PER;28950.0;A
2017;ES611;281656;281486;_T;TOTAL;ASAL_PER;114500.0;A
2017;ES611;281656;281486;M;TOTAL;ASAL_PER;28300.0;A
2017;ES611;281656;281486;F;TOTAL;ASAL_PER;28950.0;A
2017;ES611;281657;281485;_T;TOTAL;ASAL_PER;197300.0;A
2017;ES611;281657;281485;M;TOTAL;ASAL_PER;58725.0;A
2017;ES611;281657;281485;F;TOTAL;ASAL_PER;39925.0;A
2017;ES611;281657;281486;_T;TOTAL;ASAL_PER;197300.0;A
2017;ES611;281657;281486;M;TOTAL;ASAL_PER;58725.0;A
2017;ES611;281657;281486;F;TOTAL;ASAL_PER;39925.0;A
2017;ES611;281652;281485;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281652;281485;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281652;281485;F;TOTAL;ASAL_PER;155650.0;A
2017;ES611;281652;281486;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281652;281486;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281652;281486;F;TOTAL;ASAL_PER;155650.0;A
2017;ES612;281653;281485;_T;TOTAL;ASAL_PER;111050.0;A
2017;ES612;281653;281485;M;TOTAL;ASAL_PER;27525.0;A
2017;ES612;281653;281485;F;TOTAL;ASAL_PER;28000.0;A
2017;ES612;281653;281486;_T;TOTAL;ASAL_PER;111050.0;A
2017;ES612;281653;281486;M;TOTAL;ASAL_PER;27525.0;A
2017;ES612;281653;281486;F;TOTAL;ASAL_PER;28000.0;A
2017;ES612;281654;281485;_T;TOTAL;ASAL_PER;216100.0;A
2017;ES612;281654;281485;M;TOTAL;ASAL_PER;48550.0;A
2017;ES612;281654;281485;F;TOTAL;ASAL_PER;59500.0;A
2017;ES612;281654;281486;_T;TOTAL;ASAL_PER;216100.0;A
2017;ES612;281654;281486;M;TOTAL;ASAL_PER;48550.0;A
2017;ES612;281654;281486;F;TOTAL;ASAL_PER;59500.0;A
2017;ES612;281655;281485;_T;TOTAL;ASAL_PER;208600.0;A
2017;ES612;281655;281485;M;TOTAL;ASAL_PER;51550.0;A
2017;ES612;281655;281485;F;TOTAL;ASAL_PER;52750.0;A
2017;ES612;281655;281486;_T;TOTAL;ASAL_PER;208600.0;A
2017;ES612;281655;281486;M;TOTAL;ASAL_PER;51550.0;A
2017;ES612;281655;281486;F;TOTAL;ASAL_PER;52750.0;A
2017;ES612;281656;281485;_T;TOTAL;ASAL_PER;207600.0;A
2017;ES612;281656;281485;M;TOTAL;ASAL_PER;56200.0;A
2017;ES612;281656;281485;F;TOTAL;ASAL_PER;47600.0;A
2017;ES612;281656;281486;_T;TOTAL;ASAL_PER;207600.0;A
2017;ES612;281656;281486;M;TOTAL;ASAL_PER;56200.0;A
