TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES611;281639;281485;_T;TOTAL;ASAL_PER;349100.0;A
2017;ES611;281639;281485;M;TOTAL;ASAL_PER;94900.0;A
2017;ES611;281639;281485;F;TOTAL;ASAL_PER;79650.0;A
2017;ES611;281639;281486;_T;TOTAL;ASAL_PER;349100.0;A
2017;ES611;281639;281486;M;TOTAL;ASAL_PER;94900.0;A
2017;ES611;281639;281486;F;TOTAL;ASAL_PER;79650.0;A
2017;ES611;281640;281485;_T;TOTAL;ASAL_PER;73750.0;A
2017;ES611;281640;281485;M;TOTAL;ASAL_PER;20500.0;A
2017;ES611;281640;281485;F;TOTAL;ASAL_PER;16375.0;A
2017;ES611;281640;281486;_T;TOTAL;ASAL_PER;73750.0;A
2017;ES611;281640;281486;M;TOTAL;ASAL_PER;20500.0;A
2017;ES611;281640;281486;F;TOTAL;ASAL_PER;16375.0;A
2017;ES611;281641;281485;_T;TOTAL;ASAL_PER;119350.0;A
2017;ES611;281641;281485;M;TOTAL;ASAL_PER;33025.0;A
2017;ES611;281641;281485;F;TOTAL;ASAL_PER;26650.0;A
2017;ES611;281641;281486;_T;TOTAL;ASAL_PER;119350.0;A
2017;ES611;281641;281486;M;TOTAL;ASAL_PER;33025.0;A
2017;ES611;281641;281486;F;TOTAL;ASAL_PER;26650.0;A
2017;ES611;281642;281485;_T;TOTAL;ASAL_PER;63100.0;A
2017;ES611;281642;281485;M;TOTAL;ASAL_PER;14475.0;A
2017;ES611;281642;281485;F;TOTAL;ASAL_PER;17075.0;A
2017;ES611;281642;281486;_T;TOTAL;ASAL_PER;63100.0;A
2017;ES611;281642;281486;M;TOTAL;ASAL_PER;14475.0;A
2017;ES611;281642;281486;F;TOTAL;ASAL_PER;17075.0;A
2017;ES611;281643;281485;_T;TOTAL;ASAL_PER;74650.0;A
2017;ES611;281643;281485;M;TOTAL;ASAL_PER;21425.0;A
2017;ES611;281643;281485;F;TOTAL;ASAL_PER;15900.0;A
2017;ES611;281643;281486;_T;TOTAL;ASAL_PER;74650.0;A
2017;ES611;281643;281486;M;TOTAL;ASAL_PER;21425.0;A
2017;ES611;281643;281486;F;TOTAL;ASAL_PER;15900.0;A
2017;ES611;281638;281485;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281638;281485;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281638;281485;F;TOTAL;ASAL_PER;155650.0;A
2017;ES611;281638;281486;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281638;281486;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281638;281486;F;TOTAL;ASAL_PER;155650.0;A
2017;ES612;281639;281485;_T;TOTAL;ASAL_PER;493750.0;A
2017;ES612;281639;281485;M;TOTAL;ASAL_PER;133050.0;A
2017;ES612;281639;281485;F;TOTAL;ASAL_PER;113825.0;A
2017;ES612;281639;281486;_T;TOTAL;ASAL_PER;493750.0;A
2017;ES612;281639;281486;M;TOTAL;ASAL_PER;133050.0;A
2017;ES612;281639;281486;F;TOTAL;ASAL_PER;113825.0;A
2017;ES612;281640;281485;_T;TOTAL;ASAL_PER;127550.0;A
2017;ES612;281640;281485;M;TOTAL;ASAL_PER;35925.0;A
2017;ES612;281640;281485;F;TOTAL;ASAL_PER;27850.0;A
2017;ES612;281640;281486;_T;TOTAL;ASAL_PER;127550.0;A
2017;ES612;281640;281486;M;TOTAL;ASAL_PER;35925.0;A
2017;ES612;281640;281486;F;TOTAL;ASAL_PER;27850.0;A
2017;ES612;281641;281485;_T;TOTAL;ASAL_PER;229350.0;A
2017;ES612;281641;281485;M;TOTAL;ASAL_PER;63400.0;A
