TIME_PERIOD;REF_AREA;OBS_STATUS;D_ORDEN_0;INDICATOR;OBS_VALUE;FREQ
2005;ES612;A;62351;;28.53322645;A
2005;ES613;A;62351;;28.987908933;A
2005;ES614;A;62351;;28.501749174;A
2005;ES615;A;62351;;28.235567966;A
2005;ES616;A;62351;;28.426555324;A
2005;ES617;A;62351;;28.656795115;A
2005;ES618;A;62351;;28.856640563;A
2005;ES61;A;62351;;28.574420933;A
2005;ES;A;62351;;29.336123;A
2004;ES611;A;62351;;27.635021973;A
2004;ES612;A;62351;;28.369563746;A
2004;ES613;A;62351;;28.786910513;A
2004;ES614;A;62351;;28.452835137;A
2004;ES615;A;62351;;28.256342001;A
2004;ES616;A;62351;;28.454738623;A
2004;ES617;A;62351;;28.620453572;A
2004;ES618;A;62351;;28.753897;A
2004;ES61;A;62351;;28.494898934;A
2004;ES;A;62351;;29.292159;A
2003;ES611;A;62351;;27.798713196;A
2003;ES612;A;62351;;28.289060755;A
2003;ES613;A;62351;;28.701478881;A
2003;ES614;A;62351;;28.353330719;A
2003;ES615;A;62351;;28.19367577;A
2003;ES616;A;62351;;28.262369076;A
2003;ES617;A;62351;;28.614215303;A
2003;ES618;A;62351;;28.760896175;A
2003;ES61;A;62351;;28.460323114;A
2003;ES;A;62351;;29.246128;A
2002;ES611;A;62351;;27.446866369;A
2002;ES612;A;62351;;28.290367869;A
2002;ES613;A;62351;;28.471753774;A
2002;ES614;A;62351;;28.487975339;A
2002;ES615;A;62351;;28.039154063;A
2002;ES616;A;62351;;28.150152457;A
2002;ES617;A;62351;;28.488266863;A
2002;ES618;A;62351;;28.606110366;A
2002;ES61;A;62351;;28.348963018;A
2002;ES;A;62351;;29.184418;A
2001;ES611;A;62351;;27.298944701;A
2001;ES612;A;62351;;28.112685859;A
2001;ES613;A;62351;;28.475337472;A
2001;ES614;A;62351;;28.203297507;A
2001;ES615;A;62351;;27.868847461;A
2001;ES616;A;62351;;28.011961875;A
2001;ES617;A;62351;;28.388874799;A
2001;ES618;A;62351;;28.555758053;A
2001;ES61;A;62351;;28.221423795;A
2001;ES;A;62351;;29.111481;A
2000;ES611;A;62351;;27.275927769;A
2000;ES612;A;62351;;27.778736828;A
2000;ES613;A;62351;;28.272282857;A
2000;ES614;A;62351;;27.976380556;A
2000;ES615;A;62351;;27.937752974;A
2000;ES616;A;62351;;27.657331902;A
2000;ES617;A;62351;;28.191512245;A
2000;ES618;A;62351;;28.472042355;A
2000;ES61;A;62351;;28.049012399;A
2000;ES;A;62351;;29.090763;A
1999;ES611;A;62351;;27.155635226;A
1999;ES612;A;62351;;27.820799781;A
1999;ES613;A;62351;;27.933484512;A
1999;ES614;A;62351;;28.048119514;A
1999;ES615;A;62351;;27.6566905;A
1999;ES616;A;62351;;27.517968539;A
1999;ES617;A;62351;;28.080521263;A
1999;ES618;A;62351;;28.18891031;A
1999;ES61;A;62351;;27.899549312;A
1999;ES;A;62351;;28.989421;A
1998;ES611;A;62351;;27.013822939;A
1998;ES612;A;62351;;27.651584726;A
1998;ES613;A;62351;;27.894781819;A
1998;ES614;A;62351;;27.860786982;A
1998;ES615;A;62351;;27.163888578;A
1998;ES616;A;62351;;27.237310517;A
1998;ES617;A;62351;;28.017343281;A
1998;ES618;A;62351;;28.035789576;A
1998;ES61;A;62351;;27.741856307;A
1998;ES;A;62351;;28.886658;A
1997;ES611;A;62351;;26.935596732;A
1997;ES612;A;62351;;27.552578869;A
1997;ES613;A;62351;;27.788035995;A
1997;ES614;A;62351;;27.641292482;A
1997;ES615;A;62351;;27.105508226;A
1997;ES616;A;62351;;27.119394698;A
1997;ES617;A;62351;;27.966518496;A
1997;ES618;A;62351;;27.72785988;A
1997;ES61;A;62351;;27.586109717;A
1997;ES;A;62351;;28.697361;A
1996;ES611;A;62351;;26.548395537;A
1996;ES612;A;62351;;27.168115376;A
1996;ES613;A;62351;;27.535871158;A
1996;ES614;A;62351;;27.526365303;A
1996;ES615;A;62351;;27.177883705;A
1996;ES616;A;62351;;26.789495041;A
1996;ES617;A;62351;;27.894863862;A
1996;ES618;A;62351;;27.735205676;A
1996;ES61;A;62351;;27.426208108;A
1996;ES;A;62351;;28.465088;A
1995;ES611;A;62351;;26.717376069;A
1995;ES612;A;62351;;27.344141276;A
1995;ES613;A;62351;;27.468081424;A
1995;ES614;A;62351;;27.342432141;A
1995;ES615;A;62351;;27.263489298;A
1995;ES616;A;62351;;26.976284207;A
1995;ES617;A;62351;;27.799096307;A
1995;ES618;A;62351;;27.681584063;A
1995;ES61;A;62351;;27.424515599;A
1995;ES;A;62351;;28.405487;A
1994;ES611;A;62351;;26.632011711;A
1994;ES612;A;62351;;27.03203284;A
1994;ES613;A;62351;;27.133288985;A
1994;ES614;A;62351;;27.452959041;A
1994;ES615;A;62351;;27.105716701;A
1994;ES616;A;62351;;26.769487917;A
1994;ES617;A;62351;;27.506230703;A
1994;ES618;A;62351;;27.361032637;A
1994;ES61;A;62351;;27.194330862;A
1994;ES;A;62351;;28.123365;A
1993;ES611;A;62351;;26.537514047;A
1993;ES612;A;62351;;26.909549676;A
1993;ES613;A;62351;;26.794681464;A
1993;ES614;A;62351;;27.075068653;A
1993;ES615;A;62351;;27.034235648;A
1993;ES616;A;62351;;26.603177606;A
1993;ES617;A;62351;;27.341840977;A
1993;ES618;A;62351;;27.064317226;A
1993;ES61;A;62351;;26.972772546;A
1993;ES;A;62351;;27.808677;A
1992;ES611;A;62351;;26.184881634;A
1992;ES612;A;62351;;26.475595771;A
1992;ES613;A;62351;;26.763239791;A
1992;ES614;A;62351;;27.003203137;A
1992;ES615;A;62351;;26.691117178;A
1992;ES616;A;62351;;26.504371485;A
1992;ES617;A;62351;;27.04911279;A
1992;ES618;A;62351;;26.76290146;A
1992;ES61;A;62351;;26.719237459;A
1992;ES;A;62351;;27.502309;A
1991;ES611;A;62351;;25.776251597;A
1991;ES612;A;62351;;26.09745633;A
1991;ES613;A;62351;;26.31481692;A
1991;ES614;A;62351;;26.589053764;A
1991;ES615;A;62351;;26.242105053;A
1991;ES616;A;62351;;26.430906422;A
1991;ES617;A;62351;;26.623291827;A
1991;ES618;A;62351;;26.559160713;A
1991;ES61;A;62351;;26.385808252;A
1991;ES;A;62351;;27.159253;A
1990;ES611;A;62351;;25.344659356;A
1990;ES612;A;62351;;25.93015862;A
1990;ES613;A;62351;;26.266547055;A
1990;ES614;A;62351;;26.408520114;A
1990;ES615;A;62351;;25.85068104;A
1990;ES616;A;62351;;26.20945355;A
1990;ES617;A;62351;;26.455765285;A
1990;ES618;A;62351;;26.130470695;A
1990;ES61;A;62351;;26.121502879;A
1990;ES;A;62351;;26.805862;A
1989;ES611;A;62351;;25.376373232;A
1989;ES612;A;62351;;25.499359666;A
1989;ES613;A;62351;;25.918993373;A
1989;ES614;A;62351;;26.248132411;A
1989;ES615;A;62351;;25.585310383;A
1989;ES616;A;62351;;26.127004647;A
1989;ES617;A;62351;;26.13000058;A
1989;ES618;A;62351;;26.133752658;A
1989;ES61;A;62351;;25.92784255;A
1989;ES;A;62351;;26.559203;A
1988;ES611;A;62351;;25.316295729;A
1988;ES612;A;62351;;25.34610897;A
1988;ES613;A;62351;;25.562121203;A
1988;ES614;A;62351;;25.963683063;A
1988;ES615;A;62351;;25.155605834;A
1988;ES616;A;62351;;25.807751759;A
1988;ES617;A;62351;;25.75491559;A
1988;ES618;A;62351;;25.797121162;A
1988;ES61;A;62351;;25.63659494;A
1988;ES;A;62351;;26.25073;A
1987;ES611;A;62351;;24.766053127;A
1987;ES612;A;62351;;24.997212922;A
1987;ES613;A;62351;;25.731556709;A
1987;ES614;A;62351;;25.955547766;A
1987;ES615;A;62351;;25.087326861;A
1987;ES616;A;62351;;25.620338363;A
1987;ES617;A;62351;;25.591006885;A
1987;ES618;A;62351;;25.783941879;A
1987;ES61;A;62351;;25.516044517;A
1987;ES;A;62351;;26.136239;A
1986;ES611;A;62351;;24.922620183;A
1986;ES612;A;62351;;24.893914531;A
1986;ES613;A;62351;;25.662393463;A
1986;ES614;A;62351;;25.791788631;A
1986;ES615;A;62351;;24.824507612;A
1986;ES616;A;62351;;25.399100763;A
1986;ES617;A;62351;;25.393059021;A
1986;ES618;A;62351;;25.416830731;A
1986;ES61;A;62351;;25.328736769;A
1986;ES;A;62351;;25.899288;A
1985;ES611;A;62351;;24.396779461;A
1985;ES612;A;62351;;24.627274558;A
1985;ES613;A;62351;;25.242995243;A
1985;ES614;A;62351;;25.604572282;A
1985;ES615;A;62351;;24.87990997;A
1985;ES616;A;62351;;25.310474304;A
1985;ES617;A;62351;;25.089572317;A
1985;ES618;A;62351;;25.098394727;A
1985;ES61;A;62351;;25.057518427;A
1985;ES;A;62351;;25.793138;A
1984;ES611;A;62351;;24.251594162;A
1984;ES612;A;62351;;24.457578143;A
1984;ES613;A;62351;;25.447236614;A
1984;ES614;A;62351;;25.703391519;A
1984;ES615;A;62351;;24.63820737;A
1984;ES616;A;62351;;25.214324871;A
1984;ES617;A;62351;;25.019600273;A
1984;ES618;A;62351;;24.942130003;A
1984;ES61;A;62351;;24.986902594;A
1984;ES;A;62351;;25.658681;A
1983;ES611;A;62351;;24.196163059;A
1983;ES612;A;62351;;24.499250606;A
