TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;ES61;Y65-100;4858;DIV;3.82225;A
2020;ES61;Y65-100;4864;DIV;3.82225;A
2020;ES61;Y65-100;4870;DIV;12.58098;A
2020;ES61;Y65-100;4876;DIV;7.68745;A
2020;ES61;Y65-100;4882;DIV;16.11648;A
2020;ES61;Y65-100;4888;DIV;37.51043;A
2020;ES61;Y65-100;4947;DIV;61.03543;A
2020;ES611;TOTAL;4948;DIV;1287.5417;A
2020;ES611;TOTAL;4826;DIV;2.13486;A
2020;ES611;TOTAL;4832;DIV;32.05972;A
2020;ES611;TOTAL;4839;DIV;148.29918;A
2020;ES611;TOTAL;4845;DIV;211.13032;A
2020;ES611;TOTAL;4851;DIV;269.39728;A
2020;ES611;TOTAL;4858;DIV;257.54514;A
2020;ES611;TOTAL;4864;DIV;178.26086;A
2020;ES611;TOTAL;4870;DIV;111.45446;A
2020;ES611;TOTAL;4876;DIV;30.21932;A
2020;ES611;TOTAL;4882;DIV;35.74052;A
2020;ES611;TOTAL;4947;DIV;11.30004;A
2020;ES611;Y15-19;4948;DIV;2.13486;A
2020;ES611;Y15-19;4832;DIV;2.13486;A
2020;ES611;Y25-29;4948;DIV;28.08446;A
2020;ES611;Y25-29;4826;DIV;2.13486;A
2020;ES611;Y25-29;4832;DIV;16.48996;A
2020;ES611;Y25-29;4839;DIV;4.26972;A
2020;ES611;Y25-29;4851;DIV;5.18992;A
2020;ES611;Y30-34;4948;DIV;107.73684;A
2020;ES611;Y30-34;4832;DIV;5.18992;A
2020;ES611;Y30-34;4839;DIV;59.8129;A
2020;ES611;Y30-34;4845;DIV;29.29912;A
2020;ES611;Y30-34;4851;DIV;13.4349;A
2020;ES611;Y35-39;4948;DIV;165.70934;A
2020;ES611;Y35-39;4832;DIV;3.05506;A
2020;ES611;Y35-39;4839;DIV;43.02848;A
2020;ES611;Y35-39;4845;DIV;77.81198;A
2020;ES611;Y35-39;4851;DIV;27.45872;A
2020;ES611;Y35-39;4858;DIV;8.24498;A
2020;ES611;Y35-39;4864;DIV;3.05506;A
2020;ES611;Y35-39;4870;DIV;3.05506;A
2020;ES611;Y40-44;4948;DIV;271.23768;A
2020;ES611;Y40-44;4832;DIV;5.18992;A
2020;ES611;Y40-44;4839;DIV;27.45872;A
2020;ES611;Y40-44;4845;DIV;70.15592;A
2020;ES611;Y40-44;4851;DIV;126.6193;A
2020;ES611;Y40-44;4858;DIV;31.43398;A
2020;ES611;Y40-44;4864;DIV;8.24498;A
2020;ES611;Y40-44;4870;DIV;2.13486;A
2020;ES611;Y45-49;4948;DIV;240.39262;A
2020;ES611;Y45-49;4839;DIV;7.32478;A
2020;ES611;Y45-49;4845;DIV;31.72844;A
2020;ES611;Y45-49;4851;DIV;72.29078;A
2020;ES611;Y45-49;4858;DIV;106.77982;A
2020;ES611;Y45-49;4864;DIV;15.86422;A
2020;ES611;Y45-49;4870;DIV;4.26972;A
2020;ES611;Y45-49;4876;DIV;2.13486;A
2020;ES611;Y50-54;4948;DIV;197.76906;A
2020;ES611;Y50-54;4839;DIV;6.40458;A
2020;ES611;Y50-54;4845;DIV;2.13486;A
2020;ES611;Y50-54;4851;DIV;17.07888;A
