OBS_STATUS;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
P;3087;46361;2021;SOC_CONST;1.0;A
P;3087;46364;2021;SOC_CONST;28.0;A
P;3088;46367;2021;SOC_CONST;1.0;A
P;3088;46364;2021;SOC_CONST;1.0;A
P;3089;46367;2021;SOC_CONST;4.0;A
P;3089;46364;2021;SOC_CONST;4.0;A
P;3090;46367;2021;SOC_CONST;6.0;A
P;3090;46364;2021;SOC_CONST;6.0;A
P;3091;46367;2021;SOC_CONST;12.0;A
P;3091;46364;2021;SOC_CONST;12.0;A
P;3092;46367;2021;SOC_CONST;15.0;A
P;3092;46364;2021;SOC_CONST;15.0;A
P;3094;46367;2021;SOC_CONST;9.0;A
P;3094;46364;2021;SOC_CONST;9.0;A
P;3095;46367;2021;SOC_CONST;16.0;A
P;3095;46364;2021;SOC_CONST;16.0;A
P;3096;46367;2021;SOC_CONST;73.0;A
P;3096;46364;2021;SOC_CONST;73.0;A
P;3097;46367;2021;SOC_CONST;16.0;A
P;3097;46364;2021;SOC_CONST;16.0;A
P;3098;46367;2021;SOC_CONST;7.0;A
P;3098;46364;2021;SOC_CONST;7.0;A
P;3099;46367;2021;SOC_CONST;7.0;A
P;3099;46364;2021;SOC_CONST;7.0;A
P;3100;46367;2021;SOC_CONST;4.0;A
P;3100;46364;2021;SOC_CONST;4.0;A
P;3101;46367;2021;SOC_CONST;2.0;A
P;3101;46364;2021;SOC_CONST;2.0;A
P;3102;46367;2021;SOC_CONST;18.0;A
P;3102;46364;2021;SOC_CONST;18.0;A
P;3103;46367;2021;SOC_CONST;1.0;A
P;3103;46364;2021;SOC_CONST;1.0;A
P;3104;46367;2021;SOC_CONST;17.0;A
P;3104;46364;2021;SOC_CONST;17.0;A
P;3105;46367;2021;SOC_CONST;2.0;A
P;3105;46364;2021;SOC_CONST;2.0;A
P;3108;46367;2021;SOC_CONST;12.0;A
P;3108;46364;2021;SOC_CONST;12.0;A
P;3109;46367;2021;SOC_CONST;3.0;A
P;3109;46364;2021;SOC_CONST;3.0;A
P;3110;46367;2021;SOC_CONST;88.0;A
P;3110;46364;2021;SOC_CONST;88.0;A
P;3111;46367;2021;SOC_CONST;8.0;A
P;3111;46364;2021;SOC_CONST;8.0;A
P;3112;46367;2021;SOC_CONST;1.0;A
P;3112;46364;2021;SOC_CONST;1.0;A
P;3113;46367;2021;SOC_CONST;5.0;A
P;3113;46364;2021;SOC_CONST;5.0;A
P;3114;46367;2021;SOC_CONST;23.0;A
P;3114;46364;2021;SOC_CONST;23.0;A
P;3115;46367;2021;SOC_CONST;24.0;A
P;3115;46364;2021;SOC_CONST;24.0;A
P;3116;46367;2021;SOC_CONST;22.0;A
P;3116;46364;2021;SOC_CONST;22.0;A
P;3118;46367;2021;SOC_CONST;8.0;A
P;3118;46364;2021;SOC_CONST;8.0;A
P;3119;46367;2021;SOC_CONST;3.0;A
P;3119;46364;2021;SOC_CONST;3.0;A
P;3120;46367;2021;SOC_CONST;2262.0;A
P;3120;46361;2021;SOC_CONST;8.0;A
P;3120;46364;2021;SOC_CONST;2233.0;A
P;3120;46366;2021;SOC_CONST;21.0;A
P;3121;46367;2021;SOC_CONST;12.0;A
P;3121;46364;2021;SOC_CONST;12.0;A
P;3122;46367;2021;SOC_CONST;78.0;A
P;3122;46364;2021;SOC_CONST;78.0;A
P;3123;46367;2021;SOC_CONST;14.0;A
P;3123;46364;2021;SOC_CONST;14.0;A
P;3124;46367;2021;SOC_CONST;95.0;A
P;3124;46364;2021;SOC_CONST;95.0;A
P;3126;46367;2021;SOC_CONST;36.0;A
P;3126;46364;2021;SOC_CONST;36.0;A
P;3127;46367;2021;SOC_CONST;8.0;A
P;3127;46364;2021;SOC_CONST;8.0;A
P;3128;46367;2021;SOC_CONST;11.0;A
P;3128;46364;2021;SOC_CONST;11.0;A
P;3129;46367;2021;SOC_CONST;4.0;A
P;3129;46364;2021;SOC_CONST;4.0;A
P;3131;46367;2021;SOC_CONST;18.0;A
P;3131;46364;2021;SOC_CONST;18.0;A
P;3132;46367;2021;SOC_CONST;37.0;A
P;3132;46364;2021;SOC_CONST;37.0;A
P;ES618;46367;2021;CAP_SUSCRITO;156752358;A
P;ES618;46361;2021;CAP_SUSCRITO;1246000.0;A
P;ES618;46364;2021;CAP_SUSCRITO;155436701;A
P;ES618;46366;2021;CAP_SUSCRITO;69656.53;A
P;3026;46367;2021;CAP_SUSCRITO;7000.0;A
P;3026;46364;2021;CAP_SUSCRITO;6000.0;A
P;3026;46366;2021;CAP_SUSCRITO;1000.0;A
