TIME_PERIOD,REF_AREA,D_DISTRIBUCION_MNP_0,INDICATOR,OBS_VALUE,FREQ,SEXO,D_MULTIPLICIDAD_SEXO_0,EDAD,D_REL_RESIDENANT_0
2018,ES616,70391,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2018,ES616,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2018,ES617,70395,LATE_FETAL_DEATH,87.0,A,_Z,_Z,_Z,_Z
2018,ES617,70391,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
2018,ES617,70394,LATE_FETAL_DEATH,44.0,A,_Z,_Z,_Z,_Z
2018,ES618,70395,LATE_FETAL_DEATH,106.0,A,_Z,_Z,_Z,_Z
2018,ES618,70391,LATE_FETAL_DEATH,50.0,A,_Z,_Z,_Z,_Z
2018,ES618,70394,LATE_FETAL_DEATH,56.0,A,_Z,_Z,_Z,_Z
2018,ES61,70395,LATE_FETAL_DEATH,467.0,A,_Z,_Z,_Z,_Z
2018,ES61,70391,LATE_FETAL_DEATH,229.0,A,_Z,_Z,_Z,_Z
2018,ES61,70394,LATE_FETAL_DEATH,238.0,A,_Z,_Z,_Z,_Z
2017,ES611,70395,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2017,ES611,70391,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2017,ES611,70394,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2017,ES612,70395,LATE_FETAL_DEATH,107.0,A,_Z,_Z,_Z,_Z
2017,ES612,70391,LATE_FETAL_DEATH,53.0,A,_Z,_Z,_Z,_Z
2017,ES612,70394,LATE_FETAL_DEATH,54.0,A,_Z,_Z,_Z,_Z
2017,ES613,70395,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2017,ES613,70391,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2017,ES613,70394,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2017,ES614,70395,LATE_FETAL_DEATH,78.0,A,_Z,_Z,_Z,_Z
2017,ES614,70391,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2017,ES614,70394,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2017,ES615,70395,LATE_FETAL_DEATH,3.0,A,_Z,_Z,_Z,_Z
2017,ES615,70391,LATE_FETAL_DEATH,3.0,A,_Z,_Z,_Z,_Z
2017,ES616,70395,LATE_FETAL_DEATH,27.0,A,_Z,_Z,_Z,_Z
2017,ES616,70391,LATE_FETAL_DEATH,16.0,A,_Z,_Z,_Z,_Z
2017,ES616,70394,LATE_FETAL_DEATH,11.0,A,_Z,_Z,_Z,_Z
2017,ES617,70395,LATE_FETAL_DEATH,84.0,A,_Z,_Z,_Z,_Z
2017,ES617,70391,LATE_FETAL_DEATH,41.0,A,_Z,_Z,_Z,_Z
2017,ES617,70394,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
2017,ES618,70395,LATE_FETAL_DEATH,72.0,A,_Z,_Z,_Z,_Z
2017,ES618,70391,LATE_FETAL_DEATH,35.0,A,_Z,_Z,_Z,_Z
2017,ES618,70394,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2017,ES61,70395,LATE_FETAL_DEATH,449.0,A,_Z,_Z,_Z,_Z
2017,ES61,70391,LATE_FETAL_DEATH,223.0,A,_Z,_Z,_Z,_Z
2017,ES61,70394,LATE_FETAL_DEATH,226.0,A,_Z,_Z,_Z,_Z
2016,ES611,70395,LATE_FETAL_DEATH,46.0,A,_Z,_Z,_Z,_Z
2016,ES611,70391,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2016,ES611,70394,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2016,ES612,70395,LATE_FETAL_DEATH,63.0,A,_Z,_Z,_Z,_Z
2016,ES612,70391,LATE_FETAL_DEATH,31.0,A,_Z,_Z,_Z,_Z
2016,ES612,70394,LATE_FETAL_DEATH,32.0,A,_Z,_Z,_Z,_Z
2016,ES613,70395,LATE_FETAL_DEATH,45.0,A,_Z,_Z,_Z,_Z
2016,ES613,70391,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2016,ES613,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2016,ES614,70395,LATE_FETAL_DEATH,85.0,A,_Z,_Z,_Z,_Z
2016,ES614,70391,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2016,ES614,70394,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
