D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55124;2014;55565;Pernoctaciones;6526.031526303;A
40123;55124;2014;55697;Pernoctaciones;9391.394171843;A
40123;55124;2013;55698;Pernoctaciones;14146.299701944;A
40123;55124;2013;55565;Pernoctaciones;5619.485014859;A
40123;55124;2013;55697;Pernoctaciones;8526.814687085;A
40123;55221;2019;55698;Pernoctaciones;11098.140687927;A
40123;55221;2019;55565;Pernoctaciones;10195.55358445;A
40123;55221;2019;55697;Pernoctaciones;902.587103477;A
40123;55221;2017;55698;Pernoctaciones;8257.349704347;A
40123;55221;2017;55565;Pernoctaciones;7642.123897899;A
40123;55221;2017;55697;Pernoctaciones;615.225806448;A
40123;55221;2015;55698;Pernoctaciones;13241.317896003;A
40123;55221;2015;55565;Pernoctaciones;11592.826186454;A
40123;55221;2015;55697;Pernoctaciones;1648.491709549;A
40123;55221;2014;55698;Pernoctaciones;10798.275835671;A
40123;55221;2014;55565;Pernoctaciones;9456.946665348;A
40123;55221;2014;55697;Pernoctaciones;1341.329170323;A
40123;55220;2020;55698;Pernoctaciones;45157.521833031;A
40123;55220;2020;55565;Pernoctaciones;26385.315948103;A
40123;55220;2020;55697;Pernoctaciones;18772.205884928;A
40123;55220;2019;55698;Pernoctaciones;158997.827649926;A
40123;55220;2019;55565;Pernoctaciones;30352.54748669;A
40123;55220;2019;55697;Pernoctaciones;128645.280163236;A
40123;55220;2018;55698;Pernoctaciones;165996.3318635;A
40123;55220;2018;55565;Pernoctaciones;5107.71029031;A
40123;55220;2018;55697;Pernoctaciones;160888.62157319;A
40123;55220;2017;55698;Pernoctaciones;131212.176117938;A
40123;55220;2017;55565;Pernoctaciones;6872.393987608;A
40123;55220;2017;55697;Pernoctaciones;124339.78213033;A
40123;55220;2016;55698;Pernoctaciones;70558.950048965;A
40123;55220;2016;55565;Pernoctaciones;8108.61925501;A
40123;55220;2016;55697;Pernoctaciones;62450.330793955;A
40123;55220;2015;55698;Pernoctaciones;40914.358771864;A
40123;55220;2015;55565;Pernoctaciones;4380.98640351;A
40123;55220;2015;55697;Pernoctaciones;36533.372368354;A
40123;55220;2014;55698;Pernoctaciones;26205.914834592;A
40123;55220;2014;55565;Pernoctaciones;4107.842897032;A
40123;55220;2014;55697;Pernoctaciones;22098.07193756;A
40123;70689;2017;55698;Pernoctaciones;46463.10995206;A
40123;70689;2017;55565;Pernoctaciones;1820.88016323;A
40123;70689;2017;55697;Pernoctaciones;44642.22978883;A
40123;213594;2020;55698;Pernoctaciones;16096.238095238;A
40123;213594;2020;55565;Pernoctaciones;15919.142857143;A
40123;213594;2020;55697;Pernoctaciones;177.095238095;A
40123;213594;2018;55698;Pernoctaciones;17433.700040967;A
40123;213594;2018;55565;Pernoctaciones;10396.763251566;A
40123;213594;2018;55697;Pernoctaciones;7036.936789401;A
40123;213594;2017;55698;Pernoctaciones;12069.816828111;A
40123;213594;2017;55565;Pernoctaciones;8675.11113774;A
40123;213594;2017;55697;Pernoctaciones;3394.705690371;A
40124;55124;2021;55698;Pernoctaciones;14230.363060103;A
40124;55124;2021;55565;Pernoctaciones;10489.719193701;A
40124;55124;2021;55697;Pernoctaciones;3740.643866402;A
40124;55220;2021;55698;Pernoctaciones;88096.795253715;A
40124;55220;2021;55565;Pernoctaciones;46578.730878755;A
40124;55220;2021;55697;Pernoctaciones;41518.06437496;A
40123;55108;2017;55698;Estancia media;3.215491912169184;A
40123;55108;2017;55565;Estancia media;2.947909340719427;A
40123;55108;2017;55697;Estancia media;3.949590118467223;A
40123;55108;2016;55698;Estancia media;4.007113773842195;A
40123;55108;2016;55565;Estancia media;3.2663893490569027;A
40123;55108;2016;55697;Estancia media;6.106116460543779;A
40123;55108;2015;55698;Estancia media;4.047062311649919;A
40123;55108;2015;55565;Estancia media;3.706791168166866;A
40123;55108;2015;55697;Estancia media;6.350521363531076;A
40123;55108;2014;55698;Estancia media;4.941750176192652;A
40123;55108;2014;55565;Estancia media;4.580304508469301;A
40123;55108;2014;55697;Estancia media;6.762437218739378;A
40123;55108;2013;55698;Estancia media;4.563369509281009;A
40123;55108;2013;55565;Estancia media;4.540678767536874;A
40123;55108;2013;55697;Estancia media;4.7011425602333485;A
40123;55124;2020;55698;Estancia media;3.820036007906925;A
40123;55124;2020;55565;Estancia media;3.6390121258302397;A
40123;55124;2020;55697;Estancia media;11.333351560580132;A
40123;55124;2019;55698;Estancia media;4.189114199390905;A
40123;55124;2019;55565;Estancia media;3.066535959171793;A
40123;55124;2019;55697;Estancia media;8.42334656506885;A
40123;55124;2018;55698;Estancia media;3.4403955757864595;A
40123;55124;2018;55565;Estancia media;2.8849109711487393;A
40123;55124;2018;55697;Estancia media;7.582305714535106;A
40123;55124;2017;55698;Estancia media;3.710560780877329;A
40123;55124;2017;55565;Estancia media;2.722907101946139;A
40123;55124;2017;55697;Estancia media;7.640246519385804;A
40123;55124;2016;55698;Estancia media;3.2504585975575733;A
40123;55124;2016;55565;Estancia media;2.7109197183690013;A
40123;55124;2016;55697;Estancia media;5.888061478548577;A
40123;55124;2015;55698;Estancia media;2.9951890998632162;A
40123;55124;2015;55565;Estancia media;2.621404785118835;A
40123;55124;2015;55697;Estancia media;4.814206287876189;A
40123;55124;2014;55698;Estancia media;3.6439987891244674;A
40123;55124;2014;55565;Estancia media;3.074460822813299;A
40123;55124;2014;55697;Estancia media;4.182389119769173;A
40123;55124;2013;55698;Estancia media;3.3405436068328167;A
40123;55124;2013;55565;Estancia media;2.3060145814334643;A
40123;55124;2013;55697;Estancia media;4.742789485081932;A
40123;55221;2019;55698;Estancia media;1.7677100165545498;A
40123;55221;2019;55565;Estancia media;1.794281810259349;A
40123;55221;2019;55697;Estancia media;1.5143799404685632;A
40123;55221;2017;55698;Estancia media;2.73143394029614;A
40123;55221;2017;55565;Estancia media;2.666127611600905;A
40123;55221;2017;55697;Estancia media;3.9259762448539943;A
40123;55221;2015;55698;Estancia media;2.1063836734657326;A
40123;55221;2015;55565;Estancia media;2.0316663081322504;A
40123;55221;2015;55697;Estancia media;2.841187988454632;A
40123;55221;2014;55698;Estancia media;2.107947392854041;A
40123;55221;2014;55565;Estancia media;1.9782243492190366;A
40123;55221;2014;55697;Estancia media;3.9205620596589297;A
40123;55220;2020;55698;Estancia media;6.9882411916503315;A
40123;55220;2020;55565;Estancia media;5.444445015376987;A
40123;55220;2020;55697;Estancia media;11.61899867486758;A
40123;55220;2019;55698;Estancia media;5.952562159366442;A
40123;55220;2019;55565;Estancia media;4.710426724902114;A
40123;55220;2019;55697;Estancia media;6.347484437561908;A
40123;55220;2018;55698;Estancia media;7.578896707320603;A
40123;55220;2018;55565;Estancia media;4.517009359788435;A
40123;55220;2018;55697;Estancia media;7.745580398461807;A
40123;55220;2017;55698;Estancia media;6.306125526174582;A
40123;55220;2017;55565;Estancia media;3.5441304470280484;A
40123;55220;2017;55697;Estancia media;6.58997966006711;A
40123;55220;2016;55698;Estancia media;5.811067395521681;A
40123;55220;2016;55565;Estancia media;4.4121345802849135;A
40123;55220;2016;55697;Estancia media;6.060569197248728;A
40123;55220;2015;55698;Estancia media;7.249959926124507;A
40123;55220;2015;55565;Estancia media;4.526083099066255;A
40123;55220;2015;55697;Estancia media;7.81387477499922;A
40123;55220;2014;55698;Estancia media;6.411190373673572;A
40123;55220;2014;55565;Estancia media;4.313362245656662;A
40123;55220;2014;55697;Estancia media;7.048434889457598;A
40123;70689;2017;55698;Estancia media;7.129039962844488;A
40123;70689;2017;55565;Estancia media;3.190541885727053;A
40123;70689;2017;55697;Estancia media;7.507020350966321;A
40123;213594;2020;55698;Estancia media;3.2714981175529116;A
40123;213594;2020;55565;Estancia media;3.2817819488347086;A
40123;213594;2020;55697;Estancia media;2.5525051475215133;A
40123;213594;2018;55698;Estancia media;2.2418403691238558;A
40123;213594;2018;55565;Estancia media;2.1394880773170746;A
40123;213594;2018;55697;Estancia media;2.412347300322352;A
40123;213594;2017;55698;Estancia media;2.6107709159391264;A
40123;213594;2017;55565;Estancia media;2.2699986634480327;A
40123;213594;2017;55697;Estancia media;4.235714103005842;A
40124;55124;2021;55698;Estancia media;2.830270527446269;A
40124;55124;2021;55565;Estancia media;2.7224548521953964;A
40124;55124;2021;55697;Estancia media;3.183853916122632;A
40124;55220;2021;55698;Estancia media;5.499534038010732;A
40124;55220;2021;55565;Estancia media;4.59103778474111;A
40124;55220;2021;55697;Estancia media;7.06885557706164;A
