D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55136;2019;55697;Viajeros;6460.104549223;A
40123;55136;2018;55698;Viajeros;22532.309955992;A
40123;55136;2018;55565;Viajeros;16671.927474902;A
40123;55136;2018;55697;Viajeros;5860.38248109;A
40123;55136;2017;55698;Viajeros;19066.333846573;A
40123;55136;2017;55565;Viajeros;16166.179054669;A
40123;55136;2017;55697;Viajeros;2900.154791904;A
40123;55136;2016;55698;Viajeros;14826.231397994;A
40123;55136;2016;55565;Viajeros;10671.885333128;A
40123;55136;2016;55697;Viajeros;4154.346064866;A
40123;55136;2015;55698;Viajeros;20829.644256029;A
40123;55136;2015;55565;Viajeros;16098.301739296;A
40123;55136;2015;55697;Viajeros;4731.342516733;A
40123;55136;2014;55698;Viajeros;12699.114502283;A
40123;55136;2014;55565;Viajeros;10165.152304372;A
40123;55136;2014;55697;Viajeros;2533.962197911;A
40123;55136;2013;55698;Viajeros;9727.482902865;A
40123;55136;2013;55565;Viajeros;8163.128129375;A
40123;55136;2013;55697;Viajeros;1564.35477349;A
40123;55140;2019;55698;Viajeros;7878.258064516;A
40123;55140;2019;55565;Viajeros;5420.590411364;A
40123;55140;2019;55697;Viajeros;2457.667653152;A
40123;55140;2018;55698;Viajeros;7714.025805827;A
40123;55140;2018;55565;Viajeros;5368.011684273;A
40123;55140;2018;55697;Viajeros;2346.014121554;A
40123;55140;2017;55698;Viajeros;7519.803111992;A
40123;55140;2017;55565;Viajeros;5034.854136353;A
40123;55140;2017;55697;Viajeros;2484.948975639;A
40123;55140;2015;55698;Viajeros;3064.982643488;A
40123;55140;2015;55565;Viajeros;2970.467289683;A
40123;55140;2015;55697;Viajeros;94.515353805;A
40123;55140;2014;55698;Viajeros;6977.624060141;A
40123;55140;2014;55565;Viajeros;6162.135338339;A
40123;55140;2014;55697;Viajeros;815.488721802;A
40123;55140;2013;55698;Viajeros;2804.852528297;A
40123;55140;2013;55565;Viajeros;2730.522340231;A
40123;55140;2013;55697;Viajeros;74.330188066;A
40123;55142;2020;55698;Viajeros;12322.925357076;A
40123;55142;2020;55565;Viajeros;11646.894661209;A
40123;55142;2020;55697;Viajeros;676.030695867;A
40123;55142;2019;55698;Viajeros;25866.351387242;A
40123;55142;2019;55565;Viajeros;22579.050432113;A
40123;55142;2019;55697;Viajeros;3287.300955129;A
40123;55142;2018;55698;Viajeros;25159.430730197;A
40123;55142;2018;55565;Viajeros;22303.485969263;A
40123;55142;2018;55697;Viajeros;2855.944760934;A
40123;55142;2017;55698;Viajeros;20974.116943844;A
40123;55142;2017;55565;Viajeros;17376.135324927;A
40123;55142;2017;55697;Viajeros;3597.981618917;A
40123;55142;2016;55698;Viajeros;21111.44626547;A
40123;55142;2016;55565;Viajeros;16998.161596914;A
40123;55142;2016;55697;Viajeros;4113.284668556;A
40123;55142;2015;55698;Viajeros;24700.004770527;A
40123;55142;2015;55565;Viajeros;20658.646654888;A
40123;55142;2015;55697;Viajeros;4041.358115639;A
40123;55142;2014;55698;Viajeros;19420.334665749;A
40123;55142;2014;55565;Viajeros;16733.989381572;A
40123;55142;2014;55697;Viajeros;2686.345284177;A
40123;55142;2013;55698;Viajeros;13340.365498412;A
40123;55142;2013;55565;Viajeros;12279.359081228;A
40123;55142;2013;55697;Viajeros;1061.006417184;A
40123;55144;2020;55698;Viajeros;14139.348355396;A
40123;55144;2020;55565;Viajeros;13757.471142235;A
40123;55144;2020;55697;Viajeros;381.877213161;A
40123;55144;2019;55698;Viajeros;19512.108654931;A
40123;55144;2019;55565;Viajeros;18371.004844591;A
40123;55144;2019;55697;Viajeros;1141.10381034;A
40123;55144;2018;55698;Viajeros;18318.432227037;A
40123;55144;2018;55565;Viajeros;17743.222924714;A
40123;55144;2018;55697;Viajeros;575.209302323;A
40123;55144;2017;55698;Viajeros;15494.105722957;A
40123;55144;2017;55565;Viajeros;15179.20961484;A
40123;55144;2017;55697;Viajeros;314.896108117;A
40123;55144;2016;55698;Viajeros;15875.771491884;A
40123;55144;2016;55565;Viajeros;15381.597618403;A
40123;55144;2016;55697;Viajeros;494.173873481;A
40123;55144;2015;55698;Viajeros;14768.144735878;A
40123;55144;2015;55565;Viajeros;14400.987720369;A
40123;55144;2015;55697;Viajeros;367.157015509;A
40123;55144;2014;55698;Viajeros;10937.327746141;A
40123;55144;2014;55565;Viajeros;10826.869584415;A
40123;55144;2014;55697;Viajeros;110.458161726;A
40123;55144;2013;55698;Viajeros;12506.938924011;A
40123;55144;2013;55565;Viajeros;11964.110764042;A
40123;55144;2013;55697;Viajeros;542.828159969;A
40123;55145;2020;55698;Viajeros;7001.204260732;A
40123;55145;2020;55565;Viajeros;6871.563615541;A
40123;55145;2020;55697;Viajeros;129.640645191;A
40123;55145;2019;55698;Viajeros;16058.67773729;A
40123;55145;2019;55565;Viajeros;12862.418520344;A
40123;55145;2019;55697;Viajeros;3196.259216946;A
40123;55145;2018;55698;Viajeros;18467.472705198;A
40123;55145;2018;55565;Viajeros;12625.437500896;A
40123;55145;2018;55697;Viajeros;5842.035204302;A
40123;55145;2017;55698;Viajeros;12082.842583221;A
40123;55145;2017;55565;Viajeros;9994.461813594;A
40123;55145;2017;55697;Viajeros;2088.380769627;A
40123;55145;2016;55698;Viajeros;8175.228081353;A
40123;55145;2016;55565;Viajeros;7276.770339493;A
40123;55145;2016;55697;Viajeros;898.45774186;A
40123;55145;2015;55698;Viajeros;7655.027158487;A
40123;55145;2015;55565;Viajeros;7468.044702031;A
40123;55145;2015;55697;Viajeros;186.982456456;A
40123;55145;2014;55698;Viajeros;9319.943512831;A
40123;55145;2014;55565;Viajeros;9182.668704025;A
40123;55145;2014;55697;Viajeros;137.274808806;A
40123;55145;2013;55698;Viajeros;9567.861463869;A
40123;55145;2013;55565;Viajeros;9218.728122538;A
40123;55145;2013;55697;Viajeros;349.133341331;A
40123;55146;2020;55698;Viajeros;7997.812368382;A
40123;55146;2020;55565;Viajeros;7694.506454575;A
40123;55146;2020;55697;Viajeros;303.305913807;A
40123;55146;2019;55698;Viajeros;20816.215512676;A
40123;55146;2019;55565;Viajeros;15396.331074297;A
40123;55146;2019;55697;Viajeros;5419.884438379;A
40123;55146;2018;55698;Viajeros;15186.656052043;A
40123;55146;2018;55565;Viajeros;9277.701248334;A
40123;55146;2018;55697;Viajeros;5908.954803709;A
40123;55146;2017;55698;Viajeros;15301.239476646;A
40123;55146;2017;55565;Viajeros;10550.686517443;A
40123;55146;2017;55697;Viajeros;4750.552959203;A
40123;55146;2016;55698;Viajeros;13001.909215386;A
40123;55146;2016;55565;Viajeros;8941.184309723;A
40123;55146;2016;55697;Viajeros;4060.724905663;A
40123;55146;2015;55698;Viajeros;12514.334911281;A
40123;55146;2015;55565;Viajeros;8380.382020421;A
40123;55146;2015;55697;Viajeros;4133.95289086;A
40123;55146;2014;55698;Viajeros;11515.811712831;A
40123;55146;2014;55565;Viajeros;8802.66282405;A
40123;55146;2014;55697;Viajeros;2713.148888781;A
40123;55146;2013;55698;Viajeros;9833.665006471;A
40123;55146;2013;55565;Viajeros;7093.462984469;A
40123;55146;2013;55697;Viajeros;2740.202022002;A
40123;55147;2020;55698;Viajeros;17975.002225827;A
40123;55147;2020;55565;Viajeros;15270.397644616;A
40123;55147;2020;55697;Viajeros;2704.604581211;A
40123;55147;2019;55698;Viajeros;63439.402330579;A
40123;55147;2019;55565;Viajeros;20102.753193659;A
40123;55147;2019;55697;Viajeros;43336.64913692;A
40123;55147;2018;55698;Viajeros;49510.336227594;A
40123;55147;2018;55565;Viajeros;10939.876509586;A
40123;55147;2018;55697;Viajeros;38570.459718008;A
40123;55147;2017;55698;Viajeros;50897.390946949;A
40123;55147;2017;55565;Viajeros;10414.06823409;A
40123;55147;2017;55697;Viajeros;40483.322712859;A
40123;55147;2016;55698;Viajeros;28621.28010851;A
40123;55147;2016;55565;Viajeros;6829.518655606;A
40123;55147;2016;55697;Viajeros;21791.761452904;A
40123;55147;2015;55698;Viajeros;10782.220273312;A
40123;55147;2015;55565;Viajeros;1443.146046645;A
40123;55147;2015;55697;Viajeros;9339.074226667;A
40123;55147;2014;55698;Viajeros;11315.687898764;A
40123;55147;2014;55565;Viajeros;1479.326466419;A
40123;55147;2014;55697;Viajeros;9836.361432345;A
40123;55147;2013;55698;Viajeros;6599.612663514;A
40123;55147;2013;55565;Viajeros;1058.550431664;A
40123;55147;2013;55697;Viajeros;5541.06223185;A
40123;55148;2020;55698;Viajeros;9282.728393756;A
40123;55148;2020;55565;Viajeros;8480.942986339;A
40123;55148;2020;55697;Viajeros;801.785407417;A
40123;55148;2019;55698;Viajeros;12863.234830818;A
40123;55148;2019;55565;Viajeros;9168.209597798;A
40123;55148;2019;55697;Viajeros;3695.02523302;A
40123;55148;2018;55698;Viajeros;17536.463552374;A
40123;55148;2018;55565;Viajeros;12207.671743589;A
40123;55148;2018;55697;Viajeros;5328.791808785;A
40123;55148;2017;55698;Viajeros;21111.475009089;A
40123;55148;2017;55565;Viajeros;14087.720304593;A
40123;55148;2017;55697;Viajeros;7023.754704496;A
40123;55148;2016;55698;Viajeros;18396.056434163;A
40123;55148;2016;55565;Viajeros;13343.546970223;A
40123;55148;2016;55697;Viajeros;5052.50946394;A
40123;55148;2015;55698;Viajeros;19544.363981493;A
40123;55148;2015;55565;Viajeros;14690.401210792;A
40123;55148;2015;55697;Viajeros;4853.962770701;A
40123;55148;2014;55698;Viajeros;15048.346419723;A
40123;55148;2014;55565;Viajeros;11592.271914131;A
40123;55148;2014;55697;Viajeros;3456.074505592;A
40123;55148;2013;55698;Viajeros;11083.906796835;A
40123;55148;2013;55565;Viajeros;9164.838833888;A
40123;55148;2013;55697;Viajeros;1919.067962947;A
40123;55149;2016;55698;Viajeros;2057.076388863;A
40123;55149;2016;55565;Viajeros;1927.025462937;A
40123;55149;2016;55697;Viajeros;130.050925926;A
40124;55537;2021;55698;Viajeros;5327.802571407;A
40124;55537;2021;55565;Viajeros;4817.830898413;A
40124;55537;2021;55697;Viajeros;509.971672994;A
40124;55541;2021;55698;Viajeros;21670.019474247;A
40124;55541;2021;55565;Viajeros;12511.681281763;A
40124;55541;2021;55697;Viajeros;9158.338192484;A
40124;55125;2021;55698;Viajeros;7069.111714542;A
40124;55125;2021;55565;Viajeros;6360.053813463;A
40124;55125;2021;55697;Viajeros;709.057901079;A
40124;55130;2021;55698;Viajeros;10300.41740107;A
40124;55130;2021;55565;Viajeros;8232.752902766;A
40124;55130;2021;55697;Viajeros;2067.664498304;A
40124;55136;2021;55698;Viajeros;15764.637254847;A
40124;55136;2021;55565;Viajeros;14544.159311962;A
40124;55136;2021;55697;Viajeros;1220.477942885;A
40124;55142;2021;55698;Viajeros;15803.808359944;A
40124;55142;2021;55565;Viajeros;14891.259451327;A
40124;55142;2021;55697;Viajeros;912.548908617;A
40124;55144;2021;55698;Viajeros;12890.516788503;A
40124;55144;2021;55565;Viajeros;12844.356006536;A
40124;55144;2021;55697;Viajeros;46.160781967;A
40124;55145;2021;55698;Viajeros;9294.377940314;A
40124;55145;2021;55565;Viajeros;9110.930684219;A
40124;55145;2021;55697;Viajeros;183.447256095;A
40124;55146;2021;55698;Viajeros;8846.86621096;A
40124;55146;2021;55565;Viajeros;8018.767181139;A
40124;55146;2021;55697;Viajeros;828.099029821;A
40124;55147;2021;55698;Viajeros;28757.955108701;A
40124;55147;2021;55565;Viajeros;19177.363071238;A
40124;55147;2021;55697;Viajeros;9580.592037463;A
40124;55148;2021;55698;Viajeros;15808.84947819;A
40124;55148;2021;55565;Viajeros;13553.189432245;A
40124;55148;2021;55697;Viajeros;2255.660045945;A
40123;55537;2020;55698;Pernoctaciones;8082.113913528;A
40123;55537;2020;55565;Pernoctaciones;6971.328159647;A
40123;55537;2020;55697;Pernoctaciones;1110.785753881;A
40123;55537;2019;55698;Pernoctaciones;19851.017208218;A
40123;55537;2019;55565;Pernoctaciones;9370.926814455;A
40123;55537;2019;55697;Pernoctaciones;10480.090393763;A
40123;55537;2018;55698;Pernoctaciones;20413.767625717;A
40123;55537;2018;55565;Pernoctaciones;12311.504107377;A
40123;55537;2018;55697;Pernoctaciones;8102.26351834;A
40123;55537;2017;55698;Pernoctaciones;28185.331283751;A
40123;55537;2017;55565;Pernoctaciones;17644.995415364;A
40123;55537;2017;55697;Pernoctaciones;10540.335868387;A
40123;55537;2016;55698;Pernoctaciones;22146.591334338;A
40123;55537;2016;55565;Pernoctaciones;13197.452545593;A
40123;55537;2016;55697;Pernoctaciones;8949.138788745;A
40123;55537;2015;55698;Pernoctaciones;15604.621625196;A
40123;55537;2015;55565;Pernoctaciones;12154.841185373;A
40123;55537;2015;55697;Pernoctaciones;3449.780439823;A
40123;55537;2014;55698;Pernoctaciones;14350.768121904;A
40123;55537;2014;55565;Pernoctaciones;10886.58080387;A
40123;55537;2014;55697;Pernoctaciones;3464.187318034;A
40123;55537;2013;55698;Pernoctaciones;11637.034227638;A
40123;55537;2013;55565;Pernoctaciones;9506.568070873;A
40123;55537;2013;55697;Pernoctaciones;2130.466156765;A
40123;55538;2016;55698;Pernoctaciones;19560.261475455;A
40123;55538;2016;55565;Pernoctaciones;14491.643011423;A
40123;55538;2016;55697;Pernoctaciones;5068.618464032;A
40123;55538;2015;55698;Pernoctaciones;23622.171624842;A
40123;55538;2015;55565;Pernoctaciones;16402.802801228;A
40123;55538;2015;55697;Pernoctaciones;7219.368823614;A
40123;55538;2014;55698;Pernoctaciones;29306.11852896;A
40123;55538;2014;55565;Pernoctaciones;18992.172585935;A
40123;55538;2014;55697;Pernoctaciones;10313.945943025;A
40123;55538;2013;55698;Pernoctaciones;30228.819843888;A
40123;55538;2013;55565;Pernoctaciones;19129.581904278;A
40123;55538;2013;55697;Pernoctaciones;11099.23793961;A
40123;55541;2020;55698;Pernoctaciones;87070.633462304;A
40123;55541;2020;55565;Pernoctaciones;55531.091276719;A
40123;55541;2020;55697;Pernoctaciones;31539.542185585;A
40123;55541;2019;55698;Pernoctaciones;147236.941771046;A
40123;55541;2019;55565;Pernoctaciones;58331.976172133;A
40123;55541;2019;55697;Pernoctaciones;88904.965598913;A
40123;55541;2018;55698;Pernoctaciones;148255.15206378;A
40123;55541;2018;55565;Pernoctaciones;20156.89408049;A
40123;55541;2018;55697;Pernoctaciones;128098.25798329;A
40123;55541;2017;55698;Pernoctaciones;138847.33839055;A
40123;55541;2017;55565;Pernoctaciones;19463.67580421;A
40123;55541;2017;55697;Pernoctaciones;119383.66258634;A
40123;55125;2020;55698;Pernoctaciones;18042.963796779;A
40123;55125;2020;55565;Pernoctaciones;17393.821744885;A
40123;55125;2020;55697;Pernoctaciones;649.142051894;A
40123;55125;2019;55698;Pernoctaciones;48797.788759227;A
40123;55125;2019;55565;Pernoctaciones;35695.038351982;A
40123;55125;2019;55697;Pernoctaciones;13102.750407245;A
40123;55125;2018;55698;Pernoctaciones;43930.510952788;A
40123;55125;2018;55565;Pernoctaciones;22383.444353585;A
40123;55125;2018;55697;Pernoctaciones;21547.066599203;A
40123;55125;2017;55698;Pernoctaciones;38614.811590883;A
40123;55125;2017;55565;Pernoctaciones;24949.161102053;A
40123;55125;2017;55697;Pernoctaciones;13665.65048883;A
40123;55125;2016;55698;Pernoctaciones;34051.839750389;A
40123;55125;2016;55565;Pernoctaciones;19910.79570921;A
40123;55125;2016;55697;Pernoctaciones;14141.044041179;A
40123;55125;2015;55698;Pernoctaciones;32096.498008895;A
40123;55125;2015;55565;Pernoctaciones;17170.733884991;A
40123;55125;2015;55697;Pernoctaciones;14925.764123904;A
40123;55125;2014;55698;Pernoctaciones;23136.821811164;A
40123;55125;2014;55565;Pernoctaciones;16493.140340603;A
40123;55125;2014;55697;Pernoctaciones;6643.681470561;A
40123;55125;2013;55698;Pernoctaciones;21510.214141894;A
40123;55125;2013;55565;Pernoctaciones;15385.073115726;A
40123;55125;2013;55697;Pernoctaciones;6125.141026168;A
40123;55128;2016;55698;Pernoctaciones;31679.563133864;A
40123;55128;2016;55565;Pernoctaciones;7955.229481024;A
40123;55128;2016;55697;Pernoctaciones;23724.33365284;A
40123;55128;2015;55698;Pernoctaciones;29165.407801265;A
40123;55128;2015;55565;Pernoctaciones;9596.483456194;A
40123;55128;2015;55697;Pernoctaciones;19568.924345071;A
40123;55128;2014;55698;Pernoctaciones;30925.456053528;A
40123;55128;2014;55565;Pernoctaciones;8718.587064689;A
40123;55128;2014;55697;Pernoctaciones;22206.868988839;A
40123;55128;2013;55698;Pernoctaciones;23879.013740751;A
40123;55128;2013;55565;Pernoctaciones;12842.51601581;A
40123;55128;2013;55697;Pernoctaciones;11036.497724941;A
40123;55130;2020;55698;Pernoctaciones;30779.15732812;A
40123;55130;2020;55565;Pernoctaciones;27910.034390142;A
40123;55130;2020;55697;Pernoctaciones;2869.122937978;A
40123;55130;2019;55698;Pernoctaciones;50106.483691723;A
40123;55130;2019;55565;Pernoctaciones;24201.399149927;A
40123;55130;2019;55697;Pernoctaciones;25905.084541796;A
40123;55130;2018;55698;Pernoctaciones;34338.943890885;A
40123;55130;2018;55565;Pernoctaciones;20982.295029989;A
40123;55130;2018;55697;Pernoctaciones;13356.648860896;A
40123;55130;2017;55698;Pernoctaciones;41873.943160623;A
40123;55130;2017;55565;Pernoctaciones;20047.995619701;A
40123;55130;2017;55697;Pernoctaciones;21825.947540922;A
40123;55130;2016;55698;Pernoctaciones;35773.988735106;A
40123;55130;2016;55565;Pernoctaciones;17315.175491896;A
40123;55130;2016;55697;Pernoctaciones;18458.81324321;A
40123;55130;2015;55698;Pernoctaciones;24717.232815607;A
40123;55130;2015;55565;Pernoctaciones;13142.833939198;A
40123;55130;2015;55697;Pernoctaciones;11574.398876409;A
40123;55130;2014;55698;Pernoctaciones;33074.968900856;A
40123;55130;2014;55565;Pernoctaciones;15074.107468507;A
40123;55130;2014;55697;Pernoctaciones;18000.861432349;A
40123;55130;2013;55698;Pernoctaciones;33259.239066199;A
40123;55130;2013;55565;Pernoctaciones;12351.124405314;A
40123;55130;2013;55697;Pernoctaciones;20908.114660885;A
40123;55132;2013;55698;Pernoctaciones;15719.337097395;A
40123;55132;2013;55565;Pernoctaciones;9208.716841785;A
40123;55132;2013;55697;Pernoctaciones;6510.62025561;A
40123;55133;2017;55698;Pernoctaciones;19274.282640661;A
40123;55133;2017;55565;Pernoctaciones;12938.703564833;A
40123;55133;2017;55697;Pernoctaciones;6335.579075828;A
40123;55133;2016;55698;Pernoctaciones;15503.674090004;A
40123;55133;2016;55565;Pernoctaciones;9339.400047844;A
40123;55133;2016;55697;Pernoctaciones;6164.27404216;A
40123;55133;2015;55698;Pernoctaciones;11415.000219209;A
40123;55133;2015;55565;Pernoctaciones;9110.754193002;A
40123;55133;2015;55697;Pernoctaciones;2304.246026207;A
40123;55133;2014;55698;Pernoctaciones;10927.080667123;A
40123;55133;2014;55565;Pernoctaciones;8449.743446916;A
40123;55133;2014;55697;Pernoctaciones;2477.337220207;A
40123;55133;2013;55698;Pernoctaciones;8370.10625577;A
40123;55133;2013;55565;Pernoctaciones;7161.233675253;A
40123;55133;2013;55697;Pernoctaciones;1208.872580517;A
40123;55134;2013;55698;Pernoctaciones;6665.678361323;A
40123;55134;2013;55565;Pernoctaciones;4998.31043416;A
40123;55134;2013;55697;Pernoctaciones;1667.367927163;A
40123;55136;2020;55698;Pernoctaciones;39658.999296522;A
40123;55136;2020;55565;Pernoctaciones;37795.496114733;A
40123;55136;2020;55697;Pernoctaciones;1863.503181789;A
40123;55136;2019;55698;Pernoctaciones;64245.939565498;A
40123;55136;2019;55565;Pernoctaciones;43113.201218458;A
40123;55136;2019;55697;Pernoctaciones;21132.73834704;A
40123;55136;2018;55698;Pernoctaciones;67591.968989829;A
40123;55136;2018;55565;Pernoctaciones;49411.138291869;A
40123;55136;2018;55697;Pernoctaciones;18180.83069796;A
40123;55136;2017;55698;Pernoctaciones;55778.787516731;A
40123;55136;2017;55565;Pernoctaciones;41590.547880764;A
40123;55136;2017;55697;Pernoctaciones;14188.239635967;A
40123;55136;2016;55698;Pernoctaciones;48184.256884834;A
40123;55136;2016;55565;Pernoctaciones;25388.026923531;A
40123;55136;2016;55697;Pernoctaciones;22796.229961303;A
