D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55556;2017;Viajeros;6087.033584465;A
40123;55556;2016;Viajeros;5671.52181737;A
40123;55556;2015;Viajeros;5144.62451874;A
40123;55556;2014;Viajeros;3855.448073193;A
40123;55556;2013;Viajeros;3265.818627074;A
40123;55557;2020;Viajeros;101.406886381;A
40123;55557;2019;Viajeros;335.302251684;A
40123;55557;2018;Viajeros;603.578932542;A
40123;55557;2017;Viajeros;416.61008277;A
40123;55557;2016;Viajeros;335.436200955;A
40123;55557;2015;Viajeros;441.746529709;A
40123;55557;2014;Viajeros;232.632925565;A
40123;55557;2013;Viajeros;364.706529201;A
40123;55558;2020;Viajeros;1590.538809;A
40123;55558;2019;Viajeros;2770.952484543;A
40123;55558;2018;Viajeros;1960.92936589;A
40123;55558;2017;Viajeros;1968.49585558;A
40123;55558;2016;Viajeros;1968.597491071;A
40123;55558;2015;Viajeros;1443.145985488;A
40123;55558;2014;Viajeros;1233.755976034;A
40123;55558;2013;Viajeros;1341.244103273;A
40123;55559;2020;Viajeros;14.989404996;A
40123;55559;2019;Viajeros;184.454772756;A
40123;55559;2018;Viajeros;383.547890501;A
40123;55559;2017;Viajeros;90.474218039;A
40123;55559;2016;Viajeros;127.513861827;A
40123;55559;2015;Viajeros;86.367204901;A
40123;55559;2014;Viajeros;95.186285861;A
40123;55559;2013;Viajeros;147.146104808;A
40123;55544;2020;Viajeros;196.88973458;A
40123;55544;2019;Viajeros;1428.083591744;A
40123;55544;2018;Viajeros;783.052543373;A
40123;55544;2017;Viajeros;785.578092809;A
40123;55544;2016;Viajeros;558.177590275;A
40123;55544;2015;Viajeros;731.230162924;A
40123;55544;2014;Viajeros;483.702697167;A
40123;55544;2013;Viajeros;733.172898993;A
40123;55561;2020;Viajeros;539.826907524;A
40123;55561;2019;Viajeros;239.78192119;A
40123;55561;2018;Viajeros;293.181680667;A
40123;55561;2017;Viajeros;344.464680111;A
40123;55561;2016;Viajeros;442.451788885;A
40123;55561;2015;Viajeros;386.249688182;A
40123;55561;2014;Viajeros;254.122452314;A
40123;55561;2013;Viajeros;135.703428987;A
40123;55562;2020;Viajeros;478.841046781;A
40123;55562;2019;Viajeros;148.358611214;A
40123;55562;2018;Viajeros;282.98104021;A
40123;55562;2017;Viajeros;298.337432821;A
40123;55562;2016;Viajeros;396.645149843;A
40123;55562;2015;Viajeros;155.237607302;A
