TEMPORAL;TIPO_EMPRESA;NAT_GASTO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2014;215117;215185;ES61;IMPORTE;302498.411;A
2014;215117;215177;ES61;IMPORTE;279101.9393504492;A
2014;215117;215183;ES61;IMPORTE;23396.471649550775;A
2014;215120;215185;ES61;IMPORTE;631153.867;A
2014;215120;215177;ES61;IMPORTE;545378.8736091357;A
2014;215120;215183;ES61;IMPORTE;85774.99339086427;A
2014;215122;215185;ES61;IMPORTE;2109.039;A
2014;215122;215177;ES61;IMPORTE;2093.142;A
2014;215122;215183;ES61;IMPORTE;15.897;A
2014;215124;215185;ES61;IMPORTE;529978.4291702632;A
2014;215124;215177;ES61;IMPORTE;490879.0620867402;A
2014;215124;215183;ES61;IMPORTE;39099.36708352298;A
2015;215125;215185;ES61;IMPORTE;1476451.2739640963;A
2015;215125;215177;ES61;IMPORTE;1308664.2968933387;A
2015;215125;215183;ES61;IMPORTE;167786.9770707575;A
2015;215117;215185;ES61;IMPORTE;318515.75;A
2015;215117;215177;ES61;IMPORTE;289835.5413869606;A
2015;215117;215183;ES61;IMPORTE;28680.20861303944;A
2015;215120;215185;ES61;IMPORTE;650765.818;A
2015;215120;215177;ES61;IMPORTE;548112.2510354399;A
2015;215120;215183;ES61;IMPORTE;102653.56696456019;A
2015;215122;215185;ES61;IMPORTE;1498.742;A
2015;215122;215177;ES61;IMPORTE;1497.762;A
2015;215122;215183;ES61;IMPORTE;0.98;A
2015;215124;215185;ES61;IMPORTE;505670.96396409627;A
2015;215124;215177;ES61;IMPORTE;469218.74247093836;A
2015;215124;215183;ES61;IMPORTE;36452.2214931579;A
2016;215125;215185;ES61;IMPORTE;1359795.2861462834;A
2016;215125;215177;ES61;IMPORTE;1271118.3763207747;A
2016;215125;215183;ES61;IMPORTE;88676.90982550899;A
2016;215117;215185;ES61;IMPORTE;276330.68;A
2016;215117;215177;ES61;IMPORTE;265278.04065512674;A
2016;215117;215183;ES61;IMPORTE;11052.639344873223;A
2016;215120;215185;ES61;IMPORTE;579023.012;A
2016;215120;215177;ES61;IMPORTE;550111.0235745246;A
2016;215120;215183;ES61;IMPORTE;28911.98842547552;A
2016;215122;215185;ES61;IMPORTE;2684.588;A
2016;215122;215177;ES61;IMPORTE;2680.165;A
2016;215122;215183;ES61;IMPORTE;4.423;A
2016;215124;215185;ES61;IMPORTE;501757.00614628353;A
2016;215124;215177;ES61;IMPORTE;453049.1470911232;A
2016;215124;215183;ES61;IMPORTE;48707.859055160254;A
2017;215125;215185;ES61;IMPORTE;1422969.2197231506;A
2017;215125;215177;ES61;IMPORTE;1316779.7358116948;A
2017;215125;215183;ES61;IMPORTE;106189.48391145577;A
2017;215117;215185;ES61;IMPORTE;274306.8120000002;A
2017;215117;215177;ES61;IMPORTE;258383.63774206914;A
2017;215117;215183;ES61;IMPORTE;15923.17425793108;A
2017;215120;215185;ES61;IMPORTE;616955.8740000004;A
2017;215120;215177;ES61;IMPORTE;559558.7622477401;A
2017;215120;215183;ES61;IMPORTE;57397.1117522604;A
2017;215122;215185;ES61;IMPORTE;2180.879;A
2017;215122;215177;ES61;IMPORTE;2160.879;A
2017;215122;215183;ES61;IMPORTE;20.0;A
2017;215124;215185;ES61;IMPORTE;529525.6547231498;A
2017;215124;215177;ES61;IMPORTE;496676.45682188554;A
2017;215124;215183;ES61;IMPORTE;32849.19790126429;A
2018;215125;215185;ES61;IMPORTE;1479416.7041501442;A
2018;215125;215177;ES61;IMPORTE;1369610.2519707864;A
2018;215125;215183;ES61;IMPORTE;109806.45217935788;A
2018;215117;215185;ES61;IMPORTE;282778.72500000003;A
2018;215117;215177;ES61;IMPORTE;271205.2643436827;A
2018;215117;215183;ES61;IMPORTE;11573.460656317355;A
2018;215120;215185;ES61;IMPORTE;644584.952;A
2018;215120;215177;ES61;IMPORTE;590018.2965331939;A
2018;215120;215183;ES61;IMPORTE;54566.65546680603;A
2018;215122;215185;ES61;IMPORTE;2754.869;A
2018;215122;215177;ES61;IMPORTE;2749.028126401043;A
2018;215122;215183;ES61;IMPORTE;5.840873598957;A
2018;215124;215185;ES61;IMPORTE;549298.1581501442;A
2018;215124;215177;ES61;IMPORTE;505637.6629675085;A
2018;215124;215183;ES61;IMPORTE;43660.49518263554;A
2019;215125;215185;ES61;IMPORTE;1538407.9745705796;A
2019;215125;215177;ES61;IMPORTE;1441660.516787245;A
2019;215125;215183;ES61;IMPORTE;96747.45778333461;A
2019;215117;215185;ES61;IMPORTE;297855.091;A
2019;215117;215177;ES61;IMPORTE;285862.52402843744;A
2019;215117;215183;ES61;IMPORTE;11992.566971562568;A
2019;215120;215185;ES61;IMPORTE;678502.4880000001;A
2019;215120;215177;ES61;IMPORTE;644221.300603441;A
2019;215120;215183;ES61;IMPORTE;34281.1873965591;A
2019;215122;215185;ES61;IMPORTE;3122.889;A
2019;215122;215177;ES61;IMPORTE;3115.7482977382742;A
2019;215122;215183;ES61;IMPORTE;7.140702261726;A
2019;215124;215185;ES61;IMPORTE;558927.5065705793;A
2019;215124;215177;ES61;IMPORTE;508460.9438576281;A
2019;215124;215183;ES61;IMPORTE;50466.56271295123;A
2020;215125;215185;ES61;IMPORTE;1627247.4870011802;A
2020;215125;215177;ES61;IMPORTE;1499137.9799076703;A
2020;215125;215183;ES61;IMPORTE;128109.5070935098;A
