TEMPORAL;CNAE09;TIPO_PERSONAL;SEXO;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2008;7859;215154;_T;ES61;215124;213227;_Z;PERSONAS;382.25432783;A
2008;7859;215154;M;ES61;215124;213227;_Z;PERSONAS;231.693225936;A
2008;7859;215154;F;ES61;215124;213227;_Z;PERSONAS;150.561101894;A
2008;7859;215155;_T;ES61;215124;213227;_Z;PERSONAS;167.04178327;A
2008;7859;215155;M;ES61;215124;213227;_Z;PERSONAS;98.539314435;A
2008;7859;215155;F;ES61;215124;213227;_Z;PERSONAS;68.502468835;A
2008;7859;215156;_T;ES61;215124;213227;_Z;PERSONAS;101.780779002;A
2008;7859;215156;M;ES61;215124;213227;_Z;PERSONAS;67.590988111;A
2008;7859;215156;F;ES61;215124;213227;_Z;PERSONAS;34.189790891;A
2008;7859;215157;_T;ES61;215124;213227;_Z;PERSONAS;113.431765558;A
2008;7859;215157;M;ES61;215124;213227;_Z;PERSONAS;65.56292339;A
2008;7859;215157;F;ES61;215124;213227;_Z;PERSONAS;47.868842168;A
2008;7958;215154;_T;ES61;215124;213227;_Z;PERSONAS;29.911538463;A
2008;7958;215154;M;ES61;215124;213227;_Z;PERSONAS;21.007692309;A
2008;7958;215154;F;ES61;215124;213227;_Z;PERSONAS;8.903846154;A
2008;7958;215155;_T;ES61;215124;213227;_Z;PERSONAS;18.180769231;A
2008;7958;215155;M;ES61;215124;213227;_Z;PERSONAS;14.642307693;A
2008;7958;215155;F;ES61;215124;213227;_Z;PERSONAS;3.538461538;A
2008;7958;215156;_T;ES61;215124;213227;_Z;PERSONAS;7.500000001;A
2008;7958;215156;M;ES61;215124;213227;_Z;PERSONAS;6.365384616;A
2008;7958;215156;F;ES61;215124;213227;_Z;PERSONAS;1.134615385;A
2008;7958;215157;_T;ES61;215124;213227;_Z;PERSONAS;4.230769231;A
2008;7958;215157;M;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;7958;215157;F;ES61;215124;213227;_Z;PERSONAS;4.230769231;A
2008;7888;215154;_T;ES61;215124;213227;_Z;PERSONAS;9.018952064;A
2008;7888;215154;M;ES61;215124;213227;_Z;PERSONAS;6.84503902;A
2008;7888;215154;F;ES61;215124;213227;_Z;PERSONAS;2.173913044;A
2008;7888;215155;_T;ES61;215124;213227;_Z;PERSONAS;6.84503902;A
2008;7888;215155;M;ES61;215124;213227;_Z;PERSONAS;5.758082498;A
2008;7888;215155;F;ES61;215124;213227;_Z;PERSONAS;1.086956522;A
2008;7888;215156;_T;ES61;215124;213227;_Z;PERSONAS;2.173913044;A
2008;7888;215156;M;ES61;215124;213227;_Z;PERSONAS;1.086956522;A
2008;7888;215156;F;ES61;215124;213227;_Z;PERSONAS;1.086956522;A
2008;7888;215157;_T;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;7888;215157;M;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;7888;215157;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;8031;215154;_T;ES61;215124;213227;_Z;PERSONAS;1033.148053973;A
2008;8031;215154;M;ES61;215124;213227;_Z;PERSONAS;795.584852465;A
2008;8031;215154;F;ES61;215124;213227;_Z;PERSONAS;237.563201508;A
2008;8031;215155;_T;ES61;215124;213227;_Z;PERSONAS;385.127540783;A
2008;8031;215155;M;ES61;215124;213227;_Z;PERSONAS;310.803895021;A
2008;8031;215155;F;ES61;215124;213227;_Z;PERSONAS;74.323645762;A
