TEMPORAL;CNAE09;TIPO_PERSONAL;SEXO;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2008;217307;215156;M;ES61;215124;213227;_Z;PERSONAS;31.483840036;A
2008;217307;215156;F;ES61;215124;213227;_Z;PERSONAS;8.050314466;A
2008;217307;215157;_T;ES61;215124;213227;_Z;PERSONAS;30.862542058;A
2008;217307;215157;M;ES61;215124;213227;_Z;PERSONAS;26.761913126;A
2008;217307;215157;F;ES61;215124;213227;_Z;PERSONAS;4.100628932;A
2008;217308;215154;_T;ES61;215124;213227;_Z;PERSONAS;139.288524071;A
2008;217308;215154;M;ES61;215124;213227;_Z;PERSONAS;110.399766835;A
2008;217308;215154;F;ES61;215124;213227;_Z;PERSONAS;28.888757236;A
2008;217308;215155;_T;ES61;215124;213227;_Z;PERSONAS;73.50043857;A
2008;217308;215155;M;ES61;215124;213227;_Z;PERSONAS;58.318378853;A
2008;217308;215155;F;ES61;215124;213227;_Z;PERSONAS;15.182059717;A
2008;217308;215156;_T;ES61;215124;213227;_Z;PERSONAS;34.167178081;A
2008;217308;215156;M;ES61;215124;213227;_Z;PERSONAS;24.773590401;A
2008;217308;215156;F;ES61;215124;213227;_Z;PERSONAS;9.39358768;A
2008;217308;215157;_T;ES61;215124;213227;_Z;PERSONAS;31.62090742;A
2008;217308;215157;M;ES61;215124;213227;_Z;PERSONAS;27.307797581;A
2008;217308;215157;F;ES61;215124;213227;_Z;PERSONAS;4.313109839;A
2008;217309;215154;_T;ES61;215124;213227;_Z;PERSONAS;75.998670882;A
2008;217309;215154;M;ES61;215124;213227;_Z;PERSONAS;66.65202977;A
2008;217309;215154;F;ES61;215124;213227;_Z;PERSONAS;9.346641112;A
2008;217309;215155;_T;ES61;215124;213227;_Z;PERSONAS;18.543414266;A
2008;217309;215155;M;ES61;215124;213227;_Z;PERSONAS;16.465289266;A
2008;217309;215155;F;ES61;215124;213227;_Z;PERSONAS;2.078125;A
2008;217309;215156;_T;ES61;215124;213227;_Z;PERSONAS;36.61169649;A
2008;217309;215156;M;ES61;215124;213227;_Z;PERSONAS;32.499430378;A
2008;217309;215156;F;ES61;215124;213227;_Z;PERSONAS;4.112266112;A
2008;217309;215157;_T;ES61;215124;213227;_Z;PERSONAS;20.843560126;A
2008;217309;215157;M;ES61;215124;213227;_Z;PERSONAS;17.687310126;A
2008;217309;215157;F;ES61;215124;213227;_Z;PERSONAS;3.15625;A
2008;217310;215154;_T;ES61;215124;213227;_Z;PERSONAS;172.507792239;A
2008;217310;215154;M;ES61;215124;213227;_Z;PERSONAS;147.721969724;A
2008;217310;215154;F;ES61;215124;213227;_Z;PERSONAS;24.785822515;A
2008;217310;215155;_T;ES61;215124;213227;_Z;PERSONAS;62.685281392;A
2008;217310;215155;M;ES61;215124;213227;_Z;PERSONAS;50.832792213;A
2008;217310;215155;F;ES61;215124;213227;_Z;PERSONAS;11.852489179;A
2008;217310;215156;_T;ES61;215124;213227;_Z;PERSONAS;88.530411276;A
2008;217310;215156;M;ES61;215124;213227;_Z;PERSONAS;78.797077941;A
2008;217310;215156;F;ES61;215124;213227;_Z;PERSONAS;9.733333335;A
2008;217310;215157;_T;ES61;215124;213227;_Z;PERSONAS;21.292099571;A
2008;217310;215157;M;ES61;215124;213227;_Z;PERSONAS;18.09209957;A
2008;217310;215157;F;ES61;215124;213227;_Z;PERSONAS;3.200000001;A
2008;217311;215154;_T;ES61;215124;213227;_Z;PERSONAS;180.754793501;A
2008;217311;215154;M;ES61;215124;213227;_Z;PERSONAS;146.203993639;A
2008;217311;215154;F;ES61;215124;213227;_Z;PERSONAS;34.550799862;A
2008;217311;215155;_T;ES61;215124;213227;_Z;PERSONAS;113.371624683;A
2008;217311;215155;M;ES61;215124;213227;_Z;PERSONAS;93.022747897;A
2008;217311;215155;F;ES61;215124;213227;_Z;PERSONAS;20.348876786;A
2008;217311;215156;_T;ES61;215124;213227;_Z;PERSONAS;44.96698434;A
2008;217311;215156;M;ES61;215124;213227;_Z;PERSONAS;36.832368956;A
2008;217311;215156;F;ES61;215124;213227;_Z;PERSONAS;8.134615384;A
2008;217311;215157;_T;ES61;215124;213227;_Z;PERSONAS;22.416184478;A
2008;217311;215157;M;ES61;215124;213227;_Z;PERSONAS;16.348876786;A
2008;217311;215157;F;ES61;215124;213227;_Z;PERSONAS;6.067307692;A
2008;217312;215154;_T;ES61;215124;213227;_Z;PERSONAS;217.106083442;A
2008;217312;215154;M;ES61;215124;213227;_Z;PERSONAS;187.675461425;A
2008;217312;215154;F;ES61;215124;213227;_Z;PERSONAS;29.430622017;A
2008;217312;215155;_T;ES61;215124;213227;_Z;PERSONAS;63.14053316;A
2008;217312;215155;M;ES61;215124;213227;_Z;PERSONAS;57.885987705;A
2008;217312;215155;F;ES61;215124;213227;_Z;PERSONAS;5.254545455;A
2008;217312;215156;_T;ES61;215124;213227;_Z;PERSONAS;107.671770365;A
2008;217312;215156;M;ES61;215124;213227;_Z;PERSONAS;87.711961747;A
2008;217312;215156;F;ES61;215124;213227;_Z;PERSONAS;19.959808618;A
2008;217312;215157;_T;ES61;215124;213227;_Z;PERSONAS;46.293779917;A
2008;217312;215157;M;ES61;215124;213227;_Z;PERSONAS;42.077511973;A
2008;217312;215157;F;ES61;215124;213227;_Z;PERSONAS;4.216267944;A
2008;217313;215154;_T;ES61;215124;213227;_Z;PERSONAS;41.468263726;A
2008;217313;215154;M;ES61;215124;213227;_Z;PERSONAS;39.279074536;A
2008;217313;215154;F;ES61;215124;213227;_Z;PERSONAS;2.18918919;A
2008;217313;215155;_T;ES61;215124;213227;_Z;PERSONAS;10.736435301;A
2008;217313;215155;M;ES61;215124;213227;_Z;PERSONAS;10.736435301;A
2008;217313;215155;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;217313;215156;_T;ES61;215124;213227;_Z;PERSONAS;19.089987719;A
2008;217313;215156;M;ES61;215124;213227;_Z;PERSONAS;17.995393124;A
2008;217313;215156;F;ES61;215124;213227;_Z;PERSONAS;1.094594595;A
2008;217313;215157;_T;ES61;215124;213227;_Z;PERSONAS;11.641840706;A
2008;217313;215157;M;ES61;215124;213227;_Z;PERSONAS;10.547246111;A
2008;217313;215157;F;ES61;215124;213227;_Z;PERSONAS;1.094594595;A
2008;217314;215154;_T;ES61;215124;213227;_Z;PERSONAS;48.387218038;A
2008;217314;215154;M;ES61;215124;213227;_Z;PERSONAS;43.015037588;A
2008;217314;215154;F;ES61;215124;213227;_Z;PERSONAS;5.37218045;A
2008;217314;215155;_T;ES61;215124;213227;_Z;PERSONAS;28.007518794;A
