D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;55565;2016;2352;Viajeros;130458.94968484;A
40123;55565;2016;2402;Viajeros;89890.889628882;A
40123;55565;2016;2482;Viajeros;27482.407577508;A
40123;55565;2016;2713;Viajeros;135709.06546172;A
40123;55565;2016;2797;Viajeros;63268.107813837;A
40123;55565;2016;2911;Viajeros;53620.871395516;A
40123;55565;2016;3023;Viajeros;292297.75511856;A
40123;55565;2016;3142;Viajeros;150422.5608983;A
40123;55565;2015;3143;Viajeros;846973.822334957;A
40123;55565;2015;2352;Viajeros;127023.061324258;A
40123;55565;2015;2402;Viajeros;81110.47038909;A
40123;55565;2015;2482;Viajeros;22070.626083042;A
40123;55565;2015;2713;Viajeros;119503.07008263;A
40123;55565;2015;2797;Viajeros;70383.219629034;A
40123;55565;2015;2911;Viajeros;43383.548572233;A
40123;55565;2015;3023;Viajeros;269900.9937469;A
40123;55565;2015;3142;Viajeros;113598.83250777;A
40123;55565;2014;3143;Viajeros;744177.990390521;A
40123;55565;2014;2352;Viajeros;107659.332069012;A
40123;55565;2014;2402;Viajeros;80942.60879773;A
40123;55565;2014;2482;Viajeros;16870.706884902;A
40123;55565;2014;2713;Viajeros;98429.23962664;A
40123;55565;2014;2797;Viajeros;67301.165056807;A
40123;55565;2014;2911;Viajeros;37908.11471695;A
40123;55565;2014;3023;Viajeros;231424.88355138;A
40123;55565;2014;3142;Viajeros;103641.9396871;A
40123;55697;2020;3143;Viajeros;272071.078706863;A
40123;55697;2020;2352;Viajeros;8502.20702744;A
40123;55697;2020;2402;Viajeros;9127.992245036;A
40123;55697;2020;2482;Viajeros;4792.365865383;A
40123;55697;2020;2713;Viajeros;22185.852996711;A
40123;55697;2020;2797;Viajeros;3195.726776097;A
40123;55697;2020;2911;Viajeros;869.454800737;A
40123;55697;2020;3023;Viajeros;172537.074067769;A
40123;55697;2020;3142;Viajeros;50860.40492769;A
40123;55697;2019;3143;Viajeros;1418967.689540074;A
40123;55697;2019;2352;Viajeros;32397.684755557;A
40123;55697;2019;2402;Viajeros;50547.171944274;A
40123;55697;2019;2482;Viajeros;22114.418589656;A
40123;55697;2019;2713;Viajeros;109969.31646685;A
40123;55697;2019;2797;Viajeros;10718.954589274;A
40123;55697;2019;2911;Viajeros;2467.644072179;A
