D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_PARQUES_TURISMO_0;INDICATOR;OBS_VALUE;FREQ
40123;55577;2016;55537;Viajeros;1384.1904064;A
40123;55577;2016;55538;Viajeros;7431.4929368;A
40123;55577;2016;55539;Viajeros;619.51836298;A
40123;55577;2016;55540;Viajeros;342.66320913;A
40123;55577;2016;55541;Viajeros;37100.603959;A
40123;55577;2017;55537;Viajeros;1790.0676296;A
40123;55577;2017;55538;Viajeros;10401.669542;A
40123;55577;2017;55539;Viajeros;642.21550523;A
40123;55577;2017;55540;Viajeros;407.7152912;A
40123;55577;2017;55541;Viajeros;44210.249427;A
40123;55577;2018;55537;Viajeros;1214.0702643;A
40123;55577;2018;55538;Viajeros;9948.1651528;A
40123;55577;2018;55539;Viajeros;575.78181818;A
40123;55577;2018;55540;Viajeros;466.26466271;A
40123;55577;2018;55541;Viajeros;39865.962917;A
40123;55577;2019;55537;Viajeros;1865.997801651;A
40123;55577;2019;55538;Viajeros;9297.341944907;A
40123;55577;2019;55539;Viajeros;320.818518519;A
40123;55577;2019;55540;Viajeros;426.030259636;A
40123;55577;2019;55541;Viajeros;44018.761620766;A
40123;55577;2020;55537;Viajeros;501.716042876;A
40123;55577;2020;55538;Viajeros;1011.150136765;A
40123;55577;2020;55539;Viajeros;65.4;A
40123;55577;2020;55540;Viajeros;69.770461776;A
40123;55577;2020;55541;Viajeros;9625.896641419;A
40123;516705;2014;55537;Viajeros;23.142361111;A
40123;516705;2014;55538;Viajeros;320.63076725;A
40123;516705;2014;55539;Viajeros;14.867183463;A
40123;516705;2014;55540;Viajeros;32.177486188;A
40123;516705;2014;55541;Viajeros;3054.9600384;A
40123;516705;2015;55537;Viajeros;145.10744071;A
40123;516705;2015;55538;Viajeros;449.45096297;A
40123;516705;2015;55539;Viajeros;42.459146341;A
40123;516705;2015;55540;Viajeros;27.989765168;A
40123;516705;2015;55541;Viajeros;2686.2254434;A
40123;516705;2016;55537;Viajeros;81.048685891;A
40123;516705;2016;55538;Viajeros;318.31730369;A
40123;516705;2016;55539;Viajeros;18.6;A
40123;516705;2016;55540;Viajeros;30.672893332;A
40123;516705;2016;55541;Viajeros;3378.3003237;A
40123;516705;2017;55537;Viajeros;62.609489313;A
40123;516705;2017;55538;Viajeros;613.34368127;A
40123;516705;2017;55539;Viajeros;35.454931973;A
40123;516705;2017;55540;Viajeros;24.235227912;A
40123;516705;2017;55541;Viajeros;4055.483338;A
40123;516705;2018;55537;Viajeros;66.170638629;A
40123;516705;2018;55538;Viajeros;471.04216123;A
40123;516705;2018;55539;Viajeros;28.666666667;A
40123;516705;2018;55540;Viajeros;34.0;A
40123;516705;2018;55541;Viajeros;4391.3346755;A
40123;516705;2019;55537;Viajeros;108.897074232;A
40123;516705;2019;55538;Viajeros;410.138128748;A
40123;516705;2019;55539;Viajeros;16.266666667;A
40123;516705;2019;55540;Viajeros;48.037327539;A
40123;516705;2019;55541;Viajeros;4405.698810846;A
40123;516705;2020;55537;Viajeros;38.990158366;A
40123;516705;2020;55538;Viajeros;101.912543891;A
40123;516705;2020;55539;Viajeros;;A
40123;516705;2020;55540;Viajeros;-;A
40123;516705;2020;55541;Viajeros;785.402397556;A
40123;516706;2014;55537;Viajeros;553.4038213;A
40123;516706;2014;55538;Viajeros;323.80229209;A
40123;516706;2014;55539;Viajeros;327.74808786;A
40123;516706;2014;55540;Viajeros;102.7645345;A
40123;516706;2014;55541;Viajeros;12233.664837;A
40123;516706;2015;55537;Viajeros;613.81524561;A
40123;516706;2015;55538;Viajeros;713.66807701;A
40123;516706;2015;55539;Viajeros;401.12399241;A
40123;516706;2015;55540;Viajeros;73.26007085;A
40123;516706;2015;55541;Viajeros;13588.030933;A
40123;516706;2016;55537;Viajeros;872.81113522;A
40123;516706;2016;55538;Viajeros;529.82715488;A
40123;516706;2016;55539;Viajeros;300.62151568;A
40123;516706;2016;55540;Viajeros;128.70293236;A
40123;516706;2016;55541;Viajeros;15173.466884;A
40123;516706;2017;55537;Viajeros;1175.1418901;A
40123;516706;2017;55538;Viajeros;743.82690033;A
40123;516706;2017;55539;Viajeros;318.42547287;A
40123;516706;2017;55540;Viajeros;71.086357749;A
40123;516706;2017;55541;Viajeros;19196.056969;A
40123;516706;2018;55537;Viajeros;943.92573491;A
40123;516706;2018;55538;Viajeros;757.93779669;A
40123;516706;2018;55539;Viajeros;515.16666667;A
40123;516706;2018;55540;Viajeros;114.55637619;A
40123;516706;2018;55541;Viajeros;16212.700693;A
40123;516706;2019;55537;Viajeros;813.697857724;A
40123;516706;2019;55538;Viajeros;637.642720968;A
40123;516706;2019;55539;Viajeros;266.875925926;A
40123;516706;2019;55540;Viajeros;179.193448781;A
40123;516706;2019;55541;Viajeros;16939.776286268;A
40123;516706;2020;55537;Viajeros;339.522799998;A
40123;516706;2020;55538;Viajeros;190.044519455;A
40123;516706;2020;55539;Viajeros;49.547619048;A
40123;516706;2020;55540;Viajeros;47.068396931;A
40123;516706;2020;55541;Viajeros;4254.42112432;A
40123;516707;2014;55537;Viajeros;520.175;A
40123;516707;2014;55538;Viajeros;340.82090349;A
40123;516707;2014;55539;Viajeros;170.8631137;A
40123;516707;2014;55540;Viajeros;71.664342089;A
40123;516707;2014;55541;Viajeros;13477.99834;A
40123;516707;2015;55537;Viajeros;257.27292663;A
40123;516707;2015;55538;Viajeros;204.22154217;A
40123;516707;2015;55539;Viajeros;196.54441766;A
40123;516707;2015;55540;Viajeros;41.510344828;A
40123;516707;2015;55541;Viajeros;15155.272954;A
40123;516707;2016;55537;Viajeros;261.75843276;A
40123;516707;2016;55538;Viajeros;223.12940615;A
40123;516707;2016;55539;Viajeros;356.92082739;A
40123;516707;2016;55540;Viajeros;32.567254287;A
40123;516707;2016;55541;Viajeros;17824.312848;A
40123;516707;2017;55537;Viajeros;486.84050814;A
40123;516707;2017;55538;Viajeros;605.36893811;A
40123;516707;2017;55539;Viajeros;434.45070712;A
40123;516707;2017;55540;Viajeros;17.0;A
40123;516707;2017;55541;Viajeros;22277.781639;A
40123;516707;2018;55537;Viajeros;257.46323275;A
40123;516707;2018;55538;Viajeros;540.03413355;A
40123;516707;2018;55539;Viajeros;149.13333333;A
40123;516707;2018;55540;Viajeros;58.813983051;A
40123;516707;2018;55541;Viajeros;21133.865069;A
40123;516707;2019;55537;Viajeros;312.401822679;A
40123;516707;2019;55538;Viajeros;468.286035595;A
40123;516707;2019;55539;Viajeros;169.901388889;A
40123;516707;2019;55540;Viajeros;24.884252408;A
40123;516707;2019;55541;Viajeros;17597.80804967;A
40123;516707;2020;55537;Viajeros;118.232685628;A
40123;516707;2020;55538;Viajeros;148.36653661;A
40123;516707;2020;55539;Viajeros;63.290745732;A
40123;516707;2020;55540;Viajeros;26.09125449;A
40123;516707;2020;55541;Viajeros;4139.010551495;A
40123;516708;2014;55537;Viajeros;710.60690731;A
40123;516708;2014;55538;Viajeros;230.89013472;A
40123;516708;2014;55539;Viajeros;17.327131783;A
40123;516708;2014;55540;Viajeros;102.94985994;A
40123;516708;2014;55541;Viajeros;26976.572359;A
40123;516708;2015;55537;Viajeros;56.764108911;A
40123;516708;2015;55538;Viajeros;226.15415694;A
40123;516708;2015;55539;Viajeros;50.233591731;A
40123;516708;2015;55540;Viajeros;45.847762796;A
40123;516708;2015;55541;Viajeros;30228.861931;A
40123;516708;2016;55537;Viajeros;126.0332793;A
40123;516708;2016;55538;Viajeros;738.86594908;A
40123;516708;2016;55539;Viajeros;48.935336818;A
40123;516708;2016;55540;Viajeros;53.636424283;A
40123;516708;2016;55541;Viajeros;30806.969456;A
40123;516708;2017;55537;Viajeros;136.90195783;A
40123;516708;2017;55538;Viajeros;464.19818141;A
40123;516708;2017;55539;Viajeros;26.266666667;A
40123;516708;2017;55540;Viajeros;39.940911649;A
40123;516708;2017;55541;Viajeros;34014.870742;A
40123;516708;2018;55537;Viajeros;90.912553719;A
40123;516708;2018;55538;Viajeros;566.78652684;A
40123;516708;2018;55539;Viajeros;31.0;A
40123;516708;2018;55540;Viajeros;124.09655938;A
40123;516708;2018;55541;Viajeros;31970.708452;A
40123;516708;2019;55537;Viajeros;130.857487524;A
40123;516708;2019;55538;Viajeros;541.041214848;A
40123;516708;2019;55539;Viajeros;18.6;A
40123;516708;2019;55540;Viajeros;22.60950487;A
40123;516708;2019;55541;Viajeros;32215.360724446;A
40123;516708;2020;55537;Viajeros;33.194790845;A
40123;516708;2020;55538;Viajeros;50.270776829;A
40123;516708;2020;55539;Viajeros;;A
40123;516708;2020;55540;Viajeros;42.0;A
40123;516708;2020;55541;Viajeros;5608.039116885;A
40123;55568;2014;55537;Viajeros;3204.2419442;A
40123;55568;2014;55538;Viajeros;2348.7343704;A
40123;55568;2014;55539;Viajeros;526.29538298;A
40123;55568;2014;55540;Viajeros;194.22717844;A
40123;55568;2014;55541;Viajeros;27618.498763;A
40123;55568;2015;55537;Viajeros;5036.6190421;A
40123;55568;2015;55538;Viajeros;2679.5906713;A
40123;55568;2015;55539;Viajeros;1122.4088371;A
40123;55568;2015;55540;Viajeros;324.30518852;A
40123;55568;2015;55541;Viajeros;28407.914261;A
40123;55568;2016;55537;Viajeros;3126.6256928;A
40123;55568;2016;55538;Viajeros;2720.0227061;A
40123;55568;2016;55539;Viajeros;846.86957308;A
40123;55568;2016;55540;Viajeros;443.71319613;A
40123;55568;2016;55541;Viajeros;30973.39446;A
40123;55568;2017;55537;Viajeros;3423.4283502;A
40123;55568;2017;55538;Viajeros;3451.3155119;A
40123;55568;2017;55539;Viajeros;771.69007165;A
40123;55568;2017;55540;Viajeros;273.31001644;A
40123;55568;2017;55541;Viajeros;38244.325071;A
40123;55568;2018;55537;Viajeros;4316.5003818;A
40123;55568;2018;55538;Viajeros;4457.7525084;A
40123;55568;2018;55539;Viajeros;640.53333333;A
40123;55568;2018;55540;Viajeros;368.50301188;A
40123;55568;2018;55541;Viajeros;39902.190816;A
40123;55568;2019;55537;Viajeros;4117.708903341;A
