D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_MCVL_MONSALARIO_0;D_SEXO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2017;2352;281646;281485;;281487;Asalariados (Personas);198900.0;A
2017;2352;281646;281485;3689;281487;Asalariados (Personas);56525.0;A
2017;2352;281646;281485;3690;281487;Asalariados (Personas);42925.0;A
2017;2352;281646;281486;;281487;Asalariados (Personas);198900.0;A
2017;2352;281646;281486;3689;281487;Asalariados (Personas);56525.0;A
2017;2352;281646;281486;3690;281487;Asalariados (Personas);42925.0;A
2017;2352;281647;281485;;281487;Asalariados (Personas);81400.0;A
2017;2352;281647;281485;3689;281487;Asalariados (Personas);21800.0;A
2017;2352;281647;281485;3690;281487;Asalariados (Personas);18900.0;A
2017;2352;281647;281486;;281487;Asalariados (Personas);81400.0;A
2017;2352;281647;281486;3689;281487;Asalariados (Personas);21800.0;A
2017;2352;281647;281486;3690;281487;Asalariados (Personas);18900.0;A
2017;2352;281648;281485;;281487;Asalariados (Personas);193500.0;A
2017;2352;281648;281485;3689;281487;Asalariados (Personas);55250.0;A
2017;2352;281648;281485;3690;281487;Asalariados (Personas);41500.0;A
2017;2352;281648;281486;;281487;Asalariados (Personas);193500.0;A
2017;2352;281648;281486;3689;281487;Asalariados (Personas);55250.0;A
2017;2352;281648;281486;3690;281487;Asalariados (Personas);41500.0;A
2017;2352;281649;281485;;281487;Asalariados (Personas);83250.0;A
2017;2352;281649;281485;3689;281487;Asalariados (Personas);20250.0;A
2017;2352;281649;281485;3690;281487;Asalariados (Personas);21375.0;A
2017;2352;281649;281486;;281487;Asalariados (Personas);83250.0;A
2017;2352;281649;281486;3689;281487;Asalariados (Personas);20250.0;A
2017;2352;281649;281486;3690;281487;Asalariados (Personas);21375.0;A
2017;2352;281650;281485;;281487;Asalariados (Personas);122900.0;A
2017;2352;281650;281485;3689;281487;Asalariados (Personas);30500.0;A
2017;2352;281650;281485;3690;281487;Asalariados (Personas);30950.0;A
2017;2352;281650;281486;;281487;Asalariados (Personas);122900.0;A
2017;2352;281650;281486;3689;281487;Asalariados (Personas);30500.0;A
2017;2352;281650;281486;3690;281487;Asalariados (Personas);30950.0;A
2017;2352;281645;281485;;281487;Asalariados (Personas);679950.0;A
2017;2352;281645;281485;3689;281487;Asalariados (Personas);184325.0;A
2017;2352;281645;281485;3690;281487;Asalariados (Personas);155650.0;A
2017;2352;281645;281486;;281487;Asalariados (Personas);679950.0;A
2017;2352;281645;281486;3689;281487;Asalariados (Personas);184325.0;A
2017;2352;281645;281486;3690;281487;Asalariados (Personas);155650.0;A
2017;2402;281646;281485;;281487;Asalariados (Personas);320450.0;A
2017;2402;281646;281485;3689;281487;Asalariados (Personas);90175.0;A
2017;2402;281646;281485;3690;281487;Asalariados (Personas);70050.0;A
2017;2402;281646;281486;;281487;Asalariados (Personas);320450.0;A
2017;2402;281646;281486;3689;281487;Asalariados (Personas);90175.0;A
2017;2402;281646;281486;3690;281487;Asalariados (Personas);70050.0;A
2017;2402;281647;281485;;281487;Asalariados (Personas);123950.0;A
2017;2402;281647;281485;3689;281487;Asalariados (Personas);33825.0;A
2017;2402;281647;281485;3690;281487;Asalariados (Personas);28150.0;A
2017;2402;281647;281486;;281487;Asalariados (Personas);123950.0;A
2017;2402;281647;281486;3689;281487;Asalariados (Personas);33825.0;A
2017;2402;281647;281486;3690;281487;Asalariados (Personas);28150.0;A
2017;2402;281648;281485;;281487;Asalariados (Personas);301950.0;A
2017;2402;281648;281485;3689;281487;Asalariados (Personas);82775.0;A
2017;2402;281648;281485;3690;281487;Asalariados (Personas);68200.0;A
2017;2402;281648;281486;;281487;Asalariados (Personas);301950.0;A
2017;2402;281648;281486;3689;281487;Asalariados (Personas);82775.0;A
2017;2402;281648;281486;3690;281487;Asalariados (Personas);68200.0;A
2017;2402;281649;281485;;281487;Asalariados (Personas);151200.0;A
2017;2402;281649;281485;3689;281487;Asalariados (Personas);40700.0;A
2017;2402;281649;281485;3690;281487;Asalariados (Personas);34900.0;A
2017;2402;281649;281486;;281487;Asalariados (Personas);151200.0;A
2017;2402;281649;281486;3689;281487;Asalariados (Personas);40700.0;A
2017;2402;281649;281486;3690;281487;Asalariados (Personas);34900.0;A
2017;2402;281650;281485;;281487;Asalariados (Personas);231400.0;A
2017;2402;281650;281485;3689;281487;Asalariados (Personas);63875.0;A
2017;2402;281650;281485;3690;281487;Asalariados (Personas);51825.0;A
2017;2402;281650;281486;;281487;Asalariados (Personas);231400.0;A
2017;2402;281650;281486;3689;281487;Asalariados (Personas);63875.0;A
2017;2402;281650;281486;3690;281487;Asalariados (Personas);51825.0;A
2017;2402;281645;281485;;281487;Asalariados (Personas);1128950.0;A
2017;2402;281645;281485;3689;281487;Asalariados (Personas);311350.0;A
2017;2402;281645;281485;3690;281487;Asalariados (Personas);253125.0;A
2017;2402;281645;281486;;281487;Asalariados (Personas);1128950.0;A
2017;2402;281645;281486;3689;281487;Asalariados (Personas);311350.0;A
2017;2402;281645;281486;3690;281487;Asalariados (Personas);253125.0;A
2017;2482;281646;281485;;281487;Asalariados (Personas);229500.0;A
2017;2482;281646;281485;3689;281487;Asalariados (Personas);60625.0;A
2017;2482;281646;281485;3690;281487;Asalariados (Personas);54125.0;A
2017;2482;281646;281486;;281487;Asalariados (Personas);229500.0;A
2017;2482;281646;281486;3689;281487;Asalariados (Personas);60625.0;A
2017;2482;281646;281486;3690;281487;Asalariados (Personas);54125.0;A
2017;2482;281647;281485;;281487;Asalariados (Personas);90300.0;A
2017;2482;281647;281485;3689;281487;Asalariados (Personas);23900.0;A
2017;2482;281647;281485;3690;281487;Asalariados (Personas);21250.0;A
2017;2482;281647;281486;;281487;Asalariados (Personas);90300.0;A
2017;2482;281647;281486;3689;281487;Asalariados (Personas);23900.0;A
2017;2482;281647;281486;3690;281487;Asalariados (Personas);21250.0;A
2017;2482;281648;281485;;281487;Asalariados (Personas);215650.0;A
2017;2482;281648;281485;3689;281487;Asalariados (Personas);58350.0;A
2017;2482;281648;281485;3690;281487;Asalariados (Personas);49475.0;A
2017;2482;281648;281486;;281487;Asalariados (Personas);215650.0;A
2017;2482;281648;281486;3689;281487;Asalariados (Personas);58350.0;A
2017;2482;281648;281486;3690;281487;Asalariados (Personas);49475.0;A
2017;2482;281649;281485;;281487;Asalariados (Personas);101050.0;A
2017;2482;281649;281485;3689;281487;Asalariados (Personas);25075.0;A
2017;2482;281649;281485;3690;281487;Asalariados (Personas);25450.0;A
2017;2482;281649;281486;;281487;Asalariados (Personas);101050.0;A
2017;2482;281649;281486;3689;281487;Asalariados (Personas);25075.0;A
2017;2482;281649;281486;3690;281487;Asalariados (Personas);25450.0;A
2017;2482;281650;281485;;281487;Asalariados (Personas);171600.0;A
2017;2482;281650;281485;3689;281487;Asalariados (Personas);47200.0;A
2017;2482;281650;281485;3690;281487;Asalariados (Personas);38600.0;A
2017;2482;281650;281486;;281487;Asalariados (Personas);171600.0;A
2017;2482;281650;281486;3689;281487;Asalariados (Personas);47200.0;A
2017;2482;281650;281486;3690;281487;Asalariados (Personas);38600.0;A
2017;2482;281645;281485;;281487;Asalariados (Personas);808100.0;A
2017;2482;281645;281485;3689;281487;Asalariados (Personas);215150.0;A
2017;2482;281645;281485;3690;281487;Asalariados (Personas);188900.0;A
2017;2482;281645;281486;;281487;Asalariados (Personas);808100.0;A
2017;2482;281645;281486;3689;281487;Asalariados (Personas);215150.0;A
2017;2482;281645;281486;3690;281487;Asalariados (Personas);188900.0;A
2017;2713;281646;281485;;281487;Asalariados (Personas);239350.0;A
2017;2713;281646;281485;3689;281487;Asalariados (Personas);64100.0;A
2017;2713;281646;281485;3690;281487;Asalariados (Personas);55575.0;A
2017;2713;281646;281486;;281487;Asalariados (Personas);239350.0;A
2017;2713;281646;281486;3689;281487;Asalariados (Personas);64100.0;A
2017;2713;281646;281486;3690;281487;Asalariados (Personas);55575.0;A
2017;2713;281647;281485;;281487;Asalariados (Personas);87700.0;A
2017;2713;281647;281485;3689;281487;Asalariados (Personas);23350.0;A
2017;2713;281647;281485;3690;281487;Asalariados (Personas);20500.0;A
2017;2713;281647;281486;;281487;Asalariados (Personas);87700.0;A
2017;2713;281647;281486;3689;281487;Asalariados (Personas);23350.0;A
2017;2713;281647;281486;3690;281487;Asalariados (Personas);20500.0;A
2017;2713;281648;281485;;281487;Asalariados (Personas);200200.0;A
2017;2713;281648;281485;3689;281487;Asalariados (Personas);53900.0;A
2017;2713;281648;281485;3690;281487;Asalariados (Personas);46200.0;A
2017;2713;281648;281486;;281487;Asalariados (Personas);200200.0;A
2017;2713;281648;281486;3689;281487;Asalariados (Personas);53900.0;A
2017;2713;281648;281486;3690;281487;Asalariados (Personas);46200.0;A
2017;2713;281649;281485;;281487;Asalariados (Personas);98050.0;A
2017;2713;281649;281485;3689;281487;Asalariados (Personas);24500.0;A
2017;2713;281649;281485;3690;281487;Asalariados (Personas);24525.0;A
2017;2713;281649;281486;;281487;Asalariados (Personas);98050.0;A
2017;2713;281649;281486;3689;281487;Asalariados (Personas);24500.0;A
2017;2713;281649;281486;3690;281487;Asalariados (Personas);24525.0;A
2017;2713;281650;281485;;281487;Asalariados (Personas);169350.0;A
2017;2713;281650;281485;3689;281487;Asalariados (Personas);43925.0;A
2017;2713;281650;281485;3690;281487;Asalariados (Personas);40750.0;A
2017;2713;281650;281486;;281487;Asalariados (Personas);169350.0;A
2017;2713;281650;281486;3689;281487;Asalariados (Personas);43925.0;A
2017;2713;281650;281486;3690;281487;Asalariados (Personas);40750.0;A
2017;2713;281645;281485;;281487;Asalariados (Personas);794650.0;A
2017;2713;281645;281485;3689;281487;Asalariados (Personas);209775.0;A
2017;2713;281645;281485;3690;281487;Asalariados (Personas);187550.0;A
2017;2713;281645;281486;;281487;Asalariados (Personas);794650.0;A
2017;2713;281645;281486;3689;281487;Asalariados (Personas);209775.0;A
2017;2713;281645;281486;3690;281487;Asalariados (Personas);187550.0;A
2017;2797;281646;281485;;281487;Asalariados (Personas);193850.0;A
2017;2797;281646;281485;3689;281487;Asalariados (Personas);45775.0;A
2017;2797;281646;281485;3690;281487;Asalariados (Personas);51150.0;A
2017;2797;281646;281486;;281487;Asalariados (Personas);193850.0;A
2017;2797;281646;281486;3689;281487;Asalariados (Personas);45775.0;A
2017;2797;281646;281486;3690;281487;Asalariados (Personas);51150.0;A
2017;2797;281647;281485;;281487;Asalariados (Personas);68450.0;A
2017;2797;281647;281485;3689;281487;Asalariados (Personas);15850.0;A
2017;2797;281647;281485;3690;281487;Asalariados (Personas);18375.0;A
2017;2797;281647;281486;;281487;Asalariados (Personas);68450.0;A
2017;2797;281647;281486;3689;281487;Asalariados (Personas);15850.0;A
2017;2797;281647;281486;3690;281487;Asalariados (Personas);18375.0;A
2017;2797;281648;281485;;281487;Asalariados (Personas);159850.0;A
2017;2797;281648;281485;3689;281487;Asalariados (Personas);41600.0;A
2017;2797;281648;281485;3690;281487;Asalariados (Personas);38325.0;A
2017;2797;281648;281486;;281487;Asalariados (Personas);159850.0;A
2017;2797;281648;281486;3689;281487;Asalariados (Personas);41600.0;A
2017;2797;281648;281486;3690;281487;Asalariados (Personas);38325.0;A
2017;2797;281649;281485;;281487;Asalariados (Personas);68350.0;A
2017;2797;281649;281485;3689;281487;Asalariados (Personas);18650.0;A
2017;2797;281649;281485;3690;281487;Asalariados (Personas);15525.0;A
2017;2797;281649;281486;;281487;Asalariados (Personas);68350.0;A
2017;2797;281649;281486;3689;281487;Asalariados (Personas);18650.0;A
2017;2797;281649;281486;3690;281487;Asalariados (Personas);15525.0;A
2017;2797;281650;281485;;281487;Asalariados (Personas);95250.0;A
2017;2797;281650;281485;3689;281487;Asalariados (Personas);27000.0;A
2017;2797;281650;281485;3690;281487;Asalariados (Personas);20625.0;A
2017;2797;281650;281486;;281487;Asalariados (Personas);95250.0;A
2017;2797;281650;281486;3689;281487;Asalariados (Personas);27000.0;A
2017;2797;281650;281486;3690;281487;Asalariados (Personas);20625.0;A
2017;2797;281645;281485;;281487;Asalariados (Personas);585750.0;A
2017;2797;281645;281485;3689;281487;Asalariados (Personas);148875.0;A
2017;2797;281645;281485;3690;281487;Asalariados (Personas);144000.0;A
2017;2797;281645;281486;;281487;Asalariados (Personas);585750.0;A
2017;2797;281645;281486;3689;281487;Asalariados (Personas);148875.0;A
2017;2797;281645;281486;3690;281487;Asalariados (Personas);144000.0;A
2017;2911;281646;281485;;281487;Asalariados (Personas);192200.0;A
2017;2911;281646;281485;3689;281487;Asalariados (Personas);56025.0;A
2017;2911;281646;281485;3690;281487;Asalariados (Personas);40075.0;A
2017;2911;281646;281486;;281487;Asalariados (Personas);192200.0;A
2017;2911;281646;281486;3689;281487;Asalariados (Personas);56025.0;A
2017;2911;281646;281486;3690;281487;Asalariados (Personas);40075.0;A
2017;2911;281647;281485;;281487;Asalariados (Personas);67350.0;A
2017;2911;281647;281485;3689;281487;Asalariados (Personas);18450.0;A
2017;2911;281647;281485;3690;281487;Asalariados (Personas);15225.0;A
2017;2911;281647;281486;;281487;Asalariados (Personas);67350.0;A
2017;2911;281647;281486;3689;281487;Asalariados (Personas);18450.0;A
2017;2911;281647;281486;3690;281487;Asalariados (Personas);15225.0;A
2017;2911;281648;281485;;281487;Asalariados (Personas);139100.0;A
2017;2911;281648;281485;3689;281487;Asalariados (Personas);38400.0;A
2017;2911;281648;281485;3690;281487;Asalariados (Personas);31150.0;A
2017;2911;281648;281486;;281487;Asalariados (Personas);139100.0;A
2017;2911;281648;281486;3689;281487;Asalariados (Personas);38400.0;A
2017;2911;281648;281486;3690;281487;Asalariados (Personas);31150.0;A
2017;2911;281649;281485;;281487;Asalariados (Personas);64350.0;A
2017;2911;281649;281485;3689;281487;Asalariados (Personas);16325.0;A
2017;2911;281649;281485;3690;281487;Asalariados (Personas);15850.0;A
2017;2911;281649;281486;;281487;Asalariados (Personas);64350.0;A
2017;2911;281649;281486;3689;281487;Asalariados (Personas);16325.0;A
2017;2911;281649;281486;3690;281487;Asalariados (Personas);15850.0;A
2017;2911;281650;281485;;281487;Asalariados (Personas);115950.0;A
2017;2911;281650;281485;3689;281487;Asalariados (Personas);32375.0;A
2017;2911;281650;281485;3690;281487;Asalariados (Personas);25600.0;A
2017;2911;281650;281486;;281487;Asalariados (Personas);115950.0;A
2017;2911;281650;281486;3689;281487;Asalariados (Personas);32375.0;A
2017;2911;281650;281486;3690;281487;Asalariados (Personas);25600.0;A
2017;2911;281645;281485;;281487;Asalariados (Personas);578950.0;A
2017;2911;281645;281485;3689;281487;Asalariados (Personas);161575.0;A
2017;2911;281645;281485;3690;281487;Asalariados (Personas);127900.0;A
2017;2911;281645;281486;;281487;Asalariados (Personas);578950.0;A
2017;2911;281645;281486;3689;281487;Asalariados (Personas);161575.0;A
2017;2911;281645;281486;3690;281487;Asalariados (Personas);127900.0;A
2017;3023;281646;281485;;281487;Asalariados (Personas);437500.0;A
2017;3023;281646;281485;3689;281487;Asalariados (Personas);117675.0;A
2017;3023;281646;281485;3690;281487;Asalariados (Personas);101075.0;A
