D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_MCVL_MONSALARIO_0;D_SEXO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2017;2482;281653;281486;3690;281487;Asalariados (Personas);17650.0;A
2017;2482;281654;281485;00;281487;Asalariados (Personas);159950.0;A
2017;2482;281654;281485;3689;281487;Asalariados (Personas);32700.0;A
2017;2482;281654;281485;3690;281487;Asalariados (Personas);47275.0;A
2017;2482;281654;281486;00;281487;Asalariados (Personas);159950.0;A
2017;2482;281654;281486;3689;281487;Asalariados (Personas);32700.0;A
2017;2482;281654;281486;3690;281487;Asalariados (Personas);47275.0;A
2017;2482;281655;281485;00;281487;Asalariados (Personas);149900.0;A
2017;2482;281655;281485;3689;281487;Asalariados (Personas);35900.0;A
2017;2482;281655;281485;3690;281487;Asalariados (Personas);39050.0;A
2017;2482;281655;281486;00;281487;Asalariados (Personas);149900.0;A
2017;2482;281655;281486;3689;281487;Asalariados (Personas);35900.0;A
2017;2482;281655;281486;3690;281487;Asalariados (Personas);39050.0;A
2017;2482;281656;281485;00;281487;Asalariados (Personas);147100.0;A
2017;2482;281656;281485;3689;281487;Asalariados (Personas);40125.0;A
2017;2482;281656;281485;3690;281487;Asalariados (Personas);33425.0;A
2017;2482;281656;281486;00;281487;Asalariados (Personas);147100.0;A
2017;2482;281656;281486;3689;281487;Asalariados (Personas);40125.0;A
2017;2482;281656;281486;3690;281487;Asalariados (Personas);33425.0;A
2017;2482;281657;281485;00;281487;Asalariados (Personas);277100.0;A
2017;2482;281657;281485;3689;281487;Asalariados (Personas);87050.0;A
2017;2482;281657;281485;3690;281487;Asalariados (Personas);51500.0;A
2017;2482;281657;281486;00;281487;Asalariados (Personas);277100.0;A
2017;2482;281657;281486;3689;281487;Asalariados (Personas);87050.0;A
2017;2482;281657;281486;3690;281487;Asalariados (Personas);51500.0;A
2017;2482;281652;281485;00;281487;Asalariados (Personas);808100.0;A
2017;2482;281652;281485;3689;281487;Asalariados (Personas);215150.0;A
2017;2482;281652;281485;3690;281487;Asalariados (Personas);188900.0;A
2017;2482;281652;281486;00;281487;Asalariados (Personas);808100.0;A
2017;2482;281652;281486;3689;281487;Asalariados (Personas);215150.0;A
2017;2482;281652;281486;3690;281487;Asalariados (Personas);188900.0;A
2017;2713;281653;281485;00;281487;Asalariados (Personas);83000.0;A
2017;2713;281653;281485;3689;281487;Asalariados (Personas);20775.0;A
2017;2713;281653;281485;3690;281487;Asalariados (Personas);20725.0;A
2017;2713;281653;281486;00;281487;Asalariados (Personas);83000.0;A
2017;2713;281653;281486;3689;281487;Asalariados (Personas);20775.0;A
2017;2713;281653;281486;3690;281487;Asalariados (Personas);20725.0;A
2017;2713;281654;281485;00;281487;Asalariados (Personas);169200.0;A
2017;2713;281654;281485;3689;281487;Asalariados (Personas);38775.0;A
2017;2713;281654;281485;3690;281487;Asalariados (Personas);45825.0;A
2017;2713;281654;281486;00;281487;Asalariados (Personas);169200.0;A
2017;2713;281654;281486;3689;281487;Asalariados (Personas);38775.0;A
2017;2713;281654;281486;3690;281487;Asalariados (Personas);45825.0;A
2017;2713;281655;281485;00;281487;Asalariados (Personas);147600.0;A
2017;2713;281655;281485;3689;281487;Asalariados (Personas);36225.0;A
2017;2713;281655;281485;3690;281487;Asalariados (Personas);37575.0;A
2017;2713;281655;281486;00;281487;Asalariados (Personas);147600.0;A
2017;2713;281655;281486;3689;281487;Asalariados (Personas);36225.0;A
2017;2713;281655;281486;3690;281487;Asalariados (Personas);37575.0;A
2017;2713;281656;281485;00;281487;Asalariados (Personas);136600.0;A
2017;2713;281656;281485;3689;281487;Asalariados (Personas);34950.0;A
2017;2713;281656;281485;3690;281487;Asalariados (Personas);33350.0;A
2017;2713;281656;281486;00;281487;Asalariados (Personas);136600.0;A
2017;2713;281656;281486;3689;281487;Asalariados (Personas);34950.0;A
2017;2713;281656;281486;3690;281487;Asalariados (Personas);33350.0;A
2017;2713;281657;281485;00;281487;Asalariados (Personas);258250.0;A
2017;2713;281657;281485;3689;281487;Asalariados (Personas);79050.0;A
2017;2713;281657;281485;3690;281487;Asalariados (Personas);50075.0;A
2017;2713;281657;281486;00;281487;Asalariados (Personas);258250.0;A
2017;2713;281657;281486;3689;281487;Asalariados (Personas);79050.0;A
2017;2713;281657;281486;3690;281487;Asalariados (Personas);50075.0;A
2017;2713;281652;281485;00;281487;Asalariados (Personas);794650.0;A
2017;2713;281652;281485;3689;281487;Asalariados (Personas);209775.0;A
2017;2713;281652;281485;3690;281487;Asalariados (Personas);187550.0;A
2017;2713;281652;281486;00;281487;Asalariados (Personas);794650.0;A
2017;2713;281652;281486;3689;281487;Asalariados (Personas);209775.0;A
2017;2713;281652;281486;3690;281487;Asalariados (Personas);187550.0;A
2017;2797;281653;281485;00;281487;Asalariados (Personas);79750.0;A
2017;2797;281653;281485;3689;281487;Asalariados (Personas);15825.0;A
2017;2797;281653;281485;3690;281487;Asalariados (Personas);24050.0;A
2017;2797;281653;281486;00;281487;Asalariados (Personas);79750.0;A
2017;2797;281653;281486;3689;281487;Asalariados (Personas);15825.0;A
2017;2797;281653;281486;3690;281487;Asalariados (Personas);24050.0;A
2017;2797;281654;281485;00;281487;Asalariados (Personas);136550.0;A
2017;2797;281654;281485;3689;281487;Asalariados (Personas);25250.0;A
2017;2797;281654;281485;3690;281487;Asalariados (Personas);43025.0;A
2017;2797;281654;281486;00;281487;Asalariados (Personas);136550.0;A
2017;2797;281654;281486;3689;281487;Asalariados (Personas);25250.0;A
2017;2797;281654;281486;3690;281487;Asalariados (Personas);43025.0;A
2017;2797;281655;281485;00;281487;Asalariados (Personas);118300.0;A
2017;2797;281655;281485;3689;281487;Asalariados (Personas);27600.0;A
2017;2797;281655;281485;3690;281487;Asalariados (Personas);31550.0;A
2017;2797;281655;281486;00;281487;Asalariados (Personas);118300.0;A
2017;2797;281655;281486;3689;281487;Asalariados (Personas);27600.0;A
2017;2797;281655;281486;3690;281487;Asalariados (Personas);31550.0;A
2017;2797;281656;281485;00;281487;Asalariados (Personas);91400.0;A
2017;2797;281656;281485;3689;281487;Asalariados (Personas);26850.0;A
2017;2797;281656;281485;3690;281487;Asalariados (Personas);18850.0;A
2017;2797;281656;281486;00;281487;Asalariados (Personas);91400.0;A
2017;2797;281656;281486;3689;281487;Asalariados (Personas);26850.0;A
2017;2797;281656;281486;3690;281487;Asalariados (Personas);18850.0;A
2017;2797;281657;281485;00;281487;Asalariados (Personas);159750.0;A
2017;2797;281657;281485;3689;281487;Asalariados (Personas);53350.0;A
2017;2797;281657;281485;3690;281487;Asalariados (Personas);26525.0;A
2017;2797;281657;281486;00;281487;Asalariados (Personas);159750.0;A
2017;2797;281657;281486;3689;281487;Asalariados (Personas);53350.0;A
2017;2797;281657;281486;3690;281487;Asalariados (Personas);26525.0;A
2017;2797;281652;281485;00;281487;Asalariados (Personas);585750.0;A
2017;2797;281652;281485;3689;281487;Asalariados (Personas);148875.0;A
2017;2797;281652;281485;3690;281487;Asalariados (Personas);144000.0;A
2017;2797;281652;281486;00;281487;Asalariados (Personas);585750.0;A
2017;2797;281652;281486;3689;281487;Asalariados (Personas);148875.0;A
2017;2797;281652;281486;3690;281487;Asalariados (Personas);144000.0;A
2017;2911;281653;281485;00;281487;Asalariados (Personas);59300.0;A
2017;2911;281653;281485;3689;281487;Asalariados (Personas);16250.0;A
2017;2911;281653;281485;3690;281487;Asalariados (Personas);13400.0;A
2017;2911;281653;281486;00;281487;Asalariados (Personas);59300.0;A
2017;2911;281653;281486;3689;281487;Asalariados (Personas);16250.0;A
2017;2911;281653;281486;3690;281487;Asalariados (Personas);13400.0;A
2017;2911;281654;281485;00;281487;Asalariados (Personas);129550.0;A
2017;2911;281654;281485;3689;281487;Asalariados (Personas);30325.0;A
2017;2911;281654;281485;3690;281487;Asalariados (Personas);34450.0;A
2017;2911;281654;281486;00;281487;Asalariados (Personas);129550.0;A
2017;2911;281654;281486;3689;281487;Asalariados (Personas);30325.0;A
2017;2911;281654;281486;3690;281487;Asalariados (Personas);34450.0;A
2017;2911;281655;281485;00;281487;Asalariados (Personas);108850.0;A
2017;2911;281655;281485;3689;281487;Asalariados (Personas);26850.0;A
2017;2911;281655;281485;3690;281487;Asalariados (Personas);27575.0;A
2017;2911;281655;281486;00;281487;Asalariados (Personas);108850.0;A
2017;2911;281655;281486;3689;281487;Asalariados (Personas);26850.0;A
2017;2911;281655;281486;3690;281487;Asalariados (Personas);27575.0;A
2017;2911;281656;281485;00;281487;Asalariados (Personas);97000.0;A
2017;2911;281656;281485;3689;281487;Asalariados (Personas);27300.0;A
2017;2911;281656;281485;3690;281487;Asalariados (Personas);21200.0;A
2017;2911;281656;281486;00;281487;Asalariados (Personas);97000.0;A
2017;2911;281656;281486;3689;281487;Asalariados (Personas);27300.0;A
2017;2911;281656;281486;3690;281487;Asalariados (Personas);21200.0;A
2017;2911;281657;281485;00;281487;Asalariados (Personas);184250.0;A
2017;2911;281657;281485;3689;281487;Asalariados (Personas);60850.0;A
2017;2911;281657;281485;3690;281487;Asalariados (Personas);31275.0;A
2017;2911;281657;281486;00;281487;Asalariados (Personas);184250.0;A
2017;2911;281657;281486;3689;281487;Asalariados (Personas);60850.0;A
2017;2911;281657;281486;3690;281487;Asalariados (Personas);31275.0;A
2017;2911;281652;281485;00;281487;Asalariados (Personas);578950.0;A
2017;2911;281652;281485;3689;281487;Asalariados (Personas);161575.0;A
2017;2911;281652;281485;3690;281487;Asalariados (Personas);127900.0;A
2017;2911;281652;281486;00;281487;Asalariados (Personas);578950.0;A
2017;2911;281652;281486;3689;281487;Asalariados (Personas);161575.0;A
2017;2911;281652;281486;3690;281487;Asalariados (Personas);127900.0;A
2017;3023;281653;281485;00;281487;Asalariados (Personas);159350.0;A
2017;3023;281653;281485;3689;281487;Asalariados (Personas);40775.0;A
2017;3023;281653;281485;3690;281487;Asalariados (Personas);38900.0;A
2017;3023;281653;281486;00;281487;Asalariados (Personas);159350.0;A
2017;3023;281653;281486;3689;281487;Asalariados (Personas);40775.0;A
2017;3023;281653;281486;3690;281487;Asalariados (Personas);38900.0;A
2017;3023;281654;281485;00;281487;Asalariados (Personas);308450.0;A
2017;3023;281654;281485;3689;281487;Asalariados (Personas);73600.0;A
2017;3023;281654;281485;3690;281487;Asalariados (Personas);80625.0;A
2017;3023;281654;281486;00;281487;Asalariados (Personas);308450.0;A
2017;3023;281654;281486;3689;281487;Asalariados (Personas);73600.0;A
2017;3023;281654;281486;3690;281487;Asalariados (Personas);80625.0;A
2017;3023;281655;281485;00;281487;Asalariados (Personas);296750.0;A
2017;3023;281655;281485;3689;281487;Asalariados (Personas);69225.0;A
2017;3023;281655;281485;3690;281487;Asalariados (Personas);79150.0;A
2017;3023;281655;281486;00;281487;Asalariados (Personas);296750.0;A
2017;3023;281655;281486;3689;281487;Asalariados (Personas);69225.0;A
2017;3023;281655;281486;3690;281487;Asalariados (Personas);79150.0;A
2017;3023;281656;281485;00;281487;Asalariados (Personas);307500.0;A
2017;3023;281656;281485;3689;281487;Asalariados (Personas);73250.0;A
2017;3023;281656;281485;3690;281487;Asalariados (Personas);80500.0;A
2017;3023;281656;281486;00;281487;Asalariados (Personas);307500.0;A
2017;3023;281656;281486;3689;281487;Asalariados (Personas);73250.0;A
2017;3023;281656;281486;3690;281487;Asalariados (Personas);80500.0;A
2017;3023;281657;281485;00;281487;Asalariados (Personas);579400.0;A
2017;3023;281657;281485;3689;281487;Asalariados (Personas);175275.0;A
2017;3023;281657;281485;3690;281487;Asalariados (Personas);114425.0;A
2017;3023;281657;281486;00;281487;Asalariados (Personas);579400.0;A
2017;3023;281657;281486;3689;281487;Asalariados (Personas);175275.0;A
2017;3023;281657;281486;3690;281487;Asalariados (Personas);114425.0;A
2017;3023;281652;281485;00;281487;Asalariados (Personas);1651450.0;A
2017;3023;281652;281485;3689;281487;Asalariados (Personas);432125.0;A
2017;3023;281652;281485;3690;281487;Asalariados (Personas);393600.0;A
2017;3023;281652;281486;00;281487;Asalariados (Personas);1651450.0;A
2017;3023;281652;281486;3689;281487;Asalariados (Personas);432125.0;A
2017;3023;281652;281486;3690;281487;Asalariados (Personas);393600.0;A
2017;3142;281653;281485;00;281487;Asalariados (Personas);176350.0;A
2017;3142;281653;281485;3689;281487;Asalariados (Personas);43625.0;A
2017;3142;281653;281485;3690;281487;Asalariados (Personas);44550.0;A
2017;3142;281653;281486;00;281487;Asalariados (Personas);176350.0;A
2017;3142;281653;281486;3689;281487;Asalariados (Personas);43625.0;A
2017;3142;281653;281486;3690;281487;Asalariados (Personas);44550.0;A
2017;3142;281654;281485;00;281487;Asalariados (Personas);349600.0;A
2017;3142;281654;281485;3689;281487;Asalariados (Personas);76750.0;A
2017;3142;281654;281485;3690;281487;Asalariados (Personas);98050.0;A
2017;3142;281654;281486;00;281487;Asalariados (Personas);349600.0;A
2017;3142;281654;281486;3689;281487;Asalariados (Personas);76750.0;A
2017;3142;281654;281486;3690;281487;Asalariados (Personas);98050.0;A
2017;3142;281655;281485;00;281487;Asalariados (Personas);362700.0;A
2017;3142;281655;281485;3689;281487;Asalariados (Personas);87350.0;A
2017;3142;281655;281485;3690;281487;Asalariados (Personas);94000.0;A
2017;3142;281655;281486;00;281487;Asalariados (Personas);362700.0;A
2017;3142;281655;281486;3689;281487;Asalariados (Personas);87350.0;A
2017;3142;281655;281486;3690;281487;Asalariados (Personas);94000.0;A
2017;3142;281656;281485;00;281487;Asalariados (Personas);375800.0;A
2017;3142;281656;281485;3689;281487;Asalariados (Personas);100100.0;A
2017;3142;281656;281485;3690;281487;Asalariados (Personas);87800.0;A
2017;3142;281656;281486;00;281487;Asalariados (Personas);375800.0;A
2017;3142;281656;281486;3689;281487;Asalariados (Personas);100100.0;A
2017;3142;281656;281486;3690;281487;Asalariados (Personas);87800.0;A
2017;3142;281657;281485;00;281487;Asalariados (Personas);723800.0;A
2017;3142;281657;281485;3689;281487;Asalariados (Personas);224125.0;A
2017;3142;281657;281485;3690;281487;Asalariados (Personas);137775.0;A
2017;3142;281657;281486;00;281487;Asalariados (Personas);723800.0;A
2017;3142;281657;281486;3689;281487;Asalariados (Personas);224125.0;A
2017;3142;281657;281486;3690;281487;Asalariados (Personas);137775.0;A
2017;3142;281652;281485;00;281487;Asalariados (Personas);1988250.0;A
2017;3142;281652;281485;3689;281487;Asalariados (Personas);531950.0;A
2017;3142;281652;281485;3690;281487;Asalariados (Personas);462175.0;A
2017;3142;281652;281486;00;281487;Asalariados (Personas);1988250.0;A
2017;3142;281652;281486;3689;281487;Asalariados (Personas);531950.0;A
2017;3142;281652;281486;3690;281487;Asalariados (Personas);462175.0;A
2017;3143;281653;281485;00;281487;Asalariados (Personas);619600.0;A
2017;3143;281653;281485;3689;281487;Asalariados (Personas);153300.0;A
2017;3143;281653;281485;3690;281487;Asalariados (Personas);156500.0;A
2017;3143;281653;281486;00;281487;Asalariados (Personas);619600.0;A
2017;3143;281653;281486;3689;281487;Asalariados (Personas);153300.0;A
2017;3143;281653;281486;3690;281487;Asalariados (Personas);156500.0;A
2017;3143;281654;281485;00;281487;Asalariados (Personas);1274050.0;A
2017;3143;281654;281485;3689;281487;Asalariados (Personas);283075.0;A
2017;3143;281654;281485;3690;281487;Asalariados (Personas);353950.0;A
2017;3143;281654;281486;00;281487;Asalariados (Personas);1274050.0;A
2017;3143;281654;281486;3689;281487;Asalariados (Personas);283075.0;A
2017;3143;281654;281486;3690;281487;Asalariados (Personas);353950.0;A
2017;3143;281655;281485;00;281487;Asalariados (Personas);1192050.0;A
2017;3143;281655;281485;3689;281487;Asalariados (Personas);292350.0;A
2017;3143;281655;281485;3690;281487;Asalariados (Personas);303675.0;A
2017;3143;281655;281486;00;281487;Asalariados (Personas);1192050.0;A
2017;3143;281655;281486;3689;281487;Asalariados (Personas);292350.0;A
2017;3143;281655;281486;3690;281487;Asalariados (Personas);303675.0;A
2017;3143;281656;281485;00;281487;Asalariados (Personas);1102100.0;A
2017;3143;281656;281485;3689;281487;Asalariados (Personas);296050.0;A
2017;3143;281656;281485;3690;281487;Asalariados (Personas);255000.0;A
2017;3143;281656;281486;00;281487;Asalariados (Personas);1102100.0;A
2017;3143;281656;281486;3689;281487;Asalariados (Personas);296050.0;A
2017;3143;281656;281486;3690;281487;Asalariados (Personas);255000.0;A
2017;3143;281657;281485;00;281487;Asalariados (Personas);1956200.0;A
2017;3143;281657;281485;3689;281487;Asalariados (Personas);629650.0;A
2017;3143;281657;281485;3690;281487;Asalariados (Personas);348450.0;A
2017;3143;281657;281486;00;281487;Asalariados (Personas);1956200.0;A
2017;3143;281657;281486;3689;281487;Asalariados (Personas);629650.0;A
2017;3143;281657;281486;3690;281487;Asalariados (Personas);348450.0;A
2017;3143;281652;281485;00;281487;Asalariados (Personas);6144000.0;A
2017;3143;281652;281485;3689;281487;Asalariados (Personas);1654425.0;A
2017;3143;281652;281485;3690;281487;Asalariados (Personas);1417575.0;A
2017;3143;281652;281486;00;281487;Asalariados (Personas);6144000.0;A
2017;3143;281652;281486;3689;281487;Asalariados (Personas);1654425.0;A
2017;3143;281652;281486;3690;281487;Asalariados (Personas);1417575.0;A
2018;2352;281653;281485;00;281487;Asalariados (Personas);70350.0;A
2018;2352;281653;281485;3689;281487;Asalariados (Personas);18225.0;A
2018;2352;281653;281485;3690;281487;Asalariados (Personas);16950.0;A
2018;2352;281653;281486;00;281487;Asalariados (Personas);70350.0;A
2018;2352;281653;281486;3689;281487;Asalariados (Personas);18225.0;A
2018;2352;281653;281486;3690;281487;Asalariados (Personas);16950.0;A
2018;2352;281654;281485;00;281487;Asalariados (Personas);155750.0;A
2018;2352;281654;281485;3689;281487;Asalariados (Personas);41575.0;A
2018;2352;281654;281485;3690;281487;Asalariados (Personas);36300.0;A
2018;2352;281654;281486;00;281487;Asalariados (Personas);155750.0;A
2018;2352;281654;281486;3689;281487;Asalariados (Personas);41575.0;A
2018;2352;281654;281486;3690;281487;Asalariados (Personas);36300.0;A
2018;2352;281655;281485;00;281487;Asalariados (Personas);148400.0;A
2018;2352;281655;281485;3689;281487;Asalariados (Personas);40050.0;A
2018;2352;281655;281485;3690;281487;Asalariados (Personas);34150.0;A
2018;2352;281655;281486;00;281487;Asalariados (Personas);148400.0;A
2018;2352;281655;281486;3689;281487;Asalariados (Personas);40050.0;A
2018;2352;281655;281486;3690;281487;Asalariados (Personas);34150.0;A
2018;2352;281656;281485;00;281487;Asalariados (Personas);112150.0;A
2018;2352;281656;281485;3689;281487;Asalariados (Personas);27525.0;A
2018;2352;281656;281485;3690;281487;Asalariados (Personas);28550.0;A
2018;2352;281656;281486;00;281487;Asalariados (Personas);112150.0;A
2018;2352;281656;281486;3689;281487;Asalariados (Personas);27525.0;A
2018;2352;281656;281486;3690;281487;Asalariados (Personas);28550.0;A
2018;2352;281657;281485;00;281487;Asalariados (Personas);213450.0;A
2018;2352;281657;281485;3689;281487;Asalariados (Personas);61950.0;A
2018;2352;281657;281485;3690;281487;Asalariados (Personas);44775.0;A
2018;2352;281657;281486;00;281487;Asalariados (Personas);213450.0;A
2018;2352;281657;281486;3689;281487;Asalariados (Personas);61950.0;A
2018;2352;281657;281486;3690;281487;Asalariados (Personas);44775.0;A
2018;2352;281652;281485;00;281487;Asalariados (Personas);700100.0;A
2018;2352;281652;281485;3689;281487;Asalariados (Personas);189325.0;A
2018;2352;281652;281485;3690;281487;Asalariados (Personas);160725.0;A
2018;2352;281652;281486;00;281487;Asalariados (Personas);700100.0;A
2018;2352;281652;281486;3689;281487;Asalariados (Personas);189325.0;A
2018;2352;281652;281486;3690;281487;Asalariados (Personas);160725.0;A
2018;2402;281653;281485;00;281487;Asalariados (Personas);117800.0;A
2018;2402;281653;281485;3689;281487;Asalariados (Personas);30850.0;A
2018;2402;281653;281485;3690;281487;Asalariados (Personas);28050.0;A
2018;2402;281653;281486;00;281487;Asalariados (Personas);117800.0;A
2018;2402;281653;281486;3689;281487;Asalariados (Personas);30850.0;A
2018;2402;281653;281486;3690;281487;Asalariados (Personas);28050.0;A
2018;2402;281654;281485;00;281487;Asalariados (Personas);226100.0;A
2018;2402;281654;281485;3689;281487;Asalariados (Personas);50575.0;A
2018;2402;281654;281485;3690;281487;Asalariados (Personas);62475.0;A
2018;2402;281654;281486;00;281487;Asalariados (Personas);226100.0;A
2018;2402;281654;281486;3689;281487;Asalariados (Personas);50575.0;A
2018;2402;281654;281486;3690;281487;Asalariados (Personas);62475.0;A
2018;2402;281655;281485;00;281487;Asalariados (Personas);205200.0;A
2018;2402;281655;281485;3689;281487;Asalariados (Personas);51150.0;A
2018;2402;281655;281485;3690;281487;Asalariados (Personas);51450.0;A
2018;2402;281655;281486;00;281487;Asalariados (Personas);205200.0;A
2018;2402;281655;281486;3689;281487;Asalariados (Personas);51150.0;A
2018;2402;281655;281486;3690;281487;Asalariados (Personas);51450.0;A
2018;2402;281656;281485;00;281487;Asalariados (Personas);204350.0;A
2018;2402;281656;281485;3689;281487;Asalariados (Personas);54925.0;A
2018;2402;281656;281485;3690;281487;Asalariados (Personas);47250.0;A
2018;2402;281656;281486;00;281487;Asalariados (Personas);204350.0;A
2018;2402;281656;281486;3689;281487;Asalariados (Personas);54925.0;A
2018;2402;281656;281486;3690;281487;Asalariados (Personas);47250.0;A
2018;2402;281657;281485;00;281487;Asalariados (Personas);411100.0;A
2018;2402;281657;281485;3689;281487;Asalariados (Personas);134150.0;A
2018;2402;281657;281485;3690;281487;Asalariados (Personas);71400.0;A
2018;2402;281657;281486;00;281487;Asalariados (Personas);411100.0;A
2018;2402;281657;281486;3689;281487;Asalariados (Personas);134150.0;A
2018;2402;281657;281486;3690;281487;Asalariados (Personas);71400.0;A
2018;2402;281652;281485;00;281487;Asalariados (Personas);1164550.0;A
2018;2402;281652;281485;3689;281487;Asalariados (Personas);321650.0;A
2018;2402;281652;281485;3690;281487;Asalariados (Personas);260625.0;A
2018;2402;281652;281486;00;281487;Asalariados (Personas);1164550.0;A
2018;2402;281652;281486;3689;281487;Asalariados (Personas);321650.0;A
2018;2402;281652;281486;3690;281487;Asalariados (Personas);260625.0;A
2018;2482;281653;281485;00;281487;Asalariados (Personas);74050.0;A
