D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55537;55550;2020;Viajeros;16087.483047419;A
40123;55537;55550;2019;Viajeros;45185.937702787;A
40123;55537;55550;2018;Viajeros;44797.9511707;A
40123;55537;55550;2017;Viajeros;36647.626153561;A
40123;55537;55550;2016;Viajeros;39370.888598051;A
40123;55537;55550;2015;Viajeros;32909.084495593;A
40123;55537;55550;2014;Viajeros;33374.255290544;A
40123;55537;55550;2013;Viajeros;30405.49;A
40123;55537;55550;2012;Viajeros;22571.79;A
40123;55537;55550;2011;Viajeros;34411.54;A
40123;55537;55550;2010;Viajeros;31736.77;A
40123;55537;55550;2009;Viajeros;34374.43;A
40123;55537;55550;2008;Viajeros;35752.3;A
40123;55537;55551;2020;Viajeros;25464.62562365;A
40123;55537;55551;2019;Viajeros;57521.904912827;A
40123;55537;55551;2018;Viajeros;61548.63630651;A
40123;55537;55551;2017;Viajeros;59624.21761686;A
40123;55537;55551;2016;Viajeros;63094.04123936;A
40123;55537;55551;2015;Viajeros;57795.69534184;A
40123;55537;55551;2014;Viajeros;59571.99488994;A
40123;55537;55551;2013;Viajeros;42620.46;A
40123;55537;55551;2012;Viajeros;44845.46;A
40123;55537;55551;2011;Viajeros;54458.61;A
40123;55537;55551;2010;Viajeros;55129.38;A
40123;55537;55551;2009;Viajeros;50652.85;A
40123;55537;55551;2008;Viajeros;61204.51;A
40123;55537;55552;2020;Viajeros;44022.663719059;A
40123;55537;55552;2019;Viajeros;106058.90532778;A
40123;55537;55552;2018;Viajeros;108573.29133426;A
40123;55537;55552;2017;Viajeros;94703.4340322;A
40123;55537;55552;2016;Viajeros;96202.01705396;A
40123;55537;55552;2015;Viajeros;96827.8891804;A
40123;55537;55552;2014;Viajeros;84505.0287454;A
40123;55537;55552;2013;Viajeros;78359.29;A
40123;55537;55552;2012;Viajeros;69702.41;A
40123;55537;55552;2011;Viajeros;79197.23;A
40123;55537;55552;2010;Viajeros;80412.42;A
40123;55537;55552;2009;Viajeros;88973.35;A
40123;55537;55552;2008;Viajeros;89601.26;A
40123;55537;55553;2020;Viajeros;3511.386846605;A
40123;55537;55553;2019;Viajeros;12283.256166259;A
40123;55537;55553;2018;Viajeros;10944.06663356;A
40123;55537;55553;2017;Viajeros;10204.362057231;A
40123;55537;55553;2016;Viajeros;9585.73540783;A
40123;55537;55553;2015;Viajeros;7519.520241179;A
40123;55537;55553;2014;Viajeros;7914.90190538;A
40123;55537;55553;2013;Viajeros;6583.37;A
40123;55537;55553;2012;Viajeros;6423.62;A
40123;55537;55553;2011;Viajeros;6762.71;A
40123;55537;55553;2010;Viajeros;7115.73;A
40123;55537;55553;2009;Viajeros;9626.33;A
40123;55537;55553;2008;Viajeros;8395.74;A
40123;55537;55554;2020;Viajeros;6976.663847808;A
40123;55537;55554;2019;Viajeros;15335.111876214;A
40123;55537;55554;2018;Viajeros;18241.368895516;A
40123;55537;55554;2017;Viajeros;15274.891444212;A
40123;55537;55554;2016;Viajeros;14177.873025549;A
40123;55537;55554;2015;Viajeros;9876.419615303;A
40123;55537;55554;2014;Viajeros;7606.534774709;A
40123;55537;55554;2013;Viajeros;7737.03;A
40123;55537;55554;2012;Viajeros;6480.54;A
40123;55537;55554;2011;Viajeros;11831.09;A
40123;55537;55554;2010;Viajeros;13673.21;A
40123;55537;55554;2009;Viajeros;11296.09;A
40123;55537;55554;2008;Viajeros;8387.89;A
40123;55537;55555;2020;Viajeros;63150.937574357;A
40123;55537;55555;2019;Viajeros;166788.908580999;A
40123;55537;55555;2018;Viajeros;157301.1751501;A
40123;55537;55555;2017;Viajeros;144326.1226534;A
40123;55537;55555;2016;Viajeros;161755.5456085;A
40123;55537;55555;2015;Viajeros;152585.4692916;A
40123;55537;55555;2014;Viajeros;132525.2067947;A
40123;55537;55555;2013;Viajeros;130194.96;A
40123;55537;55555;2012;Viajeros;104922.27;A
40123;55537;55555;2011;Viajeros;113697.66;A
40123;55537;55555;2010;Viajeros;133010.49;A
40123;55537;55555;2009;Viajeros;120192.98;A
40123;55537;55555;2008;Viajeros;139893.96;A
40123;55537;55556;2020;Viajeros;42236.103131421;A
40123;55537;55556;2019;Viajeros;102203.325295753;A
40123;55537;55556;2018;Viajeros;107294.28075896;A
40123;55537;55556;2017;Viajeros;105367.61075517;A
40123;55537;55556;2016;Viajeros;113836.4600145;A
40123;55537;55556;2015;Viajeros;105509.6578561;A
40123;55537;55556;2014;Viajeros;98757.30700279;A
40123;55537;55556;2013;Viajeros;87794.04;A
40123;55537;55556;2012;Viajeros;86912.47;A
40123;55537;55556;2011;Viajeros;100428.66;A
40123;55537;55556;2010;Viajeros;107321.13;A
40123;55537;55556;2009;Viajeros;101384.59;A
40123;55537;55556;2008;Viajeros;93967.52;A
40123;55537;55557;2020;Viajeros;1719.468409359;A
40123;55537;55557;2019;Viajeros;3836.147578487;A
40123;55537;55557;2018;Viajeros;5159.665436203;A
40123;55537;55557;2017;Viajeros;4089.185447052;A
40123;55537;55557;2016;Viajeros;5280.437510367;A
40123;55537;55557;2015;Viajeros;5713.270576023;A
40123;55537;55557;2014;Viajeros;4189.675267267;A
40123;55537;55557;2013;Viajeros;3774.38;A
40123;55537;55557;2012;Viajeros;3476.76;A
40123;55537;55557;2011;Viajeros;4794.19;A
40123;55537;55557;2010;Viajeros;3438.74;A
40123;55537;55557;2009;Viajeros;5084.36;A
40123;55537;55557;2008;Viajeros;4826.23;A
40123;55537;55558;2020;Viajeros;5938.073750388;A
40123;55537;55558;2019;Viajeros;14330.710284681;A
40123;55537;55558;2018;Viajeros;15280.413686904;A
40123;55537;55558;2017;Viajeros;12872.77793566;A
40123;55537;55558;2016;Viajeros;22687.673568967;A
40123;55537;55558;2015;Viajeros;16073.47545254;A
40123;55537;55558;2014;Viajeros;13485.644346757;A
40123;55537;55558;2013;Viajeros;11024.6;A
40123;55537;55558;2012;Viajeros;9532.14;A
40123;55537;55558;2011;Viajeros;13453.37;A
40123;55537;55558;2010;Viajeros;12416.45;A
40123;55537;55558;2009;Viajeros;11531.88;A
40123;55537;55558;2008;Viajeros;10743.45;A
40123;55537;55559;2020;Viajeros;981.390925722;A
40123;55537;55559;2019;Viajeros;2663.637298253;A
40123;55537;55559;2018;Viajeros;1921.421882782;A
40123;55537;55559;2017;Viajeros;2418.338022148;A
40123;55537;55559;2016;Viajeros;2679.358437272;A
40123;55537;55559;2015;Viajeros;2161.958141099;A
40123;55537;55559;2014;Viajeros;2132.646409294;A
40123;55537;55559;2013;Viajeros;1567.35;A
40123;55537;55559;2012;Viajeros;1457.77;A
40123;55537;55559;2011;Viajeros;2631.03;A
40123;55537;55559;2010;Viajeros;1409.98;A
40123;55537;55559;2009;Viajeros;1394.34;A
40123;55537;55559;2008;Viajeros;1467.79;A
40123;55537;55544;2020;Viajeros;4742.82255569;A
40123;55537;55544;2019;Viajeros;10248.548011263;A
40123;55537;55544;2018;Viajeros;10371.300429684;A
40123;55537;55544;2017;Viajeros;6233.052504953;A
40123;55537;55544;2016;Viajeros;10340.690097207;A
40123;55537;55544;2015;Viajeros;7744.471368535;A
40123;55537;55544;2014;Viajeros;6187.10377907;A
40123;55537;55544;2013;Viajeros;8075.81;A
40123;55537;55544;2012;Viajeros;6280.14;A
40123;55537;55544;2011;Viajeros;8208.95;A
40123;55537;55544;2010;Viajeros;9615.41;A
40123;55537;55544;2009;Viajeros;6743.56;A
40123;55537;55544;2008;Viajeros;11863.03;A
40123;55537;55561;2020;Viajeros;1583.851581325;A
40123;55537;55561;2019;Viajeros;2349.957488649;A
40123;55537;55561;2018;Viajeros;2485.530179044;A
40123;55537;55561;2017;Viajeros;2277.205454884;A
40123;55537;55561;2016;Viajeros;3190.696276137;A
40123;55537;55561;2015;Viajeros;1326.514704493;A
40123;55537;55561;2014;Viajeros;2040.095400952;A
40123;55537;55561;2013;Viajeros;2328.61;A
40123;55537;55561;2012;Viajeros;1048.81;A
40123;55537;55561;2011;Viajeros;1143.65;A
40123;55537;55561;2010;Viajeros;3695.05;A
40123;55537;55561;2009;Viajeros;4037.84;A
40123;55537;55561;2008;Viajeros;4088.32;A
40123;55537;55562;2020;Viajeros;1232.026354438;A
40123;55537;55562;2019;Viajeros;3680.104986929;A
40123;55537;55562;2018;Viajeros;2940.216873687;A
40123;55537;55562;2017;Viajeros;2545.80294427;A
40123;55537;55562;2016;Viajeros;2593.301930975;A
40123;55537;55562;2015;Viajeros;3730.508279412;A
40123;55537;55562;2014;Viajeros;2716.60048774;A
40123;55537;55562;2013;Viajeros;3030.51;A
40123;55537;55562;2012;Viajeros;7646.94;A
40123;55537;55562;2011;Viajeros;2799.27;A
40123;55538;55564;2020;Viajeros;817677.168739736;A
40123;55538;55564;2019;Viajeros;1427767.932237583;A
40123;55538;55564;2018;Viajeros;1301142.477498853;A
40123;55538;55564;2017;Viajeros;1235847.131227327;A
40123;55538;55564;2016;Viajeros;1230713.981828442;A
40123;55538;55564;2015;Viajeros;1228059.992224888;A
40123;55538;55564;2014;Viajeros;1133510.079260452;A
40123;55538;55564;2013;Viajeros;1127897.22;A
40123;55538;55564;2012;Viajeros;980436.09;A
40123;55538;55564;2011;Viajeros;1158652.11;A
40123;55538;55564;2010;Viajeros;1236433.94;A
40123;55538;55564;2009;Viajeros;1367761.95;A
40123;55538;55564;2008;Viajeros;1436416.12;A
40123;55538;55543;2020;Viajeros;524614.764249621;A
40123;55538;55543;2019;Viajeros;834942.31071328;A
40123;55538;55543;2018;Viajeros;754184.9560627;A
40123;55538;55543;2017;Viajeros;721703.4864995;A
40123;55538;55543;2016;Viajeros;712755.4915459;A
40123;55538;55543;2015;Viajeros;718323.8767795;A
40123;55538;55543;2014;Viajeros;682759.8035088;A
40123;55538;55543;2013;Viajeros;644026.02;A
40123;55538;55543;2012;Viajeros;548780.27;A
40123;55538;55543;2011;Viajeros;654302.38;A
40123;55538;55543;2010;Viajeros;686489.2;A
40123;55538;55543;2009;Viajeros;758745.9;A
40123;55538;55543;2008;Viajeros;776285.15;A
40123;55538;55563;2020;Viajeros;293062.404490115;A
40123;55538;55563;2019;Viajeros;592825.621524303;A
40123;55538;55563;2018;Viajeros;546957.521436153;A
40123;55538;55563;2017;Viajeros;514143.644727827;A
40123;55538;55563;2016;Viajeros;517958.490282542;A
40123;55538;55563;2015;Viajeros;509736.115445388;A
40123;55538;55563;2014;Viajeros;450750.275751652;A
40123;55538;55563;2013;Viajeros;483871.2;A
40123;55538;55563;2012;Viajeros;431655.82;A
40123;55538;55563;2011;Viajeros;504349.73;A
40123;55538;55563;2010;Viajeros;549944.74;A
40123;55538;55563;2009;Viajeros;609016.05;A
40123;55538;55563;2008;Viajeros;660130.97;A
40123;55538;55545;2020;Viajeros;6329.022968771;A
40123;55538;55545;2019;Viajeros;17211.05697471;A
40123;55538;55545;2018;Viajeros;16074.78957286;A
40123;55538;55545;2017;Viajeros;14655.894374158;A
40123;55538;55545;2016;Viajeros;16186.03244254;A
40123;55538;55545;2015;Viajeros;13484.55508218;A
40123;55538;55545;2014;Viajeros;12213.09963457;A
40123;55538;55545;2013;Viajeros;13999.6;A
40123;55538;55545;2012;Viajeros;10334.67;A
40123;55538;55545;2011;Viajeros;11879.4;A
40123;55538;55545;2010;Viajeros;11572.42;A
40123;55538;55545;2009;Viajeros;16021.11;A
40123;55538;55545;2008;Viajeros;15595.85;A
40123;55538;55546;2020;Viajeros;3408.89221477;A
40123;55538;55546;2019;Viajeros;10170.701287904;A
40123;55538;55546;2018;Viajeros;6188.78131576;A
40123;55538;55546;2017;Viajeros;6983.074886142;A
40123;55538;55546;2016;Viajeros;6323.811602554;A
40123;55538;55546;2015;Viajeros;7237.60439914;A
40123;55538;55546;2014;Viajeros;5647.93584452;A
40123;55538;55546;2013;Viajeros;6932.79;A
40123;55538;55546;2012;Viajeros;5450.51;A
40123;55538;55546;2011;Viajeros;7856.44;A
40123;55538;55546;2010;Viajeros;10692.67;A
40123;55538;55546;2009;Viajeros;8531.73;A
40123;55538;55546;2008;Viajeros;8872.96;A
40123;55538;55547;2020;Viajeros;3772.989964223;A
40123;55538;55547;2019;Viajeros;12721.038049267;A
40123;55538;55547;2018;Viajeros;12073.39613323;A
40123;55538;55547;2017;Viajeros;10421.74014026;A
40123;55538;55547;2016;Viajeros;10336.075920329;A
40123;55538;55547;2015;Viajeros;9751.94284221;A
40123;55538;55547;2014;Viajeros;8077.48035445;A
40123;55538;55547;2013;Viajeros;8847.68;A
40123;55538;55547;2012;Viajeros;7856.22;A
40123;55538;55547;2011;Viajeros;10785.62;A
40123;55538;55547;2010;Viajeros;12382.16;A
40123;55538;55547;2009;Viajeros;10596.83;A
40123;55538;55547;2008;Viajeros;12917.1;A
40123;55538;55548;2020;Viajeros;3581.715144837;A
40123;55538;55548;2019;Viajeros;9792.7613786;A
40123;55538;55548;2018;Viajeros;7946.04996408;A
40123;55538;55548;2017;Viajeros;9125.566393939;A
40123;55538;55548;2016;Viajeros;8743.97593215;A
40123;55538;55548;2015;Viajeros;6787.4890661;A
40123;55538;55548;2014;Viajeros;4584.45281481;A
40123;55538;55548;2013;Viajeros;8779.34;A
40123;55538;55548;2012;Viajeros;6345.93;A
40123;55538;55548;2011;Viajeros;9220.01;A
40123;55538;55548;2010;Viajeros;8631.14;A
40123;55538;55548;2009;Viajeros;11160.6;A
40123;55538;55548;2008;Viajeros;11373.72;A
40123;55538;55549;2020;Viajeros;23962.53404196;A
40123;55538;55549;2019;Viajeros;50536.30156861;A
40123;55538;55549;2018;Viajeros;44308.48296015;A
40123;55538;55549;2017;Viajeros;37553.39184783;A
40123;55538;55549;2016;Viajeros;41511.0399195;A
40123;55538;55549;2015;Viajeros;38598.24778866;A
40123;55538;55549;2014;Viajeros;33890.9786005;A
40123;55538;55549;2013;Viajeros;36157.66;A
40123;55538;55549;2012;Viajeros;26146.68;A
40123;55538;55549;2011;Viajeros;35553.81;A
40123;55538;55549;2010;Viajeros;40998.0;A
40123;55538;55549;2009;Viajeros;44384.32;A
40123;55538;55549;2008;Viajeros;42792.41;A
40123;55538;55550;2020;Viajeros;16727.741510917;A
40123;55538;55550;2019;Viajeros;34183.185093544;A
40123;55538;55550;2018;Viajeros;33003.56203198;A
40123;55538;55550;2017;Viajeros;29331.54917455;A
40123;55538;55550;2016;Viajeros;32361.90550562;A
40123;55538;55550;2015;Viajeros;26781.99474364;A
40123;55538;55550;2014;Viajeros;25587.82994647;A
40123;55538;55550;2013;Viajeros;29341.63;A
40123;55538;55550;2012;Viajeros;25032.17;A
40123;55538;55550;2011;Viajeros;29165.37;A
40123;55538;55550;2010;Viajeros;32416.5;A
40123;55538;55550;2009;Viajeros;40097.17;A
40123;55538;55550;2008;Viajeros;40417.29;A
40123;55538;55551;2020;Viajeros;24864.873515835;A
40123;55538;55551;2019;Viajeros;44823.242491441;A
40123;55538;55551;2018;Viajeros;44652.82906092;A
40123;55538;55551;2017;Viajeros;40964.65200854;A
40123;55538;55551;2016;Viajeros;42548.1019338;A
40123;55538;55551;2015;Viajeros;43523.9138132;A
40123;55538;55551;2014;Viajeros;36710.42439425;A
40123;55538;55551;2013;Viajeros;41519.63;A
40123;55538;55551;2012;Viajeros;36328.77;A
40123;55538;55551;2011;Viajeros;46549.57;A
40123;55538;55551;2010;Viajeros;50878.99;A
40123;55538;55551;2009;Viajeros;54638.06;A
40123;55538;55551;2008;Viajeros;55303.55;A
40123;55538;55552;2020;Viajeros;14851.924561481;A
40123;55538;55552;2019;Viajeros;31974.398835322;A
40123;55538;55552;2018;Viajeros;30203.54033743;A
40123;55538;55552;2017;Viajeros;25989.1915496;A
40123;55538;55552;2016;Viajeros;25973.80201101;A
40123;55538;55552;2015;Viajeros;26199.97803562;A
40123;55538;55552;2014;Viajeros;23266.61409017;A
40123;55538;55552;2013;Viajeros;22680.16;A
40123;55538;55552;2012;Viajeros;20923.27;A
40123;55538;55552;2011;Viajeros;27398.51;A
40123;55538;55552;2010;Viajeros;30406.09;A
40123;55538;55552;2009;Viajeros;32614.17;A
40123;55538;55552;2008;Viajeros;35035.22;A
40123;55538;55553;2020;Viajeros;28350.320217787;A
40123;55538;55553;2019;Viajeros;56437.188770886;A
