D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;70671;2014;Empleo medio;407.020477258;A
40123;70671;2013;Empleo medio;373.9775;A
40123;70671;2012;Empleo medio;328.172500001;A
40123;70671;2011;Empleo medio;319.531666666;A
40123;70671;2010;Empleo medio;330.901666667;A
40123;70671;2008;Empleo medio;392.8175;A
40123;70672;2020;Empleo medio;862.894729812;A
40123;70672;2019;Empleo medio;1580.780515287;A
40123;70672;2018;Empleo medio;1660.491511376;A
40123;70672;2017;Empleo medio;1620.829675374;A
40123;70672;2016;Empleo medio;1530.946538748;A
40123;70672;2015;Empleo medio;1406.497876764;A
40123;70672;2014;Empleo medio;1252.240584722;A
40123;70672;2013;Empleo medio;1212.494166666;A
40123;70672;2011;Empleo medio;1449.950833334;A
40123;70672;2010;Empleo medio;1482.337500001;A
40123;70672;2009;Empleo medio;1628.969166666;A
40123;70672;2008;Empleo medio;1849.611666667;A
40123;70673;2020;Empleo medio;110.489306351;A
40123;70673;2019;Empleo medio;175.562889313;A
40123;70673;2018;Empleo medio;147.954197865;A
40123;70673;2017;Empleo medio;75.243681413;A
40123;70673;2013;Empleo medio;73.992500001;A
40123;55110;2020;Empleo medio;245.12792315;A
40123;55110;2019;Empleo medio;468.963345674;A
40123;55110;2018;Empleo medio;450.658666648;A
40123;55110;2017;Empleo medio;460.649159069;A
40123;55110;2016;Empleo medio;439.808042391;A
40123;55110;2015;Empleo medio;401.55189492;A
40123;55110;2014;Empleo medio;353.309354836;A
40123;55110;2013;Empleo medio;364.305833334;A
40123;70674;2020;Empleo medio;288.658928547;A
40123;70674;2019;Empleo medio;470.859285408;A
40123;70674;2018;Empleo medio;432.760709802;A
40123;70674;2017;Empleo medio;423.8579603;A
40123;70674;2016;Empleo medio;419.165746362;A
40123;70674;2015;Empleo medio;413.011062755;A
40123;70674;2014;Empleo medio;448.029721272;A
40123;70674;2013;Empleo medio;448.816666666;A
40123;70674;2012;Empleo medio;475.4125;A
40123;70674;2011;Empleo medio;510.958333333;A
40123;70674;2010;Empleo medio;491.1075;A
40123;70674;2009;Empleo medio;528.186666666;A
40123;70674;2008;Empleo medio;623.319166666;A
40123;70675;2020;Empleo medio;161.937397841;A
40123;70675;2019;Empleo medio;275.923697035;A
40123;70675;2018;Empleo medio;256.38131152;A
40123;70675;2017;Empleo medio;252.303315826;A
40123;70675;2016;Empleo medio;237.961043521;A
40123;70675;2015;Empleo medio;260.914045067;A
40123;70675;2014;Empleo medio;290.926649816;A
40123;70675;2013;Empleo medio;293.620833333;A
40123;70675;2012;Empleo medio;276.316666667;A
40123;70675;2011;Empleo medio;316.324166666;A
40123;70675;2010;Empleo medio;336.128333333;A
40123;70675;2009;Empleo medio;384.331666666;A
40123;70675;2008;Empleo medio;408.627499999;A
40123;278910;2020;Empleo medio;254.957775955;A
40123;278910;2019;Empleo medio;423.851938337;A
40123;278911;2020;Empleo medio;67.123682843;A
40123;278911;2019;Empleo medio;121.049487644;A
40123;278911;2018;Empleo medio;117.154139844;A
40123;55111;2020;Empleo medio;212.165356557;A
40123;55111;2019;Empleo medio;373.514895172;A
40123;55111;2018;Empleo medio;351.734056232;A
40123;55111;2017;Empleo medio;321.50917943;A
40123;55111;2016;Empleo medio;276.134000433;A
40123;55111;2015;Empleo medio;276.313931695;A
40123;55111;2014;Empleo medio;214.602104257;A
40123;55111;2013;Empleo medio;227.996666667;A
40123;55111;2011;Empleo medio;218.720833333;A
40123;55111;2010;Empleo medio;245.255833333;A
40123;55111;2009;Empleo medio;229.355000001;A
40123;55112;2019;Empleo medio;73.601451487;A
40123;838202;2020;Empleo medio;70.617182651;A
40123;55113;2020;Empleo medio;485.954063286;A
40123;55113;2019;Empleo medio;930.97036646;A
40123;55113;2018;Empleo medio;879.362054831;A
40123;55113;2017;Empleo medio;911.59371283;A
40123;55113;2016;Empleo medio;913.873892279;A
40123;55113;2015;Empleo medio;904.692900819;A
40123;55113;2014;Empleo medio;860.293050329;A
40123;55113;2013;Empleo medio;804.008333333;A
40123;55113;2012;Empleo medio;879.235833332;A
40123;55113;2011;Empleo medio;874.175;A
40123;55113;2010;Empleo medio;796.733333333;A
40123;55113;2009;Empleo medio;738.4125;A
40123;55113;2008;Empleo medio;769.849166667;A
40123;55114;2020;Empleo medio;216.805503818;A
40123;55114;2019;Empleo medio;595.777355476;A
40123;55114;2018;Empleo medio;618.086231397;A
40123;55114;2017;Empleo medio;530.952974897;A
40123;55114;2016;Empleo medio;476.766546289;A
40123;55114;2015;Empleo medio;456.226304688;A
40123;55114;2014;Empleo medio;390.622061603;A
40123;55114;2013;Empleo medio;392.310833333;A
40123;55114;2011;Empleo medio;406.641666666;A
40123;55114;2010;Empleo medio;428.418333334;A
40123;55114;2009;Empleo medio;430.560833334;A
40123;55114;2008;Empleo medio;429.0275;A
40123;55115;2020;Empleo medio;779.807124881;A
40123;55115;2019;Empleo medio;1753.383666243;A
40123;55115;2018;Empleo medio;1765.403206968;A
40123;55115;2017;Empleo medio;1673.791813403;A
40123;55115;2016;Empleo medio;1675.022311562;A
40123;55115;2015;Empleo medio;1619.040859741;A
40123;55115;2014;Empleo medio;1557.583344993;A
40123;55115;2013;Empleo medio;1535.795833332;A
40123;55115;2012;Empleo medio;1576.460833334;A
40123;55115;2011;Empleo medio;1765.474166666;A
40123;55115;2010;Empleo medio;1878.78;A
40123;55115;2009;Empleo medio;1850.883333334;A
40123;55115;2008;Empleo medio;1816.998333333;A
40123;70676;2020;Empleo medio;158.184322879;A
40123;70676;2019;Empleo medio;230.718671245;A
40123;70676;2018;Empleo medio;225.296329253;A
40123;70676;2017;Empleo medio;267.782342867;A
40123;70676;2014;Empleo medio;198.98639692;A
40123;70676;2013;Empleo medio;189.763333334;A
40123;70676;2012;Empleo medio;191.782499999;A
40123;70676;2011;Empleo medio;234.897500001;A
40123;70676;2010;Empleo medio;247.8025;A
40123;70677;2020;Empleo medio;131.821484462;A
40123;70677;2019;Empleo medio;301.16427121;A
40123;70677;2018;Empleo medio;286.726410864;A
