D_ESTADO_DATO_0;D_TERRITORIO_0;D_CAT_HOTELES_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;62145;2010;55565;Viajeros;252222.7;A
40123;3143;62145;2010;55697;Viajeros;130792.45;A
40123;3143;62145;2009;55698;Viajeros;407701.35;A
40123;3143;62145;2009;55565;Viajeros;273395.43;A
40123;3143;62145;2009;55697;Viajeros;134305.92;A
40123;3143;62145;2008;55698;Viajeros;453451.44;A
40123;3143;62145;2008;55565;Viajeros;310936.34;A
40123;3143;62145;2008;55697;Viajeros;142515.1;A
40123;3143;264450;2020;55698;Viajeros;338081.772259108;A
40123;3143;264450;2020;55565;Viajeros;263756.784855732;A
40123;3143;264450;2020;55697;Viajeros;74324.987403376;A
40123;3143;264450;2019;55698;Viajeros;842174.309731594;A
40123;3143;264450;2019;55565;Viajeros;511790.593826728;A
40123;3143;264450;2019;55697;Viajeros;330383.715904866;A
40123;3143;264450;2018;55698;Viajeros;833687.468085416;A
40123;3143;264450;2018;55565;Viajeros;495545.7638054;A
40123;3143;264450;2018;55697;Viajeros;338141.704280016;A
40123;3143;264450;2017;55698;Viajeros;840175.59832132;A
40123;3143;264450;2017;55565;Viajeros;498338.114995209;A
40123;3143;264450;2017;55697;Viajeros;341837.483326111;A
40123;3143;264450;2016;55698;Viajeros;787155.036652023;A
40123;3143;264450;2016;55565;Viajeros;487452.164896294;A
40123;3143;264450;2016;55697;Viajeros;299702.871755729;A
40123;3143;264450;2015;55698;Viajeros;736443.249475452;A
40123;3143;264450;2015;55565;Viajeros;485194.254089757;A
40123;3143;264450;2015;55697;Viajeros;251248.995385695;A
40123;3143;264450;2014;55698;Viajeros;700302.133811227;A
40123;3143;264450;2014;55565;Viajeros;476915.861208928;A
40123;3143;264450;2014;55697;Viajeros;223386.272602299;A
40123;3143;264450;2013;55698;Viajeros;654408.86;A
40123;3143;264450;2013;55565;Viajeros;417552.16;A
40123;3143;264450;2013;55697;Viajeros;236856.7;A
40123;3143;264450;2012;55698;Viajeros;595168.14;A
40123;3143;264450;2012;55565;Viajeros;380358.33;A
40123;3143;264450;2012;55697;Viajeros;214809.81;A
40123;3143;264450;2011;55698;Viajeros;606452.58;A
40123;3143;264450;2011;55565;Viajeros;405258.79;A
40123;3143;264450;2011;55697;Viajeros;201193.79;A
40123;3143;264450;2010;55698;Viajeros;596577.02;A
40123;3143;264450;2010;55565;Viajeros;402914.16;A
40123;3143;264450;2010;55697;Viajeros;193662.86;A
40123;3143;264450;2009;55698;Viajeros;666674.56;A
40123;3143;264450;2009;55565;Viajeros;464538.83;A
40123;3143;264450;2009;55697;Viajeros;202135.73;A
40123;3143;264450;2008;55698;Viajeros;863687.01;A
40123;3143;264450;2008;55565;Viajeros;574684.98;A
40123;3143;264450;2008;55697;Viajeros;289002.03;A
40123;3143;264449;2020;55698;Viajeros;474655.605850048;A
40123;3143;264449;2020;55565;Viajeros;360018.372894841;A
40123;3143;264449;2020;55697;Viajeros;114637.232955207;A
40123;3143;264449;2019;55698;Viajeros;1251547.805337066;A
40123;3143;264449;2019;55565;Viajeros;736039.736205607;A
40123;3143;264449;2019;55697;Viajeros;515508.069131459;A
40123;3143;264449;2018;55698;Viajeros;1140600.474569369;A
40123;3143;264449;2018;55565;Viajeros;644669.809855788;A
40123;3143;264449;2018;55697;Viajeros;495930.664713581;A
40123;3143;264449;2017;55698;Viajeros;1204588.515621283;A
40123;3143;264449;2017;55565;Viajeros;685531.299276251;A
40123;3143;264449;2017;55697;Viajeros;519057.216345032;A
40123;3143;264449;2016;55698;Viajeros;1089398.482838179;A
40123;3143;264449;2016;55565;Viajeros;605988.1688335;A
40123;3143;264449;2016;55697;Viajeros;483410.314004679;A
40123;3143;264449;2015;55698;Viajeros;911792.072457333;A
40123;3143;264449;2015;55565;Viajeros;502412.972724064;A
40123;3143;264449;2015;55697;Viajeros;409379.099733269;A
40123;3143;264449;2014;55698;Viajeros;791059.853295145;A
40123;3143;264449;2014;55565;Viajeros;453273.067274647;A
40123;3143;264449;2014;55697;Viajeros;337786.786020498;A
40123;3143;264449;2013;55698;Viajeros;776594.46;A
40123;3143;264449;2013;55565;Viajeros;450904.7;A
40123;3143;264449;2013;55697;Viajeros;325689.76;A
40123;3143;264449;2012;55698;Viajeros;774972.05;A
40123;3143;264449;2012;55565;Viajeros;455628.21;A
40123;3143;264449;2012;55697;Viajeros;319343.84;A
40123;3143;264449;2011;55698;Viajeros;754698.87;A
40123;3143;264449;2011;55565;Viajeros;503348.79;A
40123;3143;264449;2011;55697;Viajeros;251350.08;A
40123;3143;264449;2010;55698;Viajeros;752198.35;A
40123;3143;264449;2010;55565;Viajeros;516862.61;A
40123;3143;264449;2010;55697;Viajeros;235335.74;A
40123;3143;264449;2009;55698;Viajeros;805063.45;A
40123;3143;264449;2009;55565;Viajeros;529520.76;A
40123;3143;264449;2009;55697;Viajeros;275542.69;A
40123;3143;264449;2008;55698;Viajeros;884340.88;A
40123;3143;264449;2008;55565;Viajeros;566185.95;A
40123;3143;264449;2008;55697;Viajeros;318154.93;A
40123;3143;62150;2020;55698;Viajeros;14468.0;A
40123;3143;62150;2020;55565;Viajeros;13535.0;A
40123;3143;62150;2020;55697;Viajeros;933.0;A
40123;3143;62149;2020;55698;Viajeros;6887309.249203237;A
40123;3143;62149;2020;55565;Viajeros;4976693.850933777;A
40123;3143;62149;2020;55697;Viajeros;1910615.39826946;A
40123;3143;62149;2019;55698;Viajeros;19869537;A
40123;3143;62149;2019;55565;Viajeros;10532030;A
40123;3143;62149;2019;55697;Viajeros;9337506.951457309;A
40123;3143;62149;2018;55698;Viajeros;18838407;A
40123;3143;62149;2018;55565;Viajeros;9906605.723574396;A
40123;3143;62149;2018;55697;Viajeros;8931801.600811439;A
40123;3143;62149;2017;55698;Viajeros;18429691;A
40123;3143;62149;2017;55565;Viajeros;9544266.558855793;A
40123;3143;62149;2017;55697;Viajeros;8885424.064938772;A
40123;3143;62149;2016;55698;Viajeros;17868616;A
40123;3143;62149;2016;55565;Viajeros;9644718.607098484;A
40123;3143;62149;2016;55697;Viajeros;8223897.105138504;A
40123;3143;62149;2015;55698;Viajeros;16685270;A
40123;3143;62149;2015;55565;Viajeros;9332378.309795275;A
40123;3143;62149;2015;55697;Viajeros;7352892.041855174;A
40123;3143;62149;2014;55698;Viajeros;15589123;A
40123;3143;62149;2014;55565;Viajeros;8950324.301776266;A
40123;3143;62149;2014;55697;Viajeros;6638798.553146919;A
40123;3143;62149;2013;55698;Viajeros;14944110;A
40123;3143;62149;2013;55565;Viajeros;8611659.218582;A
40123;3143;62149;2013;55697;Viajeros;6332451.02;A
40123;3143;62149;2012;55698;Viajeros;14451588;A
40123;3143;62149;2012;55565;Viajeros;8354777.53;A
40123;3143;62149;2012;55697;Viajeros;6096810.53;A
40123;3143;62149;2011;55698;Viajeros;14894507;A
40123;3143;62149;2011;55565;Viajeros;8992305.38;A
40123;3143;62149;2011;55697;Viajeros;5902201.91;A
40123;3143;62149;2010;55698;Viajeros;14343891;A
40123;3143;62149;2010;55565;Viajeros;9039541.01;A
40123;3143;62149;2010;55697;Viajeros;5304350.03;A
40123;3143;62149;2009;55698;Viajeros;14205606;A
40123;3143;62149;2009;55565;Viajeros;9174851.66;A
40123;3143;62149;2009;55697;Viajeros;5030753.96;A
40123;3143;62149;2008;55698;Viajeros;15769340;A
40123;3143;62149;2008;55565;Viajeros;9835622.77;A
40123;3143;62149;2008;55697;Viajeros;5933716.92;A
40123;2352;264447;2020;55698;Viajeros;365247.140326641;A
40123;2352;264447;2020;55565;Viajeros;317856.505637302;A
40123;2352;264447;2020;55697;Viajeros;47390.634689339;A
40123;2352;264447;2019;55698;Viajeros;1106211.142491528;A
40123;2352;264447;2019;55565;Viajeros;853612.523805686;A
40123;2352;264447;2019;55697;Viajeros;252598.618685842;A
40123;2352;264447;2018;55698;Viajeros;1112880.000007774;A
40123;2352;264447;2018;55565;Viajeros;843141.859875584;A
40123;2352;264447;2018;55697;Viajeros;269738.14013219;A
40123;2352;264447;2017;55698;Viajeros;1068905.555780023;A
40123;2352;264447;2017;55565;Viajeros;790765.300918674;A
40123;2352;264447;2017;55697;Viajeros;278140.254861349;A
40123;2352;264447;2016;55698;Viajeros;1046829.134145404;A
40123;2352;264447;2016;55565;Viajeros;801813.558416664;A
40123;2352;264447;2016;55697;Viajeros;245015.57572874;A
40123;2352;264447;2015;55698;Viajeros;936249.142032505;A
40123;2352;264447;2015;55565;Viajeros;763345.48963449;A
40123;2352;264447;2015;55697;Viajeros;172903.652398015;A
40123;2352;264447;2014;55698;Viajeros;849253.341442859;A
40123;2352;264447;2014;55565;Viajeros;683129.74295508;A
40123;2352;264447;2014;55697;Viajeros;166123.598487779;A
40123;2352;264447;2013;55698;Viajeros;735740.43;A
40123;2352;264447;2013;55565;Viajeros;595059.98;A
40123;2352;264447;2013;55697;Viajeros;140680.45;A
40123;2352;264447;2012;55698;Viajeros;738876.55;A
40123;2352;264447;2012;55565;Viajeros;625970.88;A
40123;2352;264447;2012;55697;Viajeros;112905.67;A
40123;2352;264447;2011;55698;Viajeros;759606.05;A
40123;2352;264447;2011;55565;Viajeros;662218.57;A
40123;2352;264447;2011;55697;Viajeros;97387.48;A
40123;2352;264447;2010;55698;Viajeros;785618.04;A
40123;2352;264447;2010;55565;Viajeros;694701.95;A
40123;2352;264447;2010;55697;Viajeros;90916.09;A
40123;2352;264447;2009;55698;Viajeros;738409.74;A
40123;2352;264447;2009;55565;Viajeros;631556.84;A
40123;2352;264447;2009;55697;Viajeros;106852.9;A
40123;2352;264447;2008;55698;Viajeros;794794.07;A
40123;2352;264447;2008;55565;Viajeros;657645.04;A
40123;2352;264447;2008;55697;Viajeros;137149.03;A
40123;2352;264446;2020;55698;Viajeros;59454.032854205;A
40123;2352;264446;2020;55565;Viajeros;49382.966125022;A
40123;2352;264446;2020;55697;Viajeros;10071.066729183;A
40123;2352;264446;2019;55698;Viajeros;157318.015169404;A
40123;2352;264446;2019;55565;Viajeros;121954.955600578;A
40123;2352;264446;2019;55697;Viajeros;35363.059568826;A
40123;2352;264446;2018;55698;Viajeros;141261.555405203;A
40123;2352;264446;2018;55565;Viajeros;110008.88330863;A
40123;2352;264446;2018;55697;Viajeros;31252.672096573;A
40123;2352;264446;2017;55698;Viajeros;108595.857143567;A
40123;2352;264446;2017;55565;Viajeros;82486.70791401;A
40123;2352;264446;2017;55697;Viajeros;26109.149229557;A
40123;2352;264446;2016;55698;Viajeros;135727.317253626;A
40123;2352;264446;2016;55565;Viajeros;110352.41982938;A
40123;2352;264446;2016;55697;Viajeros;25374.897424246;A
40123;2352;264446;2015;55698;Viajeros;153411.642570659;A
40123;2352;264446;2015;55565;Viajeros;123311.34720804;A
40123;2352;264446;2015;55697;Viajeros;30100.295362619;A
40123;2352;264446;2014;55698;Viajeros;149916.000000006;A
40123;2352;264446;2014;55565;Viajeros;121947.03662074;A
40123;2352;264446;2014;55697;Viajeros;27968.963379266;A
40123;2352;264446;2013;55698;Viajeros;187319.79;A
40123;2352;264446;2013;55565;Viajeros;146811.94;A
40123;2352;264446;2013;55697;Viajeros;40507.85;A
40123;2352;264446;2012;55698;Viajeros;155748.48;A
40123;2352;264446;2012;55565;Viajeros;128657.71;A
40123;2352;264446;2012;55697;Viajeros;27090.77;A
40123;2352;264446;2011;55698;Viajeros;194090.86;A
40123;2352;264446;2011;55565;Viajeros;165587.43;A
40123;2352;264446;2011;55697;Viajeros;28503.43;A
40123;2352;264446;2010;55698;Viajeros;203199.79;A
40123;2352;264446;2010;55565;Viajeros;178854.21;A
40123;2352;264446;2010;55697;Viajeros;24345.58;A
40123;2352;264446;2009;55698;Viajeros;233560.8;A
40123;2352;264446;2009;55565;Viajeros;205968.9;A
40123;2352;264446;2009;55697;Viajeros;27591.9;A
40123;2352;264446;2008;55698;Viajeros;275388.32;A
40123;2352;264446;2008;55565;Viajeros;239195.3;A
40123;2352;264446;2008;55697;Viajeros;36193.02;A
40123;2352;62148;2020;55698;Viajeros;39933.722290009;A
40123;2352;62148;2020;55565;Viajeros;34622.964123654;A
40123;2352;62148;2020;55697;Viajeros;5310.758166355;A
40123;2352;62148;2019;55698;Viajeros;89531.285714289;A
40123;2352;62148;2019;55565;Viajeros;66143.857142858;A
40123;2352;62148;2019;55697;Viajeros;23387.428571431;A
40123;2352;62148;2018;55698;Viajeros;87292.14285767;A
40123;2352;62148;2018;55565;Viajeros;65761.14285767;A
40123;2352;62148;2018;55697;Viajeros;21531.0;A
40123;2352;62148;2017;55698;Viajeros;76965.142857487;A
40123;2352;62148;2017;55565;Viajeros;59274.14285752;A
40123;2352;62148;2017;55697;Viajeros;17690.999999967;A
40123;2352;62148;2016;55698;Viajeros;73052.857142459;A
40123;2352;62148;2016;55565;Viajeros;57115.428571;A
40123;2352;62148;2016;55697;Viajeros;15937.428571459;A
40123;2352;62148;2015;55698;Viajeros;57156.560841207;A
40123;2352;62148;2015;55565;Viajeros;44963.866654849;A
40123;2352;62148;2015;55697;Viajeros;12192.694186358;A
40123;2352;62148;2014;55698;Viajeros;64029.714285442;A
40123;2352;62148;2014;55565;Viajeros;49114.85714255;A
40123;2352;62148;2014;55697;Viajeros;14914.857142892;A
40123;2352;62148;2013;55698;Viajeros;66525.66;A
40123;2352;62148;2013;55565;Viajeros;48527.06;A
40123;2352;62148;2013;55697;Viajeros;17998.6;A
40123;2352;62148;2012;55698;Viajeros;59305.75;A
40123;2352;62148;2012;55565;Viajeros;44906.65;A
40123;2352;62148;2012;55697;Viajeros;14399.1;A
40123;2352;62148;2011;55698;Viajeros;64713.4;A
40123;2352;62148;2011;55565;Viajeros;49397.73;A
40123;2352;62148;2011;55697;Viajeros;15315.67;A
40123;2352;62148;2010;55698;Viajeros;66435.23;A
40123;2352;62148;2010;55565;Viajeros;51580.87;A
40123;2352;62148;2010;55697;Viajeros;14854.36;A
40123;2352;62148;2009;55698;Viajeros;73912.67;A
40123;2352;62148;2009;55565;Viajeros;54259.94;A
40123;2352;62148;2009;55697;Viajeros;19652.73;A
40123;2352;62148;2008;55698;Viajeros;79238.77;A
40123;2352;62148;2008;55565;Viajeros;59932.11;A
40123;2352;62148;2008;55697;Viajeros;19306.66;A
40123;2352;62145;2020;55698;Viajeros;13028.985025096;A
40123;2352;62145;2020;55565;Viajeros;10398.28873479;A
40123;2352;62145;2020;55697;Viajeros;2630.696290306;A
40123;2352;62145;2019;55698;Viajeros;20403.142857144;A
40123;2352;62145;2019;55565;Viajeros;15029.285714286;A
40123;2352;62145;2019;55697;Viajeros;5373.857142858;A
40123;2352;62145;2018;55698;Viajeros;18482.495440703;A
40123;2352;62145;2018;55565;Viajeros;13741.893616979;A
40123;2352;62145;2018;55697;Viajeros;4740.601823724;A
40123;2352;62145;2017;55698;Viajeros;15297.142857211;A
40123;2352;62145;2017;55565;Viajeros;12149.428571505;A
40123;2352;62145;2017;55697;Viajeros;3147.714285706;A
40123;2352;62145;2016;55698;Viajeros;15229.28571421;A
40123;2352;62145;2016;55565;Viajeros;11555.714285637;A
40123;2352;62145;2016;55697;Viajeros;3673.571428573;A
40123;2352;62145;2015;55698;Viajeros;12541.142857178;A
40123;2352;62145;2015;55565;Viajeros;10011.428571467;A
40123;2352;62145;2015;55697;Viajeros;2529.714285711;A
40123;2352;62145;2014;55698;Viajeros;8776.999999958;A
40123;2352;62145;2014;55565;Viajeros;7054.99999996;A
40123;2352;62145;2014;55697;Viajeros;1721.999999998;A
40123;2352;62145;2013;55698;Viajeros;8690.8;A
40123;2352;62145;2013;55565;Viajeros;6743.45;A
40123;2352;62145;2013;55697;Viajeros;1947.35;A
40123;2352;62145;2012;55698;Viajeros;5559.67;A
40123;2352;62145;2012;55565;Viajeros;4324.07;A
40123;2352;62145;2012;55697;Viajeros;1235.6;A
40123;2352;62145;2011;55698;Viajeros;5798.76;A
40123;2352;62145;2011;55565;Viajeros;4403.51;A
40123;2352;62145;2011;55697;Viajeros;1395.25;A
40123;2352;62145;2010;55698;Viajeros;12007.13;A
40123;2352;62145;2010;55565;Viajeros;9324.48;A
40123;2352;62145;2010;55697;Viajeros;2682.65;A
40123;2352;62145;2009;55698;Viajeros;15894.15;A
40123;2352;62145;2009;55565;Viajeros;11925.93;A
40123;2352;62145;2009;55697;Viajeros;3968.22;A
40123;2352;62145;2008;55698;Viajeros;17638.38;A
40123;2352;62145;2008;55565;Viajeros;12753.49;A
40123;2352;62145;2008;55697;Viajeros;4884.89;A
40123;2352;264450;2020;55698;Viajeros;25763.028844808;A
40123;2352;264450;2020;55565;Viajeros;22254.432329232;A
40123;2352;264450;2020;55697;Viajeros;3508.596515576;A
40123;2352;264450;2019;55698;Viajeros;46657.571428575;A
40123;2352;264450;2019;55565;Viajeros;37868.714285715;A
40123;2352;264450;2019;55697;Viajeros;8788.85714286;A
40123;2352;264450;2018;55698;Viajeros;44629.571428614;A
40123;2352;264450;2018;55565;Viajeros;35901.0;A
40123;2352;264450;2018;55697;Viajeros;8728.571428614;A
40123;2352;264450;2017;55698;Viajeros;42511.71266948;A
40123;2352;264450;2017;55565;Viajeros;35327.256455946;A
40123;2352;264450;2017;55697;Viajeros;7184.456213534;A
40123;2352;264450;2016;55698;Viajeros;41796.142857121;A
40123;2352;264450;2016;55565;Viajeros;34481.142857057;A
40123;2352;264450;2016;55697;Viajeros;7315.000000064;A
40123;2352;264450;2015;55698;Viajeros;35427.053060883;A
40123;2352;264450;2015;55565;Viajeros;29541.820407778;A
40123;2352;264450;2015;55697;Viajeros;5885.232653105;A
40123;2352;264450;2014;55698;Viajeros;29679.714285777;A
40123;2352;264450;2014;55565;Viajeros;25820.428571488;A
40123;2352;264450;2014;55697;Viajeros;3859.285714289;A
40123;2352;264450;2013;55698;Viajeros;28922.36;A
40123;2352;264450;2013;55565;Viajeros;24615.24;A
40123;2352;264450;2013;55697;Viajeros;4307.12;A
40123;2352;264450;2012;55698;Viajeros;29528.12;A
40123;2352;264450;2012;55565;Viajeros;25520.79;A
40123;2352;264450;2012;55697;Viajeros;4007.33;A
40123;2352;264450;2011;55698;Viajeros;33506.08;A
40123;2352;264450;2011;55565;Viajeros;28091.44;A
40123;2352;264450;2011;55697;Viajeros;5414.64;A
40123;2352;264450;2010;55698;Viajeros;36967.4;A
40123;2352;264450;2010;55565;Viajeros;31601.82;A
40123;2352;264450;2010;55697;Viajeros;5365.58;A
40123;2352;264450;2009;55698;Viajeros;40030.73;A
40123;2352;264450;2009;55565;Viajeros;33982.35;A
40123;2352;264450;2009;55697;Viajeros;6048.38;A
40123;2352;264450;2008;55698;Viajeros;45450.51;A
40123;2352;264450;2008;55565;Viajeros;39062.34;A
