D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55537;55698;2020;Viajeros;525968.718530557;A
40123;55537;55698;2019;Viajeros;1429062.806509167;A
40123;55537;55698;2018;Viajeros;1428704.592945276;A
40123;55537;55698;2017;Viajeros;1327779.312842189;A
40123;55537;55698;2016;Viajeros;1313137.782483114;A
40123;55537;55698;2015;Viajeros;1196704.747536046;A
40123;55537;55698;2014;Viajeros;1101917.347542964;A
40123;55537;55698;2013;Viajeros;1017507.35;A
40123;55537;55698;2012;Viajeros;898785.1;A
40123;55537;55698;2011;Viajeros;1064711.16;A
40123;55537;55698;2010;Viajeros;1109936.21;A
40123;55537;55698;2009;Viajeros;1101175.31;A
40123;55537;55698;2008;Viajeros;1212033.89;A
40123;55537;55565;2020;Viajeros;455423.140004105;A
40123;55537;55565;2019;Viajeros;1102699.219173495;A
40123;55537;55565;2018;Viajeros;1087938.709870993;A
40123;55537;55565;2017;Viajeros;992221.634711428;A
40123;55537;55565;2016;Viajeros;1013304.377556431;A
40123;55537;55565;2015;Viajeros;971121.984928282;A
40123;55537;55565;2014;Viajeros;884616.062410806;A
40123;55537;55565;2013;Viajeros;813483.42;A
40123;55537;55565;2012;Viajeros;751346.59;A
40123;55537;55565;2011;Viajeros;911922.92;A
40123;55537;55565;2010;Viajeros;967536.68;A
40123;55537;55565;2009;Viajeros;938767.87;A
40123;55537;55565;2008;Viajeros;1005775.31;A
40123;55537;55697;2020;Viajeros;70545.578526452;A
40123;55537;55697;2019;Viajeros;326363.587335672;A
40123;55537;55697;2018;Viajeros;340765.883074283;A
40123;55537;55697;2017;Viajeros;335557.678130761;A
40123;55537;55697;2016;Viajeros;299833.404926683;A
40123;55537;55697;2015;Viajeros;225582.762607764;A
40123;55537;55697;2014;Viajeros;217301.285132158;A
40123;55537;55697;2013;Viajeros;204023.93;A
40123;55537;55697;2012;Viajeros;147438.51;A
40123;55537;55697;2011;Viajeros;152788.24;A
40123;55537;55697;2010;Viajeros;142399.53;A
40123;55537;55697;2009;Viajeros;162407.44;A
40123;55537;55697;2008;Viajeros;206258.58;A
40123;55537;55577;2020;Viajeros;5503.083763014;A
40123;55537;55577;2019;Viajeros;19635.448774074;A
40123;55537;55577;2018;Viajeros;24753.29643864;A
40123;55537;55577;2017;Viajeros;26750.37725427;A
40123;55537;55577;2016;Viajeros;25014.10447269;A
40123;55537;55577;2015;Viajeros;21779.72576364;A
40123;55537;55577;2014;Viajeros;19771.00448422;A
40123;55537;55577;2013;Viajeros;18556.87;A
40123;55537;55577;2012;Viajeros;16476.02;A
40123;55537;55577;2011;Viajeros;20908.29;A
40123;55537;55577;2010;Viajeros;22845.83;A
40123;55537;55577;2009;Viajeros;29883.82;A
40123;55537;55577;2008;Viajeros;36882.4;A
40123;55537;516705;2020;Viajeros;458.26901084;A
40123;55537;516705;2019;Viajeros;1571.149357956;A
40123;55537;516705;2018;Viajeros;2149.294218204;A
40123;55537;516705;2017;Viajeros;1636.143723081;A
40123;55537;516705;2016;Viajeros;1453.707173474;A
40123;55537;516705;2015;Viajeros;1154.156474431;A
40123;55537;516705;2014;Viajeros;1073.863532954;A
40123;55537;516705;2013;Viajeros;1054.19;A
40123;55537;516705;2012;Viajeros;1016.67;A
40123;55537;516705;2011;Viajeros;1206.03;A
40123;55537;516705;2010;Viajeros;1773.23;A
40123;55537;516705;2009;Viajeros;1232.1;A
40123;55537;516705;2008;Viajeros;6157.84;A
40123;55537;516706;2020;Viajeros;3196.48788545;A
40123;55537;516706;2019;Viajeros;19840.88570601;A
40123;55537;516706;2018;Viajeros;22366.50420706;A
40123;55537;516706;2017;Viajeros;24026.076119469;A
40123;55537;516706;2016;Viajeros;27884.371874056;A
40123;55537;516706;2015;Viajeros;23442.669630494;A
40123;55537;516706;2014;Viajeros;20826.692868922;A
40123;55537;516706;2013;Viajeros;20810.22;A
40123;55537;516706;2012;Viajeros;16787.47;A
40123;55537;516706;2011;Viajeros;15922.98;A
40123;55537;516706;2010;Viajeros;13099.53;A
40123;55537;516706;2009;Viajeros;15709.1;A
40123;55537;516706;2008;Viajeros;19294.86;A
40123;55537;516707;2020;Viajeros;449.990076819;A
40123;55537;516707;2019;Viajeros;5971.464118238;A
40123;55537;516707;2018;Viajeros;8884.770333658;A
40123;55537;516707;2017;Viajeros;9871.455826699;A
40123;55537;516707;2016;Viajeros;5173.80224036;A
40123;55537;516707;2015;Viajeros;3879.489277287;A
40123;55537;516707;2014;Viajeros;6564.28910427;A
40123;55537;516707;2013;Viajeros;5578.14;A
40123;55537;516707;2012;Viajeros;921.69;A
40123;55537;516707;2011;Viajeros;1026.8;A
40123;55537;516707;2010;Viajeros;1311.97;A
40123;55537;516707;2009;Viajeros;900.84;A
40123;55537;516707;2008;Viajeros;1288.64;A
40123;55537;516708;2020;Viajeros;381.39816192;A
40123;55537;516708;2019;Viajeros;2047.219424056;A
40123;55537;516708;2018;Viajeros;3083.703502557;A
40123;55537;516708;2017;Viajeros;1937.778112646;A
40123;55537;516708;2016;Viajeros;1543.071616133;A
40123;55537;516708;2015;Viajeros;1045.068679066;A
40123;55537;516708;2014;Viajeros;2042.369068863;A
40123;55537;516708;2013;Viajeros;3310.81;A
40123;55537;516708;2012;Viajeros;700.95;A
40123;55537;516708;2011;Viajeros;500.92;A
40123;55537;516708;2010;Viajeros;775.81;A
40123;55537;516708;2009;Viajeros;479.43;A
40123;55537;516708;2008;Viajeros;802.38;A
40123;55537;55568;2020;Viajeros;7958.952829221;A
40123;55537;55568;2019;Viajeros;30359.887037412;A
40123;55537;55568;2018;Viajeros;28015.37478755;A
40123;55537;55568;2017;Viajeros;24905.55980696;A
40123;55537;55568;2016;Viajeros;24548.6507779;A
40123;55537;55568;2015;Viajeros;21474.63252897;A
40123;55537;55568;2014;Viajeros;20114.66397626;A
40123;55537;55568;2013;Viajeros;18237.56;A
40123;55537;55568;2012;Viajeros;13605.92;A
40123;55537;55568;2011;Viajeros;16014.22;A
40123;55537;55568;2010;Viajeros;15775.74;A
40123;55537;55568;2009;Viajeros;15468.42;A
40123;55537;55568;2008;Viajeros;16894.47;A
40123;55537;516709;2020;Viajeros;108.099891139;A
40123;55537;516709;2019;Viajeros;273.419689126;A
40123;55537;516709;2018;Viajeros;512.417705604;A
40123;55537;516709;2017;Viajeros;313.868285544;A
40123;55537;516709;2016;Viajeros;210.833041354;A
40123;55537;516709;2015;Viajeros;463.053178847;A
40123;55537;516709;2014;Viajeros;117.836521714;A
40123;55537;516709;2013;Viajeros;459.44;A
40123;55537;516709;2012;Viajeros;232.51;A
40123;55537;516709;2011;Viajeros;422.64;A
40123;55537;516709;2010;Viajeros;632.89;A
40123;55537;516709;2009;Viajeros;275.56;A
40123;55537;516709;2008;Viajeros;759.34;A
40123;55537;516710;2020;Viajeros;1173.700507342;A
40123;55537;516710;2019;Viajeros;6496.406448419;A
40123;55537;516710;2018;Viajeros;7290.291275175;A
40123;55537;516710;2017;Viajeros;6584.917263777;A
40123;55537;516710;2016;Viajeros;6501.665116896;A
40123;55537;516710;2015;Viajeros;4635.538477537;A
40123;55537;516710;2014;Viajeros;3444.766576764;A
40123;55537;516710;2013;Viajeros;1956.82;A
40123;55537;516710;2012;Viajeros;1799.3;A
40123;55537;516710;2011;Viajeros;2048.97;A
40123;55537;516710;2010;Viajeros;2892.01;A
40123;55537;516710;2009;Viajeros;7125.24;A
40123;55537;516710;2008;Viajeros;9025.26;A
40123;55537;516711;2020;Viajeros;3626.169551986;A
40123;55537;516711;2019;Viajeros;13599.494211701;A
40123;55537;516711;2018;Viajeros;11655.527288874;A
40123;55537;516711;2017;Viajeros;11114.28499585;A
40123;55537;516711;2016;Viajeros;10355.680875104;A
40123;55537;516711;2015;Viajeros;9317.18626208;A
40123;55537;516711;2014;Viajeros;7870.479441779;A
40123;55537;516711;2013;Viajeros;7351.62;A
40123;55537;516711;2012;Viajeros;7361.35;A
40123;55537;516711;2011;Viajeros;9303.62;A
40123;55537;516711;2010;Viajeros;9755.83;A
40123;55537;516711;2009;Viajeros;8246.49;A
40123;55537;516711;2008;Viajeros;9460.57;A
