D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3058;46361;2021;Sociedades constituidas;;A
40124;3058;46364;2021;Sociedades constituidas;8.0;A
40124;3058;46366;2021;Sociedades constituidas;;A
40124;3059;46367;2021;Sociedades constituidas;46.0;A
40124;3059;46361;2021;Sociedades constituidas;;A
40124;3059;46364;2021;Sociedades constituidas;46.0;A
40124;3059;46366;2021;Sociedades constituidas;;A
40124;3060;46367;2021;Sociedades constituidas;1.0;A
40124;3060;46361;2021;Sociedades constituidas;;A
40124;3060;46364;2021;Sociedades constituidas;1.0;A
40124;3060;46366;2021;Sociedades constituidas;;A
40124;3061;46367;2021;Sociedades constituidas;11.0;A
40124;3061;46361;2021;Sociedades constituidas;;A
40124;3061;46364;2021;Sociedades constituidas;11.0;A
40124;3061;46366;2021;Sociedades constituidas;;A
40124;3137;46367;2021;Sociedades constituidas;20.0;A
40124;3137;46361;2021;Sociedades constituidas;;A
40124;3137;46364;2021;Sociedades constituidas;20.0;A
40124;3137;46366;2021;Sociedades constituidas;;A
40124;3063;46367;2021;Sociedades constituidas;261.0;A
40124;3063;46361;2021;Sociedades constituidas;7.0;A
40124;3063;46364;2021;Sociedades constituidas;251.0;A
40124;3063;46366;2021;Sociedades constituidas;3.0;A
40124;3064;46367;2021;Sociedades constituidas;65.0;A
40124;3064;46361;2021;Sociedades constituidas;;A
40124;3064;46364;2021;Sociedades constituidas;65.0;A
40124;3064;46366;2021;Sociedades constituidas;;A
40124;3065;46367;2021;Sociedades constituidas;38.0;A
40124;3065;46361;2021;Sociedades constituidas;;A
40124;3065;46364;2021;Sociedades constituidas;37.0;A
40124;3065;46366;2021;Sociedades constituidas;1.0;A
40124;3066;46367;2021;Sociedades constituidas;7.0;A
40124;3066;46361;2021;Sociedades constituidas;;A
40124;3066;46364;2021;Sociedades constituidas;7.0;A
40124;3066;46366;2021;Sociedades constituidas;;A
40124;3067;46367;2021;Sociedades constituidas;12.0;A
40124;3067;46361;2021;Sociedades constituidas;;A
40124;3067;46364;2021;Sociedades constituidas;12.0;A
40124;3067;46366;2021;Sociedades constituidas;;A
40124;3068;46367;2021;Sociedades constituidas;2.0;A
40124;3068;46361;2021;Sociedades constituidas;;A
40124;3068;46364;2021;Sociedades constituidas;2.0;A
40124;3068;46366;2021;Sociedades constituidas;;A
40124;3069;46367;2021;Sociedades constituidas;24.0;A
40124;3069;46361;2021;Sociedades constituidas;;A
40124;3069;46364;2021;Sociedades constituidas;24.0;A
40124;3069;46366;2021;Sociedades constituidas;;A
40124;3070;46367;2021;Sociedades constituidas;6.0;A
40124;3070;46361;2021;Sociedades constituidas;;A
40124;3070;46364;2021;Sociedades constituidas;6.0;A
40124;3070;46366;2021;Sociedades constituidas;;A
40124;3071;46367;2021;Sociedades constituidas;3.0;A
40124;3071;46361;2021;Sociedades constituidas;;A
40124;3071;46364;2021;Sociedades constituidas;3.0;A
40124;3071;46366;2021;Sociedades constituidas;;A
40124;3072;46367;2021;Sociedades constituidas;23.0;A
40124;3072;46361;2021;Sociedades constituidas;;A
40124;3072;46364;2021;Sociedades constituidas;23.0;A
40124;3072;46366;2021;Sociedades constituidas;;A
40124;3073;46367;2021;Sociedades constituidas;2.0;A
40124;3073;46361;2021;Sociedades constituidas;;A
40124;3073;46364;2021;Sociedades constituidas;2.0;A
40124;3073;46366;2021;Sociedades constituidas;;A
40124;3074;46367;2021;Sociedades constituidas;32.0;A
40124;3074;46361;2021;Sociedades constituidas;;A
40124;3074;46364;2021;Sociedades constituidas;32.0;A
40124;3074;46366;2021;Sociedades constituidas;;A
40124;3075;46367;2021;Sociedades constituidas;12.0;A
40124;3075;46361;2021;Sociedades constituidas;;A
40124;3075;46364;2021;Sociedades constituidas;12.0;A
40124;3075;46366;2021;Sociedades constituidas;;A
40124;3076;46367;2021;Sociedades constituidas;4.0;A
40124;3076;46361;2021;Sociedades constituidas;;A
40124;3076;46364;2021;Sociedades constituidas;4.0;A
40124;3076;46366;2021;Sociedades constituidas;;A
40124;3136;46367;2021;Sociedades constituidas;5.0;A
40124;3136;46361;2021;Sociedades constituidas;;A
40124;3136;46364;2021;Sociedades constituidas;4.0;A
40124;3136;46366;2021;Sociedades constituidas;1.0;A
40124;3078;46367;2021;Sociedades constituidas;8.0;A
40124;3078;46361;2021;Sociedades constituidas;;A
40124;3078;46364;2021;Sociedades constituidas;7.0;A
40124;3078;46366;2021;Sociedades constituidas;1.0;A
40124;3080;46367;2021;Sociedades constituidas;48.0;A
40124;3080;46361;2021;Sociedades constituidas;;A
40124;3080;46364;2021;Sociedades constituidas;48.0;A
40124;3080;46366;2021;Sociedades constituidas;;A
40124;3081;46367;2021;Sociedades constituidas;2.0;A
40124;3081;46361;2021;Sociedades constituidas;;A
40124;3081;46364;2021;Sociedades constituidas;2.0;A
40124;3081;46366;2021;Sociedades constituidas;;A
40124;3082;46367;2021;Sociedades constituidas;23.0;A
40124;3082;46361;2021;Sociedades constituidas;;A
40124;3082;46364;2021;Sociedades constituidas;23.0;A
40124;3082;46366;2021;Sociedades constituidas;;A
40124;3083;46367;2021;Sociedades constituidas;2.0;A
40124;3083;46361;2021;Sociedades constituidas;;A
40124;3083;46364;2021;Sociedades constituidas;2.0;A
40124;3083;46366;2021;Sociedades constituidas;;A
40124;3085;46367;2021;Sociedades constituidas;31.0;A
40124;3085;46361;2021;Sociedades constituidas;;A
40124;3085;46364;2021;Sociedades constituidas;31.0;A
40124;3085;46366;2021;Sociedades constituidas;;A
40124;3086;46367;2021;Sociedades constituidas;151.0;A
40124;3086;46361;2021;Sociedades constituidas;;A
40124;3086;46364;2021;Sociedades constituidas;146.0;A
40124;3086;46366;2021;Sociedades constituidas;5.0;A
40124;3087;46367;2021;Sociedades constituidas;29.0;A
40124;3087;46361;2021;Sociedades constituidas;1.0;A
40124;3087;46364;2021;Sociedades constituidas;28.0;A
40124;3087;46366;2021;Sociedades constituidas;;A
40124;3088;46367;2021;Sociedades constituidas;1.0;A
40124;3088;46361;2021;Sociedades constituidas;;A
40124;3088;46364;2021;Sociedades constituidas;1.0;A
40124;3088;46366;2021;Sociedades constituidas;;A
40124;3089;46367;2021;Sociedades constituidas;4.0;A
40124;3089;46361;2021;Sociedades constituidas;;A
