D_TEMPORAL_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_ESTADO_DATO_0;INDICATOR;FREQ;D_CNAE09_0;D_SEXO_SOCIOS_0;OBS_VALUE
2001;ES61;46360;A;SM_ACR;A;_Z;_Z;0.0
2001;ES61;46360;A;SM_AMP_CAP;A;_Z;_Z;628.0
2001;ES61;46360;A;SM_FUS;A;_Z;_Z;23.0
2001;ES61;46360;A;SOC_CONST;A;_Z;_Z;341.0
2001;ES61;46360;A;SOC_DIS;A;_Z;_Z;293.0
2001;ES61;46360;A;SOC_DIV;A;_Z;_Z;244.0
2001;ES61;46360;A;SOC_ESC;A;_Z;_Z;5.0
2001;ES61;46360;A;SOC_EXT;A;_Z;_Z;109.0
2001;ES61;46360;A;SOC_RED_CAP;A;_Z;_Z;158.0
2001;ES61;46360;A;SOC_TRANS;A;_Z;_Z;148.0
2001;ES61;46363;A;SM_ACR;A;_Z;_Z;0.0
2001;ES61;46363;A;SM_AMP_CAP;A;_Z;_Z;3723.0
2001;ES61;46363;A;SM_FUS;A;_Z;_Z;24.0
2001;ES61;46363;A;SOC_CONST;A;_Z;_Z;16616.0
2001;ES61;46363;A;SOC_DIS;A;_Z;_Z;587.0
2001;ES61;46363;A;SOC_DIV;A;_Z;_Z;3.0
2001;ES61;46363;A;SOC_ESC;A;_Z;_Z;14.0
2001;ES61;46363;A;SOC_EXT;A;_Z;_Z;511.0
2001;ES61;46363;A;SOC_RED_CAP;A;_Z;_Z;247.0
2001;ES61;46363;A;SOC_TRANS;A;_Z;_Z;41.0
2001;ES61;46364;A;SM_ACR;A;_Z;_Z;0.0
2001;ES61;46364;A;SM_AMP_CAP;A;_Z;_Z;3723.0
2001;ES61;46364;A;SM_FUS;A;_Z;_Z;24.0
2001;ES61;46364;A;SOC_CONST;A;_Z;_Z;16616.0
2001;ES61;46364;A;SOC_DIS;A;_Z;_Z;587.0
2001;ES61;46364;A;SOC_DIV;A;_Z;_Z;3.0
2001;ES61;46364;A;SOC_ESC;A;_Z;_Z;14.0
2001;ES61;46364;A;SOC_EXT;A;_Z;_Z;511.0
2001;ES61;46364;A;SOC_RED_CAP;A;_Z;_Z;247.0
2001;ES61;46364;A;SOC_TRANS;A;_Z;_Z;41.0
2001;ES61;46365;A;SM_ACR;A;_Z;_Z;0.0
2001;ES61;46365;A;SM_AMP_CAP;A;_Z;_Z;9.0
2001;ES61;46365;A;SM_FUS;A;_Z;_Z;0.0
2001;ES61;46365;A;SOC_CONST;A;_Z;_Z;73.0
2001;ES61;46365;A;SOC_DIS;A;_Z;_Z;3.0
2001;ES61;46365;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES61;46365;A;SOC_ESC;A;_Z;_Z;0.0
2001;ES61;46365;A;SOC_EXT;A;_Z;_Z;5.0
2001;ES61;46365;A;SOC_RED_CAP;A;_Z;_Z;1.0
2001;ES61;46365;A;SOC_TRANS;A;_Z;_Z;7.0
2001;ES61;46367;A;SM_ACR;A;_Z;_Z;0.0
2001;ES61;46367;A;SM_AMP_CAP;A;_Z;_Z;4360.0
2001;ES61;46367;A;SM_FUS;A;_Z;_Z;47.0
2001;ES61;46367;A;SOC_CONST;A;_Z;_Z;17030.0
2001;ES61;46367;A;SOC_DIS;A;_Z;_Z;883.0
2001;ES61;46367;A;SOC_DIV;A;_Z;_Z;247.0
2001;ES61;46367;A;SOC_ESC;A;_Z;_Z;19.0
2001;ES61;46367;A;SOC_EXT;A;_Z;_Z;625.0
2001;ES61;46367;A;SOC_RED_CAP;A;_Z;_Z;406.0
2001;ES61;46367;A;SOC_TRANS;A;_Z;_Z;196.0
2001;ES611;46360;A;SM_ACR;A;_Z;_Z;0.0
2001;ES611;46360;A;SM_AMP_CAP;A;_Z;_Z;40.0
2001;ES611;46360;A;SM_FUS;A;_Z;_Z;3.0
2001;ES611;46360;A;SOC_CONST;A;_Z;_Z;30.0
2001;ES611;46360;A;SOC_DIS;A;_Z;_Z;123.0
2001;ES611;46360;A;SOC_DIV;A;_Z;_Z;17.0
2001;ES611;46360;A;SOC_ESC;A;_Z;_Z;0.0
2001;ES611;46360;A;SOC_EXT;A;_Z;_Z;7.0
2001;ES611;46360;A;SOC_RED_CAP;A;_Z;_Z;10.0
2001;ES611;46360;A;SOC_TRANS;A;_Z;_Z;8.0
2001;ES611;46363;A;SM_ACR;A;_Z;_Z;0.0
2001;ES611;46363;A;SM_AMP_CAP;A;_Z;_Z;347.0
2001;ES611;46363;A;SM_FUS;A;_Z;_Z;1.0
2001;ES611;46363;A;SOC_CONST;A;_Z;_Z;1504.0
2001;ES611;46363;A;SOC_DIS;A;_Z;_Z;28.0
2001;ES611;46363;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES611;46363;A;SOC_ESC;A;_Z;_Z;2.0
2001;ES611;46363;A;SOC_EXT;A;_Z;_Z;24.0
2001;ES611;46363;A;SOC_RED_CAP;A;_Z;_Z;19.0
2001;ES611;46363;A;SOC_TRANS;A;_Z;_Z;6.0
2001;ES611;46364;A;SM_ACR;A;_Z;_Z;0.0
2001;ES611;46364;A;SM_AMP_CAP;A;_Z;_Z;347.0
2001;ES611;46364;A;SM_FUS;A;_Z;_Z;1.0
2001;ES611;46364;A;SOC_CONST;A;_Z;_Z;1504.0
2001;ES611;46364;A;SOC_DIS;A;_Z;_Z;28.0
2001;ES611;46364;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES611;46364;A;SOC_ESC;A;_Z;_Z;2.0
2001;ES611;46364;A;SOC_EXT;A;_Z;_Z;24.0
2001;ES611;46364;A;SOC_RED_CAP;A;_Z;_Z;19.0
2001;ES611;46364;A;SOC_TRANS;A;_Z;_Z;6.0
2001;ES611;46365;A;SM_ACR;A;_Z;_Z;0.0
2001;ES611;46365;A;SM_AMP_CAP;A;_Z;_Z;1.0
2001;ES611;46365;A;SM_FUS;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_CONST;A;_Z;_Z;4.0
2001;ES611;46365;A;SOC_DIS;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_ESC;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_EXT;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_RED_CAP;A;_Z;_Z;0.0
2001;ES611;46365;A;SOC_TRANS;A;_Z;_Z;2.0
2001;ES611;46367;A;SM_ACR;A;_Z;_Z;0.0
2001;ES611;46367;A;SM_AMP_CAP;A;_Z;_Z;388.0
2001;ES611;46367;A;SM_FUS;A;_Z;_Z;4.0
2001;ES611;46367;A;SOC_CONST;A;_Z;_Z;1538.0
2001;ES611;46367;A;SOC_DIS;A;_Z;_Z;151.0
2001;ES611;46367;A;SOC_DIV;A;_Z;_Z;17.0
2001;ES611;46367;A;SOC_ESC;A;_Z;_Z;2.0
2001;ES611;46367;A;SOC_EXT;A;_Z;_Z;31.0
2001;ES611;46367;A;SOC_RED_CAP;A;_Z;_Z;29.0
2001;ES611;46367;A;SOC_TRANS;A;_Z;_Z;16.0
2001;ES612;46360;A;SM_ACR;A;_Z;_Z;0.0
2001;ES612;46360;A;SM_AMP_CAP;A;_Z;_Z;67.0
2001;ES612;46360;A;SM_FUS;A;_Z;_Z;2.0
2001;ES612;46360;A;SOC_CONST;A;_Z;_Z;32.0
2001;ES612;46360;A;SOC_DIS;A;_Z;_Z;27.0
2001;ES612;46360;A;SOC_DIV;A;_Z;_Z;20.0
2001;ES612;46360;A;SOC_ESC;A;_Z;_Z;1.0
2001;ES612;46360;A;SOC_EXT;A;_Z;_Z;16.0
2001;ES612;46360;A;SOC_RED_CAP;A;_Z;_Z;21.0
2001;ES612;46360;A;SOC_TRANS;A;_Z;_Z;14.0
2001;ES612;46363;A;SM_ACR;A;_Z;_Z;0.0
2001;ES612;46363;A;SM_AMP_CAP;A;_Z;_Z;465.0
2001;ES612;46363;A;SM_FUS;A;_Z;_Z;4.0
2001;ES612;46363;A;SOC_CONST;A;_Z;_Z;1841.0
2001;ES612;46363;A;SOC_DIS;A;_Z;_Z;59.0
2001;ES612;46363;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES612;46363;A;SOC_ESC;A;_Z;_Z;3.0
2001;ES612;46363;A;SOC_EXT;A;_Z;_Z;51.0
2001;ES612;46363;A;SOC_RED_CAP;A;_Z;_Z;29.0
2001;ES612;46363;A;SOC_TRANS;A;_Z;_Z;0.0
2001;ES612;46364;A;SM_ACR;A;_Z;_Z;0.0
2001;ES612;46364;A;SM_AMP_CAP;A;_Z;_Z;465.0
2001;ES612;46364;A;SM_FUS;A;_Z;_Z;4.0
2001;ES612;46364;A;SOC_CONST;A;_Z;_Z;1841.0
2001;ES612;46364;A;SOC_DIS;A;_Z;_Z;59.0
2001;ES612;46364;A;SOC_DIV;A;_Z;_Z;0.0
2001;ES612;46364;A;SOC_ESC;A;_Z;_Z;3.0
2001;ES612;46364;A;SOC_EXT;A;_Z;_Z;51.0
2001;ES612;46364;A;SOC_RED_CAP;A;_Z;_Z;29.0
