id;name_en;description_en;parent
_Z;Not applicable;;
N6;Six;;
N_GE5;Five or more;;
N_GE6;Six or more;;
N_GE7;Seven or more;;
N1;One;;
N0;None;;
_U;Unknown;;
N3;Three;;
N2;Two;;
N5;Five;;
N4;Four;;
_T;Total;;
