EDCA_LUGDEF;MES;G102;SEXO;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
838404;11;838411;M;2020;ES61;DEATHS;4.0;A
838404;11;838411;F;2020;ES61;DEATHS;5.0;A
838404;11;838411;_T;2020;ES61;DEATHS;9.0;A
838404;11;57731;M;2020;ES61;DEATHS;1154.0;A
838404;11;57731;F;2020;ES61;DEATHS;1158.0;A
838404;11;57731;_T;2020;ES61;DEATHS;2312.0;A
838404;11;583;M;2020;ES61;DEATHS;1229.0;A
838404;11;583;F;2020;ES61;DEATHS;1234.0;A
838404;11;583;_T;2020;ES61;DEATHS;2463.0;A
838404;12;838410;M;2020;ES61;DEATHS;30.0;A
838404;12;838410;F;2020;ES61;DEATHS;25.0;A
838404;12;838410;_T;2020;ES61;DEATHS;55.0;A
838404;12;838411;M;2020;ES61;DEATHS;3.0;A
838404;12;838411;_T;2020;ES61;DEATHS;3.0;A
838404;12;57731;M;2020;ES61;DEATHS;1145.0;A
838404;12;57731;F;2020;ES61;DEATHS;1266.0;A
838404;12;57731;_T;2020;ES61;DEATHS;2411.0;A
838404;12;583;M;2020;ES61;DEATHS;1178.0;A
838404;12;583;F;2020;ES61;DEATHS;1291.0;A
838404;12;583;_T;2020;ES61;DEATHS;2469.0;A
838404;55920;838410;M;2020;ES61;DEATHS;159.0;A
838404;55920;838410;F;2020;ES61;DEATHS;152.0;A
838404;55920;838410;_T;2020;ES61;DEATHS;311.0;A
838404;55920;838411;M;2020;ES61;DEATHS;93.0;A
838404;55920;838411;F;2020;ES61;DEATHS;95.0;A
838404;55920;838411;_T;2020;ES61;DEATHS;188.0;A
838404;55920;57731;M;2020;ES61;DEATHS;12939.0;A
838404;55920;57731;F;2020;ES61;DEATHS;13490.0;A
838404;55920;57731;_T;2020;ES61;DEATHS;26429.0;A
838404;55920;583;M;2020;ES61;DEATHS;13191.0;A
838404;55920;583;F;2020;ES61;DEATHS;13737.0;A
838404;55920;583;_T;2020;ES61;DEATHS;26928.0;A
838405;01;57731;M;2020;ES61;DEATHS;2196.0;A
838405;01;57731;F;2020;ES61;DEATHS;1954.0;A
838405;01;57731;_T;2020;ES61;DEATHS;4150.0;A
838405;01;583;M;2020;ES61;DEATHS;2196.0;A
838405;01;583;F;2020;ES61;DEATHS;1954.0;A
838405;01;583;_T;2020;ES61;DEATHS;4150.0;A
838405;02;57731;M;2020;ES61;DEATHS;1729.0;A
838405;02;57731;F;2020;ES61;DEATHS;1579.0;A
838405;02;57731;_T;2020;ES61;DEATHS;3308.0;A
838405;02;583;M;2020;ES61;DEATHS;1729.0;A
838405;02;583;F;2020;ES61;DEATHS;1579.0;A
838405;02;583;_T;2020;ES61;DEATHS;3308.0;A
838405;03;838410;M;2020;ES61;DEATHS;238.0;A
838405;03;838410;F;2020;ES61;DEATHS;168.0;A
838405;03;838410;_T;2020;ES61;DEATHS;406.0;A
838405;03;838411;M;2020;ES61;DEATHS;29.0;A
838405;03;838411;F;2020;ES61;DEATHS;29.0;A
838405;03;838411;_T;2020;ES61;DEATHS;58.0;A
838405;03;57731;M;2020;ES61;DEATHS;1574.0;A
838405;03;57731;F;2020;ES61;DEATHS;1365.0;A
838405;03;57731;_T;2020;ES61;DEATHS;2939.0;A
838405;03;583;M;2020;ES61;DEATHS;1841.0;A
838405;03;583;F;2020;ES61;DEATHS;1562.0;A
838405;03;583;_T;2020;ES61;DEATHS;3403.0;A
838405;04;838410;M;2020;ES61;DEATHS;374.0;A
838405;04;838410;F;2020;ES61;DEATHS;299.0;A
838405;04;838410;_T;2020;ES61;DEATHS;673.0;A
838405;04;838411;M;2020;ES61;DEATHS;88.0;A
838405;04;838411;F;2020;ES61;DEATHS;84.0;A
838405;04;838411;_T;2020;ES61;DEATHS;172.0;A
838405;04;57731;M;2020;ES61;DEATHS;1227.0;A
838405;04;57731;F;2020;ES61;DEATHS;1056.0;A
838405;04;57731;_T;2020;ES61;DEATHS;2283.0;A
838405;04;583;M;2020;ES61;DEATHS;1689.0;A
838405;04;583;F;2020;ES61;DEATHS;1439.0;A
838405;04;583;_T;2020;ES61;DEATHS;3128.0;A
838405;05;838410;M;2020;ES61;DEATHS;45.0;A
838405;05;838410;F;2020;ES61;DEATHS;43.0;A
838405;05;838410;_T;2020;ES61;DEATHS;88.0;A
838405;05;838411;M;2020;ES61;DEATHS;27.0;A
838405;05;838411;F;2020;ES61;DEATHS;21.0;A
838405;05;838411;_T;2020;ES61;DEATHS;48.0;A
838405;05;57731;M;2020;ES61;DEATHS;1408.0;A
838405;05;57731;F;2020;ES61;DEATHS;1222.0;A
838405;05;57731;_T;2020;ES61;DEATHS;2630.0;A
838405;05;583;M;2020;ES61;DEATHS;1480.0;A
838405;05;583;F;2020;ES61;DEATHS;1286.0;A
838405;05;583;_T;2020;ES61;DEATHS;2766.0;A
838405;06;838410;M;2020;ES61;DEATHS;14.0;A
838405;06;838410;F;2020;ES61;DEATHS;2.0;A
838405;06;838410;_T;2020;ES61;DEATHS;16.0;A
838405;06;838411;M;2020;ES61;DEATHS;5.0;A
838405;06;838411;F;2020;ES61;DEATHS;4.0;A
838405;06;838411;_T;2020;ES61;DEATHS;9.0;A
838405;06;57731;M;2020;ES61;DEATHS;1358.0;A
838405;06;57731;F;2020;ES61;DEATHS;1164.0;A
838405;06;57731;_T;2020;ES61;DEATHS;2522.0;A
838405;06;583;M;2020;ES61;DEATHS;1377.0;A
838405;06;583;F;2020;ES61;DEATHS;1170.0;A
838405;06;583;_T;2020;ES61;DEATHS;2547.0;A
838405;07;838410;M;2020;ES61;DEATHS;5.0;A
838405;07;838410;F;2020;ES61;DEATHS;1.0;A
838405;07;838410;_T;2020;ES61;DEATHS;6.0;A
838405;07;838411;M;2020;ES61;DEATHS;5.0;A
838405;07;838411;F;2020;ES61;DEATHS;4.0;A
838405;07;838411;_T;2020;ES61;DEATHS;9.0;A
838405;07;57731;M;2020;ES61;DEATHS;1547.0;A
838405;07;57731;F;2020;ES61;DEATHS;1345.0;A
838405;07;57731;_T;2020;ES61;DEATHS;2892.0;A
838405;07;583;M;2020;ES61;DEATHS;1557.0;A
838405;07;583;F;2020;ES61;DEATHS;1350.0;A
838405;07;583;_T;2020;ES61;DEATHS;2907.0;A
838405;08;838410;M;2020;ES61;DEATHS;37.0;A
838405;08;838410;F;2020;ES61;DEATHS;21.0;A
838405;08;838410;_T;2020;ES61;DEATHS;58.0;A
838405;08;838411;M;2020;ES61;DEATHS;10.0;A
838405;08;838411;F;2020;ES61;DEATHS;7.0;A
838405;08;838411;_T;2020;ES61;DEATHS;17.0;A
838405;08;57731;M;2020;ES61;DEATHS;1547.0;A
838405;08;57731;F;2020;ES61;DEATHS;1393.0;A
838405;08;57731;_T;2020;ES61;DEATHS;2940.0;A
838405;08;583;M;2020;ES61;DEATHS;1594.0;A
838405;08;583;F;2020;ES61;DEATHS;1421.0;A
838405;08;583;_T;2020;ES61;DEATHS;3015.0;A
838405;09;838410;M;2020;ES61;DEATHS;199.0;A
838405;09;838410;F;2020;ES61;DEATHS;146.0;A
838405;09;838410;_T;2020;ES61;DEATHS;345.0;A
838405;09;838411;M;2020;ES61;DEATHS;8.0;A
838405;09;838411;F;2020;ES61;DEATHS;9.0;A
838405;09;838411;_T;2020;ES61;DEATHS;17.0;A
838405;09;57731;M;2020;ES61;DEATHS;1389.0;A
838405;09;57731;F;2020;ES61;DEATHS;1243.0;A
838405;09;57731;_T;2020;ES61;DEATHS;2632.0;A
838405;09;583;M;2020;ES61;DEATHS;1596.0;A
838405;09;583;F;2020;ES61;DEATHS;1398.0;A
838405;09;583;_T;2020;ES61;DEATHS;2994.0;A
838405;10;838410;M;2020;ES61;DEATHS;495.0;A
838405;10;838410;F;2020;ES61;DEATHS;386.0;A
838405;10;838410;_T;2020;ES61;DEATHS;881.0;A
838405;10;838411;M;2020;ES61;DEATHS;8.0;A
838405;10;838411;F;2020;ES61;DEATHS;7.0;A
838405;10;838411;_T;2020;ES61;DEATHS;15.0;A
838405;10;57731;M;2020;ES61;DEATHS;1541.0;A
838405;10;57731;F;2020;ES61;DEATHS;1315.0;A
838405;10;57731;_T;2020;ES61;DEATHS;2856.0;A
838405;10;583;M;2020;ES61;DEATHS;2044.0;A
838405;10;583;F;2020;ES61;DEATHS;1708.0;A
838405;10;583;_T;2020;ES61;DEATHS;3752.0;A
838405;11;838410;M;2020;ES61;DEATHS;947.0;A
838405;11;838410;F;2020;ES61;DEATHS;697.0;A
838405;11;838410;_T;2020;ES61;DEATHS;1644.0;A
838405;11;838411;M;2020;ES61;DEATHS;11.0;A
838405;11;838411;F;2020;ES61;DEATHS;8.0;A
838405;11;838411;_T;2020;ES61;DEATHS;19.0;A
838405;11;57731;M;2020;ES61;DEATHS;1410.0;A
838405;11;57731;F;2020;ES61;DEATHS;1220.0;A
838405;11;57731;_T;2020;ES61;DEATHS;2630.0;A
838405;11;583;M;2020;ES61;DEATHS;2368.0;A
838405;11;583;F;2020;ES61;DEATHS;1925.0;A
838405;11;583;_T;2020;ES61;DEATHS;4293.0;A
838405;12;838410;M;2020;ES61;DEATHS;405.0;A
838405;12;838410;F;2020;ES61;DEATHS;278.0;A
838405;12;838410;_T;2020;ES61;DEATHS;683.0;A
838405;12;838411;M;2020;ES61;DEATHS;13.0;A
838405;12;838411;F;2020;ES61;DEATHS;4.0;A
838405;12;838411;_T;2020;ES61;DEATHS;17.0;A
838405;12;57731;M;2020;ES61;DEATHS;1621.0;A
838405;12;57731;F;2020;ES61;DEATHS;1350.0;A
838405;12;57731;_T;2020;ES61;DEATHS;2971.0;A
838405;12;583;M;2020;ES61;DEATHS;2039.0;A
838405;12;583;F;2020;ES61;DEATHS;1632.0;A
838405;12;583;_T;2020;ES61;DEATHS;3671.0;A
838405;55920;838410;M;2020;ES61;DEATHS;2759.0;A
838405;55920;838410;F;2020;ES61;DEATHS;2041.0;A
838405;55920;838410;_T;2020;ES61;DEATHS;4800.0;A
838405;55920;838411;M;2020;ES61;DEATHS;204.0;A
838405;55920;838411;F;2020;ES61;DEATHS;177.0;A
838405;55920;838411;_T;2020;ES61;DEATHS;381.0;A
838405;55920;57731;M;2020;ES61;DEATHS;18547.0;A
838405;55920;57731;F;2020;ES61;DEATHS;16206.0;A
838405;55920;57731;_T;2020;ES61;DEATHS;34753.0;A
838405;55920;583;M;2020;ES61;DEATHS;21510.0;A
838405;55920;583;F;2020;ES61;DEATHS;18424.0;A
838405;55920;583;_T;2020;ES61;DEATHS;39934.0;A
838406;01;57731;M;2020;ES61;DEATHS;250.0;A
838406;01;57731;F;2020;ES61;DEATHS;409.0;A
838406;01;57731;_T;2020;ES61;DEATHS;659.0;A
838406;01;583;M;2020;ES61;DEATHS;250.0;A
838406;01;583;F;2020;ES61;DEATHS;409.0;A
838406;01;583;_T;2020;ES61;DEATHS;659.0;A
838406;02;57731;M;2020;ES61;DEATHS;208.0;A
838406;02;57731;F;2020;ES61;DEATHS;388.0;A
838406;02;57731;_T;2020;ES61;DEATHS;596.0;A
838406;02;583;M;2020;ES61;DEATHS;208.0;A
838406;02;583;F;2020;ES61;DEATHS;388.0;A
838406;02;583;_T;2020;ES61;DEATHS;596.0;A
838406;03;838410;M;2020;ES61;DEATHS;8.0;A
838406;03;838410;F;2020;ES61;DEATHS;28.0;A
838406;03;838410;_T;2020;ES61;DEATHS;36.0;A
838406;03;838411;M;2020;ES61;DEATHS;12.0;A
838406;03;838411;F;2020;ES61;DEATHS;23.0;A
838406;03;838411;_T;2020;ES61;DEATHS;35.0;A
838406;03;57731;M;2020;ES61;DEATHS;283.0;A
838406;03;57731;F;2020;ES61;DEATHS;451.0;A
838406;03;57731;_T;2020;ES61;DEATHS;734.0;A
838406;03;583;M;2020;ES61;DEATHS;303.0;A
838406;03;583;F;2020;ES61;DEATHS;502.0;A
838406;03;583;_T;2020;ES61;DEATHS;805.0;A
838406;04;838410;M;2020;ES61;DEATHS;57.0;A
838406;04;838410;F;2020;ES61;DEATHS;107.0;A
838406;04;838410;_T;2020;ES61;DEATHS;164.0;A
838406;04;838411;M;2020;ES61;DEATHS;31.0;A
838406;04;838411;F;2020;ES61;DEATHS;49.0;A
838406;04;838411;_T;2020;ES61;DEATHS;80.0;A
838406;04;57731;M;2020;ES61;DEATHS;197.0;A
838406;04;57731;F;2020;ES61;DEATHS;440.0;A
838406;04;57731;_T;2020;ES61;DEATHS;637.0;A
838406;04;583;M;2020;ES61;DEATHS;285.0;A
838406;04;583;F;2020;ES61;DEATHS;596.0;A
838406;04;583;_T;2020;ES61;DEATHS;881.0;A
838406;05;838410;M;2020;ES61;DEATHS;5.0;A
838406;05;838410;F;2020;ES61;DEATHS;11.0;A
838406;05;838410;_T;2020;ES61;DEATHS;16.0;A
838406;05;838411;M;2020;ES61;DEATHS;1.0;A
838406;05;838411;F;2020;ES61;DEATHS;3.0;A
838406;05;838411;_T;2020;ES61;DEATHS;4.0;A
838406;05;57731;M;2020;ES61;DEATHS;185.0;A
838406;05;57731;F;2020;ES61;DEATHS;295.0;A
838406;05;57731;_T;2020;ES61;DEATHS;480.0;A
838406;05;583;M;2020;ES61;DEATHS;191.0;A
838406;05;583;F;2020;ES61;DEATHS;309.0;A
838406;05;583;_T;2020;ES61;DEATHS;500.0;A
838406;06;838410;M;2020;ES61;DEATHS;1.0;A
838406;06;838410;_T;2020;ES61;DEATHS;1.0;A
838406;06;838411;M;2020;ES61;DEATHS;2.0;A
838406;06;838411;_T;2020;ES61;DEATHS;2.0;A
838406;06;57731;M;2020;ES61;DEATHS;173.0;A
838406;06;57731;F;2020;ES61;DEATHS;302.0;A
838406;06;57731;_T;2020;ES61;DEATHS;475.0;A
838406;06;583;M;2020;ES61;DEATHS;176.0;A
838406;06;583;F;2020;ES61;DEATHS;302.0;A
838406;06;583;_T;2020;ES61;DEATHS;478.0;A
838406;07;57731;M;2020;ES61;DEATHS;186.0;A
838406;07;57731;F;2020;ES61;DEATHS;351.0;A
838406;07;57731;_T;2020;ES61;DEATHS;537.0;A
838406;07;583;M;2020;ES61;DEATHS;186.0;A
838406;07;583;F;2020;ES61;DEATHS;351.0;A
838406;07;583;_T;2020;ES61;DEATHS;537.0;A
838406;08;838410;M;2020;ES61;DEATHS;1.0;A
838406;08;838410;F;2020;ES61;DEATHS;5.0;A
838406;08;838410;_T;2020;ES61;DEATHS;6.0;A
838406;08;838411;M;2020;ES61;DEATHS;1.0;A
838406;08;838411;_T;2020;ES61;DEATHS;1.0;A
838406;08;57731;M;2020;ES61;DEATHS;180.0;A
838406;08;57731;F;2020;ES61;DEATHS;341.0;A
838406;08;57731;_T;2020;ES61;DEATHS;521.0;A
838406;08;583;M;2020;ES61;DEATHS;182.0;A
838406;08;583;F;2020;ES61;DEATHS;346.0;A
838406;08;583;_T;2020;ES61;DEATHS;528.0;A
838406;09;838410;M;2020;ES61;DEATHS;13.0;A
838406;09;838410;F;2020;ES61;DEATHS;26.0;A
838406;09;838410;_T;2020;ES61;DEATHS;39.0;A
838406;09;838411;F;2020;ES61;DEATHS;3.0;A
838406;09;838411;_T;2020;ES61;DEATHS;3.0;A
838406;09;57731;M;2020;ES61;DEATHS;165.0;A
838406;09;57731;F;2020;ES61;DEATHS;297.0;A
838406;09;57731;_T;2020;ES61;DEATHS;462.0;A
838406;09;583;M;2020;ES61;DEATHS;178.0;A
838406;09;583;F;2020;ES61;DEATHS;326.0;A
838406;09;583;_T;2020;ES61;DEATHS;504.0;A
838406;10;838410;M;2020;ES61;DEATHS;31.0;A
838406;10;838410;F;2020;ES61;DEATHS;89.0;A
838406;10;838410;_T;2020;ES61;DEATHS;120.0;A
838406;10;57731;M;2020;ES61;DEATHS;183.0;A
838406;10;57731;F;2020;ES61;DEATHS;312.0;A
838406;10;57731;_T;2020;ES61;DEATHS;495.0;A
838406;10;583;M;2020;ES61;DEATHS;214.0;A
838406;10;583;F;2020;ES61;DEATHS;401.0;A
838406;10;583;_T;2020;ES61;DEATHS;615.0;A
838406;11;838410;M;2020;ES61;DEATHS;79.0;A
838406;11;838410;F;2020;ES61;DEATHS;130.0;A
838406;11;838410;_T;2020;ES61;DEATHS;209.0;A
838406;11;838411;M;2020;ES61;DEATHS;3.0;A
838406;11;838411;_T;2020;ES61;DEATHS;3.0;A
838406;11;57731;M;2020;ES61;DEATHS;189.0;A
838406;11;57731;F;2020;ES61;DEATHS;318.0;A
838406;11;57731;_T;2020;ES61;DEATHS;507.0;A
838406;11;583;M;2020;ES61;DEATHS;271.0;A
838406;11;583;F;2020;ES61;DEATHS;448.0;A
838406;11;583;_T;2020;ES61;DEATHS;719.0;A
