TEMPORAL;TERRITORIO;EDAD;G102;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;ES61;Y60-64;57731;M;DEATHS;2557.0;A
2020;ES61;Y60-64;57731;F;DEATHS;1134.0;A
2020;ES61;Y60-64;57731;_T;DEATHS;3691.0;A
2020;ES61;Y60-64;583;M;DEATHS;2763.0;A
2020;ES61;Y60-64;583;F;DEATHS;1236.0;A
2020;ES61;Y60-64;583;_T;DEATHS;3999.0;A
2020;ES61;Y65-69;838410;M;DEATHS;283.0;A
2020;ES61;Y65-69;838410;F;DEATHS;88.0;A
2020;ES61;Y65-69;838410;_T;DEATHS;371.0;A
2020;ES61;Y65-69;838411;M;DEATHS;13.0;A
2020;ES61;Y65-69;838411;F;DEATHS;7.0;A
2020;ES61;Y65-69;838411;_T;DEATHS;20.0;A
2020;ES61;Y65-69;57731;M;DEATHS;3081.0;A
2020;ES61;Y65-69;57731;F;DEATHS;1422.0;A
2020;ES61;Y65-69;57731;_T;DEATHS;4503.0;A
2020;ES61;Y65-69;583;M;DEATHS;3377.0;A
2020;ES61;Y65-69;583;F;DEATHS;1517.0;A
2020;ES61;Y65-69;583;_T;DEATHS;4894.0;A
2020;ES61;Y70-74;838410;M;DEATHS;339.0;A
2020;ES61;Y70-74;838410;F;DEATHS;178.0;A
2020;ES61;Y70-74;838410;_T;DEATHS;517.0;A
2020;ES61;Y70-74;838411;M;DEATHS;34.0;A
2020;ES61;Y70-74;838411;F;DEATHS;15.0;A
2020;ES61;Y70-74;838411;_T;DEATHS;49.0;A
2020;ES61;Y70-74;57731;M;DEATHS;4084.0;A
2020;ES61;Y70-74;57731;F;DEATHS;2193.0;A
2020;ES61;Y70-74;57731;_T;DEATHS;6277.0;A
2020;ES61;Y70-74;583;M;DEATHS;4457.0;A
2020;ES61;Y70-74;583;F;DEATHS;2386.0;A
2020;ES61;Y70-74;583;_T;DEATHS;6843.0;A
2020;ES61;Y75-79;838410;M;DEATHS;526.0;A
2020;ES61;Y75-79;838410;F;DEATHS;310.0;A
2020;ES61;Y75-79;838410;_T;DEATHS;836.0;A
2020;ES61;Y75-79;838411;M;DEATHS;44.0;A
2020;ES61;Y75-79;838411;F;DEATHS;20.0;A
2020;ES61;Y75-79;838411;_T;DEATHS;64.0;A
2020;ES61;Y75-79;57731;M;DEATHS;4968.0;A
2020;ES61;Y75-79;57731;F;DEATHS;3388.0;A
2020;ES61;Y75-79;57731;_T;DEATHS;8356.0;A
2020;ES61;Y75-79;583;M;DEATHS;5538.0;A
2020;ES61;Y75-79;583;F;DEATHS;3718.0;A
2020;ES61;Y75-79;583;_T;DEATHS;9256.0;A
2020;ES61;Y80-84;838410;M;DEATHS;578.0;A
2020;ES61;Y80-84;838410;F;DEATHS;479.0;A
2020;ES61;Y80-84;838410;_T;DEATHS;1057.0;A
2020;ES61;Y80-84;838411;M;DEATHS;89.0;A
2020;ES61;Y80-84;838411;F;DEATHS;63.0;A
2020;ES61;Y80-84;838411;_T;DEATHS;152.0;A
2020;ES61;Y80-84;57731;M;DEATHS;5858.0;A
2020;ES61;Y80-84;57731;F;DEATHS;5726.0;A
2020;ES61;Y80-84;57731;_T;DEATHS;11584.0;A
2020;ES61;Y80-84;583;M;DEATHS;6525.0;A
2020;ES61;Y80-84;583;F;DEATHS;6268.0;A
2020;ES61;Y80-84;583;_T;DEATHS;12793.0;A
2020;ES61;Y85-89;838410;M;DEATHS;627.0;A
2020;ES61;Y85-89;838410;F;DEATHS;694.0;A
2020;ES61;Y85-89;838410;_T;DEATHS;1321.0;A
2020;ES61;Y85-89;838411;M;DEATHS;66.0;A
2020;ES61;Y85-89;838411;F;DEATHS;116.0;A
2020;ES61;Y85-89;838411;_T;DEATHS;182.0;A
2020;ES61;Y85-89;57731;M;DEATHS;6298.0;A
2020;ES61;Y85-89;57731;F;DEATHS;8643.0;A
2020;ES61;Y85-89;57731;_T;DEATHS;14941.0;A
2020;ES61;Y85-89;583;M;DEATHS;6991.0;A
2020;ES61;Y85-89;583;F;DEATHS;9453.0;A
2020;ES61;Y85-89;583;_T;DEATHS;16444.0;A
2020;ES61;Y90-94;838410;M;DEATHS;284.0;A
2020;ES61;Y90-94;838410;F;DEATHS;488.0;A
2020;ES61;Y90-94;838410;_T;DEATHS;772.0;A
2020;ES61;Y90-94;838411;M;DEATHS;50.0;A
2020;ES61;Y90-94;838411;F;DEATHS;92.0;A
2020;ES61;Y90-94;838411;_T;DEATHS;142.0;A
2020;ES61;Y90-94;57731;M;DEATHS;3570.0;A
2020;ES61;Y90-94;57731;F;DEATHS;6918.0;A
2020;ES61;Y90-94;57731;_T;DEATHS;10488.0;A
2020;ES61;Y90-94;583;M;DEATHS;3904.0;A
2020;ES61;Y90-94;583;F;DEATHS;7498.0;A
2020;ES61;Y90-94;583;_T;DEATHS;11402.0;A
2020;ES61;Y95-99;838410;M;DEATHS;82.0;A
2020;ES61;Y95-99;838410;F;DEATHS;196.0;A
2020;ES61;Y95-99;838410;_T;DEATHS;278.0;A
2020;ES61;Y95-99;838411;M;DEATHS;18.0;A
2020;ES61;Y95-99;838411;F;DEATHS;23.0;A
2020;ES61;Y95-99;838411;_T;DEATHS;41.0;A
2020;ES61;Y95-99;57731;M;DEATHS;927.0;A
2020;ES61;Y95-99;57731;F;DEATHS;2626.0;A
2020;ES61;Y95-99;57731;_T;DEATHS;3553.0;A
2020;ES61;Y95-99;583;M;DEATHS;1027.0;A
2020;ES61;Y95-99;583;F;DEATHS;2845.0;A
2020;ES61;Y95-99;583;_T;DEATHS;3872.0;A
2020;ES61;Y_GE100;838410;M;DEATHS;9.0;A
2020;ES61;Y_GE100;838410;F;DEATHS;28.0;A
2020;ES61;Y_GE100;838410;_T;DEATHS;37.0;A
2020;ES61;Y_GE100;838411;F;DEATHS;5.0;A
2020;ES61;Y_GE100;838411;_T;DEATHS;5.0;A
2020;ES61;Y_GE100;57731;M;DEATHS;106.0;A
2020;ES61;Y_GE100;57731;F;DEATHS;424.0;A
2020;ES61;Y_GE100;57731;_T;DEATHS;530.0;A
2020;ES61;Y_GE100;583;M;DEATHS;115.0;A
2020;ES61;Y_GE100;583;F;DEATHS;457.0;A
2020;ES61;Y_GE100;583;_T;DEATHS;572.0;A
2020;ES61;TOTAL;838410;M;DEATHS;3165.0;A
2020;ES61;TOTAL;838410;F;DEATHS;2650.0;A
2020;ES61;TOTAL;838410;_T;DEATHS;5815.0;A
2020;ES61;TOTAL;838411;M;DEATHS;355.0;A
2020;ES61;TOTAL;838411;F;DEATHS;355.0;A
2020;ES61;TOTAL;838411;_T;DEATHS;710.0;A
2020;ES61;TOTAL;57731;M;DEATHS;36760.0;A
2020;ES61;TOTAL;57731;F;DEATHS;35176.0;A
2020;ES61;TOTAL;57731;_T;DEATHS;71936.0;A
2020;ES61;TOTAL;583;M;DEATHS;40280.0;A
2020;ES61;TOTAL;583;F;DEATHS;38181.0;A
2020;ES61;TOTAL;583;_T;DEATHS;78461.0;A
2020;ES611;Y_LT1;57731;M;DEATHS;18.0;A
2020;ES611;Y_LT1;57731;F;DEATHS;18.0;A
2020;ES611;Y_LT1;57731;_T;DEATHS;36.0;A
2020;ES611;Y_LT1;583;M;DEATHS;18.0;A
2020;ES611;Y_LT1;583;F;DEATHS;18.0;A
2020;ES611;Y_LT1;583;_T;DEATHS;36.0;A
2020;ES611;Y_LT15;57731;M;DEATHS;10.0;A
2020;ES611;Y_LT15;57731;F;DEATHS;5.0;A
2020;ES611;Y_LT15;57731;_T;DEATHS;15.0;A
2020;ES611;Y_LT15;583;M;DEATHS;10.0;A
2020;ES611;Y_LT15;583;F;DEATHS;5.0;A
2020;ES611;Y_LT15;583;_T;DEATHS;15.0;A
2020;ES611;Y15-29;838410;F;DEATHS;1.0;A
2020;ES611;Y15-29;838410;_T;DEATHS;1.0;A
2020;ES611;Y15-29;838411;M;DEATHS;1.0;A
2020;ES611;Y15-29;838411;_T;DEATHS;1.0;A
2020;ES611;Y15-29;57731;M;DEATHS;40.0;A
2020;ES611;Y15-29;57731;F;DEATHS;10.0;A
2020;ES611;Y15-29;57731;_T;DEATHS;50.0;A
2020;ES611;Y15-29;583;M;DEATHS;41.0;A
2020;ES611;Y15-29;583;F;DEATHS;11.0;A
2020;ES611;Y15-29;583;_T;DEATHS;52.0;A
2020;ES611;Y30-44;838410;M;DEATHS;1.0;A
2020;ES611;Y30-44;838410;F;DEATHS;1.0;A
2020;ES611;Y30-44;838410;_T;DEATHS;2.0;A
2020;ES611;Y30-44;57731;M;DEATHS;51.0;A
2020;ES611;Y30-44;57731;F;DEATHS;31.0;A
2020;ES611;Y30-44;57731;_T;DEATHS;82.0;A
2020;ES611;Y30-44;583;M;DEATHS;52.0;A
2020;ES611;Y30-44;583;F;DEATHS;32.0;A
2020;ES611;Y30-44;583;_T;DEATHS;84.0;A
2020;ES611;Y45-64;838410;M;DEATHS;2.0;A
2020;ES611;Y45-64;838410;F;DEATHS;1.0;A
2020;ES611;Y45-64;838410;_T;DEATHS;3.0;A
2020;ES611;Y45-64;57731;M;DEATHS;42.0;A
2020;ES611;Y45-64;57731;F;DEATHS;24.0;A
2020;ES611;Y45-64;57731;_T;DEATHS;66.0;A
2020;ES611;Y45-64;583;M;DEATHS;44.0;A
2020;ES611;Y45-64;583;F;DEATHS;25.0;A
2020;ES611;Y45-64;583;_T;DEATHS;69.0;A
2020;ES611;Y65-100;838410;M;DEATHS;5.0;A
2020;ES611;Y65-100;838410;F;DEATHS;2.0;A
2020;ES611;Y65-100;838410;_T;DEATHS;7.0;A
2020;ES611;Y65-100;57731;M;DEATHS;61.0;A
2020;ES611;Y65-100;57731;F;DEATHS;31.0;A
2020;ES611;Y65-100;57731;_T;DEATHS;92.0;A
2020;ES611;Y65-100;583;M;DEATHS;66.0;A
2020;ES611;Y65-100;583;F;DEATHS;33.0;A
2020;ES611;Y65-100;583;_T;DEATHS;99.0;A
2020;ES611;Y50-54;838410;M;DEATHS;7.0;A
2020;ES611;Y50-54;838410;F;DEATHS;1.0;A
2020;ES611;Y50-54;838410;_T;DEATHS;8.0;A
2020;ES611;Y50-54;838411;M;DEATHS;1.0;A
2020;ES611;Y50-54;838411;_T;DEATHS;1.0;A
2020;ES611;Y50-54;57731;M;DEATHS;97.0;A
2020;ES611;Y50-54;57731;F;DEATHS;67.0;A
2020;ES611;Y50-54;57731;_T;DEATHS;164.0;A
2020;ES611;Y50-54;583;M;DEATHS;105.0;A
2020;ES611;Y50-54;583;F;DEATHS;68.0;A
2020;ES611;Y50-54;583;_T;DEATHS;173.0;A
2020;ES611;Y55-59;838410;M;DEATHS;7.0;A
2020;ES611;Y55-59;838410;F;DEATHS;1.0;A
2020;ES611;Y55-59;838410;_T;DEATHS;8.0;A
2020;ES611;Y55-59;57731;M;DEATHS;137.0;A
2020;ES611;Y55-59;57731;F;DEATHS;87.0;A
2020;ES611;Y55-59;57731;_T;DEATHS;224.0;A
2020;ES611;Y55-59;583;M;DEATHS;144.0;A
2020;ES611;Y55-59;583;F;DEATHS;88.0;A
2020;ES611;Y55-59;583;_T;DEATHS;232.0;A
2020;ES611;Y60-64;838410;M;DEATHS;15.0;A
2020;ES611;Y60-64;838410;F;DEATHS;5.0;A
2020;ES611;Y60-64;838410;_T;DEATHS;20.0;A
2020;ES611;Y60-64;838411;M;DEATHS;2.0;A
2020;ES611;Y60-64;838411;_T;DEATHS;2.0;A
2020;ES611;Y60-64;57731;M;DEATHS;225.0;A
2020;ES611;Y60-64;57731;F;DEATHS;86.0;A
2020;ES611;Y60-64;57731;_T;DEATHS;311.0;A
2020;ES611;Y60-64;583;M;DEATHS;242.0;A
