G102;EDAD;TERRITORIO;TEMPORAL;MES;SEXO;INDICATOR;OBS_VALUE;FREQ
518592;Y15-29;ES61;2020;55920;_T;DEATHS;13.0;A
518592;Y15-29;ES61;2020;55920;M;DEATHS;8.0;A
518592;Y15-29;ES61;2020;55920;F;DEATHS;5.0;A
518592;Y15-29;ES61;2020;04;_T;DEATHS;3.0;A
518592;Y15-29;ES61;2020;04;M;DEATHS;2.0;A
518592;Y15-29;ES61;2020;04;F;DEATHS;1.0;A
518592;Y15-29;ES61;2020;06;_T;DEATHS;1.0;A
518592;Y15-29;ES61;2020;06;M;DEATHS;1.0;A
518592;Y15-29;ES61;2020;10;_T;DEATHS;2.0;A
518592;Y15-29;ES61;2020;10;M;DEATHS;2.0;A
518592;Y15-29;ES61;2020;11;_T;DEATHS;4.0;A
518592;Y15-29;ES61;2020;11;M;DEATHS;3.0;A
518592;Y15-29;ES61;2020;11;F;DEATHS;1.0;A
518592;Y15-29;ES61;2020;12;_T;DEATHS;3.0;A
518592;Y15-29;ES61;2020;12;F;DEATHS;3.0;A
518592;Y30-44;ES61;2020;55920;_T;DEATHS;15.0;A
518592;Y30-44;ES61;2020;55920;M;DEATHS;11.0;A
518592;Y30-44;ES61;2020;55920;F;DEATHS;4.0;A
518592;Y30-44;ES61;2020;03;_T;DEATHS;1.0;A
518592;Y30-44;ES61;2020;03;M;DEATHS;1.0;A
518592;Y30-44;ES61;2020;04;_T;DEATHS;3.0;A
518592;Y30-44;ES61;2020;04;M;DEATHS;3.0;A
518592;Y30-44;ES61;2020;09;_T;DEATHS;1.0;A
518592;Y30-44;ES61;2020;09;M;DEATHS;1.0;A
518592;Y30-44;ES61;2020;10;_T;DEATHS;4.0;A
518592;Y30-44;ES61;2020;10;M;DEATHS;2.0;A
518592;Y30-44;ES61;2020;10;F;DEATHS;2.0;A
518592;Y30-44;ES61;2020;11;_T;DEATHS;4.0;A
518592;Y30-44;ES61;2020;11;M;DEATHS;4.0;A
518592;Y30-44;ES61;2020;12;_T;DEATHS;2.0;A
518592;Y30-44;ES61;2020;12;F;DEATHS;2.0;A
