G102;EDAD;TERRITORIO;TEMPORAL;MES;SEXO;INDICATOR;OBS_VALUE;FREQ
57629;Y15-29;ES61;2000;55920;_T;DEATHS;1.0;A
57629;Y15-29;ES61;2000;55920;M;DEATHS;1.0;A
57629;Y15-29;ES61;2000;07;_T;DEATHS;1.0;A
57629;Y15-29;ES61;2000;07;M;DEATHS;1.0;A
57629;Y30-44;ES61;2000;55920;_T;DEATHS;2.0;A
57629;Y30-44;ES61;2000;55920;M;DEATHS;1.0;A
57629;Y30-44;ES61;2000;55920;F;DEATHS;1.0;A
57629;Y30-44;ES61;2000;05;_T;DEATHS;1.0;A
57629;Y30-44;ES61;2000;05;M;DEATHS;1.0;A
57629;Y30-44;ES61;2000;06;_T;DEATHS;1.0;A
57629;Y30-44;ES61;2000;06;F;DEATHS;1.0;A
57629;Y30-44;ES61;1999;55920;_T;DEATHS;1.0;A
57629;Y30-44;ES61;1999;55920;F;DEATHS;1.0;A
57629;Y30-44;ES61;1999;01;_T;DEATHS;1.0;A
57629;Y30-44;ES61;1999;01;F;DEATHS;1.0;A
57629;Y45-64;ES61;2000;55920;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2000;55920;M;DEATHS;1.0;A
57629;Y45-64;ES61;2000;02;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2000;02;M;DEATHS;1.0;A
57629;Y65-100;ES61;1999;55920;_T;DEATHS;1.0;A
57629;Y65-100;ES61;1999;55920;M;DEATHS;1.0;A
57629;Y65-100;ES61;1999;11;_T;DEATHS;1.0;A
57629;Y65-100;ES61;1999;11;M;DEATHS;1.0;A
57629;Y50-54;ES61;1999;55920;_T;DEATHS;1.0;A
57629;Y50-54;ES61;1999;55920;M;DEATHS;1.0;A
57629;Y50-54;ES61;1999;01;_T;DEATHS;1.0;A
57629;Y50-54;ES61;1999;01;M;DEATHS;1.0;A
57629;Y60-64;ES61;2000;55920;_T;DEATHS;2.0;A
57629;Y60-64;ES61;2000;55920;M;DEATHS;1.0;A
57629;Y60-64;ES61;2000;55920;F;DEATHS;1.0;A
57629;Y60-64;ES61;2000;04;_T;DEATHS;1.0;A
57629;Y60-64;ES61;2000;04;M;DEATHS;1.0;A
57629;Y60-64;ES61;2000;06;_T;DEATHS;1.0;A
57629;Y60-64;ES61;2000;06;F;DEATHS;1.0;A
57629;Y65-69;ES61;2000;55920;_T;DEATHS;3.0;A
57629;Y65-69;ES61;2000;55920;M;DEATHS;2.0;A
57629;Y65-69;ES61;2000;55920;F;DEATHS;1.0;A
57629;Y65-69;ES61;2000;01;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2000;01;M;DEATHS;1.0;A
57629;Y65-69;ES61;2000;05;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2000;05;F;DEATHS;1.0;A
57629;Y65-69;ES61;2000;11;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2000;11;M;DEATHS;1.0;A
57629;Y65-69;ES61;1999;55920;_T;DEATHS;3.0;A
57629;Y65-69;ES61;1999;55920;M;DEATHS;2.0;A
57629;Y65-69;ES61;1999;55920;F;DEATHS;1.0;A
57629;Y65-69;ES61;1999;02;_T;DEATHS;1.0;A
57629;Y65-69;ES61;1999;02;F;DEATHS;1.0;A
57629;Y65-69;ES61;1999;08;_T;DEATHS;1.0;A
57629;Y65-69;ES61;1999;08;M;DEATHS;1.0;A
57629;Y65-69;ES61;1999;10;_T;DEATHS;1.0;A
57629;Y65-69;ES61;1999;10;M;DEATHS;1.0;A
57629;Y70-74;ES61;2000;55920;_T;DEATHS;10.0;A
57629;Y70-74;ES61;2000;55920;M;DEATHS;6.0;A
57629;Y70-74;ES61;2000;55920;F;DEATHS;4.0;A
57629;Y70-74;ES61;2000;01;_T;DEATHS;1.0;A
57629;Y70-74;ES61;2000;01;M;DEATHS;1.0;A
57629;Y70-74;ES61;2000;02;_T;DEATHS;1.0;A
57629;Y70-74;ES61;2000;02;F;DEATHS;1.0;A
57629;Y70-74;ES61;2000;04;_T;DEATHS;1.0;A
57629;Y70-74;ES61;2000;04;F;DEATHS;1.0;A
