G102;EDAD;TERRITORIO;TEMPORAL;MES;SEXO;INDICATOR;OBS_VALUE;FREQ
57629;TOTAL;ES61;2013;09;M;DEATHS;4.0;A
57629;TOTAL;ES61;2013;09;F;DEATHS;4.0;A
57629;TOTAL;ES61;2013;10;_T;DEATHS;9.0;A
57629;TOTAL;ES61;2013;10;M;DEATHS;2.0;A
57629;TOTAL;ES61;2013;10;F;DEATHS;7.0;A
57629;TOTAL;ES61;2013;11;_T;DEATHS;10.0;A
57629;TOTAL;ES61;2013;11;M;DEATHS;3.0;A
57629;TOTAL;ES61;2013;11;F;DEATHS;7.0;A
57629;TOTAL;ES61;2013;12;_T;DEATHS;10.0;A
57629;TOTAL;ES61;2013;12;M;DEATHS;4.0;A
57629;TOTAL;ES61;2013;12;F;DEATHS;6.0;A
57630;Y15-29;ES61;2014;55920;_T;DEATHS;2.0;A
57630;Y15-29;ES61;2014;55920;M;DEATHS;2.0;A
57630;Y15-29;ES61;2014;04;_T;DEATHS;1.0;A
57630;Y15-29;ES61;2014;04;M;DEATHS;1.0;A
57630;Y15-29;ES61;2014;09;_T;DEATHS;1.0;A
57630;Y15-29;ES61;2014;09;M;DEATHS;1.0;A
57630;Y15-29;ES61;2013;55920;_T;DEATHS;2.0;A
