D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2019;ES618;F;_T;DIV;24.62941;A
2019;ES618;F;F;DIV;24.62941;A
2018;ES61;_T;_T;DIV;16934.828;A
2018;ES61;_T;M;DIV;72.9398;A
2018;ES61;_T;F;DIV;16861.8882;A
2018;ES61;M;_T;DIV;16870.452;A
2018;ES61;M;M;DIV;72.9398;A
2018;ES61;M;F;DIV;16797.5122;A
2018;ES61;F;_T;DIV;64.376;A
2018;ES61;F;F;DIV;64.376;A
2018;ES611;_T;_T;DIV;1456.1395;A
2018;ES611;_T;M;DIV;4.4904;A
2018;ES611;_T;F;DIV;1451.6491;A
2018;ES611;M;_T;DIV;1453.8943;A
2018;ES611;M;M;DIV;4.4904;A
2018;ES611;M;F;DIV;1449.4039;A
2018;ES611;F;_T;DIV;2.2452;A
2018;ES611;F;F;DIV;2.2452;A
2018;ES612;_T;_T;DIV;2490.3415;A
2018;ES612;_T;M;DIV;14.2172;A
2018;ES612;_T;F;DIV;2476.1243;A
2018;ES612;M;_T;DIV;2481.0548;A
2018;ES612;M;M;DIV;14.2172;A
2018;ES612;M;F;DIV;2466.8376;A
2018;ES612;F;_T;DIV;9.2867;A
2018;ES612;F;F;DIV;9.2867;A
2018;ES613;_T;_T;DIV;1405.7198;A
2018;ES613;_T;M;DIV;3.0986;A
2018;ES613;_T;F;DIV;1402.6212;A
2018;ES613;M;_T;DIV;1401.7838;A
2018;ES613;M;M;DIV;3.0986;A
2018;ES613;M;F;DIV;1398.6852;A
2018;ES613;F;_T;DIV;3.936;A
2018;ES613;F;F;DIV;3.936;A
2018;ES614;_T;_T;DIV;1684.5826;A
2018;ES614;_T;M;DIV;9.7507;A
2018;ES614;_T;F;DIV;1674.8319;A
2018;ES614;M;_T;DIV;1681.8447;A
2018;ES614;M;M;DIV;9.7507;A
2018;ES614;M;F;DIV;1672.094;A
2018;ES614;F;_T;DIV;2.7379;A
2018;ES614;F;F;DIV;2.7379;A
2018;ES615;_T;_T;DIV;986.218;A
2018;ES615;_T;F;DIV;986.218;A
2018;ES615;M;_T;DIV;983.16;A
2018;ES615;M;F;DIV;983.16;A
2018;ES615;F;_T;DIV;3.058;A
2018;ES615;F;F;DIV;3.058;A
2018;ES616;_T;_T;DIV;1108.2069;A
2018;ES616;_T;M;DIV;;A
2018;ES616;_T;F;DIV;1108.2069;A
2018;ES616;M;_T;DIV;1108.2069;A
2018;ES616;M;M;DIV;;A
2018;ES616;M;F;DIV;1108.2069;A
2018;ES617;_T;_T;DIV;3718.358;A
2018;ES617;_T;M;DIV;16.1591;A
2018;ES617;_T;F;DIV;3702.1989;A
2018;ES617;M;_T;DIV;3699.1392;A
2018;ES617;M;M;DIV;16.1591;A
2018;ES617;M;F;DIV;3682.9801;A
2018;ES617;F;_T;DIV;19.2188;A
2018;ES617;F;F;DIV;19.2188;A
2018;ES618;_T;_T;DIV;4085.2617;A
2018;ES618;_T;M;DIV;25.2238;A
2018;ES618;_T;F;DIV;4060.0379;A
2018;ES618;M;_T;DIV;4061.3683;A
2018;ES618;M;M;DIV;25.2238;A
2018;ES618;M;F;DIV;4036.1445;A
2018;ES618;F;_T;DIV;23.8934;A
2018;ES618;F;F;DIV;23.8934;A
2017;ES61;_T;_T;DIV;17436.6101;A
2017;ES61;_T;M;DIV;84.466;A
2017;ES61;_T;F;DIV;17352.1441;A
2017;ES61;M;_T;DIV;17360.3961;A
2017;ES61;M;M;DIV;84.466;A
2017;ES61;M;F;DIV;17275.9301;A
2017;ES61;F;_T;DIV;76.214;A
2017;ES61;F;F;DIV;76.214;A
2017;ES611;_T;_T;DIV;1454.7143;A
2017;ES611;_T;M;DIV;3.5677;A
2017;ES611;_T;F;DIV;1451.1466;A
2017;ES611;M;_T;DIV;1449.6254;A
2017;ES611;M;M;DIV;3.5677;A
2017;ES611;M;F;DIV;1446.0577;A
2017;ES611;F;_T;DIV;5.0889;A
2017;ES611;F;F;DIV;5.0889;A
2017;ES612;_T;_T;DIV;2406.3281;A
2017;ES612;_T;M;DIV;12.8913;A
2017;ES612;_T;F;DIV;2393.4368;A
2017;ES612;M;_T;DIV;2381.5942;A
2017;ES612;M;M;DIV;12.8913;A
2017;ES612;M;F;DIV;2368.7029;A
