D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2019;ES615;22;DIV;85.47302;A
2019;ES615;20;DIV;55.96305;A
2019;ES615;2;DIV;23.39619;A
2019;ES615;3;DIV;32.56686;A
2019;ES615;30;DIV;29.50997;A
2019;ES615;4;DIV;23.39619;A
2019;ES615;5;DIV;6.11378;A
2019;ES616;00;DIV;1181.24056;A
2019;ES616;11;DIV;1149.30296;A
2019;ES616;10;DIV;1149.30296;A
2019;ES616;1;DIV;1149.30296;A
2019;ES616;22;DIV;31.9376;A
2019;ES616;20;DIV;18.75312;A
2019;ES616;2;DIV;12.67268;A
2019;ES616;3;DIV;6.08044;A
2019;ES616;30;DIV;13.18448;A
2019;ES616;4;DIV;6.08044;A
2019;ES616;5;DIV;7.10404;A
2019;ES617;00;DIV;3795.50761;A
2019;ES617;11;DIV;3122.14949;A
2019;ES617;10;DIV;3122.14949;A
2019;ES617;1;DIV;3122.14949;A
2019;ES617;22;DIV;673.35812;A
2019;ES617;20;DIV;459.35853;A
2019;ES617;2;DIV;205.0105;A
2019;ES617;3;DIV;254.34803;A
2019;ES617;30;DIV;213.99959;A
2019;ES617;4;DIV;148.24328;A
2019;ES617;5;DIV;65.75631;A
2019;ES618;00;DIV;4059.5542;A
2019;ES618;11;DIV;3802.42187;A
2019;ES618;10;DIV;3802.42187;A
2019;ES618;1;DIV;3802.42187;A
2019;ES618;22;DIV;257.13233;A
2019;ES618;20;DIV;185.90416;A
2019;ES618;2;DIV;104.01196;A
2019;ES618;3;DIV;81.8922;A
2019;ES618;30;DIV;71.22817;A
2019;ES618;4;DIV;55.06982;A
2019;ES618;5;DIV;16.15835;A
2018;ES61;00;DIV;16934.828;A
2018;ES61;11;DIV;15157.9698;A
2018;ES61;10;DIV;15157.9698;A
2018;ES61;1;DIV;15157.9698;A
2018;ES61;22;DIV;1776.8582;A
2018;ES61;20;DIV;1213.5974;A
2018;ES61;2;DIV;612.1401;A
2018;ES61;3;DIV;601.4573;A
2018;ES61;30;DIV;563.2608;A
2018;ES61;4;DIV;385.7729;A
2018;ES61;5;DIV;177.4879;A
2018;ES611;00;DIV;1456.1395;A
2018;ES611;11;DIV;1158.9961;A
2018;ES611;10;DIV;1158.9961;A
2018;ES611;1;DIV;1158.9961;A
2018;ES611;22;DIV;297.1434;A
2018;ES611;20;DIV;173.1565;A
2018;ES611;2;DIV;118.1505;A
2018;ES611;3;DIV;55.006;A
