TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273779;A;2008;273762;NR;1011684.0;A
ES611;273779;A;2008;273765;NR;117.236212009;A
ES611;273779;A;2008;273768;NR;488512.0;A
ES611;273779;A;2008;273769;NR;-1518.0;A
ES611;273779;A;2008;273770;NR;524690.0;A
ES611;273779;A;2008;273771;NR;18569.0;A
ES611;273779;A;2008;273772;NR;17000.0;A
ES611;273779;A;2008;273773;NR;1569.0;A
ES611;273779;A;2009;273760;NR;2490763.0;A
ES611;273779;A;2009;273761;NR;1508019.0;A
ES611;273779;A;2009;273762;NR;982744.0;A
ES611;273779;A;2009;273765;NR;110.977559241;A
ES611;273779;A;2009;273768;NR;446590.0;A
ES611;273779;A;2009;273769;NR;347.0;A
ES611;273779;A;2009;273770;NR;535807.0;A
ES611;273779;A;2009;273771;NR;16729.0;A
ES611;273779;A;2009;273772;NR;15245.0;A
ES611;273779;A;2009;273773;NR;1484.0;A
ES611;273779;A;2010;273760;NR;2558893.0;A
ES611;273779;A;2010;273761;NR;1658358.0;A
ES611;273779;A;2010;273762;NR;900535.0;A
ES611;273779;A;2010;273765;NR;101.600250603;A
ES611;273779;A;2010;273768;NR;413294.0;A
ES611;273779;A;2010;273769;NR;-519.0;A
ES611;273779;A;2010;273770;NR;487760.0;A
ES611;273779;A;2010;273771;NR;15077.0;A
ES611;273779;A;2010;273772;NR;13719.0;A
ES611;273779;A;2010;273773;NR;1358.0;A
ES611;273779;A;2011;273760;NR;2366824.0;A
ES611;273779;A;2011;273761;NR;1468736.0;A
ES611;273779;A;2011;273762;NR;898088.0;A
ES611;273779;A;2011;273765;NR;95.998343456;A
ES611;273779;A;2011;273768;NR;408683.0;A
ES611;273779;A;2011;273769;NR;-1055.0;A
ES611;273779;A;2011;273770;NR;490460.0;A
ES611;273779;A;2011;273771;NR;14426.0;A
ES611;273779;A;2011;273772;NR;13137.0;A
ES611;273779;A;2011;273773;NR;1289.0;A
ES611;273779;A;2012;273760;NR;2895582.0;A
ES611;273779;A;2012;273761;NR;1841568.0;A
ES611;273779;A;2012;273762;NR;1054014.0;A
ES611;273779;A;2012;273765;NR;109.556218386;A
ES611;273779;A;2012;273768;NR;426621.0;A
ES611;273779;A;2012;273769;NR;9473.0;A
ES611;273779;A;2012;273770;NR;617920.0;A
ES611;273779;A;2012;273771;NR;13708.0;A
ES611;273779;A;2012;273772;NR;12602.0;A
ES611;273779;A;2012;273773;NR;1106.0;A
ES611;273779;A;2013;273760;NR;3375964.0;A
ES611;273779;A;2013;273761;NR;2291411.0;A
ES611;273779;A;2013;273762;NR;1084553.0;A
ES611;273779;A;2013;273765;NR;108.775761973;A
ES611;273779;A;2013;273768;NR;373517.0;A
ES611;273779;A;2013;273769;NR;14751.0;A
ES611;273779;A;2013;273770;NR;696285.0;A
ES611;273779;A;2013;273771;NR;12615.0;A
ES611;273779;A;2013;273772;NR;11474.0;A
ES611;273779;A;2013;273773;NR;1141.0;A
ES611;273779;A;2014;273760;NR;2861868.0;A
ES611;273779;A;2014;273761;NR;1918358.0;A
ES611;273779;A;2014;273762;NR;943510.0;A
ES611;273779;A;2014;273765;NR;94.934549665;A
ES611;273779;A;2014;273768;NR;358908.0;A
ES611;273779;A;2014;273769;NR;13397.0;A
ES611;273779;A;2014;273770;NR;571205.0;A
ES611;273779;A;2014;273771;NR;12244.0;A
ES611;273779;A;2014;273772;NR;10997.0;A
ES611;273779;A;2014;273773;NR;1247.0;A
ES611;273779;A;2015;273760;NR;3012208.0;A
ES611;273779;A;2015;273761;NR;2008468.0;A
ES611;273779;A;2015;273762;NR;1003740.0;A
ES611;273779;A;2015;273765;NR;100.0;A
ES611;273779;A;2015;273768;NR;375870.0;A
ES611;273779;A;2015;273769;NR;11996.0;A
ES611;273779;A;2015;273770;NR;615874.0;A
ES611;273779;A;2015;273771;NR;12781.0;A
ES611;273779;A;2015;273772;NR;11452.0;A
ES611;273779;A;2015;273773;NR;1329.0;A
ES611;273779;A;2016;273760;NR;3408909.0;A
ES611;273779;A;2016;273761;NR;2405283.0;A
ES611;273779;A;2016;273762;NR;1003626.0;A
ES611;273779;A;2016;273765;NR;102.188253206;A
ES611;273779;A;2016;273768;NR;414775.0;A
ES611;273779;A;2016;273769;NR;10279.0;A
ES611;273779;A;2016;273770;NR;578572.0;A
ES611;273779;A;2016;273771;NR;13682.0;A
ES611;273779;A;2016;273772;NR;12386.0;A
ES611;273779;A;2016;273773;NR;1296.0;A
ES611;273779;A;2017;273760;NR;3253442.0;A
ES611;273779;A;2017;273761;NR;2262342.0;A
ES611;273779;A;2017;273762;NR;991100.0;A
ES611;273779;A;2017;273765;NR;97.247573113;A
ES611;273779;A;2017;273768;NR;395989.0;A
ES611;273779;A;2017;273769;NR;11347.0;A
ES611;273779;A;2017;273770;NR;583764.0;A
ES611;273779;A;2017;273771;NR;13487.0;A
ES611;273779;A;2017;273772;NR;12198.0;A
ES611;273779;A;2017;273773;NR;1289.0;A
ES611;273779;A;2018;273760;NR;3442238.0;A
ES611;273779;A;2018;273761;NR;2384870.0;A
ES611;273779;A;2018;273762;NR;1057368.0;A
ES611;273779;A;2018;273765;NR;101.346072059;A
ES611;273779;A;2018;273768;NR;429603.0;A
ES611;273779;A;2018;273769;NR;12043.0;A
ES611;273779;A;2018;273770;NR;615722.0;A
ES611;273779;A;2018;273771;NR;14316.0;A
ES611;273779;A;2018;273772;NR;13044.0;A
ES611;273779;A;2018;273773;NR;1272.0;A
ES611;273779;P;2019;273760;NR;4120183.0;A
ES611;273779;P;2019;273761;NR;2947978.0;A
ES611;273779;P;2019;273762;NR;1172205.0;A
ES611;273779;P;2019;273765;NR;113.0600471;A
ES611;273779;P;2019;273768;NR;482647.0;A
ES611;273779;P;2019;273769;NR;12550.0;A
ES611;273779;P;2019;273770;NR;677008.0;A
ES611;273779;P;2019;273771;NR;15430.0;A
ES611;273779;P;2019;273772;NR;14192.0;A
ES611;273779;P;2019;273773;NR;1238.0;A
ES611;273780;A;2008;273760;NR;121849.0;A
ES611;273780;A;2008;273761;NR;76506.0;A
ES611;273780;A;2008;273762;NR;45343.0;A
ES611;273780;A;2008;273765;NR;198.854595678;A
ES611;273780;A;2008;273768;NR;27170.0;A
ES611;273780;A;2008;273769;NR;-27.0;A
ES611;273780;A;2008;273770;NR;18200.0;A
ES611;273780;A;2008;273771;NR;968.0;A
